"reaction id"	"transporter"	"k_avg"	"max_conc"
"TRANS-RXN0-569-GLT//GLT.9."	"G6458-MONOMER[i]"	"0.0"	"{'GLT[c]': 0.10556200527371755}"
"ABC-12-RXN"	"ABC-12-CPLX[i]"	"12.761351672087216"	"{'GLN[p]': 0.6}"
"TRANS-RXN-162"	"GLTP-MONOMER[i]"	"4.269764362351738"	"{'GLT[p]': 0.6}"
"ABC-13-RXN"	"ABC-13-CPLX[i]"	"0.5909065615598397"	"{'GLT[p]': 0.6}"
"TRANS-RXN0-569-ARG//ARG.9."	"G6458-MONOMER[i]"	"-2.343359659705982e-17"	"{'ARG[c]': 0.001140303041195887}"
"TRANS-RXN-122"	"GLTP-MONOMER[i]"	"0.0"	"{'GLT[p]': 0.6}"
"TRANS-RXN-122"	"DCTA-MONOMER[i]"	"0.0"	"{'GLT[p]': 0.6}"
"ABC-4-RXN"	"ABC-4-CPLX[i]"	"84.00629566899053"	"{'ARG[p]': 5.2}"
"ABC-4-RXN"	"ABC-3-CPLX[i]"	"84.00629566899053"	"{'ARG[p]': 5.2}"
"TRANS-RXN-29"	"CPLX0-7642[i]"	"7.44002302630706"	"{'PRO[p]': 0.4}"
"TRANS-RXN0-569-GLN//GLN.9."	"G6458-MONOMER[i]"	"0.0"	"{'GLN[c]': 0.007597886055457026}"
"TRANS-RXN0-569-PRO//PRO.9."	"G6458-MONOMER[i]"	"2.4780662965133597e-18"	"{'PRO[c]': 0.0007802523295080244}"
"ABC-26-RXN"	"ABC-26-CPLX[i]"	"0.08849668880989853"	"{'PRO[p]': 0.4}"
"TRANS-RXN-118"	"PUTP-MONOMER[i]"	"0.15704989736895603"	"{'PRO[p]': 0.4}"
"TRANS-RXN-261"	"XASA-MONOMER[i]"	"74.22774767746832"	"{'GLT[p]': 0.6}"
