# List of transporters and their locations
"molecule id"	"location"
"CPLX0-7704"	"[i]"
"CPLX0-8097"	"[i]"
"FEOB-MONOMER"	"[i]"
"CPLX0-8152"	"[i]"
"BRNQ-MONOMER"	"[i]"
"EG12445-MONOMER"	"[i]"
"YHIP-MONOMER"	"[i]"
"CPLX0-7654"	"[i]"
"CPLX0-7653"	"[i]"
"G6859-MONOMER"	"[i]"
"G7138-MONOMER"	"[i]"
"ABC-42-CPLX"	"[i]"
"PITB-MONOMER"	"[i]"
"EG10344-MONOMER"	"[i]"
"NARK-MONOMER"	"[i]"
"BETT-MONOMER"	"[i]"
"YGFU-MONOMER"	"[i]"
"B0752-MONOMER"	"[i]"
"CPLX0-7992"	"[s]"
"FORMATEDEHYDROGN-CPLX"	"[i]"
"NADH-DHI-CPLX"	"[i]"
"YGJU-MONOMER"	"[i]"
"AROP-MONOMER"	"[i]"
"CADB-MONOMER"	"[i]"
"RHTC-MONOMER"	"[i]"
"GABP-MONOMER"	"[i]"
"MGTA-MONOMER"	"[i]"
"EG12134-MONOMER"	"[i]"
"CPLX0-7641"	"[i]"
"URAA-MONOMER"	"[i]"
"CPLX0-7642"	"[i]"
"CPLX0-7843"	"[i]"
"NANT-MONOMER"	"[i]"
"NIRC-MONOMER"	"[i]"
"ABC-33-CPLX"	"[i]"
"ATPASE-1-CPLX"	"[i]"
"YGFO-MONOMER"	"[i]"
"XAPB-MONOMER"	"[i]"
"DCTA-MONOMER"	"[i]"
"ABC-12-CPLX"	"[i]"
"LYSP-MONOMER"	"[i]"
"G7921-MONOMER"	"[o]"
"B1296-MONOMER"	"[i]"
"METNIQ-METHIONINE-ABC-CPLX"	"[i]"
"ABC-3-CPLX"	"[i]"
"CPLX0-2221"	"[e]"
"EG11939-MONOMER"	"[i]"
"GLTP-MONOMER"	"[i]"
"YJIO-MONOMER"	"[i]"
"TRKG-MONOMER"	"[i]"
"CPLX0-7533"	"[e]"
"G6999-MONOMER"	"[i]"
"TRKH-MONOMER"	"[i]"
"GNTP-MONOMER"	"[i]"
"FUCP-MONOMER"	"[i]"
"CYT-O-UBIOX-CPLX"	"[i]"
"G6561-MONOMER"	"[i]"
"CYT-D-UBIOX-CPLX"	"[i]"
"ABC-26-CPLX"	"[i]"
"KEFB-MONOMER"	"[i]"
"YICM-MONOMER"	"[i]"
"ARAE-MONOMER"	"[i]"
"YDEA-MONOMER"	"[i]"
"ABC-24-CPLX"	"[i]"
"PYRNUTRANSHYDROGEN-CPLX"	"[i]"
"ABC-56-CPLX"	"[i]"
"NUPC-MONOMER"	"[i]"
"TNAB-MONOMER"	"[i]"
"NHAB-MONOMER"	"[i]"
"DCUA-MONOMER"	"[i]"
"B2975-MONOMER"	"[i]"
"TDCC-MONOMER"	"[i]"
"G7504-MONOMER"	"[i]"
"ABC-27-CPLX"	"[i]"
"ABC-14-CPLX"	"[i]"
"TYRP-MONOMER"	"[i]"
"ABC-13-CPLX"	"[i]"
"CMR-MONOMER"	"[i]"
"EG11639-MONOMER"	"[i]"
"SDAC-MONOMER"	"[i]"
"B0709-MONOMER"	"[i]"
"YFEP-MONOMER"	"[i]"
"CPLX0-7819"	"[i]"
"EG12713-MONOMER"	"[i]"
"ABC-20-CPLX"	"[i]"
"POTE-MONOMER"	"[i]"
"B0070-MONOMER"	"[i]"
"ABC-34-CPLX"	"[i]"
"YEEF-MONOMER"	"[i]"
"EG11167-MONOMER"	"[i]"
"CYCA-MONOMER"	"[i]"
"CPLX0-7674"	"[i]"
"B1634-MONOMER"	"[i]"
"LACY-MONOMER"	"[i]"
"ABC-8-CPLX"	"[i]"
"G7399-MONOMER"	"[i]"
"G6984-MONOMER"	"[i]"
"ABC-15-CPLX"	"[i]"
