Protein ID,Rate Constant
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-MONOMER,1.925408834888737e-05
2-DEHYDROPANTOATE-REDUCT-MONOMER,1.925408834888737e-05
ABGT-MONOMER,1.925408834888737e-05
ACETYL-COA-ACETYLTRANSFER-MONOMER,1.925408834888737e-05
ACPSUB-MONOMER,1.925408834888737e-05
ACRF-MONOMER,1.925408834888737e-05
ADENYLATECYC-MONOMER,1.925408834888737e-05
ADHP-MONOMER,1.925408834888737e-05
AGAC-MONOMER,1.925408834888737e-05
AGAD-MONOMER,1.925408834888737e-05
AGAX-MONOMER,1.925408834888737e-05
AMINEOXID-MONOMER,1.925408834888737e-05
AMPG-MONOMER,1.925408834888737e-05
AMTB-MONOMER,1.925408834888737e-05
ANGLYC3PDEHYDROGSUBUNITA-MONOMER,1.925408834888737e-05
ANGLYC3PDEHYDROGSUBUNITB-MONOMER,1.925408834888737e-05
ANGLYC3PDEHYDROGSUBUNITC-MONOMER,1.925408834888737e-05
ANSP-MONOMER,1.925408834888737e-05
ANTHRANSYNCOMPII-MONOMER,1.925408834888737e-05
APPB-MONOMER,1.925408834888737e-05
APPC-MONOMER,1.925408834888737e-05
AQPZ-MONOMER,1.925408834888737e-05
ARAE-MONOMER,1.925408834888737e-05
ARAJ-MONOMER,1.925408834888737e-05
ARCD-MONOMER,1.925408834888737e-05
AROP-MONOMER,1.925408834888737e-05
ARSF-MONOMER,1.925408834888737e-05
ARTM-MONOMER,1.925408834888737e-05
ARTP-MONOMER,1.925408834888737e-05
ARYLSULFAT-MONOMER,1.925408834888737e-05
ASCF-MONOMER,1.925408834888737e-05
ASPDECARBOX-MONOMER,1.925408834888737e-05
ATOA-MONOMER,1.925408834888737e-05
ATOD-MONOMER,1.925408834888737e-05
ATOS-MONOMER,1.925408834888737e-05
B0070-MONOMER,1.925408834888737e-05
B0270-MONOMER,1.925408834888737e-05
B0486-MONOMER,1.925408834888737e-05
B0511-MONOMER,1.925408834888737e-05
B0612-MONOMER,1.925408834888737e-05
B0709-MONOMER,1.925408834888737e-05
B0752-MONOMER,1.925408834888737e-05
B0770-MONOMER,1.925408834888737e-05
B1006-MONOMER,1.925408834888737e-05
B1065-MONOMER,1.925408834888737e-05
B1296-MONOMER,1.925408834888737e-05
B1433-MONOMER,1.925408834888737e-05
B1543-MONOMER,1.925408834888737e-05
B1596-MONOMER,1.925408834888737e-05
B1599-MONOMER,1.925408834888737e-05
B1600-MONOMER,1.925408834888737e-05
B1634-MONOMER,1.925408834888737e-05
B1657-MONOMER,1.925408834888737e-05
B1690-MONOMER,1.925408834888737e-05
B1691-MONOMER,1.925408834888737e-05
B1775-MONOMER,1.925408834888737e-05
B1791-MONOMER,1.925408834888737e-05
B1828-MONOMER,1.925408834888737e-05
B2075-MONOMER,1.925408834888737e-05
B2077-MONOMER,1.925408834888737e-05
B2098-MONOMER,1.925408834888737e-05
B2170-MONOMER,1.925408834888737e-05
B2246-MONOMER,1.925408834888737e-05
B2322-MONOMER,1.925408834888737e-05
B2372-MONOMER,1.925408834888737e-05
B2740-MONOMER,1.925408834888737e-05
B2771-MONOMER,1.925408834888737e-05
B2775-MONOMER,1.925408834888737e-05
B2789-MONOMER,1.925408834888737e-05
B2845-MONOMER,1.925408834888737e-05
B2975-MONOMER,1.925408834888737e-05
B3659-MONOMER,1.925408834888737e-05
B4141-MONOMER,1.925408834888737e-05
BCR-MONOMER,1.925408834888737e-05
BETT-MONOMER,1.925408834888737e-05
BGLF-MONOMER,1.925408834888737e-05
BRNQ-MONOMER,1.925408834888737e-05
BTUC-MONOMER,1.925408834888737e-05
BTUD-MONOMER,1.925408834888737e-05
CADB-MONOMER,1.925408834888737e-05
CAIC-MONOMER,1.925408834888737e-05
CAIE-MONOMER,1.925408834888737e-05
CAIT-MONOMER,1.925408834888737e-05
CARBODEHYDRAT-MONOMER,1.925408834888737e-05
CARNDEHYDRA-MONOMER,1.925408834888737e-05
CCMA-MONOMER,1.925408834888737e-05
CCMB-MONOMER,1.925408834888737e-05
CCMC-MONOMER,1.925408834888737e-05
CELB-MONOMER,1.925408834888737e-05
CELC-MONOMER,1.925408834888737e-05
CHAA-MONOMER,1.925408834888737e-05
CHAINF-MONOMER,1.925408834888737e-05
CHD-MONOMER,1.925408834888737e-05
CHER-MONOMER,1.925408834888737e-05
CHEZ-MONOMER,1.925408834888737e-05
CITC-MONOMER,1.925408834888737e-05
CITRYLY-MONOMER,1.925408834888737e-05
CITTRANS-MONOMER,1.925408834888737e-05
CMR-MONOMER,1.925408834888737e-05
CMTA-MONOMER,1.925408834888737e-05
CMTB-MONOMER,1.925408834888737e-05
COBU-MONOMER,1.925408834888737e-05
CODB-MONOMER,1.925408834888737e-05
CROBETREDUCT-MONOMER,1.925408834888737e-05
CYANLY-MONOMER,1.925408834888737e-05
CYDB-MONOMER,1.925408834888737e-05
CYNX-MONOMER,1.925408834888737e-05
CYOC-MONOMER,1.925408834888737e-05
CYOD-MONOMER,1.925408834888737e-05
CYST-MONOMER,1.925408834888737e-05
CYSW-MONOMER,1.925408834888737e-05
CYTOCHROME-B561-MONOMER,1.925408834888737e-05
CYTOCHROMEC-MONOMER,1.925408834888737e-05
CYTOCHROMEC552-MONOMER,1.925408834888737e-05
DCUA-MONOMER,1.925408834888737e-05
DCUB-MONOMER,1.925408834888737e-05
DCUC-MONOMER,1.925408834888737e-05
DEHYDDEOXGALACTKIN-MONOMER,1.925408834888737e-05
DEHYDDEOXPHOSGALACT-ALDOL-MONOMER,1.925408834888737e-05
