Protein ID,Rate Constant,HL Source
CARBPSYN-SMALL,1.3655381807721538e-05,CL
CDPDIGLYSYN-MONOMER,1.925408834888737e-05,CL
DCUR-MONOMER,0.0001069671574938,CL
DETHIOBIOTIN-SYN-MONOMER,3.565571916460624e-05,CL
EG10743-MONOMER,1.1885239721535412e-05,CL
EG10863-MONOMER,0.0003209014724814,CL
GLUTCYSLIG-MONOMER,4.849896309543417e-06,CL
1-PFK-MONOMER,1.6045073624072808e-05,Clim0
2-ISOPROPYLMALATESYN-MONOMER,5.185122535607011e-05,Clim0
2-OCTAPRENYL-METHOXY-BENZOQ-METH-MONOMER,4.118521571954518e-05,Clim0
2-OCTAPRENYLPHENOL-HYDROX-MONOMER,1.6045073624072808e-05,Clim0
3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-MONOMER,1.6045073624072808e-05,Clim0
3-ISOPROPYLMALDEHYDROG-MONOMER,3.8076641428254525e-05,Clim0
3-OXOACYL-ACP-REDUCT-MONOMER,1.6045073624072808e-05,Clim0
3-OXOACYL-ACP-SYNTHII-MONOMER,1.6045073624072808e-05,Clim0
4OHBENZOATE-OCTAPRENYLTRANSFER-MONOMER,0.0001510124576383,Clim0
6PFK-1-MONOMER,3.3035324590598856e-05,Clim0
6PFK-2-MONOMER,1.7974876317616963e-05,Clim0
6PGLUCONDEHYDROG-MONOMER,3.2903597292316775e-05,Clim0
6PGLUCONOLACT-MONOMER,1.740351462689428e-05,Clim0
7-ALPHA-HYDROXYSTEROID-DEH-MONOMER,3.495447204034015e-05,Clim0
7KAPSYN-MONOMER,3.729003553690259e-05,Clim0
AAS-MONOMER,1.6045073624072808e-05,Clim0
ABC-MONOMER,3.342723671681835e-05,Clim0
ACETATEKINA-MONOMER,1.6045073624072808e-05,Clim0
ACETOLACTSYNIII-HCHAIN-MONOMER,3.245982862976236e-05,Clim0
ACETOLACTSYNIII-ICHAIN-MONOMER,1.7390415488984527e-05,Clim0
ACETYLGLUTKIN-MONOMER,3.709843612502384e-05,Clim0
ACETYLORNDEACET-MONOMER,3.5242382578805433e-05,Clim0
ACETYLORNTRANSAM-MONOMER,2.0973952449768378e-05,Clim0
ACNEULY-MONOMER,5.060207187618231e-05,Clim0
ACONITASE-MONOMER,3.522089332113543e-05,Clim0
ACONITATEDEHYDRB-MONOMER,4.086470820421797e-05,Clim0
ACRB-MONOMER,1.6045073624072808e-05,Clim0
ACRD-MONOMER,1.6067389442743286e-05,Clim0
ACS-MONOMER,3.925400275002522e-05,Clim0
ACSERLYA-MONOMER,1.6310112959667405e-05,Clim0
ACSERLYB-MONOMER,1.880282065321032e-05,Clim0
ACYLCOADEHYDROG-MONOMER,0.0001343308489457,Clim0
ACYLCOASYN-MONOMER,4.839737331098627e-05,Clim0
ADCLY-MONOMER,3.449523144022819e-05,Clim0
ADENODEAMIN-MONOMER,1.81842484012788e-05,Clim0
ADENPRIBOSYLTRAN-MONOMER,4.208543901396146e-05,Clim0
ADENYL-KIN-MONOMER,1.7059145022640907e-05,Clim0
ADENYLOSUCCINATE-SYN-MONOMER,3.2838126803105233e-05,Clim0
ADENYLYLSULFKIN-MONOMER,4.015451167651172e-05,Clim0
ADHC-MONOMER,3.281946877651256e-05,Clim0
ADHE-MONOMER,3.726597744945943e-05,Clim0
AERGLYC3PDEHYDROG-MONOMER,5.477692275643633e-05,Clim0
AGAB-MONOMER,3.801399476581909e-05,Clim0
AGMATIN-MONOMER,1.6291712042493896e-05,Clim0
AICARTRANSIMPCYCLO-CPLX,3.277291633853169e-05,Clim0
AIRS-MONOMER,3.401782393796355e-05,Clim0
AKBLIG-MONOMER,1.6045073624072808e-05,Clim0
ALARACEBIOSYN-MONOMER,3.347566794938401e-05,Clim0
ALARACECAT-MONOMER,1.9438756535979173e-05,Clim0
ALAS-MONOMER,1.745610911050532e-05,Clim0
ALDDEHYDROGB-MONOMER,3.776545606189088e-05,Clim0
ALDHDEHYDROG-MONOMER,7.170982625283937e-05,Clim0
ALDOSE1EPIM-MONOMER,1.6045073624072808e-05,Clim0
ALKAPHOSPHA-MONOMER,1.6045073624072808e-05,Clim0
ALPHA-AMYL-CYTO-MONOMER,1.6045073624072808e-05,Clim0
ALPHA-AMYL-PERI-MONOMER,1.6045073624072808e-05,Clim0
ALPHACOMP-MONOMER,3.858534739255986e-05,Clim0
ALPHAGALACTOSID-MONOMER,4.533929752485252e-05,Clim0
ALTRO-OXIDOREDUCT-MONOMER,4.199364961589393e-05,Clim0
ALTRODEHYDRAT-MONOMER,4.941168951810274e-05,Clim0
AMP-NUCLEOSID-MONOMER,1.81842484012788e-05,Clim0
AMYLOMALT-MONOMER,1.6045073624072808e-05,Clim0
ANSA-MONOMER,1.6045073624072808e-05,Clim0
ANSB-MONOMER,1.6045073624072808e-05,Clim0
ANTHRANSYNCOMPI-MONOMER,3.374949754406199e-05,Clim0
APHA-MONOMER,1.640973438825628e-05,Clim0
APPA-MONOMER,1.6636597075651532e-05,Clim0
ARABISOM-MONOMER,3.335966794493913e-05,Clim0
ARAF-MONOMER,1.6045073624072808e-05,Clim0
ARAG-MONOMER,4.909669787221598e-05,Clim0
ARAH-MONOMER,4.7638981481783176e-05,Clim0
ARCA-MONOMER,3.330196889401102e-05,Clim0
ARCB-MONOMER,3.272649577714567e-05,Clim0
ARGDECARBOXBIO-MONOMER,3.548050678541899e-05,Clim0
ARGDECARBOXDEG-MONOMER,3.743503891552956e-05,Clim0
ARGS-MONOMER,3.2707964352583306e-05,Clim0
ARGSUCCINLYA-MONOMER,3.44643586197268e-05,Clim0
ARGSUCCINSYN-MONOMER,3.6535272009273946e-05,Clim0
ARGSUCCTRAN-MONOMER,4.225476594488816e-05,Clim0
ARGT-MONOMER,1.6627019299557312e-05,Clim0
AROA-MONOMER,3.2332642063622784e-05,Clim0
AROB-MONOMER,3.730207623291063e-05,Clim0
AROC-MONOMER,1.6045073624072808e-05,Clim0
AROD-MONOMER,3.460890655881492e-05,Clim0
AROE-MONOMER,3.5469613169580664e-05,Clim0
AROF-MONOMER,8.589184393555704e-05,Clim0
AROG-MONOMER,3.3149076066950994e-05,Clim0
AROH-MONOMER,1.8708425926044408e-05,Clim0
AROK-MONOMER,4.82760259478998e-05,Clim0
AROL-MONOMER,3.6651183405242455e-05,Clim0
ARTI-MONOMER,3.261562114436031e-05,Clim0
ARTJ-MONOMER,2.0662588104690435e-05,Clim0
ARTQ-MONOMER,1.619351417063698e-05,Clim0
ASL-MONOMER,3.469205107907634e-05,Clim0
ASNS-MONOMER,1.6670206362673045e-05,Clim0
ASNSYNA-MONOMER,7.60029803245554e-05,Clim0
ASNSYNB-MONOMER,3.871465485701214e-05,Clim0
ASP-SEMIALDEHYDE-DEHYDROGENASE-MONOMER,3.4723333361383893e-05,Clim0
ASPAMINOTRANS-MONOMER,3.466082511050831e-05,Clim0
ASPARTASE-MONOMER,4.495117902463977e-05,Clim0
ASPCARBCAT-MONOMER,3.299758071788752e-05,Clim0
ASPCARBREG-MONOMER,3.707462454856361e-05,Clim0
ASPKINIHOMOSERDEHYDROGI-MONOMER,1.6045073624072808e-05,Clim0
ASPKINIIHOMOSERDEHYDROGII-MONOMER,3.937441380140567e-05,Clim0
ASPKINIII-MONOMER,4.1199903742269696e-05,Clim0
ASPS-MONOMER,1.6045073624072808e-05,Clim0
ATOC-MONOMER,3.460890655881492e-05,Clim0
ATPA-MONOMER,1.654368181201836e-05,Clim0
ATPB-MONOMER,1.6045073624072808e-05,Clim0
ATPC-MONOMER,1.716560625458012e-05,Clim0
ATPD-MONOMER,1.6045073624072808e-05,Clim0
ATPE-MONOMER,3.247807986880074e-05,Clim0
ATPF-MONOMER,1.6045073624072808e-05,Clim0
ATPG-MONOMER,1.6045073624072808e-05,Clim0
ATPH-MONOMER,1.6045073624072808e-05,Clim0
ATPPHOSRIBOSTRANS-MONOMER,3.896274202135724e-05,Clim0
B0260-MONOMER,4.66388898237078e-05,Clim0
B0427-MONOMER,3.535022340676995e-05,Clim0
B0899-MONOMER,3.326361361742707e-05,Clim0
B2076-MONOMER,1.6045073624072808e-05,Clim0
BADH-MONOMER,3.693239453111388e-05,Clim0
BAER-MONOMER,3.477559605458285e-05,Clim0
BAES-MONOMER,1.709195592444507e-05,Clim0
BARA-MONOMER,3.217057368235149e-05,Clim0
BASR-MONOMER,3.6123993149882496e-05,Clim0
BASS-MONOMER,3.213477888548657e-05,Clim0
BCCP-MONOMER,3.491221822101064e-05,Clim0
BETA-GLUCURONID-MONOMER,3.5242382578805433e-05,Clim0
BETACOMP-MONOMER,4.624680948491762e-05,Clim0
BETAGALACTOSID-MONOMER,3.5666727413808035e-05,Clim0
BIOTIN-CARBOXYL-MONOMER,1.707174968129514e-05,Clim0
BIOTIN-SYN-MONOMER,0.0002396774483263,Clim0
BIOTINLIG-MONOMER,4.060616171997336e-05,Clim0
BRANCHED-CHAINAMINOTRANSFER-MONOMER,3.417885505719651e-05,Clim0
BTUE-MONOMER,3.906815356554759e-05,Clim0
CARBOXYL-TRANSFERASE-ALPHA-MONOMER,1.6045073624072808e-05,Clim0
CARBOXYL-TRANSFERASE-BETA-MONOMER,1.7211640359553667e-05,Clim0
CARBPSYN-LARGE,3.350479411059287e-05,Clim0
