Filtered Monomer ID,Log10 Average Protein Count
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-MONOMER[i],2.1755405399892465
1-PFK-MONOMER[c],1.773496531791482
2-DEHYDROPANTOATE-REDUCT-MONOMER[c],2.3418708457869934
2-ISOPROPYLMALATESYN-MONOMER[c],3.376507464534654
2-OCTAPRENYL-METHOXY-BENZOQ-METH-MONOMER[c],2.5288261214515875
2-OCTAPRENYLPHENOL-HYDROX-MONOMER[i],1.740599537108236
3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-MONOMER[c],3.5339315101794884
3-ISOPROPYLMALDEHYDROG-MONOMER[c],3.513164413654401
3-OXOACYL-ACP-REDUCT-MONOMER[c],3.5478593694793736
3-OXOACYL-ACP-SYNTHII-MONOMER[c],3.1816720923364286
4OHBENZOATE-OCTAPRENYLTRANSFER-MONOMER[i],1.4265313694987285
6PFK-1-MONOMER[c],3.4523109167227983
6PFK-2-MONOMER[c],2.266352412304561
6PGLUCONDEHYDROG-MONOMER[c],3.455566289407182
6PGLUCONOLACT-MONOMER[c],3.055540082133403
7-ALPHA-HYDROXYSTEROID-DEH-MONOMER[c],2.7048741047676974
7KAPSYN-MONOMER[c],2.076789597347605
AAS-MONOMER[i],1.656463168758145
ABC-MONOMER[m],2.6419936584752355
ABGT-MONOMER[i],0.5573989686591697
ACETATEKINA-MONOMER[c],3.303368771780031
ACETOLACTSYNIII-HCHAIN-MONOMER[c],2.7156827434610524
ACETOLACTSYNIII-ICHAIN-MONOMER[c],2.4865174031531683
ACETYL-COA-ACETYLTRANSFER-MONOMER[c],2.4912938734263315
ACETYLGLUTKIN-MONOMER[c],2.503822418295427
ACETYLORNDEACET-MONOMER[c],2.7526543410856896
ACETYLORNTRANSAM-MONOMER[c],2.583623463743819
ACNEULY-MONOMER[c],2.0842294568490125
ACONITASE-MONOMER[c],2.523727203974333
ACONITATEDEHYDRB-MONOMER[c],3.501850083271929
ACPSUB-MONOMER[c],0.8105820030019502
ACRB-MONOMER[m],2.4082076844211127
ACRD-MONOMER[i],1.1178833661709076
ACS-MONOMER[c],2.4911366191499136
ACSERLYA-MONOMER[c],4.242766313356336
ACSERLYB-MONOMER[c],2.920875202643188
ACYLCOADEHYDROG-MONOMER[c],1.28935054543313
ACYLCOASYN-MONOMER[c],1.822752694470854
ADCLY-MONOMER[c],3.2359947567845757
ADENODEAMIN-MONOMER[c],2.3941134898247403
ADENPRIBOSYLTRAN-MONOMER[c],3.392882782116526
ADENYL-KIN-MONOMER[c],3.863506060984212
ADENYLATECYC-MONOMER[c],1.9043561641660138
ADENYLOSUCCINATE-SYN-MONOMER[c],3.7422869299114345
ADENYLYLSULFKIN-MONOMER[c],2.953985700805907
ADHC-MONOMER[c],2.6161504484889373
ADHE-MONOMER[c],3.5953631782765556
ADHP-MONOMER[c],2.2483418931884094
AERGLYC3PDEHYDROG-MONOMER[i],3.9467070276320735
AGAB-MONOMER[c],1.3302453965690877
AGAC-MONOMER[i],1.3405519547084412
AGAD-MONOMER[i],1.342437568963912
AGAX-MONOMER[m],1.8360493601415557
AGMATIN-MONOMER[c],3.147557151571032
AICARTRANSIMPCYCLO-CPLX[c],3.141509930878408
AIRS-MONOMER[c],3.2966701369913296
AKBLIG-MONOMER[c],1.8754869581905638
ALARACEBIOSYN-MONOMER[c],1.908142515369202
ALARACECAT-MONOMER[c],2.0346047898505395
ALAS-MONOMER[c],3.190386539236513
ALDDEHYDROGB-MONOMER[c],0.8503594940274579
ALDHDEHYDROG-MONOMER[c],2.06984632832633
ALDOSE1EPIM-MONOMER[c],2.926665738021884
ALKAPHOSPHA-MONOMER[p],1.620863345482886
ALPHA-AMYL-CYTO-MONOMER[c],2.4922646596844644
ALPHA-AMYL-PERI-MONOMER[p],1.7378515285611795
ALPHACOMP-MONOMER[c],3.0253727943676623
ALPHAGALACTOSID-MONOMER[c],1.736225245662153
ALTRO-OXIDOREDUCT-MONOMER[c],0.5409223621934
ALTRODEHYDRAT-MONOMER[c],1.9422605838335036
AMINEOXID-MONOMER[p],1.1315801854835201
AMP-NUCLEOSID-MONOMER[c],3.159476249632807
AMPG-MONOMER[i],1.4614986040602242
AMTB-MONOMER[m],1.5819129018191318
AMYLOMALT-MONOMER[c],1.8961611292655458
ANGLYC3PDEHYDROGSUBUNITA-MONOMER[c],2.197892658903507
ANGLYC3PDEHYDROGSUBUNITB-MONOMER[c],2.1790882761030024
ANGLYC3PDEHYDROGSUBUNITC-MONOMER[i],2.17095275996878
ANSA-MONOMER[c],2.707401769186827
ANSB-MONOMER[p],1.2376073037949828
ANSP-MONOMER[i],1.4200697783097829
ANTHRANSYNCOMPI-MONOMER[c],3.202609176141621
ANTHRANSYNCOMPII-MONOMER[c],2.87002233533918
APHA-MONOMER[p],1.9274063927201717
APPA-MONOMER[p],1.6100930404618337
APPB-MONOMER[i],0.812461933635412
APPC-MONOMER[i],0.8161236326669578
AQPZ-MONOMER[i],1.1591829259729867
ARABISOM-MONOMER[c],1.2248729646162828
ARAE-MONOMER[i],0.7974144131256625
ARAF-MONOMER[p],1.7419992084641385
ARAG-MONOMER[c],1.716759010188055
ARAH-MONOMER[m],1.6733259377640717
ARAJ-MONOMER[i],1.1691363303848599
ARCA-MONOMER[c],3.4786476642688404
ARCB-MONOMER[i],0.37732105693447016
ARCD-MONOMER[m],1.5138502431838297
ARGDECARBOXBIO-MONOMER[p],2.8883448402089167
ARGDECARBOXDEG-MONOMER[c],0.820409070792063
ARGS-MONOMER[c],2.8166819712459024
ARGSUCCINLYA-MONOMER[c],2.630180956255222
ARGSUCCINSYN-MONOMER[c],3.7258516299077833
ARGSUCCTRAN-MONOMER[c],1.3408138839861834
ARGT-MONOMER[p],3.055486287074528
AROA-MONOMER[c],3.1787803036423594
AROB-MONOMER[c],2.0204158611020473
AROC-MONOMER[c],2.552510931658339
AROD-MONOMER[c],2.947241728344079
AROE-MONOMER[c],2.3680559823026757
AROF-MONOMER[c],2.45024101775782
AROG-MONOMER[c],3.0969030609630726
AROH-MONOMER[c],2.788005326911846
AROK-MONOMER[c],3.0279772928725155
AROL-MONOMER[c],1.962924634919391
AROP-MONOMER[i],2.2139607834137225
ARSF-MONOMER[i],1.2594714734402652
ARTI-MONOMER[p],2.3940294342990787
ARTJ-MONOMER[p],3.5519454491870195
ARTM-MONOMER[i],2.0503134126439213
ARTP-MONOMER[i],2.4220591629555894
ARTQ-MONOMER[i],2.033933397533497
ARYLSULFAT-MONOMER[p],1.4256913998526362
ASCF-MONOMER[i],1.6814050610569886
ASL-MONOMER[c],3.2704189811949465
ASNS-MONOMER[c],3.624398369597836
ASNSYNA-MONOMER[c],3.460080700202041
ASNSYNB-MONOMER[c],2.8307407276442342
ASP-SEMIALDEHYDE-DEHYDROGENASE-MONOMER[c],4.10728769753598
ASPAMINOTRANS-MONOMER[c],3.9494963872823847
ASPARTASE-MONOMER[c],2.1192165330637027
ASPCARBCAT-MONOMER[c],4.020407324200639
ASPCARBREG-MONOMER[c],3.875338855105712
ASPDECARBOX-MONOMER[c],3.6206982105065078
ASPKINIHOMOSERDEHYDROGI-MONOMER[c],3.1855213763599224
ASPKINIIHOMOSERDEHYDROGII-MONOMER[c],2.372979829664689
ASPKINIII-MONOMER[c],3.1733822779163985
ASPS-MONOMER[c],3.084494665955433
ATOA-MONOMER[c],1.8597431410652647
ATOC-MONOMER[c],1.288483350462976
ATOD-MONOMER[c],1.8663746854189636
ATOS-MONOMER[i],1.3971946560225705
ATPA-MONOMER[m],3.5908362747506204
ATPB-MONOMER[i],3.374180541815042
ATPC-MONOMER[i],3.243416264889903
ATPD-MONOMER[m],3.637977131215081
ATPE-MONOMER[i],4.020832847308996
ATPF-MONOMER[i],3.3387084484501948
ATPG-MONOMER[m],3.2270404543539617
ATPH-MONOMER[m],3.063442743140733
ATPPHOSRIBOSTRANS-MONOMER[c],2.9707674019717834
B0070-MONOMER[m],1.080747286953124
B0260-MONOMER[i],1.8247305884128062
B0270-MONOMER[i],1.2927717369591887
B0427-MONOMER[i],1.2484911759909962
B0486-MONOMER[i],1.012857585011861
B0511-MONOMER[i],0.34313732321710216
B0612-MONOMER[m],1.0694653380313652
B0709-MONOMER[i],1.2856902295904458
B0752-MONOMER[i],2.0148257389996402
B0770-MONOMER[i],0.7390274507121208
B0899-MONOMER[c],2.563054488624114
B1006-MONOMER[i],0.8332519194032879
B1065-MONOMER[i],1.425514708500493
B1296-MONOMER[i],2.0546757312707267
B1433-MONOMER[i],0.9394701049758547
B1543-MONOMER[i],0.6722827251371428
B1596-MONOMER[i],1.9917803495045916
B1599-MONOMER[i],0.9379392641046195
B1600-MONOMER[i],0.9564099893019052
B1634-MONOMER[i],1.382433376486615
B1657-MONOMER[i],1.6531334450341357
B1690-MONOMER[i],0.2897170135625628
B1691-MONOMER[i],0.8365381010354099
