Filtered Monomer ID,Average Protein Count
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-MONOMER[i],154.84533651024074
1-PFK-MONOMER[c],103.5504557822519
2-DEHYDROPANTOATE-REDUCT-MONOMER[c],198.40853008571307
2-ISOPROPYLMALATESYN-MONOMER[c],2908.570537669194
2-OCTAPRENYL-METHOXY-BENZOQ-METH-MONOMER[c],358.20639777248874
2-OCTAPRENYLPHENOL-HYDROX-MONOMER[i],52.564048959985094
3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-MONOMER[c],3455.1874862633913
3-ISOPROPYLMALDEHYDROG-MONOMER[c],3818.722629387069
3-OXOACYL-ACP-REDUCT-MONOMER[c],4144.6712799108045
3-OXOACYL-ACP-SYNTHII-MONOMER[c],1554.4820978765863
4OHBENZOATE-OCTAPRENYLTRANSFER-MONOMER[i],34.5135863636241
6PFK-1-MONOMER[c],3075.191625440447
6PFK-2-MONOMER[c],286.9790319493097
6PGLUCONDEHYDROG-MONOMER[c],3523.2602154611027
6PGLUCONOLACT-MONOMER[c],1060.659929439042
7-ALPHA-HYDROXYSTEROID-DEH-MONOMER[c],621.8645037655534
7KAPSYN-MONOMER[c],139.93029352078563
AAS-MONOMER[i],65.48607874697159
ABC-MONOMER[m],515.4071999854451
ABGT-MONOMER[i],10.940849039588086
ACETATEKINA-MONOMER[c],2360.3667899365278
ACETOLACTSYNIII-HCHAIN-MONOMER[c],463.1334121075874
ACETOLACTSYNIII-ICHAIN-MONOMER[c],268.9360520791568
ACETYL-COA-ACETYLTRANSFER-MONOMER[c],262.77518997439694
ACETYLGLUTKIN-MONOMER[c],308.37725116628974
ACETYLORNDEACET-MONOMER[c],498.8597844234187
ACETYLORNTRANSAM-MONOMER[c],393.95130843356685
ACNEULY-MONOMER[c],209.1248340217542
ACONITASE-MONOMER[c],303.3956392405822
ACONITATEDEHYDRB-MONOMER[c],3351.662682176549
ACPSUB-MONOMER[c],7.741945249583401
ACRB-MONOMER[m],258.92510618511835
ACRD-MONOMER[i],16.134086248790485
ACS-MONOMER[c],399.5272480295081
ACSERLYA-MONOMER[c],19750.013195759657
ACSERLYB-MONOMER[c],887.8121972808555
ACYLCOADEHYDROG-MONOMER[c],20.143127436368555
ACYLCOASYN-MONOMER[c],74.99750122757551
ADCLY-MONOMER[c],1832.232024422124
ADENODEAMIN-MONOMER[c],278.0588867187495
ADENPRIBOSYLTRAN-MONOMER[c],2485.324933595949
ADENYL-KIN-MONOMER[c],7045.5959562404705
ADENYLATECYC-MONOMER[c],51.235810347127384
ADENYLOSUCCINATE-SYN-MONOMER[c],5640.936470523379
ADENYLYLSULFKIN-MONOMER[c],893.2512553995476
