Monomer ID,Log10 Average Protein Count
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-MONOMER[i],2.1926938110519263
1-PFK-MONOMER[c],2.0193259304419304
2-DEHYDROPANTOATE-REDUCT-MONOMER[c],2.299743732159785
2-ISOPROPYLMALATESYN-MONOMER[c],3.4638288904000802
2-OCTAPRENYL-METHOXY-BENZOQ-METH-MONOMER[c],2.5553440632194993
2-OCTAPRENYLPHENOL-HYDROX-MONOMER[i],1.7288733983346716
3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-MONOMER[c],3.538597293425227
3-ISOPROPYLMALDEHYDROG-MONOMER[c],3.5820318275975267
3-OXOACYL-ACP-REDUCT-MONOMER[c],3.6175948628855266
3-OXOACYL-ACP-SYNTHII-MONOMER[c],3.191865017155971
4OHBENZOATE-OCTAPRENYLTRANSFER-MONOMER[i],1.5503945320392918
6PFK-1-MONOMER[c],3.4880133855114646
6PFK-2-MONOMER[c],2.459360867480679
6PGLUCONDEHYDROG-MONOMER[c],3.5470679672674454
6PGLUCONOLACT-MONOMER[c],3.0259854259547856
7-ALPHA-HYDROXYSTEROID-DEH-MONOMER[c],2.7943935817041234
7KAPSYN-MONOMER[c],2.1490043564508263
AAS-MONOMER[i],1.8227307196445623
ABC-MONOMER[m],2.7129922887689566
ABGT-MONOMER[i],1.0770352078736307
ACETATEKINA-MONOMER[c],3.3731634510656887
ACETOLACTSYNIII-HCHAIN-MONOMER[c],2.666642833602487
ACETOLACTSYNIII-ICHAIN-MONOMER[c],2.431260891868188
ACETYL-COA-ACETYLTRANSFER-MONOMER[c],2.4212339444934123
ACETYLGLUTKIN-MONOMER[c],2.490488376408684
ACETYLORNDEACET-MONOMER[c],2.69884819755364
ACETYLORNTRANSAM-MONOMER[c],2.596543556937637
ACNEULY-MONOMER[c],2.32247738339713
ACONITASE-MONOMER[c],2.4834384264582012
ACONITATEDEHYDRB-MONOMER[c],3.525389860425924
ACPSUB-MONOMER[c],0.9416080821950122
ACRB-MONOMER[m],2.414848230062989
ACRD-MONOMER[i],1.2338609487023031
ACRF-MONOMER[m],0.0
ACS-MONOMER[c],2.602632066653276
ACSERLYA-MONOMER[c],4.295589379154429
ACSERLYB-MONOMER[c],2.9488100058511533
ACYLCOADEHYDROG-MONOMER[c],1.3251692274321272
ACYLCOASYN-MONOMER[c],1.8807993130582144
ADCLY-MONOMER[c],3.263217435256327
ADENODEAMIN-MONOMER[c],2.4456958573184084
ADENPRIBOSYLTRAN-MONOMER[c],3.3955578852252324
ADENYL-KIN-MONOMER[c],3.8479793702618696
ADENYLATECYC-MONOMER[c],1.7179683364122829
ADENYLOSUCCINATE-SYN-MONOMER[c],3.751428191593103
ADENYLYLSULFKIN-MONOMER[c],2.9514595585081342
ADHC-MONOMER[c],2.627603851634383
ADHE-MONOMER[c],3.570666933198709
ADHP-MONOMER[c],2.5321216626304985
AERGLYC3PDEHYDROG-MONOMER[i],3.9801768479594384
AGAB-MONOMER[c],0.8130873267814961
AGAC-MONOMER[i],0.8334962695050022
AGAD-MONOMER[i],0.7286119081303364
AGAX-MONOMER[m],1.8481012850224587
AGMATIN-MONOMER[c],3.174160909581393
AICARTRANSIMPCYCLO-CPLX[c],3.167967515109456
AIRS-MONOMER[c],3.3180452459270997
AKBLIG-MONOMER[c],2.2307365635330676
ALARACEBIOSYN-MONOMER[c],1.9933267565489794
ALARACECAT-MONOMER[c],2.026019858715651
ALAS-MONOMER[c],3.18737735241101
ALDDEHYDROGB-MONOMER[c],1.4614612126220112
ALDHDEHYDROG-MONOMER[c],2.0836963516694245
ALDOSE1EPIM-MONOMER[c],2.9094664451474395
ALKAPHOSPHA-MONOMER[p],1.6569040584870198
ALPHA-AMYL-CYTO-MONOMER[c],2.679365283987626
ALPHA-AMYL-PERI-MONOMER[p],1.4311914400458043
ALPHACOMP-MONOMER[c],2.984284019553362
ALPHAGALACTOSID-MONOMER[c],1.528971014256307
ALTRO-OXIDOREDUCT-MONOMER[c],1.5599428257674686
ALTRODEHYDRAT-MONOMER[c],1.799270342475933
AMINEOXID-MONOMER[p],1.1021401793295074
AMP-NUCLEOSID-MONOMER[c],3.1988310591066846
AMPG-MONOMER[i],1.4177780912645837
AMTB-MONOMER[m],1.6212066987910665
AMYLOMALT-MONOMER[c],2.0816091223085555
ANGLYC3PDEHYDROGSUBUNITA-MONOMER[c],2.2419829767551227
ANGLYC3PDEHYDROGSUBUNITB-MONOMER[c],2.232592717366495
ANGLYC3PDEHYDROGSUBUNITC-MONOMER[i],2.196655169993756
ANSA-MONOMER[c],2.7092970618181336
ANSB-MONOMER[p],0.9967687025334041
ANSP-MONOMER[i],0.952330756687731
ANTHRANSYNCOMPI-MONOMER[c],3.2144610979402533
ANTHRANSYNCOMPII-MONOMER[c],2.8758717231747197
APHA-MONOMER[p],1.9401084406929199
APPA-MONOMER[p],1.5622792251727349
APPB-MONOMER[i],1.233826826115371
APPC-MONOMER[i],1.2760177939115411
AQPZ-MONOMER[i],0.7663063613636778
ARABISOM-MONOMER[c],1.1417160099901837
ARAE-MONOMER[i],0.7304831606889309
ARAF-MONOMER[p],1.8554188367760882
ARAG-MONOMER[c],1.800026620906986
ARAH-MONOMER[m],1.7848659075170097
ARAJ-MONOMER[i],1.265293402091603
ARCA-MONOMER[c],3.5107164525228547
ARCB-MONOMER[i],0.40174668691625215
ARCD-MONOMER[m],1.341282661903922
ARGDECARBOXBIO-MONOMER[p],2.93786367204373
ARGDECARBOXDEG-MONOMER[c],1.1698611107042316
ARGS-MONOMER[c],2.923367124419768
ARGSUCCINLYA-MONOMER[c],2.606979165736997
ARGSUCCINSYN-MONOMER[c],3.7090981153959675
ARGSUCCTRAN-MONOMER[c],1.2484930853447902
ARGT-MONOMER[p],3.094720531734921
AROA-MONOMER[c],3.2060591909672804
AROB-MONOMER[c],2.0418040804402193
AROC-MONOMER[c],2.65458124446615
AROD-MONOMER[c],2.8384565165334954
AROE-MONOMER[c],2.3172485335001074
AROF-MONOMER[c],2.4564452396025396
AROG-MONOMER[c],3.126250961013652
AROH-MONOMER[c],2.800574285795219
AROK-MONOMER[c],3.0543519662886345
AROL-MONOMER[c],1.8528313307895168
AROP-MONOMER[i],2.2359448994627624
ARSF-MONOMER[i],1.0428954919561666
ARTI-MONOMER[p],2.3987388302016814
ARTJ-MONOMER[p],3.513271717783564
ARTM-MONOMER[i],2.0219819203920486
ARTP-MONOMER[i],2.419282367937935
ARTQ-MONOMER[i],2.0135926046905435
ARYLSULFAT-MONOMER[p],1.1437510726059925
ASCF-MONOMER[i],1.528377587553229
ASL-MONOMER[c],3.306693538975356
ASNS-MONOMER[c],3.6701573675004338
ASNSYNA-MONOMER[c],3.4511204365681323
ASNSYNB-MONOMER[c],2.7717377694057403
ASP-SEMIALDEHYDE-DEHYDROGENASE-MONOMER[c],4.109515384860923
ASPAMINOTRANS-MONOMER[c],4.008310713881302
ASPARTASE-MONOMER[c],2.2249404723211224
ASPCARBCAT-MONOMER[c],4.04351890817205
ASPCARBREG-MONOMER[c],3.903647153835324
ASPDECARBOX-MONOMER[c],3.608030690166618
ASPKINIHOMOSERDEHYDROGI-MONOMER[c],3.349408153689546
ASPKINIIHOMOSERDEHYDROGII-MONOMER[c],2.3589733654878464
ASPKINIII-MONOMER[c],3.153351019290723
ASPS-MONOMER[c],3.141701624511044
ATOA-MONOMER[c],1.9926102053550847
ATOC-MONOMER[c],1.4842143890747515
ATOD-MONOMER[c],1.992372207416915
ATOS-MONOMER[i],1.6237694954983592
ATPA-MONOMER[m],3.5863587032152116
ATPB-MONOMER[i],3.3841357913524157
ATPC-MONOMER[i],3.2203663200902035
ATPD-MONOMER[m],3.622955184943772
ATPE-MONOMER[i],4.024334982181165
ATPF-MONOMER[i],3.3342087297832346
ATPG-MONOMER[m],3.2131885365057418
ATPH-MONOMER[m],3.060359251835145
ATPPHOSRIBOSTRANS-MONOMER[c],3.0991845344437836
B0070-MONOMER[m],1.2503515824142442
B0260-MONOMER[i],1.950843470864333
B0270-MONOMER[i],1.4003805429122342
B0427-MONOMER[i],1.1873618967352926
B0486-MONOMER[i],1.328091081018489
B0511-MONOMER[i],0.7370493237266754
B0612-MONOMER[m],1.0164466444031968
B0709-MONOMER[i],1.1966005979123904
B0752-MONOMER[i],2.094119812510618
B0770-MONOMER[i],0.416765807417647
B0899-MONOMER[c],2.6178818815546046
B1006-MONOMER[i],1.0630864737267465
B1065-MONOMER[i],1.503853859421851
B1296-MONOMER[i],1.9897924584117397
B1433-MONOMER[i],0.9776785266678323
B1543-MONOMER[i],1.274682983102809
B1596-MONOMER[i],2.1835794896375553
B1599-MONOMER[i],0.8480233082724224
B1600-MONOMER[i],0.8875301620004359
B1634-MONOMER[i],1.5106671912055867
B1657-MONOMER[i],1.8299813339442392
B1690-MONOMER[i],0.09691001300805642
B1691-MONOMER[i],0.1549019599857432
B1775-MONOMER[i],1.1962804408094014
B1791-MONOMER[i],2.0484634205711054
B1828-MONOMER[i],1.2042990781871863
B2075-MONOMER[i],0.67119980544984
B2076-MONOMER[i],0.5783034650030663
B2077-MONOMER[i],1.0972764224067004
B2098-MONOMER[i],1.690378278398721
B2170-MONOMER[m],0.3978335523350268
B2246-MONOMER[i],0.8684592383349902
B2322-MONOMER[i],1.3667738524909727
B2372-MONOMER[i],0.5803983064134901
B2740-MONOMER[i],1.0624759089128752
B2771-MONOMER[i],0.03324024399876321
B2775-MONOMER[i],1.561491961362708
B2789-MONOMER[i],1.4648383438151187
B2845-MONOMER[i],1.1371024869072495
B2975-MONOMER[i],2.00459011364353
B3659-MONOMER[i],1.0796762816400416
B4141-MONOMER[i],1.330472101554753
BADH-MONOMER[c],2.2340489957248213
BAER-MONOMER[c],1.9998197413865004
BAES-MONOMER[i],1.8869656072820644
BARA-MONOMER[i],1.7339348945777893
BASR-MONOMER[c],2.0358784011651996
BASS-MONOMER[i],1.7289296532419758
BCCP-MONOMER[c],3.696762655157478
BCR-MONOMER[i],1.7168016759686513
BETA-GLUCURONID-MONOMER[c],0.2852357284807493
BETACOMP-MONOMER[c],2.887009462236498
BETAGALACTOSID-MONOMER[c],1.2945849561193956
BETT-MONOMER[i],1.1649191972216753
BGLF-MONOMER[i],0.5737193984996224
BIOTIN-CARBOXYL-MONOMER[c],3.3417033298142247
BIOTIN-SYN-MONOMER[c],2.8464456197345944
BIOTINLIG-MONOMER[c],1.9514587513974364
BRANCHED-CHAINAMINOTRANSFER-MONOMER[c],3.1499939289242675
BRNQ-MONOMER[i],2.005178584980311
BTUC-MONOMER[m],1.421020494418067
BTUD-MONOMER[m],1.8891086302896203
BTUE-MONOMER[p],2.413913056549365
CADB-MONOMER[i],0.029963223377443202
CAIC-MONOMER[c],0.3537558971353126
CAIE-MONOMER[c],0.21559980033935483
CAIT-MONOMER[i],0.4392465635812172
CARBODEHYDRAT-MONOMER[c],1.409954238699386
CARBOXYL-TRANSFERASE-ALPHA-MONOMER[c],3.139551892035166
CARBOXYL-TRANSFERASE-BETA-MONOMER[c],3.349654577287285
CARBPSYN-LARGE[c],3.2750435754649985
CARBPSYN-SMALL[c],3.2222399483311
CARDIOLIPSYN-MONOMER[m],2.3129819741049
CARNDEHYDRA-MONOMER[c],0.3521825181113625
CARNRACE-MONOMER[c],0.41012862200230127
CCMA-MONOMER[i],1.426097723742118
CCMB-MONOMER[i],1.3534145970759437
CCMC-MONOMER[i],1.0734808424463396
CCME-MONOMER[i],1.0165725842968512
CDPDIGLYPYPHOSPHA-MONOMER[i],1.915692057908814
CDPDIGLYSYN-MONOMER[i],2.044699423959991
CELA-MONOMER[c],2.041706146488401
CELB-MONOMER[i],2.0127927767781855
CELC-MONOMER[c],2.0125598210588076
CFA-MONOMER[c],2.984650085282768
CHAA-MONOMER[i],2.1746940085011963
CHAINF-MONOMER[c],3.0164005575426582
CHAINI-MONOMER[c],2.5751000559228805
CHD-MONOMER[m],2.030660432409784
CHEB-MONOMER[c],3.3177358363660603
CHER-MONOMER[c],3.364848437353994
CHEW-MONOMER[c],3.765254748788337
CHEY-MONOMER[c],3.3137463255919544
CHEZ-MONOMER[c],3.356251011193243
CHORISMUTPREPHENDEHYDRAT-MONOMER[c],3.395359432384216
CHORISMUTPREPHENDEHYDROG-MONOMER[c],2.5354911406635128
CHORPYRLY-MONOMER[c],1.2894465595796452
CITC-MONOMER[c],0.9333947484998404
CITRYLY-MONOMER[c],0.9459759219564967
CITSYN-MONOMER[c],4.043055309793172
CITTRANS-MONOMER[c],0.9061001919331739
CMPKI-MONOMER[c],2.084706101905703
CMR-MONOMER[i],1.4547626860208163
CMTA-MONOMER[i],0.691393311564019
CMTB-MONOMER[c],0.7235699182215773
COBALADENOSYLTRANS-MONOMER[c],2.338972974512387
COBS-MONOMER[i],2.055452503668535
COBU-MONOMER[c],1.6911596473328663
CODB-MONOMER[i],2.7943408229119147
COPROGENOXI-MONOMER[c],0.9880632697845498
CORA-MONOMER[i],1.9571197826106883
CPDB-MONOMER[p],2.4253723777256417
CPM-KDOSYNTH-MONOMER[c],2.814106413675043
CPXA-MONOMER[i],2.153635526057975
CPXR-MONOMER[c],2.841054950844474
CREB-MONOMER[c],1.3906111167358712
CREC-MONOMER[i],1.3225335628893562
CROBETREDUCT-MONOMER[c],0.13314929417775054
CRR-MONOMER[c],4.165393873867653
CTPSYN-MONOMER[c],3.147622466380417
CYANLY-MONOMER[c],1.335256028537915
CYCA-MONOMER[i],2.507603220479658
CYCLASE-MONOMER[c],2.6703308952142155
CYDA-MONOMER[m],0.954056278952515
CYDB-MONOMER[m],0.8581016790714813
CYDC-MONOMER[i],2.1068360867713842
CYDD-MONOMER[i],2.2470119478458845
CYNX-MONOMER[i],0.8984562825304978
CYOA-MONOMER[i],3.310776429226205
CYOB-MONOMER[i],3.255984768358018
CYOC-MONOMER[i],3.2576209866081283
CYOD-MONOMER[i],3.260518145026333
CYSA-MONOMER[i],2.8516011972546034
CYSD-MONOMER[c],3.0721469380276094
CYSN-MONOMER[c],3.0009374413305516
CYSP-MONOMER[p],2.9411260810974205
CYSS-MONOMER[c],2.882856033667653
CYST-MONOMER[i],2.903347615691593
CYSTATHIONINE-BETA-LYASE-MONOMER[c],2.9691543189863685
CYSW-MONOMER[i],2.870431838081906
CYTDEAM-MONOMER[c],3.0852712466289556
CYTIDEAM-MONOMER[c],0.8152930583882102
CYTOCHROME-B561-MONOMER[i],2.979807927829869
CYTOCHROMEC-MONOMER[p],0.316269962220718
CYTOCHROMEC552-MONOMER[p],0.369844180906721
DALADALALIGA-MONOMER[c],2.4402247821091803
DALADALALIGB-MONOMER[c],2.317475162840813
DALADEHYDROGA-MONOMER[i],2.2687692875524728
DAPASYN-MONOMER[c],2.614978280085746
DCTA-MONOMER[m],1.819395277346775
DCTP-DEAM-MONOMER[c],2.3635572424645535
DCUA-MONOMER[i],2.7863499126145075
DCUB-MONOMER[i],0.7654466008385594
DCUC-MONOMER[i],0.3438525821478366
DCUR-MONOMER[c],1.9974149180588936
DCUS-MONOMER[c],1.3373460019031649
DCYSDESULF-MONOMER[c],2.889379526912908
DEHYDDEOXGALACTKIN-MONOMER[c],1.3736431660882924
DEHYDDEOXPHOSGALACT-ALDOL-MONOMER[c],1.3786659428698858
DEOA-MONOMER[c],0.9600252856270511
DEOD-MONOMER[c],2.5561259637970695
DEOXYGLUCONOKIN-MONOMER[c],2.6646621047947043
DEOXYRIBOSE-P-ALD-MONOMER[c],1.3064846204287044
DETHIOBIOTIN-SYN-MONOMER[c],2.7179367965907675
DGTPTRIPHYDRO-MONOMER[c],1.9121346373271562
DHHB-METHYLTRANSFER-MONOMER[c],3.161526866610329
DHPDIOXYGEN-MONOMER[i],1.2683033432741353
DIACYLGLYKIN-MONOMER[i],2.6181071613608906
DIAMINOPIMDECARB-MONOMER[c],2.7504996399705894
DIAMINOPIMEPIM-MONOMER[c],2.2620738349084615
DIENOYLCOAREDUCT-MONOMER[c],1.1648815149655558
DIHYDRODIPICSYN-MONOMER[c],3.254166667206593
DIHYDROFOLATEREDUCT-MONOMER[c],2.656756055085457
DIHYDROOROT-MONOMER[c],3.548922922234265
DIHYDROOROTOX-MONOMER[c],2.97676391170897
DIHYDROPICRED-MONOMER[c],3.1453940845298973
DIHYDROPTERIREDUCT-MONOMER[c],3.404636809096578
DIHYDROXYACIDDEHYDRAT-MONOMER[c],2.637086788493804
DINF-MONOMER[i],1.8176285098576823
DIOHBUTANONEPSYN-MONOMER[c],2.8798170999916235
DISULFOXRED-MONOMER[p],3.241521284715056
DLACTDEHYDROGFAD-MONOMER[i],3.1047628852344986
DLACTDEHYDROGNAD-MONOMER[c],1.7496048395116646
DMBPPRIBOSYLTRANS-MONOMER[c],1.8476754985938206
DMK-MONOMER[i],1.9674430703745098
DMSA-MONOMER[i],0.43170134938772525
DMSB-MONOMER[i],0.30871682433027214
DMSC-MONOMER[i],0.5161611784223054
DPPA-MONOMER[p],3.4618529426463898
DPPB-MONOMER[i],2.951568289383259
DPPC-MONOMER[i],2.975586633145084
DPPD-MONOMER[i],3.053692382443513
DPPF-MONOMER[i],3.159586643272208
DSBBPROT-MONOMER[i],2.8728789621859883
DSBC-MONOMER[p],2.990109041558629
DSBD-MONOMER[m],2.139578231710696
DSBG-MONOMER[p],2.711105646939818
DSDX-MONOMER[i],1.4298998913280336
DSERDEAM-MONOMER[c],2.198925120882744
DTDPDEHYDRHAMEPIM-MONOMER[c],2.4564740950113184
DTDPDEHYRHAMREDUCT-MONOMER[c],2.6555477805560908
DTDPGLUCDEHYDRAT-MONOMER[c],2.837602203201747
DTDPGLUCDEHYDRAT2-MONOMER[c],2.0230216566712667
DTDPGLUCOSEPP-MONOMER[c],2.7332456465080943
DTDPGLUCOSEPP2-MONOMER[c],1.8557555004539918
DTMPKI-MONOMER[c],3.120047531858018
DUTP-PYROP-MONOMER[c],3.0041875951972896
DXPREDISOM-MONOMER[i],1.9431660051893285
DXS-MONOMER[c],2.6373373737433727
E1O-MONOMER[c],3.318494844506525
E1P-MONOMER[c],3.557064095513276
E2O-MONOMER[c],3.669134499932471
E2P-MONOMER[c],3.552344867140725
E3-MONOMER[c],3.9616884454146217
EG10003-MONOMER[i],2.40883613692464
EG10004-MONOMER[c],2.4190558901966743
EG10011-MONOMER[c],2.6521277571619937
EG10013-MONOMER[i],1.983959682934668
EG10015-MONOMER[i],2.720028703671628
EG10018-MONOMER[i],1.1845350610516268
EG10021-MONOMER[c],2.4281887538034637
EG10037-MONOMER[c],1.8442282436412338
EG10040-MONOMER[p],2.120865608667739
EG10041-MONOMER[c],2.2609917822659864
EG10042-MONOMER[i],1.8372835667279728
EG10043-MONOMER[c],2.45379141003911
EG10044-MONOMER[m],3.0927601162593477
EG10047-MONOMER[p],1.5182234937393584
EG10048-MONOMER[c],2.753818090947217
EG10083-MONOMER[c],1.9218321310887208
EG10085-MONOMER[c],1.4421810591118522
EG10087-MONOMER[c],1.7068431674292495
EG10090-MONOMER[c],1.1296244332376575
EG10106-MONOMER[i],1.5583607479109651
EG10108-MONOMER[c],4.066814985430762
EG10113-MONOMER[c],2.948670214844782
EG10114-MONOMER[c],0.5321050420470146
EG10116-MONOMER[c],0.6979234347620475
EG10119-MONOMER[c],2.0161843904696073
EG10122-MONOMER[c],2.059004925332486
EG10124-MONOMER[p],1.946988777067462
EG10125-MONOMER[c],3.0644676425631965
EG10126-MONOMER[m],2.58736332539312
EG10136-MONOMER[c],2.100426430673371
EG10143-MONOMER[c],1.9695584651047793
EG10144-MONOMER[c],2.0141024878056024
EG10145-MONOMER[i],1.3225776887187488
EG10153-MONOMER[c],2.3965534696616735
EG10154-MONOMER[c],1.7861140498892585
EG10155-MONOMER[o],3.817398997363819
EG10156-MONOMER[c],3.147010882113585
EG10158-MONOMER[c],2.99894034541499
EG10159-MONOMER[c],2.8559306071683555
EG10167-MONOMER[i],2.3335488258522266
EG10168-MONOMER[p],2.5415096869726943
EG10169-MONOMER[i],2.304713803159058
EG10201-MONOMER[p],2.9664227728628756
EG10202-MONOMER[p],2.0510711843631912
EG10203-MONOMER[p],2.5538449776416154
EG10204-MONOMER[c],1.671353143674304
EG10210-MONOMER[c],1.8201875702402532
EG10211-MONOMER[c],1.9915944955289193
EG10212-MONOMER[c],2.890759350294949
EG10215-MONOMER[c],2.961416703744733
EG10216-MONOMER[i],2.1765200157674474
EG10218-MONOMER[i],2.1558441617013635
EG10226-MONOMER[c],3.0877527012914157
EG10227-MONOMER[c],0.5625562181332919
EG10228-MONOMER[c],1.849993222216691
EG10229-MONOMER[i],1.9336266210096855
EG10230-MONOMER[c],3.8855016118775225
EG10236-MONOMER[c],3.0715567978642624
EG10237-MONOMER[c],2.1505350532234697
EG10238-MONOMER[c],2.6549908189925526
EG10239-MONOMER[c],1.487768779389291
EG10240-MONOMER[c],2.6504028864142577
EG10241-MONOMER[c],3.735779312038908
EG10242-MONOMER[c],2.407524600620899
EG10243-MONOMER[c],2.5082330486205664
EG10244-MONOMER[c],2.3892366887900858
EG10246-MONOMER[i],2.5812862156891385
EG10252-MONOMER[c],0.7948739250812138
EG10253-MONOMER[c],0.7387716900426023
EG10255-MONOMER[p],2.198675882363794
EG10266-MONOMER[m],0.044203662492053486
EG10270-MONOMER[c],2.7349154492820147
EG10271-MONOMER[i],3.415005260091239
EG10272-MONOMER[i],3.1662504280717414
EG10280-MONOMER[o],2.6549379816227487
EG10284-MONOMER[c],1.9665223972047323
EG10286-MONOMER[o],2.128804611663787
EG10292-MONOMER[i],3.0246750607225446
EG10293-MONOMER[o],3.4118126629828245
EG10297-MONOMER[i],3.0853726486641966
EG10299-MONOMER[c],3.2816054047148273
EG10300-MONOMER[c],2.73479344866993
EG10302-MONOMER[o],3.088801206772867
EG10306-MONOMER[o],2.998698199476852
EG10307-MONOMER[c],1.8477499866898957
EG10308-MONOMER[e],4.452919684072296
EG10309-MONOMER[c],1.8444240176178168
EG10310-MONOMER[p],2.497879373579704
EG10311-MONOMER[o],1.4108746697921817
EG10312-MONOMER[c],0.7753206445455127
EG10313-MONOMER[l],2.0200824728465303
EG10314-MONOMER[l],2.0720214138025805
EG10315-MONOMER[l],2.2425931254463047
EG10320-MONOMER[c],3.2489308790036446
EG10321-MONOMER[e],4.484484713862947
EG10322-MONOMER[j],2.8666474372125887
EG10329-MONOMER[c],1.009760646833606
EG10335-MONOMER[c],3.6931299849664945
EG10339-MONOMER[c],1.7533756114736845
EG10341-MONOMER[i],1.4929032410756422
EG10342-MONOMER[i],1.4619492240651804
EG10343-MONOMER[c],2.36632363189296
EG10344-MONOMER[i],1.653370990553433
EG10346-MONOMER[c],2.4267131133233217
EG10347-MONOMER[c],3.141701418497742
EG10355-MONOMER[c],2.7743077442703936
EG10360-MONOMER[c],4.12730629851022
EG10370-MONOMER[c],2.696755707204515
EG10373-MONOMER[p],1.8796865624517598
EG10374-MONOMER[p],1.7671303030642207
EG10375-MONOMER[c],2.3644940789194586
EG10376-MONOMER[c],2.5495169509692954
EG10381-MONOMER[c],1.880555115358944
EG10395-MONOMER[c],2.63994728991557
EG10397-MONOMER[i],2.385189795303909
EG10415-MONOMER[c],3.047047999320907
EG10416-MONOMER[c],3.921868910871397
EG10423-MONOMER[c],2.986031727345651
EG10424-MONOMER[c],2.2201774130922254
EG10426-MONOMER[c],2.1304411755266814
EG10434-MONOMER[i],2.0290148750582127
EG10435-MONOMER[m],3.060166073743793
EG10436-MONOMER[c],3.09871321184962
EG10437-MONOMER[c],2.483614276402779
EG10438-MONOMER[c],3.66604477185205
EG10439-MONOMER[c],3.551679440830621
EG10442-MONOMER[c],1.9666298476898794
EG10443-MONOMER[c],1.8136685485612987
EG10454-MONOMER[c],2.15731611508848
EG10455-MONOMER[c],4.024779900300976
EG10456-MONOMER[c],2.3156681637998493
EG10458-MONOMER[c],2.454828076895473
EG10459-MONOMER[c],2.18433295609428
EG10460-MONOMER[c],2.1533689048080875
EG10461-MONOMER[c],3.1691241181999907
EG10462-MONOMER[m],2.9054760985913632
EG10463-MONOMER[i],3.070865663735539
EG10466-MONOMER[c],4.8165639054067295
EG10467-MONOMER[c],4.50771498421159
EG10471-MONOMER[c],0.9825982619187525
