Filtered Monomer ID,Log10 Average Protein Count
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-MONOMER[i],2.2413454850904313
1-PFK-MONOMER[c],1.8561662310457727
2-DEHYDROPANTOATE-REDUCT-MONOMER[c],2.311778083743422
2-ISOPROPYLMALATESYN-MONOMER[c],3.59778933554255
2-OCTAPRENYL-METHOXY-BENZOQ-METH-MONOMER[c],2.617327565072225
2-OCTAPRENYLPHENOL-HYDROX-MONOMER[i],1.7898617205559892
3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-MONOMER[c],3.547059881302226
3-ISOPROPYLMALDEHYDROG-MONOMER[c],3.7103364084337684
3-OXOACYL-ACP-REDUCT-MONOMER[c],3.6654746506056166
3-OXOACYL-ACP-SYNTHII-MONOMER[c],3.217192826738909
4OHBENZOATE-OCTAPRENYLTRANSFER-MONOMER[i],1.5628528008306404
6PFK-1-MONOMER[c],3.4474057866489463
6PFK-2-MONOMER[c],2.4269261295365245
6PGLUCONDEHYDROG-MONOMER[c],3.544471511535059
6PGLUCONOLACT-MONOMER[c],3.109707035634476
7-ALPHA-HYDROXYSTEROID-DEH-MONOMER[c],2.845241080403291
7KAPSYN-MONOMER[c],1.9438573715782197
AAS-MONOMER[i],1.2446197811907036
ABC-MONOMER[m],2.7146036323259457
ABGT-MONOMER[i],1.0025477549990647
ACETATEKINA-MONOMER[c],3.393342312993342
ACETOLACTSYNIII-HCHAIN-MONOMER[c],2.6044343675582047
ACETOLACTSYNIII-ICHAIN-MONOMER[c],2.3550456348267828
ACETYL-COA-ACETYLTRANSFER-MONOMER[c],2.4497946256471335
ACETYLGLUTKIN-MONOMER[c],2.4683181826316343
ACETYLORNDEACET-MONOMER[c],2.6784372350704295
ACETYLORNTRANSAM-MONOMER[c],2.64275628854359
ACNEULY-MONOMER[c],2.1322044136028278
ACONITASE-MONOMER[c],2.510319501892112
ACONITATEDEHYDRB-MONOMER[c],3.5707534042606968
ACPSUB-MONOMER[c],0.22493982659349826
ACRB-MONOMER[m],2.413510275098978
ACRD-MONOMER[i],1.0728566711271263
ACS-MONOMER[c],2.5893301396269273
ACSERLYA-MONOMER[c],4.309933948128464
ACSERLYB-MONOMER[c],2.8255118029826303
ACYLCOADEHYDROG-MONOMER[c],1.30273586846141
ACYLCOASYN-MONOMER[c],1.9268032062714635
ADCLY-MONOMER[c],3.2522211567303834
ADENODEAMIN-MONOMER[c],2.4399767504133454
ADENPRIBOSYLTRAN-MONOMER[c],3.4483686223192924
ADENYL-KIN-MONOMER[c],3.836830163304742
ADENYLATECYC-MONOMER[c],1.7354806271476568
ADENYLOSUCCINATE-SYN-MONOMER[c],3.7599454188983525
ADENYLYLSULFKIN-MONOMER[c],2.8956915089248696
ADHC-MONOMER[c],2.597834764740691
ADHE-MONOMER[c],3.58379178585226
ADHP-MONOMER[c],2.489940169876196
AERGLYC3PDEHYDROG-MONOMER[i],3.9836316421819387
AGAB-MONOMER[c],0.8377088570013508
AGAC-MONOMER[i],0.8342705574372058
AGAD-MONOMER[i],0.8032775783445397
AGAX-MONOMER[m],1.5005344532615907
AGMATIN-MONOMER[c],3.135658895249901
AICARTRANSIMPCYCLO-CPLX[c],3.0976438362992016
AIRS-MONOMER[c],3.3326389333225106
AKBLIG-MONOMER[c],2.2680218788615334
ALARACEBIOSYN-MONOMER[c],1.93299560969392
ALARACECAT-MONOMER[c],1.9381160550294658
ALAS-MONOMER[c],3.1684660344428055
ALDDEHYDROGB-MONOMER[c],1.1053972941212507
ALDHDEHYDROG-MONOMER[c],2.1698863743596535
ALDOSE1EPIM-MONOMER[c],2.942880034400163
ALKAPHOSPHA-MONOMER[p],1.285833880380794
ALPHA-AMYL-CYTO-MONOMER[c],2.6268413932180024
ALPHA-AMYL-PERI-MONOMER[p],1.4779330233453984
ALPHACOMP-MONOMER[c],3.049059398440654
ALPHAGALACTOSID-MONOMER[c],1.7479118218594139
ALTRO-OXIDOREDUCT-MONOMER[c],1.4922403490542453
ALTRODEHYDRAT-MONOMER[c],1.8484716766596314
AMINEOXID-MONOMER[p],1.1482023299706174
AMP-NUCLEOSID-MONOMER[c],3.2066777783606657
AMPG-MONOMER[i],1.391033109694574
AMTB-MONOMER[m],1.4371999395620634
AMYLOMALT-MONOMER[c],1.983110177931107
ANGLYC3PDEHYDROGSUBUNITA-MONOMER[c],2.1891576920483784
ANGLYC3PDEHYDROGSUBUNITB-MONOMER[c],2.1572660615989236
ANGLYC3PDEHYDROGSUBUNITC-MONOMER[i],2.1377157655588745
ANSA-MONOMER[c],2.7510392294452743
ANSB-MONOMER[p],1.2755137657757618
ANSP-MONOMER[i],1.4267268844033054
ANTHRANSYNCOMPI-MONOMER[c],3.2698740626105716
ANTHRANSYNCOMPII-MONOMER[c],2.930997808846697
APHA-MONOMER[p],1.8095444659881594
APPA-MONOMER[p],1.4687494356399156
APPB-MONOMER[i],0.9730626332093893
APPC-MONOMER[i],0.9956533393129677
AQPZ-MONOMER[i],1.7783699297069664
ARABISOM-MONOMER[c],0.5822257463429904
ARAE-MONOMER[i],0.6449271030413775
ARAF-MONOMER[p],1.901924194077011
ARAG-MONOMER[c],1.9025766478864388
ARAH-MONOMER[m],1.8883203350512945
ARAJ-MONOMER[i],1.228022991022275
ARCA-MONOMER[c],3.504399027097017
ARCB-MONOMER[i],0.4436234116441633
ARCD-MONOMER[m],1.5783016899747788
ARGDECARBOXBIO-MONOMER[p],2.9079482356797053
ARGDECARBOXDEG-MONOMER[c],0.14780676439980092
ARGS-MONOMER[c],2.8766977241588805
ARGSUCCINLYA-MONOMER[c],2.688491860579536
ARGSUCCINSYN-MONOMER[c],3.7166695041968794
ARGSUCCTRAN-MONOMER[c],0.9054406353895935
ARGT-MONOMER[p],3.1351644717142486
AROA-MONOMER[c],3.2331620113505655
AROB-MONOMER[c],2.005574236278336
AROC-MONOMER[c],2.634100640454386
AROD-MONOMER[c],2.9197339599610124
AROE-MONOMER[c],2.321387572060374
AROF-MONOMER[c],2.4961364120469307
AROG-MONOMER[c],3.091568092737031
AROH-MONOMER[c],2.9425095419088274
AROK-MONOMER[c],3.0326879123454433
AROL-MONOMER[c],1.8571597984215076
AROP-MONOMER[i],2.0731668762942164
ARSF-MONOMER[i],0.7311656272835081
ARTI-MONOMER[p],2.3711636504169302
ARTJ-MONOMER[p],3.538861372781076
ARTM-MONOMER[i],1.9846875459593836
ARTP-MONOMER[i],2.398285183695343
ARTQ-MONOMER[i],1.9842650406321647
ARYLSULFAT-MONOMER[p],1.0851781866806025
ASCF-MONOMER[i],1.8047209644249316
ASL-MONOMER[c],3.2915829403274675
ASNS-MONOMER[c],3.6687458140753133
ASNSYNA-MONOMER[c],3.430138755039406
ASNSYNB-MONOMER[c],2.664935812035328
ASP-SEMIALDEHYDE-DEHYDROGENASE-MONOMER[c],4.144491465554343
ASPAMINOTRANS-MONOMER[c],4.002738484167164
ASPARTASE-MONOMER[c],2.297366039865931
ASPCARBCAT-MONOMER[c],4.044931184601282
ASPCARBREG-MONOMER[c],3.901817770760622
ASPDECARBOX-MONOMER[c],3.5408944131594233
ASPKINIHOMOSERDEHYDROGI-MONOMER[c],3.3563726985493187
ASPKINIIHOMOSERDEHYDROGII-MONOMER[c],2.3051526089907624
ASPKINIII-MONOMER[c],3.1364259205441756
ASPS-MONOMER[c],3.137489479245298
ATOA-MONOMER[c],2.029460725838561
ATOC-MONOMER[c],1.2090843553809212
ATOD-MONOMER[c],2.048526518990597
ATOS-MONOMER[i],1.3377629352816987
ATPA-MONOMER[m],3.616874041193189
ATPB-MONOMER[i],3.409881190514973
ATPC-MONOMER[i],3.258224599487724
ATPD-MONOMER[m],3.6619992487826414
ATPE-MONOMER[i],4.057762735550779
ATPF-MONOMER[i],3.3678973648312374
ATPG-MONOMER[m],3.250487526539282
ATPH-MONOMER[m],3.090397985424157
ATPPHOSRIBOSTRANS-MONOMER[c],3.0549544743063355
B0070-MONOMER[m],1.161746169890761
B0260-MONOMER[i],1.9279173681056267
B0270-MONOMER[i],0.9726294280193207
B0427-MONOMER[i],1.245400798993556
B0486-MONOMER[i],1.1147832002574196
B0511-MONOMER[i],0.27427508947306223
B0612-MONOMER[m],1.2480061976145829
B0709-MONOMER[i],1.5301924736548778
B0752-MONOMER[i],1.7023666831286655
B0770-MONOMER[i],1.0402268187228878
B0899-MONOMER[c],2.652455850975758
B1006-MONOMER[i],1.348310019390534
B1065-MONOMER[i],1.8516563482370008
B1296-MONOMER[i],2.1051795356529346
B1433-MONOMER[i],1.0563287683225198
B1543-MONOMER[i],0.831291837455381
B1596-MONOMER[i],2.0841380191076553
B1599-MONOMER[i],0.6823388964996365
B1600-MONOMER[i],0.6913256469535766
B1634-MONOMER[i],1.2288820038851491
B1657-MONOMER[i],1.6821818895299323
B1690-MONOMER[i],0.5955909376179849
B1691-MONOMER[i],0.2266164262942308
B1775-MONOMER[i],1.4818629133595018
B1791-MONOMER[i],1.4351698722834774
B1828-MONOMER[i],1.2393153650120818
B2075-MONOMER[i],0.9604384867385413
B2076-MONOMER[i],0.783025843841326
B2077-MONOMER[i],1.2957796259374241
B2098-MONOMER[i],1.5202726810923728
B2170-MONOMER[m],1.7361334869715186
B2246-MONOMER[i],1.4097913217486373
B2322-MONOMER[i],1.481959695614889
B2372-MONOMER[i],1.0251275867987428
B2740-MONOMER[i],1.5282637663450427
B2771-MONOMER[i],1.0386721452982681
B2775-MONOMER[i],1.548042907941264
B2789-MONOMER[i],1.2260254698663484
B2845-MONOMER[i],1.1237382639044589
B2975-MONOMER[i],1.903341299697704
B3659-MONOMER[i],1.0384137780370328
B4141-MONOMER[i],1.3086849633763191
BADH-MONOMER[c],2.1659998693956535
BAER-MONOMER[c],1.8750606999919581
BAES-MONOMER[i],1.7636205609651714
BARA-MONOMER[i],1.717224540922274
BASR-MONOMER[c],2.2587948219734733
BASS-MONOMER[i],1.9739363516885045
BCCP-MONOMER[c],3.6880914168988452
BCR-MONOMER[i],1.7842241970837893
BETA-GLUCURONID-MONOMER[c],0.8986174440728675
BETACOMP-MONOMER[c],2.957784786054801
BETAGALACTOSID-MONOMER[c],0.015239966556736905
BETT-MONOMER[i],1.0568745073193013
BGLF-MONOMER[i],0.316269962220718
BIOTIN-CARBOXYL-MONOMER[c],3.331905999695011
BIOTIN-SYN-MONOMER[c],2.6812849326111223
BIOTINLIG-MONOMER[c],2.0284556202281743
BRANCHED-CHAINAMINOTRANSFER-MONOMER[c],3.0746664473706717
BRNQ-MONOMER[i],2.1394447423652223
BTUC-MONOMER[m],1.3786731436017883
BTUD-MONOMER[m],1.8182190082544543
BTUE-MONOMER[p],2.509213735979507
CADB-MONOMER[i],0.05799194697768673
CAIC-MONOMER[c],0.8426032347228849
CAIE-MONOMER[c],0.787468875989699
CAIT-MONOMER[i],0.9926147892925106
CARBODEHYDRAT-MONOMER[c],1.2564407347978022
CARBOXYL-TRANSFERASE-ALPHA-MONOMER[c],3.240743795769457
CARBOXYL-TRANSFERASE-BETA-MONOMER[c],3.400064299027895
CARBPSYN-LARGE[c],3.3112904401355427
CARBPSYN-SMALL[c],3.253862901048885
CARDIOLIPSYN-MONOMER[m],2.3495904480207903
CARNDEHYDRA-MONOMER[c],0.9011504160633356
CARNRACE-MONOMER[c],0.7986549239306947
CCMA-MONOMER[i],1.601477857055316
CCMB-MONOMER[i],1.5848327554467057
CCMC-MONOMER[i],1.2481022981859258
CCME-MONOMER[i],1.298214014188713
CDPDIGLYPYPHOSPHA-MONOMER[i],1.7901983004823094
CDPDIGLYSYN-MONOMER[i],1.9867251457469943
CELA-MONOMER[c],1.8842056838790786
CELB-MONOMER[i],1.885589782017432
CELC-MONOMER[c],1.8767218802212806
CFA-MONOMER[c],2.9748418316833423
CHAA-MONOMER[i],2.23902306792829
CHAINF-MONOMER[c],2.964620596762058
CHAINI-MONOMER[c],2.549805338957948
CHD-MONOMER[m],1.9755352781860773
CHEB-MONOMER[c],3.2932553243906773
CHER-MONOMER[c],3.3394479031450266
CHEW-MONOMER[c],3.7525228941275937
CHEY-MONOMER[c],3.2791219606105595
CHEZ-MONOMER[c],3.323601625657706
CHORISMUTPREPHENDEHYDRAT-MONOMER[c],3.422946600183361
CHORISMUTPREPHENDEHYDROG-MONOMER[c],2.554883310480058
CHORPYRLY-MONOMER[c],1.3370561025863046
CITC-MONOMER[c],0.19205327922675713
CITRYLY-MONOMER[c],0.1656258253775163
CITSYN-MONOMER[c],4.015693061380072
CITTRANS-MONOMER[c],0.1962946451439682
CMPKI-MONOMER[c],2.1637643517842813
CMR-MONOMER[i],1.3494358015193912
CMTA-MONOMER[i],1.2263176168286118
CMTB-MONOMER[c],1.2433185668656497
COBALADENOSYLTRANS-MONOMER[c],2.164496916893611
COBS-MONOMER[i],1.906212791555507
COBU-MONOMER[c],1.5054812777425173
CODB-MONOMER[i],2.673409989581909
COPROGENOXI-MONOMER[c],0.9938556505430345
CORA-MONOMER[i],1.8986093655669467
CPDB-MONOMER[p],2.432600610397805
CPM-KDOSYNTH-MONOMER[c],2.8519775122941877
CPXA-MONOMER[i],2.2501593565483553
CPXR-MONOMER[c],2.8982689287348102
CREB-MONOMER[c],1.6139727548256206
CREC-MONOMER[i],1.5768309914384793
CROBETREDUCT-MONOMER[c],0.4128552642639801
CRR-MONOMER[c],4.184713586671936
CTPSYN-MONOMER[c],3.1300710562597334
CYANLY-MONOMER[c],1.2999932536432566
CYCA-MONOMER[i],2.5201428435605218
CYCLASE-MONOMER[c],2.57016036662802
CYDA-MONOMER[m],1.196517241835657
CYDB-MONOMER[m],1.1753431397412324
CYDC-MONOMER[i],2.1286143554490105
CYDD-MONOMER[i],2.256495213610909
CYNX-MONOMER[i],0.2902472923079552
CYOA-MONOMER[i],3.2786480908447486
CYOB-MONOMER[i],3.2277404864080212
CYOC-MONOMER[i],3.226351455059186
CYOD-MONOMER[i],3.228126139274907
CYSA-MONOMER[i],2.7220789274577286
CYSD-MONOMER[c],3.0222206214801384
CYSN-MONOMER[c],2.9579897173887373
CYSP-MONOMER[p],2.8265758345496
CYSS-MONOMER[c],2.865848352070306
CYST-MONOMER[i],2.7769192605357045
CYSTATHIONINE-BETA-LYASE-MONOMER[c],2.912045082949502
CYSW-MONOMER[i],2.745403463678337
CYTDEAM-MONOMER[c],3.0877340103116833
CYTIDEAM-MONOMER[c],1.072940030216585
CYTOCHROME-B561-MONOMER[i],2.998119191826779
CYTOCHROMEC-MONOMER[p],1.385054636298063
CYTOCHROMEC552-MONOMER[p],1.391038850841841
DALADALALIGA-MONOMER[c],2.551781811479357
DALADALALIGB-MONOMER[c],2.2690200608137197
DALADEHYDROGA-MONOMER[i],2.1564469090075504
DAPASYN-MONOMER[c],2.6074816455841563
DCTA-MONOMER[m],1.9884090965862917
DCTP-DEAM-MONOMER[c],2.410576690485601
DCUA-MONOMER[i],2.9227230601038254
DCUB-MONOMER[i],1.0023818363048567
DCUC-MONOMER[i],1.1187191072880458
DCUR-MONOMER[c],2.1175078067829776
DCUS-MONOMER[c],1.2048834281887733
DCYSDESULF-MONOMER[c],2.806176277734569
DEHYDDEOXGALACTKIN-MONOMER[c],1.5724691722726063
DEHYDDEOXPHOSGALACT-ALDOL-MONOMER[c],1.5774950866656492
DEOA-MONOMER[c],1.1986717899803483
DEOD-MONOMER[c],2.7978120085730764
DEOXYGLUCONOKIN-MONOMER[c],2.707671203623176
DEOXYRIBOSE-P-ALD-MONOMER[c],1.556145356465267
DETHIOBIOTIN-SYN-MONOMER[c],2.5030103353375903
DGTPTRIPHYDRO-MONOMER[c],1.847969686551843
DHHB-METHYLTRANSFER-MONOMER[c],3.1217385462234994
DHPDIOXYGEN-MONOMER[i],1.2617095259957332
DIACYLGLYKIN-MONOMER[i],2.705637983825989
DIAMINOPIMDECARB-MONOMER[c],2.72787780062572
DIAMINOPIMEPIM-MONOMER[c],2.1704539488612635
DIENOYLCOAREDUCT-MONOMER[c],1.2647618745136608
DIHYDRODIPICSYN-MONOMER[c],3.286455994425105
DIHYDROFOLATEREDUCT-MONOMER[c],2.7129519215448825
DIHYDROOROT-MONOMER[c],3.582226220578652
DIHYDROOROTOX-MONOMER[c],2.9782975679414077
DIHYDROPICRED-MONOMER[c],3.1577588007161626
DIHYDROPTERIREDUCT-MONOMER[c],3.391328008477722
DIHYDROXYACIDDEHYDRAT-MONOMER[c],2.561760359096059
DINF-MONOMER[i],1.8462771813530907
DIOHBUTANONEPSYN-MONOMER[c],2.943156348059002
DISULFOXRED-MONOMER[p],3.2538449495465804
DLACTDEHYDROGFAD-MONOMER[i],3.066580216689877
DLACTDEHYDROGNAD-MONOMER[c],1.69279071473465
DMBPPRIBOSYLTRANS-MONOMER[c],1.6833153148619686
DMK-MONOMER[i],1.7363940327927037
DMSA-MONOMER[i],0.5031908036717004
DMSB-MONOMER[i],0.5167600691515937
DMSC-MONOMER[i],0.47147160200740834
DPPA-MONOMER[p],3.490190546710959
DPPB-MONOMER[i],2.968903154484429
DPPC-MONOMER[i],3.0020400782251535
DPPD-MONOMER[i],3.073293177918765
DPPF-MONOMER[i],3.174932271578874
DSBBPROT-MONOMER[i],2.8765753661517857
DSBC-MONOMER[p],2.931874101569684
DSBD-MONOMER[m],2.1692418966331366
DSBG-MONOMER[p],2.7404476878417174
DSDX-MONOMER[i],1.2909147649108454
DSERDEAM-MONOMER[c],2.15558285629097
DTDPDEHYDRHAMEPIM-MONOMER[c],2.389004961080164
DTDPDEHYRHAMREDUCT-MONOMER[c],2.57253016543029
DTDPGLUCDEHYDRAT-MONOMER[c],2.7742236179529316
DTDPGLUCDEHYDRAT2-MONOMER[c],1.7495847583891342
DTDPGLUCOSEPP-MONOMER[c],2.6538734546327607
DTDPGLUCOSEPP2-MONOMER[c],1.6596774511937715
DTMPKI-MONOMER[c],3.1023510121562903
DUTP-PYROP-MONOMER[c],3.060250739160176
DXPREDISOM-MONOMER[i],2.0095455226460253
DXS-MONOMER[c],2.570391849501736
E1O-MONOMER[c],3.3110934629164337
E1P-MONOMER[c],3.6627676492238703
E2O-MONOMER[c],3.6638877601832514
E2P-MONOMER[c],3.6655973272348765
E3-MONOMER[c],3.9386240960761163
EG10003-MONOMER[i],2.432850581061242
EG10004-MONOMER[c],2.4494269873164334
EG10011-MONOMER[c],2.686665971688838
EG10013-MONOMER[i],1.992558880340521
EG10015-MONOMER[i],2.710143353983635
EG10018-MONOMER[i],1.3614645897761113
EG10021-MONOMER[c],2.4249004257475977
EG10037-MONOMER[c],1.7227074524011456
EG10040-MONOMER[p],1.968727646964248
EG10041-MONOMER[c],2.312257681156937
EG10042-MONOMER[i],1.9160791838535767
EG10043-MONOMER[c],2.4742930620016086
EG10044-MONOMER[m],3.0514532618400367
EG10047-MONOMER[p],1.512851928830333
EG10048-MONOMER[c],2.7571639469156195
EG10083-MONOMER[c],1.9104024708013527
EG10085-MONOMER[c],1.6924256126698687
EG10087-MONOMER[c],1.6853250135423963
EG10090-MONOMER[c],0.3392009574247177
EG10106-MONOMER[i],1.4847023110364992
EG10108-MONOMER[c],4.0883911724158795
EG10113-MONOMER[c],2.986332346357648
EG10114-MONOMER[c],0.1656258253775163
EG10116-MONOMER[c],0.05799194697768673
EG10119-MONOMER[c],1.8454594063833087
EG10122-MONOMER[c],2.055821448619437
EG10124-MONOMER[p],1.7100912678755436
EG10125-MONOMER[c],3.060969307667835
EG10126-MONOMER[m],2.538203723078431
EG10136-MONOMER[c],2.1709246613736544
EG10143-MONOMER[c],1.8286438715947129
EG10144-MONOMER[c],1.8795593630157774
EG10145-MONOMER[i],0.9017029572724644
EG10153-MONOMER[c],2.4515060178523647
EG10154-MONOMER[c],1.8518858008773906
EG10155-MONOMER[o],3.827015642739693
EG10156-MONOMER[c],3.06989657047565
EG10158-MONOMER[c],2.9218208937783072
EG10159-MONOMER[c],2.774362894761153
EG10167-MONOMER[i],2.3431577868759392
EG10168-MONOMER[p],2.482757218013088
EG10169-MONOMER[i],2.276016931941593
EG10201-MONOMER[p],2.925720470562813
EG10202-MONOMER[p],1.9960047501374245
EG10203-MONOMER[p],2.507591591136462
EG10204-MONOMER[c],1.5296107246012405
EG10210-MONOMER[c],1.635487094629531
EG10211-MONOMER[c],1.8135414081117767
EG10212-MONOMER[c],2.964821792101465
EG10215-MONOMER[c],2.965897797996799
EG10216-MONOMER[i],2.1314697341703916
EG10218-MONOMER[i],2.133428458841676
EG10226-MONOMER[c],3.151054830105191
EG10227-MONOMER[c],0.5985879417494321
EG10228-MONOMER[c],1.1711454601553515
EG10229-MONOMER[i],1.8342306504301311
EG10230-MONOMER[c],3.881882384176832
EG10236-MONOMER[c],3.07842179869053
EG10237-MONOMER[c],2.171919462564489
EG10238-MONOMER[c],2.6409807097704334
EG10239-MONOMER[c],1.482187175918371
EG10240-MONOMER[c],2.6881738093486462
EG10241-MONOMER[c],3.751473991617276
EG10242-MONOMER[c],2.303805561579135
EG10243-MONOMER[c],2.5834650262333914
EG10244-MONOMER[c],2.4090172050934524
EG10246-MONOMER[i],2.5825965467536123
EG10252-MONOMER[c],0.80456520089543
EG10253-MONOMER[c],0.7192225558235584
EG10255-MONOMER[p],2.3830737431932008
EG10266-MONOMER[m],0.10089100284618255
EG10270-MONOMER[c],2.7355819207143703
