Filtered Monomer ID,Log10 Average Protein Count
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-MONOMER[i],2.26122421124721
1-PFK-MONOMER[c],1.8601310558006765
2-DEHYDROPANTOATE-REDUCT-MONOMER[c],2.183822710425159
2-ISOPROPYLMALATESYN-MONOMER[c],3.6205950874191233
2-OCTAPRENYL-METHOXY-BENZOQ-METH-MONOMER[c],2.611273140297145
2-OCTAPRENYLPHENOL-HYDROX-MONOMER[i],1.7874629030973488
3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-MONOMER[c],3.5329207382147763
3-ISOPROPYLMALDEHYDROG-MONOMER[c],3.6943129173708122
3-OXOACYL-ACP-REDUCT-MONOMER[c],3.6499398270886614
3-OXOACYL-ACP-SYNTHII-MONOMER[c],3.201269299613322
4OHBENZOATE-OCTAPRENYLTRANSFER-MONOMER[i],1.5424476990763805
6PFK-1-MONOMER[c],3.4436576276696975
6PFK-2-MONOMER[c],2.2436751300431044
6PGLUCONDEHYDROG-MONOMER[c],3.544356907886176
6PGLUCONOLACT-MONOMER[c],3.151666320274524
7-ALPHA-HYDROXYSTEROID-DEH-MONOMER[c],2.8520236958801553
7KAPSYN-MONOMER[c],2.095631315912722
AAS-MONOMER[i],1.8119662562330847
ABC-MONOMER[m],2.6921373587969692
ABGT-MONOMER[i],0.555503387879514
ACETATEKINA-MONOMER[c],3.2697621813628026
ACETOLACTSYNIII-HCHAIN-MONOMER[c],2.7361022062400293
ACETOLACTSYNIII-ICHAIN-MONOMER[c],2.489378303979644
ACETYL-COA-ACETYLTRANSFER-MONOMER[c],2.246991354989365
ACETYLGLUTKIN-MONOMER[c],2.4608709103362
ACETYLORNDEACET-MONOMER[c],2.788405177082289
ACETYLORNTRANSAM-MONOMER[c],2.6593990999450954
ACNEULY-MONOMER[c],2.358117047555659
ACONITASE-MONOMER[c],2.5819439038690484
ACONITATEDEHYDRB-MONOMER[c],3.584168325364928
ACPSUB-MONOMER[c],0.05363790454181937
ACRB-MONOMER[m],2.35517814953522
ACRD-MONOMER[i],0.822178915057976
ACS-MONOMER[c],2.4632779471286366
ACSERLYA-MONOMER[c],4.2996647272070545
ACSERLYB-MONOMER[c],2.9155522542516645
ACYLCOADEHYDROG-MONOMER[c],1.389015578509473
ACYLCOASYN-MONOMER[c],2.023294170954395
ADCLY-MONOMER[c],3.2766001327935803
ADENODEAMIN-MONOMER[c],2.302587231201339
ADENPRIBOSYLTRAN-MONOMER[c],3.40562340026632
ADENYL-KIN-MONOMER[c],3.8446887518598793
ADENYLATECYC-MONOMER[c],1.8742209463068829
ADENYLOSUCCINATE-SYN-MONOMER[c],3.73206403826313
ADENYLYLSULFKIN-MONOMER[c],2.9883754588020004
ADHC-MONOMER[c],2.7939366844216895
ADHE-MONOMER[c],3.64253733209651
ADHP-MONOMER[c],2.6481111704935065
AERGLYC3PDEHYDROG-MONOMER[i],3.97594357711475
AGAB-MONOMER[c],0.1962946451439682
AGAC-MONOMER[i],0.14390657568427997
AGAD-MONOMER[i],0.3187931506187299
AGAX-MONOMER[m],1.7612559255855698
AGMATIN-MONOMER[c],3.1748590846597287
AICARTRANSIMPCYCLO-CPLX[c],3.1917174444400325
AIRS-MONOMER[c],3.299351378561624
AKBLIG-MONOMER[c],1.9912432946884673
ALARACEBIOSYN-MONOMER[c],1.8810838214777934
ALARACECAT-MONOMER[c],1.9926826423816502
ALAS-MONOMER[c],3.2199473242647247
ALDDEHYDROGB-MONOMER[c],0.8692784893309031
ALDHDEHYDROG-MONOMER[c],2.2279418227076255
ALDOSE1EPIM-MONOMER[c],2.865199920292136
ALKAPHOSPHA-MONOMER[p],0.9405242940223476
ALPHA-AMYL-CYTO-MONOMER[c],2.483905870788217
ALPHA-AMYL-PERI-MONOMER[p],1.4501655812313128
ALPHACOMP-MONOMER[c],3.034062640589411
ALPHAGALACTOSID-MONOMER[c],1.7573254938864316
ALTRO-OXIDOREDUCT-MONOMER[c],1.2530583470388266
ALTRODEHYDRAT-MONOMER[c],1.8589019446846846
AMINEOXID-MONOMER[p],1.0535279148193737
AMP-NUCLEOSID-MONOMER[c],3.278147573026402
AMPG-MONOMER[i],1.378625670193491
AMTB-MONOMER[m],1.1548619985190778
AMYLOMALT-MONOMER[c],1.9434890577684782
ANGLYC3PDEHYDROGSUBUNITA-MONOMER[c],2.3865303336483428
ANGLYC3PDEHYDROGSUBUNITB-MONOMER[c],2.3782753813099604
ANGLYC3PDEHYDROGSUBUNITC-MONOMER[i],2.34491968928156
ANSA-MONOMER[c],2.752119293746103
ANSB-MONOMER[p],1.6703156077113257
ANSP-MONOMER[i],0.975296447948424
ANTHRANSYNCOMPI-MONOMER[c],3.1572274721601525
ANTHRANSYNCOMPII-MONOMER[c],2.8324095217621497
APHA-MONOMER[p],2.0063684798548986
APPA-MONOMER[p],1.8152397658117305
APPB-MONOMER[i],1.3568549312509335
APPC-MONOMER[i],1.408672800443895
AQPZ-MONOMER[i],1.8650897132254052
ARABISOM-MONOMER[c],0.9226382323050769
ARAE-MONOMER[i],0.9959175996806274
ARAF-MONOMER[p],2.217333092176647
ARAG-MONOMER[c],2.2217970931218414
ARAH-MONOMER[m],2.207969374804689
ARAJ-MONOMER[i],1.1590947806819403
ARCA-MONOMER[c],3.5170417568875223
ARCB-MONOMER[i],0.4205801207254117
ARCD-MONOMER[m],1.6103602231145266
ARGDECARBOXBIO-MONOMER[p],2.951089426493698
ARGDECARBOXDEG-MONOMER[c],1.1328409780431083
ARGS-MONOMER[c],2.9361388471608882
ARGSUCCINLYA-MONOMER[c],2.616910882443158
ARGSUCCINSYN-MONOMER[c],3.7283195006741496
ARGSUCCTRAN-MONOMER[c],1.3713150216392365
ARGT-MONOMER[p],3.0670058167138037
AROA-MONOMER[c],3.251421504548661
AROB-MONOMER[c],2.037619145400539
AROC-MONOMER[c],2.688703500932273
AROD-MONOMER[c],2.912643255016018
AROE-MONOMER[c],2.32385403976359
AROF-MONOMER[c],2.550279432124715
AROG-MONOMER[c],3.232394275229724
AROH-MONOMER[c],2.8133172181873807
AROK-MONOMER[c],3.065836306993654
AROL-MONOMER[c],1.9667441724831178
AROP-MONOMER[i],2.133818198132967
ARSF-MONOMER[i],1.07356326299212
ARTI-MONOMER[p],2.5140723792113655
ARTJ-MONOMER[p],3.564803413455143
ARTM-MONOMER[i],2.142886421325049
ARTP-MONOMER[i],2.543006619810458
ARTQ-MONOMER[i],2.13932204582529
ARYLSULFAT-MONOMER[p],0.8775261600841628
ASCF-MONOMER[i],1.6560958642818806
ASL-MONOMER[c],3.324717412552192
ASNS-MONOMER[c],3.701519476877851
ASNSYNA-MONOMER[c],3.4460527875712956
ASNSYNB-MONOMER[c],2.8599517250728548
ASP-SEMIALDEHYDE-DEHYDROGENASE-MONOMER[c],4.142613683049662
ASPAMINOTRANS-MONOMER[c],4.000663452589565
ASPARTASE-MONOMER[c],2.1528915891929525
ASPCARBCAT-MONOMER[c],4.032223768977891
ASPCARBREG-MONOMER[c],3.8941874883114735
ASPDECARBOX-MONOMER[c],3.6083489132179953
ASPKINIHOMOSERDEHYDROGI-MONOMER[c],3.416942929914934
ASPKINIIHOMOSERDEHYDROGII-MONOMER[c],2.40427365284291
ASPKINIII-MONOMER[c],3.196065652377056
ASPS-MONOMER[c],3.1914957976586087
ATOA-MONOMER[c],1.7953384393276177
ATOC-MONOMER[c],1.4650410980044157
ATOD-MONOMER[c],1.8109595257600855
ATOS-MONOMER[i],1.5317606595806383
ATPA-MONOMER[m],3.615530141194421
ATPB-MONOMER[i],3.4012793412952185
ATPC-MONOMER[i],3.254868762397268
ATPD-MONOMER[m],3.6581897724717582
ATPE-MONOMER[i],4.047798503859609
ATPF-MONOMER[i],3.3648642828075546
ATPG-MONOMER[m],3.249699889910846
ATPH-MONOMER[m],3.0868764817458256
ATPPHOSRIBOSTRANS-MONOMER[c],3.0369625683727564
B0070-MONOMER[m],1.179415791045173
B0260-MONOMER[i],1.828446768092901
B0270-MONOMER[i],0.8227441370643783
B0427-MONOMER[i],1.2159044542826156
B0486-MONOMER[i],0.906456759760007
B0511-MONOMER[i],0.12104369272477576
B0612-MONOMER[m],1.7517412701948476
B0709-MONOMER[i],1.6403833125079157
B0752-MONOMER[i],1.8856259197409495
B0770-MONOMER[i],0.12104369272477576
B0899-MONOMER[c],2.7113105353795284
B1006-MONOMER[i],0.34205699272898266
B1065-MONOMER[i],0.49930368779714035
B1296-MONOMER[i],2.223191007952542
B1433-MONOMER[i],1.7207816712770896
B1543-MONOMER[i],1.0017931515855274
B1596-MONOMER[i],2.1619992449273675
B1599-MONOMER[i],0.9799602171050124
B1600-MONOMER[i],0.9845165895204667
B1634-MONOMER[i],1.5658667166694298
B1657-MONOMER[i],1.919881190827624
B1690-MONOMER[i],0.9536398814157494
B1691-MONOMER[i],0.0659930906432628
B1775-MONOMER[i],1.5477950523183241
B1791-MONOMER[i],1.1482555203093125
B1828-MONOMER[i],1.4223268863363456
B2075-MONOMER[i],1.027186222025184
B2076-MONOMER[i],0.9537708775156511
B2077-MONOMER[i],1.382603462854829
B2098-MONOMER[i],1.3514186895519793
B2170-MONOMER[m],0.30607384347743605
B2246-MONOMER[i],1.4217421176579865
B2322-MONOMER[i],1.4738576487461514
B2372-MONOMER[i],1.0152103572096856
B2740-MONOMER[i],1.057148607892179
B2771-MONOMER[i],0.044203662492053486
B2775-MONOMER[i],1.2677346356770922
B2789-MONOMER[i],0.9207429558896316
B2845-MONOMER[i],1.4601065899130552
B2975-MONOMER[i],1.9401146975442298
B3659-MONOMER[i],0.5191377491317463
B4141-MONOMER[i],1.557432621608896
BADH-MONOMER[c],2.178278335551295
BAER-MONOMER[c],1.8986022676717798
BAES-MONOMER[i],1.771441129392651
BARA-MONOMER[i],1.933046678305973
BASR-MONOMER[c],1.938422324350228
BASS-MONOMER[i],1.7188022610813576
BCCP-MONOMER[c],3.7520746647853205
BCR-MONOMER[i],1.7644569861059332
BETA-GLUCURONID-MONOMER[c],0.7051981181071025
BETACOMP-MONOMER[c],2.951438889191624
BETAGALACTOSID-MONOMER[c],0.3946344314748532
BETT-MONOMER[i],1.3114212603560536
BGLF-MONOMER[i],0.34626652590975443
BIOTIN-CARBOXYL-MONOMER[c],3.3760926447973807
BIOTIN-SYN-MONOMER[c],2.803179264687526
BIOTINLIG-MONOMER[c],1.956275180582925
BRANCHED-CHAINAMINOTRANSFER-MONOMER[c],3.23534975406583
BRNQ-MONOMER[i],2.075295555043789
BTUC-MONOMER[m],1.5620039759064823
BTUD-MONOMER[m],2.0323055675435406
BTUE-MONOMER[p],2.56136641766113
CADB-MONOMER[i],0.7707527453782462
CAIC-MONOMER[c],0.8167078178083715
CAIE-MONOMER[c],0.9015391711935548
CAIT-MONOMER[i],0.936745649791152
CARBODEHYDRAT-MONOMER[c],1.6504572327890896
CARBOXYL-TRANSFERASE-ALPHA-MONOMER[c],3.1607539263127857
CARBOXYL-TRANSFERASE-BETA-MONOMER[c],3.3668724650834743
CARBPSYN-LARGE[c],3.348403137445854
CARBPSYN-SMALL[c],3.2800416507334833
CARDIOLIPSYN-MONOMER[m],2.3874158681700206
CARNDEHYDRA-MONOMER[c],0.9944853484922538
CARNRACE-MONOMER[c],0.928963223282368
CCMA-MONOMER[i],1.5564559878519404
CCMB-MONOMER[i],1.5328935296550155
CCMC-MONOMER[i],1.3352956119766004
CCME-MONOMER[i],1.270329391035567
CDPDIGLYPYPHOSPHA-MONOMER[i],1.9586339929664556
CDPDIGLYSYN-MONOMER[i],2.006922113586595
CELA-MONOMER[c],1.8344909342606577
CELB-MONOMER[i],1.835923306345924
CELC-MONOMER[c],1.7931858526583313
CFA-MONOMER[c],3.045243713082373
CHAA-MONOMER[i],2.276637680826222
CHAINF-MONOMER[c],3.0761027846336173
CHAINI-MONOMER[c],2.5507899392569082
CHD-MONOMER[m],1.991831930498445
CHEB-MONOMER[c],3.344937535720834
CHER-MONOMER[c],3.360262573297374
CHEW-MONOMER[c],3.837070241438313
CHEY-MONOMER[c],3.332313656022959
CHEZ-MONOMER[c],3.354884606843403
CHORISMUTPREPHENDEHYDRAT-MONOMER[c],3.429718562163551
CHORISMUTPREPHENDEHYDROG-MONOMER[c],2.60409043516967
CHORPYRLY-MONOMER[c],1.18610007726141
CITC-MONOMER[c],0.13262556527459096
CITRYLY-MONOMER[c],0.12135564006182009
CITSYN-MONOMER[c],4.061885398421922
CITTRANS-MONOMER[c],0.18631042423736727
CMPKI-MONOMER[c],2.1653221652462644
CMR-MONOMER[i],1.5606865493021196
CMTA-MONOMER[i],0.23408320603336802
CMTB-MONOMER[c],0.26884531229257996
COBALADENOSYLTRANS-MONOMER[c],2.218195283140942
COBS-MONOMER[i],2.015333593967654
COBU-MONOMER[c],1.6311436162242259
CODB-MONOMER[i],2.758146957384935
COPROGENOXI-MONOMER[c],1.2478696166369738
CORA-MONOMER[i],1.9202867128951968
CPDB-MONOMER[p],2.4461773377242797
CPM-KDOSYNTH-MONOMER[c],2.842934649898525
CPXA-MONOMER[i],2.1549056114114915
CPXR-MONOMER[c],2.821398879102266
CREB-MONOMER[c],1.619054810695968
CREC-MONOMER[i],1.580245433080693
CROBETREDUCT-MONOMER[c],0.5386394086883277
CRR-MONOMER[c],4.219343028702593
CTPSYN-MONOMER[c],3.165185152894822
CYANLY-MONOMER[c],1.6597823770342963
CYCA-MONOMER[i],2.42028222161745
CYCLASE-MONOMER[c],2.510704570747778
CYDA-MONOMER[m],1.1270574799055217
CYDB-MONOMER[m],0.9761641992833848
CYDC-MONOMER[i],2.1065618950638028
CYDD-MONOMER[i],2.258049330272547
CYNX-MONOMER[i],1.3759759077915712
CYOA-MONOMER[i],3.2967119428231006
CYOB-MONOMER[i],3.2477917524373665
CYOC-MONOMER[i],3.2489123144473755
CYOD-MONOMER[i],3.2501943852646513
CYSA-MONOMER[i],2.8367553408770623
CYSD-MONOMER[c],3.0978547351509174
CYSN-MONOMER[c],3.0215952468713847
CYSP-MONOMER[p],2.9026254150502115
CYSS-MONOMER[c],2.925204664906412
CYST-MONOMER[i],2.882327409678602
CYSTATHIONINE-BETA-LYASE-MONOMER[c],2.8987851594455676
CYSW-MONOMER[i],2.8553016539173286
CYTDEAM-MONOMER[c],3.031219642209535
CYTIDEAM-MONOMER[c],0.8727993286134226
CYTOCHROME-B561-MONOMER[i],3.0296393475715884
CYTOCHROMEC-MONOMER[p],0.6165775727517384
CYTOCHROMEC552-MONOMER[p],0.7432404041278531
DALADALALIGA-MONOMER[c],2.429772269965654
DALADALALIGB-MONOMER[c],2.35334065661717
DALADEHYDROGA-MONOMER[i],2.236228637110497
DAPASYN-MONOMER[c],2.6173582354257383
DCTA-MONOMER[m],1.9248013583815031
DCTP-DEAM-MONOMER[c],2.3317093131764857
DCUA-MONOMER[i],2.789974294015942
DCUB-MONOMER[i],0.21980102347007743
DCUC-MONOMER[i],1.2903736139116129
DCUR-MONOMER[c],1.970212787778706
DCUS-MONOMER[c],1.2903538085221298
DCYSDESULF-MONOMER[c],2.8319858303960186
DEHYDDEOXGALACTKIN-MONOMER[c],1.6814719684525998
DEHYDDEOXPHOSGALACT-ALDOL-MONOMER[c],1.6727410087960037
DEOA-MONOMER[c],0.6843833243205115
DEOD-MONOMER[c],2.46213950587748
DEOXYGLUCONOKIN-MONOMER[c],2.6791823668078396
DEOXYRIBOSE-P-ALD-MONOMER[c],1.184880588277404
DETHIOBIOTIN-SYN-MONOMER[c],2.646189319492211
DGTPTRIPHYDRO-MONOMER[c],1.8608771955772387
DHHB-METHYLTRANSFER-MONOMER[c],3.232366713582142
DHPDIOXYGEN-MONOMER[i],1.3412761359118994
DIACYLGLYKIN-MONOMER[i],2.6203076138465455
DIAMINOPIMDECARB-MONOMER[c],2.737645753298658
DIAMINOPIMEPIM-MONOMER[c],2.1859051046609155
DIENOYLCOAREDUCT-MONOMER[c],1.41010255857821
DIHYDRODIPICSYN-MONOMER[c],3.269186751065904
DIHYDROFOLATEREDUCT-MONOMER[c],2.6635448644305595
DIHYDROOROT-MONOMER[c],3.6669304297974445
DIHYDROOROTOX-MONOMER[c],2.8985306081236337
DIHYDROPICRED-MONOMER[c],3.204108545958825
DIHYDROPTERIREDUCT-MONOMER[c],3.467603347055708
DIHYDROXYACIDDEHYDRAT-MONOMER[c],2.7614128573500154
DINF-MONOMER[i],1.7600611679082492
DIOHBUTANONEPSYN-MONOMER[c],2.9394384523947226
DISULFOXRED-MONOMER[p],3.2254803536096466
DLACTDEHYDROGFAD-MONOMER[i],3.1404099977451514
DLACTDEHYDROGNAD-MONOMER[c],1.6684938199106265
DMBPPRIBOSYLTRANS-MONOMER[c],1.811602168996642
DMK-MONOMER[i],1.905228966577726
DMSA-MONOMER[i],1.2927968662927405
DMSB-MONOMER[i],1.2863591626868092
DMSC-MONOMER[i],1.2399628584589357
DPPA-MONOMER[p],3.4947762945974663
DPPB-MONOMER[i],2.997687742429072
DPPC-MONOMER[i],3.0231410188230394
DPPD-MONOMER[i],3.103090359372035
DPPF-MONOMER[i],3.2118718448796315
DSBBPROT-MONOMER[i],2.8969931185595397
DSBC-MONOMER[p],3.110470510255832
DSBD-MONOMER[m],2.1198437468242095
DSBG-MONOMER[p],2.6910842028127853
DSDX-MONOMER[i],1.4069699611460087
DSERDEAM-MONOMER[c],2.260827487903263
DTDPDEHYDRHAMEPIM-MONOMER[c],2.5314639122641402
DTDPDEHYRHAMREDUCT-MONOMER[c],2.702666528241605
DTDPGLUCDEHYDRAT-MONOMER[c],2.89398060278244
DTDPGLUCDEHYDRAT2-MONOMER[c],2.0018119424748226
DTDPGLUCOSEPP-MONOMER[c],2.7885149835034735
DTDPGLUCOSEPP2-MONOMER[c],1.8477411923802938
DTMPKI-MONOMER[c],3.136398507209938
DUTP-PYROP-MONOMER[c],2.987573623176734
DXPREDISOM-MONOMER[i],2.051902356832783
DXS-MONOMER[c],2.6429719009663795
E1O-MONOMER[c],3.313477030795538
E1P-MONOMER[c],3.5844943319434663
E2O-MONOMER[c],3.655936274478239
E2P-MONOMER[c],3.5777524425137894
E3-MONOMER[c],3.950026996608841
EG10003-MONOMER[i],2.4620604435860045
EG10004-MONOMER[c],2.426846841817967
EG10011-MONOMER[c],2.7246241054373983
EG10013-MONOMER[i],1.9530716842684976
EG10015-MONOMER[i],2.751390218943198
EG10018-MONOMER[i],1.3810843281359058
EG10021-MONOMER[c],2.4021594976656986
EG10037-MONOMER[c],1.727469032210207
EG10040-MONOMER[p],1.739198979409251
EG10041-MONOMER[c],2.248873467312026
EG10042-MONOMER[i],1.857813830548622
EG10043-MONOMER[c],2.341718240147777
EG10044-MONOMER[m],3.082289172988701
EG10047-MONOMER[p],1.5947244710561437
EG10048-MONOMER[c],2.819325335674388
EG10083-MONOMER[c],2.1210335313670177
EG10085-MONOMER[c],1.6308051054909898
EG10087-MONOMER[c],1.6722387394108096
EG10090-MONOMER[c],0.905651414547498
EG10106-MONOMER[i],1.4663744930516864
EG10108-MONOMER[c],4.067727024490178
EG10113-MONOMER[c],2.9768071307187602
EG10114-MONOMER[c],0.23938390304756618
EG10116-MONOMER[c],0.42475801011658626
EG10119-MONOMER[c],1.9752030055354248
EG10122-MONOMER[c],1.9405817267042427
EG10124-MONOMER[p],1.9654083965880524
EG10125-MONOMER[c],3.098651696386713
EG10126-MONOMER[m],2.62547246976934
EG10136-MONOMER[c],1.9837999746058423
EG10143-MONOMER[c],1.780116990668285
EG10144-MONOMER[c],1.806840717544958
EG10145-MONOMER[i],1.605000558712306
EG10153-MONOMER[c],2.4395783368829123
EG10154-MONOMER[c],1.8085979876804432
EG10155-MONOMER[o],3.878022359005838
EG10156-MONOMER[c],3.1112643343194746
EG10158-MONOMER[c],3.0626851008517253
EG10159-MONOMER[c],2.9442690977085553
EG10167-MONOMER[i],2.2990160917035154
EG10168-MONOMER[p],2.5106769012512817
EG10169-MONOMER[i],2.2434418020010076
EG10201-MONOMER[p],3.033511170672948
EG10202-MONOMER[p],2.0293188323354174
EG10203-MONOMER[p],2.5111887719147954
EG10204-MONOMER[c],1.6342118422796086
EG10210-MONOMER[c],1.2175754703793604
EG10211-MONOMER[c],2.1974927745640027
EG10212-MONOMER[c],3.028758795073901
EG10215-MONOMER[c],3.0021679892019746
EG10216-MONOMER[i],2.1317035747682294
EG10218-MONOMER[i],2.161485956286375
EG10226-MONOMER[c],3.2268587202876753
EG10227-MONOMER[c],1.4304456859820562
EG10228-MONOMER[c],1.750329878307645
EG10229-MONOMER[i],1.9675177988615897
EG10230-MONOMER[c],3.928740190077321
EG10236-MONOMER[c],3.0885363177436953
EG10237-MONOMER[c],2.144939555453439
EG10238-MONOMER[c],2.6583754365993704
EG10239-MONOMER[c],1.64876960029511
EG10240-MONOMER[c],2.7018321650834367
EG10241-MONOMER[c],3.7088478874774964
EG10242-MONOMER[c],2.4048320327779815
EG10243-MONOMER[c],2.585916891595422
EG10244-MONOMER[c],2.3044769102403
EG10246-MONOMER[i],2.6043101905545623
EG10252-MONOMER[c],0.47624429691364534
EG10253-MONOMER[c],0.5084124757327145
EG10255-MONOMER[p],2.3696685692322172
EG10270-MONOMER[c],2.770553228971233
EG10271-MONOMER[i],3.4956984511073763
EG10272-MONOMER[i],3.189815034062088
EG10280-MONOMER[o],2.556084749937429
EG10284-MONOMER[c],2.342774862107382
EG10286-MONOMER[o],2.0677731984261642
EG10292-MONOMER[i],3.0288911377154957
EG10293-MONOMER[o],3.436071891575202
EG10297-MONOMER[i],3.0849870673146054
EG10299-MONOMER[c],3.2552470139394445
EG10300-MONOMER[c],2.7670914058011067
EG10302-MONOMER[o],3.090942023223969
EG10306-MONOMER[o],3.026171624381113
EG10307-MONOMER[c],2.0849840278242335
EG10308-MONOMER[e],4.422142582661275
EG10309-MONOMER[c],1.7261879025837144
EG10310-MONOMER[p],2.317729965896568
EG10311-MONOMER[o],1.349338376764516
EG10312-MONOMER[c],1.1410504294417594
EG10313-MONOMER[l],2.2057881756772613
EG10314-MONOMER[l],2.1314489454753422
EG10315-MONOMER[l],2.1496113230658986
EG10320-MONOMER[c],3.320308282891033
EG10321-MONOMER[e],4.695115526198531
EG10322-MONOMER[j],3.061835208822859
EG10329-MONOMER[c],0.7410276048838074
EG10335-MONOMER[c],3.706169899294398
EG10339-MONOMER[c],1.9303903234688327
EG10341-MONOMER[i],1.4499795308504755
EG10342-MONOMER[i],1.8403098331574923
EG10343-MONOMER[c],2.389383874735852
EG10344-MONOMER[i],1.6508726483156377
EG10346-MONOMER[c],2.3308043285460855
EG10347-MONOMER[c],3.2348488352905447
EG10355-MONOMER[c],2.844866358857553
EG10360-MONOMER[c],4.131508128197453
EG10370-MONOMER[c],2.7655256829343573
EG10373-MONOMER[p],1.519882888220497
EG10374-MONOMER[p],2.0744123817736724
EG10375-MONOMER[c],2.366761212635333
EG10376-MONOMER[c],2.5537534037553535
EG10381-MONOMER[c],1.850510802426203
EG10395-MONOMER[c],2.698660686324868
EG10397-MONOMER[i],2.4684411246918896
EG10415-MONOMER[c],3.0814601856352213
EG10416-MONOMER[c],3.943160498331598
EG10423-MONOMER[c],3.090653741157706
EG10424-MONOMER[c],2.240367357755971
