Monomer ID,Log10 Simulated Counts,Log10 Schmidt Validation Counts
EG10460-MONOMER[c],2.170935013360471,1.3010299956639813
G7458-MONOMER[p],1.9288100153126335,0.0
G7031-MONOMER[c],1.5403842027036592,2.416640507338281
PD00197[c],3.496334163717125,2.785329835010767
G7211-MONOMER[c],2.755937106538723,1.792391689498254
EG11166-MONOMER[c],1.814325547014284,2.3201462861110542
GSK-MONOMER[c],2.488214213037921,1.6720978579357175
ACNEULY-MONOMER[c],2.451761589275564,1.9138138523837167
G7716-MONOMER[p],3.5326117814718234,3.754348335711019
2-DEHYDROPANTOATE-REDUCT-MONOMER[c],2.3434663870689336,1.414973347970818
AROK-MONOMER[c],3.0022303636927017,3.3248994970523134
FECB-MONOMER[p],2.426282142368795,1.0791812460476249
EG12365-MONOMER[c],2.2539895934979453,2.2405492482826
G7546-MONOMER[c],1.7727652610176419,1.3010299956639813
G6394-MONOMER[p],2.0290824897405875,2.530199698203082
G7715-MONOMER[c],2.3612624131890354,2.7193312869837265
EG11134-MONOMER[c],3.037915933951741,3.3040594662175993
MONOMER0-341[o],2.357006027061007,1.3424226808222062
ARTJ-MONOMER[p],3.5315566922153994,3.971275848738105
AROC-MONOMER[c],2.5210329517006924,2.902546779313991
EG10238-MONOMER[c],2.6572398963413395,0.6020599913279624
G6936-MONOMER[c],1.7904944550090809,1.9084850188786497
PSTB-MONOMER[i],2.6425647446746336,2.0569048513364727
SHIA-MONOMER[i],2.6836176752804906,1.5440680443502757
CYSS-MONOMER[c],2.8869203811638946,2.741151598851785
NUOH-MONOMER[m],2.037487250915059,2.1271047983648077
ACETYLORNDEACET-MONOMER[c],2.7575429641905296,3.3316297176299323
PD02198[c],2.1583288852220157,0.9542425094393249
EG10758-MONOMER[c],4.0230116882535665,3.36285930295868
EG11237-MONOMER[p],0.5640403480728465,0.6020599913279624
EG12443-MONOMER[c],2.9933850605820886,3.465680211598278
G6416-MONOMER[c],2.5355114722146364,1.380211241711606
G7401-MONOMER[c],3.306750167261861,1.5314789170422551
G7920-MONOMER[p],1.7846413605773246,0.9030899869919435
OHMETHYLBILANESYN-MONOMER[c],2.477110390888504,2.3521825181113627
TRANSKETOI-MONOMER[c],3.42151431457502,3.589279221235967
EG11736-MONOMER[c],2.7695119046086902,2.5010592622177517
EG11165-MONOMER[c],2.7848578185866932,2.5877109650189114
KDPE-MONOMER[c],1.3456338604845495,1.7781512503836436
YBBA-MONOMER[i],1.5696244919262765,1.4913616938342726
EG11383-MONOMER[c],2.700729826550887,3.1055101847699738
TREHALOSEPHOSPHASYN-MONOMER[c],2.359100479124115,2.143014800254095
G6788-MONOMER[p],1.229440196187303,1.1760912590556813
EG20253-MONOMER[c],2.127649939718705,0.3010299956639812
