Monomer ID,Simulated Counts,Schmidt Validation Counts
EG10460-MONOMER[c],147.22962617877218,19.0
G7458-MONOMER[p],83.88090772606772,0.0
G7031-MONOMER[c],33.704373019491136,260.0
PD00197[c],3134.697528667642,609.0
G7211-MONOMER[c],569.0817084682893,61.0
EG11166-MONOMER[c],64.2117037631606,208.0
GSK-MONOMER[c],306.76144545147287,46.0
ACNEULY-MONOMER[c],281.98380986278113,81.0
G7716-MONOMER[p],3407.880534418738,5679.0
2-DEHYDROPANTOATE-REDUCT-MONOMER[c],219.52934474976314,25.0
AROK-MONOMER[c],1004.1488119994611,2112.0
FECB-MONOMER[p],265.8591770321871,11.0
EG12365-MONOMER[c],178.46906221981388,173.0
G7546-MONOMER[c],58.26049311941566,19.0
G6394-MONOMER[p],105.92579544144469,338.0
G7715-MONOMER[c],228.7536466256319,523.0
EG11134-MONOMER[c],1090.2290876300283,2013.0
MONOMER0-341[o],226.5129004385669,21.0
ARTJ-MONOMER[p],3399.6089399686366,9359.0
AROC-MONOMER[c],330.91964069950967,798.0
EG10238-MONOMER[c],453.19243497736323,3.0
G6936-MONOMER[c],60.72974103002024,80.0
PSTB-MONOMER[i],438.1013220406505,113.0
SHIA-MONOMER[i],481.6337355007217,34.0
CYSS-MONOMER[c],769.76215294454,550.0
NUOH-MONOMER[m],108.01524895592347,133.0
ACETYLORNDEACET-MONOMER[c],571.1935582199426,2145.0
PD02198[c],142.98885732444305,8.0
EG10758-MONOMER[c],10543.152736968783,2305.0
EG11237-MONOMER[p],2.664716200649283,3.0
EG12443-MONOMER[c],983.8839510983311,2921.0
G6416-MONOMER[c],342.17170481483885,23.0
G7401-MONOMER[c],2025.5166078928787,33.0
G7920-MONOMER[p],59.9033750795676,7.0
OHMETHYLBILANESYN-MONOMER[c],298.9924956251575,224.0
TRANSKETOI-MONOMER[c],2638.45531877044,3883.0
EG11736-MONOMER[c],587.1822368056378,316.0
EG11165-MONOMER[c],608.3373767850427,386.0
KDPE-MONOMER[c],21.16327118817625,59.0
YBBA-MONOMER[i],36.12141239794712,30.0
EG11383-MONOMER[c],501.0301807098362,1274.0
TREHALOSEPHOSPHASYN-MONOMER[c],227.61276646530789,138.0
G6788-MONOMER[p],15.960560335513598,14.0
EG20253-MONOMER[c],133.16830701385192,1.0
EG10942-MONOMER[c],166.340809757784,49.0
ARGSUCCINLYA-MONOMER[c],400.1609277365397,2883.0
EG12006-MONOMER[c],27.69553273030164,2.0
EG12431-MONOMER[c],253.87797916262437,111.0
EG10436-MONOMER[c],1341.953713207183,1349.0
G6359-MONOMER[p],2246.876121823501,4936.0
DCUR-MONOMER[c],94.5654960548312,1.0
EG12015-MONOMER[p],217.85293490778102,0.0
6PFK-1-MONOMER[c],2979.822041276422,1448.0
G6867-MONOMER[c],98.8284469912715,139.0
EG10158-MONOMER[c],1297.7736204242856,8821.0
FABZ-MONOMER[c],9716.425226376128,4930.0
EG10913-MONOMER[c],31675.90458090689,10079.0
EG10829-MONOMER[c],22.9195969060145,3.0
EG11244-MONOMER[p],999.0366631898224,948.0
EG10083-MONOMER[c],77.11033930666555,107.0
EG10871-MONOMER[c],25473.902680075902,34448.0
EG10916-MONOMER[c],24370.70184872001,4180.0
