FE,ZN,MN,CU,MO,NI,CO,Protein ID
0,0,0,0,0,0,0,1-PFK
0,0,0,0,0,0,0,2OXOGLUTARATEDEH-CPLX
0,0,0,0,0,0,0,3-ISOPROPYLMALDEHYDROG-CPLX
4,0,0,0,0,0,0,3-ISOPROPYLMALISOM-CPLX
0,0,0,0,0,0,0,3-METHYL-2-OXOBUT-OHCH3XFER-CPLX
0,0,0,0,0,0,0,3-OXOACYL-ACP-SYNTHII-CPLX
0,0,0,0,0,0,0,6PFK-1-CPX
0,0,0,0,0,0,0,6PFK-2-CPX
0,0,0,0,0,0,0,6PGLUCONDEHYDROG-CPLX
0,0,0,0,0,0,0,7-ALPHA-HYDROXYSTEROID-DEH-CPLX
0,0,0,0,0,0,0,7KAPSYN-CPLX
0,0,0,0,0,0,0,ABC-10-CPLX
0,0,0,0,0,0,0,ABC-11-CPLX
0,0,0,0,0,0,0,ABC-12-CPLX
0,0,0,0,0,0,0,ABC-13-CPLX
0,0,0,0,0,0,0,ABC-14-CPLX
0,0,0,0,0,0,0,ABC-15-CPLX
0,0,0,0,0,0,0,ABC-16-CPLX
0,0,0,0,0,0,0,ABC-18-CPLX
0,0,0,0,1,0,0,ABC-19-CPLX
0,0,0,0,0,0,0,ABC-2-CPLX
0,0,0,0,0,0,0,ABC-20-CPLX
0,0,0,0,0,0,0,ABC-21-CPLX
0,0,0,0,0,0,0,ABC-22-CPLX
0,0,0,0,0,0,0,ABC-23-CPLX
0,0,0,0,0,0,0,ABC-24-CPLX
0,0,0,0,0,0,0,ABC-25-CPLX
0,0,0,0,0,0,0,ABC-26-CPLX
0,0,0,0,0,0,0,ABC-27-CPLX
0,0,0,0,0,0,0,ABC-28-CPLX
0,0,0,0,0,0,0,ABC-29-CPLX
0,0,0,0,0,0,0,ABC-3-CPLX
0,0,0,0,0,0,0,ABC-304-CPLX
0,0,0,0,0,0,0,ABC-32-CPLX
0,0,0,0,0,0,0,ABC-33-CPLX
0,0,0,0,0,0,0,ABC-34-CPLX
1,0,0,0,0,0,0,ABC-35-CPLX
0,0,0,0,0,0,0,ABC-4-CPLX
0,0,0,0,0,0,0,ABC-40-CPLX
0,0,0,0,0,0,0,ABC-41-CPLX
0,0,0,0,0,0,0,ABC-42-CPLX
0,0,0,0,0,0,0,ABC-45-CPLX
0,0,0,0,0,0,0,ABC-46-CPLX
0,0,0,0,0,0,0,ABC-48-CPLX
0,0,0,0,0,0,0,ABC-49-CPLX
0,0,0,0,0,0,0,ABC-5-CPLX
0,0,0,0,0,0,0,ABC-51-CPLX
0,0,0,0,0,0,0,ABC-52-CPLX
0,0,0,0,0,0,0,ABC-54-CPLX
0,0,0,0,0,0,0,ABC-55-CPLX
0,0,0,0,0,0,0,ABC-56-CPLX
0,0,0,0,0,0,0,ABC-57-CPLX
0,0,0,0,0,0,0,ABC-58-CPLX
0,0,0,0,0,0,0,ABC-59-CPLX
0,0,0,0,0,0,0,ABC-6-CPLX
0,0,0,0,0,0,0,ABC-60-CPLX
0,0,0,0,0,0,0,ABC-61-CPLX
0,0,0,0,0,0,0,ABC-62-CPLX
0,1,0,0,0,0,0,ABC-63-CPLX
0,0,0,0,0,0,0,ABC-64-CPLX
0,0,0,0,0,0,0,ABC-7-CPLX
0,0,0,0,0,0,0,ABC-70-CPLX
4,0,0,0,0,0,0,ABC-8-CPLX
0,0,0,0,0,0,0,ABC-9-CPLX
0,0,0,0,0,0,0,ACETOACETYL-COA-TRANSFER-CPLX
0,0,0,0,0,0,0,ACETOLACTSYNI-CPLX
0,0,0,0,0,0,0,ACETOLACTSYNII-CPLX
0,0,0,0,0,0,0,ACETOLACTSYNIII-CPLX
0,0,0,0,0,0,0,ACETYL-COA-ACETYLTRANSFER-CPLX
0,2,0,0,0,0,0,ACETYL-COA-CARBOXYLTRANSFER-CPLX
0,0,0,0,0,0,0,ACETYLGLUTKIN-CPLX
0,4,0,0,0,0,0,ACETYLORNDEACET-CPLX
0,0,0,0,0,0,0,ACETYLORNTRANSAM-CPLX
0,0,0,0,0,0,0,ACNEULY-CPLX
0,0,0,0,0,0,0,ACSERLYA-CPLX
0,0,0,0,0,0,0,ACSERLYB-CPLX
0,0,0,0,0,0,0,ACYLCOASYN-CPLX
0,0,0,0,0,0,0,ADCLY-CPLX
0,0,0,0,0,0,0,ADENPRIBOSYLTRAN-CPLX
0,0,0,0,0,0,0,ADENYLOSUCCINATE-SYN-DIMER
0,0,0,0,0,0,0,ADENYLYLSULFKIN-CPLX
0,4,0,0,0,0,0,ADHC-CPLX
40,0,0,0,0,0,0,ADHE-CPLX
0,0,0,0,0,0,0,AERGLYC3PDEHYDROG-CPLX
0,0,4,0,0,0,0,AGMATIN-CPLX
0,0,0,0,0,0,0,AIRS-CPLX
0,0,0,0,0,0,0,AKBLIG-CPLX
0,2,0,0,0,0,0,ALAS-CPLX
0,0,0,0,0,0,0,ALD-CPLX
0,4,0,0,0,0,0,ALKAPHOSPHA-CPLX
21,0,0,0,1,0,0,ALPHA-SUBUNIT-CPLX
0,0,2,0,0,0,0,ALPHAGALACTOSID-CPLX
0,0,2,2,0,0,0,AMINEOXID-CPLX
0,0,0,0,0,0,0,AMP-NUCLEOSID-CPLX
8,0,0,0,0,0,0,ANGLYC3PDEHYDROG-CPLX
0,0,0,0,0,0,0,ANSA-CPLX
