gene	ribosome initiation rate (ribosome/s)	mrna_RPKM
yaaX	0.2991989112	89.88
yaaA	0.4113797924	108.00
talB	0.4984307495	2508.45
dnaK	0.1789096184	2414.55
dnaJ	0.2388080515	346.38
nhaA	0.1157728083	181.91
insA	0.013570932	88.31
rpsT	0.2296669963	18550.27
dapB	0.1732458335	170.10
folA	0.2011818184	225.92
lptD	0.2996926266	238.97
djlA	0.118958064	107.04
yabP	0.1295858461	81.07
araC	0.04543626	325.28
yabI	0.0243627914	91.67
leuL	0.3796139671	447.73
cra	0.1176225591	106.97
ftsZ	0.1738323894	2545.06
lpxC	0.1400569231	12456.96
secM	0.2100746877	489.74
secA	0.2465190219	269.01
nadC	0.249172927	84.30
pdhR	0.0491238413	458.94
lpd	0.2711211992	4092.26
acnB	0.2059007498	2662.39
yacC	0.1010222359	133.54
cueO	0.176445001	613.17
gcd	0.1131707632	83.22
yadD	0.132952579	126.81
hrpB	0.0264023052	99.11
mrcB	0.0408684056	168.19
hemL	0.1437767477	470.81
degP	0.1219723231	984.22
yaeH	0.2371418067	447.07
map	0.1049422881	904.40
tsf	0.0632841607	8382.95
pyrH	0.102652563	426.86
frr	0.103314583	4223.59
dxr	0.1637598818	62.32
yaeR	0.3400999612	61.77
proS	0.0756194056	1663.07
gmhB	0.2371029163	236.79
rrsH	0.3288596189	187.79
rrlH	0.6122843459	3556.20
dnaQ	0.2029100959	317.84
gmhA	0.2674738116	1584.79
pepD	0.2500923949	887.39
gpt	0.4900238784	3703.19
frsA	0.848033812	223.72
crl	0.4858704498	1694.69
eyeA	0.0120354331	63.60
yagB	0.5225306694	171.73
argF	0.3996163871	172.69
yagN	1.350845329	228.54
intF	0.5629946961	72.54
yagU	0.3857405403	185.72
ykgJ	0.691013066	66.68
lacI	0.8652086909	7254.21
mhpR	0.2801291119	141.38
mhpT	0.0061422615	101.43
yaiL	0.5455838796	960.41
hemB	0.2758129916	496.97
iraP	0.2198567816	431.11
phoA	0.0580972908	103.25
yaiI	0.0569736578	69.15
yaiE	0.3283447062	319.04
ykiA	0.0095704003	62.05
rdgC	0.2266509759	772.96
mak	0.0826620265	110.76
phoB	0.0862299065	143.25
brnQ	0.0631926817	143.32
proY	0.059642015	59.62
queA	0.1563612288	55.92
yajD	0.838691819	286.33
tsx	0.2156260647	697.88
yajI	0.1937220973	164.40
thiI	0.2926260824	185.40
yajQ	0.1731997191	2109.14
bolA	0.7529637037	601.77
tig	0.0951075717	8155.51
clpP	0.2088131954	1428.44
clpX	0.0842367365	1862.66
lon	0.0858348236	643.58
hupB	0.7800828429	11959.74
ppiD	0.0805891389	1075.18
ybaV	0.05729295	61.96
ffs	0.1482787791	33852.67
ylaC	0.357510767	85.69
maa	0.1168121816	91.69
