"transcription_units"	"monomers_to_remove"
["EG11680", "EG10898", "EG11681", "EG11682", "EG12146"]	["EG11680", "EG10898", "EG11681", "EG11682", "EG12146"]
["EG11722", "EG11723"]	["EG11722", "EG11723"]
["G6309", "G6310", "G6311"]	["G6309", "G6310", "G6311"]
["EG10890", "EG11437", "EG10277", "EG11317", "EG11318"]	["EG10890", "EG11437", "EG10277", "EG11317", "EG11318"]
["G6944", "G6943", "G6942", "G6941", "G6940"]	["G6944", "G6943", "G6942", "G6941", "G6940"]
["G7401", "G7402", "EG20257", "EG12381"]	["G7401", "G7402", "EG20257", "EG12381"]
["EG11831", "EG11297"]	["EG11831"]
["EG10232", "EG10233", "EG10234"]	["EG10232", "EG10233"]
["EG11568", "EG10521"]	["EG11568", "EG10521"]
["EG12312", "EG12313", "EG12314"]	["EG12312", "EG12313"]
["EG11090", "EG12334", "EG12333"]	["EG11090", "EG12334", "EG12333"]
["EG10570", "EG11411", "EG10207"]	["EG10570"]
["EG12715", "G6092", "EG10139"]	["EG12715", "G6092"]
["G6135", "G6136"]	["G6135", "G6136"]
["G6140", "G6141"]	["G6140", "G6141"]
["G6209", "EG50010", "G6208"]	["G6209", "EG50010", "G6208"]
["EG12168", "G6233"]	["EG12168", "G6233"]
["EG11320", "EG11321", "EG11322", "EG10666", "G6234", "EG10704"]	["EG11320", "EG11321", "EG11322", "EG10666", "G6234", "EG10704"]
["G6239", "G198"]	["G6239", "G198"]
["G6287", "G6288", "G6289", "EG12384"]	["G6287", "G6288", "G6289", "EG12384"]
["EG10758", "EG12666"]	["EG10758", "EG12666"]
["EG10328", "EG12879"]	["EG10328", "EG12879"]
["G6344", "G6343", "G6342", "G6341", "G6340", "G6339"]	["G6344", "G6343", "G6342", "G6341", "G6340", "G6339"]
["EG10532", "EG10855", "EG11412", "G6350", "G6349"]	["EG10532", "EG10855", "EG11412", "G6350", "G6349"]
["EG10630", "EG11700"]	["EG10630", "EG11700"]
["G6407", "G6406", "G6405"]	["G6407", "G6406", "G6405"]
["EG12407", "G6429", "G6430", "G6431", "G6432"]	["EG12407", "G6429", "G6430", "G6431", "G6432"]
["G6443", "G6442"]	["G6443", "G6442"]
["EG10754", "G6455", "G6454"]	["G6455", "G6454"]
["EG12375", "EG10613", "EG11409", "G6471"]	["EG12375", "EG10613", "EG11409", "G6471"]
["G6472", "EG10519"]	["G6472", "EG10519"]
["G6474", "G6475"]	["G6474", "G6475"]
["G6504", "G6503", "EG11826"]	["G6504", "G6503", "EG11826"]
["EG11540", "EG12703"]	["EG11540", "EG12703"]
["G6527", "EG11735"]	["G6527", "EG11735"]
["G6550", "G6551"]	[]
["EG11493", "EG11494", "EG12302", "EG11500", "EG12303"]	["EG11493", "EG11494", "EG12302", "EG11500", "EG12303"]
["G6576", "G6577"]	["G6576", "G6577"]
["G6581", "G6580"]	["G6581", "G6580"]
["G6645", "EG12431", "EG10036", "EG11822", "G6646"]	["G6645", "EG12431", "EG10036", "EG11822", "G6646"]
["EG10036", "EG11822", "G6646"]	["EG10036", "EG11822", "G6646"]
["G6647", "G6648", "G6649", "G6650", "G6651", "G6652", "G6653", "G6654", "G6655", "G6656", "G0-10445", "G6657"]	["G6647", "G6648", "G6649", "G6650", "G6651", "G6652", "G6653", "G6654", "G6655", "G6656", "G0-10445"]
["G0-10446", "G6662"]	["G0-10446"]
["G6759", "G6758"]	["G6759", "G6758"]
["G6799", "G6798"]	["G6799"]
["G6810", "G6809"]	["G6810", "G6809"]
["G6841", "G6842"]	["G6841", "G6842"]
["G6858", "G6857"]	["G6858", "G6857"]
["G6861", "G6862"]	["G6861", "G6862"]
["G6913", "G6912", "G6911"]	["G6913", "G6912", "G6911"]
["G6917", "EG11234", "EG10076"]	["G6917", "EG11234"]
["EG12432", "G6918"]	["EG12432", "G6918"]
["G6963", "G6962", "G6961", "G6960", "G6959", "G6958"]	["G6963", "G6962", "G6961", "G6960", "G6959", "G6958"]
["EG10683", "EG12693"]	["EG10683", "EG12693"]
["G7038", "G7037", "EG12347"]	["G7038", "G7037", "EG12347"]
["G7102", "G7101", "G7100", "G7099", "EG11787", "EG11788", "EG11789", "EG11790", "EG10161", "EG10162", "G7098", "G7097"]	["G7102", "G7101", "G7100", "G7099", "EG11787", "EG11788", "EG11789", "EG11790", "EG10161", "EG10162", "G7098", "G7097"]
["M007", "G7135"]	["M007", "G7135"]
["G7138", "G7139"]	["G7138"]
["G7145", "EG11289"]	["G7145", "EG11289"]
["EG11375", "EG11290"]	["EG11375", "EG11290"]
["EG11646", "EG12033"]	["EG11646", "EG12033"]
["EG12104", "G7146"]	["EG12104"]
["EG12037", "EG12038", "EG12040", "EG12041"]	["EG12037", "EG12038", "EG12040", "EG12041"]
["G7159", "G7158"]	["G7159", "G7158"]
["G7161", "G7160"]	["G7161", "G7160"]
["G7166", "G7167", "G7168", "G7169", "G7170", "G0-10460", "G7171"]	["G7166", "G7167", "G7168", "G7169", "G7170", "G0-10460", "G7171"]
["G7188", "G7187"]	["G7188", "G7187"]
["G7195", "G7196"]	["G7195", "G7196"]
["EG10327", "EG10218"]	["EG10327", "EG10218"]
["EG12449", "EG10075", "EG10580", "EG11144", "G7201", "G7200"]	["EG12449", "EG10075", "EG10580", "EG11144", "G7201", "G7200"]
["G7230", "G7231", "G7232"]	["G7230", "G7231", "G7232"]
["G7263", "G7264", "G7265"]	["G7263", "G7264", "G7265"]
["EG50006", "EG50007", "G7271", "G7270", "EG12190"]	["EG50006", "EG50007", "G7271", "G7270", "EG12190"]
["G7292", "G7291", "G7290", "G7289", "G7288", "G7287"]	["G7292", "G7291", "G7290", "G7289", "G7288", "G7287"]
["EG11147", "EG10208", "G0-10463"]	["EG11147", "EG10208", "G0-10463"]
["EG11371", "EG11372"]	["EG11371", "EG11372"]
["G7405", "G7406"]	["G7405", "G7406"]
["G7450", "G7449", "G7448"]	["G7450", "G7449", "G7448"]
["G7454", "G7455"]	["G7454", "G7455"]
["EG11679", "EG12455"]	["EG11679", "EG12455"]
["G7501", "G7502", "G7503"]	["G7501", "G7502", "G7503"]
["EG11323", "EG10697", "EG11324", "EG11333"]	["EG11323", "EG10697", "EG11324", "EG11333"]
["EG11791", "EG11792", "G7520", "EG11245", "EG11162", "EG11161"]	["EG11791", "EG11792", "G7520", "EG11245", "EG11162", "EG11161"]
["EG12366", "EG10419"]	["EG12366", "EG10419"]
["G7527", "G7528", "G7529", "G7530", "G7531"]	["G7527", "G7528", "G7529", "G7530", "G7531"]
["G7564", "G7565"]	["G7564"]
["EG12633", "G7580", "G7579", "G7578", "EG10687"]	["EG12633", "G7580", "G7579", "G7578", "EG10687"]
["EG11009", "EG11164", "EG11165"]	["EG11009", "EG11164", "EG11165"]
["EG11603", "EG11602"]	["EG11603", "EG11602"]
["EG50011", "EG11553"]	["EG50011", "EG11553"]
["G7717", "EG20110", "G0-10466"]	["G7717", "EG20110", "G0-10466"]
["G7742", "G7743"]	["G7742", "G7743"]
["EG10937", "EG20091"]	["EG10937", "EG20091"]
["EG12296", "EG12297", "EG12298"]	["EG12296", "EG12297", "EG12298"]
["G7789", "EG20051", "EG20049", "GB4478", "EG20053"]	["G7789", "EG20051", "EG20049", "GB4478", "EG20053"]
["EG10840", "EG11295", "EG11451", "EG11452", "EG11453", "EG11454", "EG11455", "EG11456", "EG11486", "G7800", "EG11457", "EG11458"]	["EG10840", "EG11295", "EG11451", "EG11452", "EG11453", "EG11454", "EG11455", "EG11456", "EG11486", "G7800", "EG11457", "EG11458"]
["G0-10471", "EG10209", "EG11201", "EG11069", "EG11202"]	["G0-10471", "EG10209", "EG11201", "EG11069", "EG11202"]
["EG10739", "EG11470"]	["EG10739", "EG11470"]
["EG10698", "EG11484", "EG11021", "EG11485"]	["EG10698", "EG11484", "EG11021", "EG11485"]
["EG11847", "EG11846", "EG11845"]	["EG11847", "EG11846", "EG11845"]
["EG11848", "EG11849"]	["EG11848"]
["EG11850", "EG11851", "EG11852", "EG11853"]	["EG11850", "EG11851", "EG11852", "EG11853"]
["EG11906", "EG11905", "EG11904"]	["EG11906", "EG11905", "EG11904"]
["EG11205", "EG10123"]	["EG11205", "EG10123"]
["EG11702", "EG11543", "EG11915"]	["EG11702", "EG11543", "EG11915"]
["G7888", "G7889"]	["G7888", "G7889"]
["G7912", "G7911", "G7910"]	["G7912", "G7911", "G7910"]
["EG12576", "G7933"]	["EG12576", "G7933"]
["EG11414", "EG10850", "EG12115"]	["EG11414", "EG10850", "EG12115"]
["EG11296", "EG11335"]	["EG11296", "EG11335"]
["EG10548", "EG11080", "EG11081"]	["EG10548", "EG11080", "EG11081"]
["EG11231", "EG10881"]	["EG11231"]
["EG11001", "EG10506", "EG11231", "EG10881", "EG11272", "EG10709", "EG10710", "EG10440"]	["EG11001", "EG11231", "EG10709", "EG10710"]
["EG10835", "EG10571", "EG11249"]	["EG10571", "EG11249"]
["EG12802", "G7662"]	["EG12802", "G7662"]
["G7663", "G7664", "G7665", "EG11680"]	["G7663", "G7664", "G7665", "EG11680"]
["G7665", "EG11680"]	["G7665", "EG11680"]
["EG10378", "EG10381", "EG10379", "EG10377", "EG10380"]	["EG10378", "EG10381", "EG10379", "EG10377", "EG10380"]
["G7423", "EG11816"]	["G7423", "EG11816"]
["EG11981", "EG11982"]	["EG11981", "EG11982"]
["EG11983", "EG11984", "EG11985"]	["EG11983", "EG11984", "EG11985"]
["G7365", "G7366"]	[]
["G6092", "EG10139"]	["G6092"]
["EG12385", "EG10821"]	["EG12385"]
["G0-10441", "EG12395"]	["G0-10441", "EG12395"]
["EG10176", "EG10175"]	["EG10176", "EG10175"]
["EG10492", "EG10548", "EG11080", "EG11081"]	["EG10492", "EG10548", "EG11080", "EG11081"]
["EG10208", "G0-10463"]	["EG10208", "G0-10463"]
["EG12124", "EG12125", "EG10007", "EG10452"]	["EG12124", "EG12125", "EG10007", "EG10452"]
