Gene,Monomer,Covert_Expression,Li_Expression
nhaR,PD00474,28.0358666667,25.000000
caiF,G6088-MONOMER,60.8689333333,5.000000
araC,PD00242,12.5996333333,16.000000
sgrR,EG12094-MONOMER,17.9926666667,20.000000
leuO,PD00519,5.4349,1.000000
cra,PD00521,57.6473,67.000000
pdhR,EG11088-MONOMER,151.575133333,516.000000
sfsA,EG10949-MONOMER,59.1321666667,51.000000
cdaR,EG12335-MONOMER,5.52556666667,6.000000
yafC,EG11649-MONOMER,24.3052333333,14.000000
dinJ,G6110-MONOMER,235.8683,50.000000
crl,EG11092-MONOMER,92.6275,314.000000
perR,G6129-MONOMER,8.29193333333,2.000000
yagI,G6144-MONOMER,14.0901333333,39.000000
ecpR,G6165-MONOMER,0.6983,1.000000
ykgD,G6175-MONOMER,1.58816666667,2.000000
betI,PD00251,60.9744333333,44.000000
yahB,G6181-MONOMER,15.9533666667,7.000000
yahD,G6183-MONOMER,4.7442,1.000000
cynR,PD00291,10.2775333333,11.000000
lacI,PD00763,14.9403666667,25.000000
mhpR,G6201-MONOMER,5.3979,8.000000
frmR,G6209-MONOMER,56.7722,162.000000
yaiW,G6227-MONOMER,21.6221333333,22.000000
phoB,PHOB-MONOMER,12.9792666667,25.000000
nrdR,EG11320-MONOMER,93.2150333333,135.000000
bolA,EG10125-MONOMER,130.039933333,94.000000
hupB,EG10467-MONOMER,1516.47793333,2321.000000
ybaO,G6247-MONOMER,31.0393666667,27.000000
acrR,EG12116-MONOMER,63.531,17.000000
ybaQ,G6259-MONOMER,151.6183,57.000000
cueR,G6263-MONOMER,62.0456666667,23.000000
allS,G6274-MONOMER,1.15,1.000000
allR,G6276-MONOMER,90.9193666667,88.000000
fimZ,EG11103-MONOMER,0.689,1.000000
appY,PD00967,9.15416666667,13.000000
cusR,G6319-MONOMER,8.13783333333,24.000000
dpiA,G6346-MONOMER,15.3510333333,10.000000
cspE,EG12179-MONOMER,4064.814,6951.000000
ybeF,EG11594-MONOMER,6.93103333333,5.000000
nagC,PD00266,108.645766667,60.000000
fur,PD00260,512.8446,450.000000
kdpE,KDPE-MONOMER,10.1035666667,14.000000
abrB,G6384-MONOMER,29.4125,5.000000
mngR,PD01103,17.8435666667,19.000000
modE,MONOMER0-185,52.8497333333,27.000000
ybhD,G6398-MONOMER,4.0475,1.000000
ybhN,G6405-MONOMER,1.67036666667,1.000000
ybiH,EG12406-MONOMER,36.9801666667,18.000000
mntR,G6420-MONOMER,49.8181333333,55.000000
deoR,PD01196,34.6547333333,40.000000
rcdA,G6444-MONOMER,11.2489666667,8.000000
lrp,PD00353,371.537,261.000000
ycaN,G6467-MONOMER,5.85653333333,6.000000
ihfB,PD00348,443.703,610.000000
torR,TORR-MONOMER,16.6383333333,18.000000
rutR,PD01352,23.8481,20.000000
csgD,PD01379,18.0367333333,2.000000
flgM,G369-MONOMER,732.060433333,5.000000
comR,G6569-MONOMER,61.8478,25.000000
phoP,PHOP-MONOMER,138.2642,69.000000
ymfL,G6591-MONOMER,6.2332,1.000000
bluR,G6602-MONOMER,97.3092666667,20.000000
fadR,PD01520,64.7084,73.000000
dhaR,G6628-MONOMER,16.1515666667,10.000000
ychQ,G6630-MONOMER,33.2311,56.000000
ychA,EG11251-MONOMER,90.8087666667,93.000000
narL,NARL-MONOMER,46.5883666667,46.000000
hns,PD00288,2632.11423333,1459.000000
cysB,PD00232,136.702566667,49.000000
yciT,G6638-MONOMER,95.9437333333,59.000000
puuR,EG12431-MONOMER,22.6493,17.000000
pspF,EG12344-MONOMER,19.2041333333,8.000000
pspB,EG10777-MONOMER,25.3092666667,21.000000
pspC,EG10778-MONOMER,13.1707333333,18.000000
ycjW,G6658-MONOMER,4.6711,7.000000
tyrR,PD00413,81.8455333333,64.000000
pgrR,G6664-MONOMER,13.5866666667,12.000000
fnr,PD00197,218.775266667,383.000000
abgR,G6671-MONOMER,5.27993333333,3.000000
racR,G6680-MONOMER,145.4229,55.000000
ydaS,G6681-MONOMER,8.27443333333,2.000000
feaR,G6706-MONOMER,2.2364,3.000000
paaX,G6720-MONOMER,15.1521,13.000000
ydcI,G6737-MONOMER,20.4752,30.000000
ydcN,G6745-MONOMER,16.9036,15.000000
ydcR,G6750-MONOMER,10.2755333333,18.000000
mcbR,G6761-MONOMER,2.3619,3.000000
yddM,G6774-MONOMER,33.9770666667,21.000000
hipA,EG10443-MONOMER,14.9065666667,11.000000
hipB,EG10442-MONOMER,31.5315,18.000000
lsrR,G6799-MONOMER,8.482,5.000000
yneJ,G6812-MONOMER,7.10306666667,10.000000
marR,PD00364,10.0146666667,22.000000
marA,PD00365,42.1137333333,40.000000
ydfH,G6814-MONOMER,52.1246333333,38.000000
cspB,EG12203-MONOMER,121.736466667,16.000000
relB,EG10836-MONOMER,91.7530666667,62.000000
dicC,EG10228-MONOMER,0.9059,1.000000
dicA,EG10226-MONOMER,143.308266667,45.000000
mlc,PD01896,36.4322333333,32.000000
ynfL,G6853-MONOMER,6.6575,6.000000
rstA,RSTA-MONOMER,67.3712666667,30.000000
uidR,G6867-MONOMER,39.0774666667,25.000000
malI,PD00361,13.1207666667,6.000000
slyA,G6882-MONOMER,162.535966667,71.000000
nemR,G6889-MONOMER,4.47036666667,11.000000
purR,PD00219,81.9269666667,216.000000
ydhB,EG12140-MONOMER,12.7124666667,11.000000
