"transcription_units"	"monomers_to_remove"
["EG12142", "EG11623"]	["EG12142", "EG11623"]
["EG10646", "EG10643"]	["EG10646", "EG10643"]
["EG10279", "EG10278"]	["EG10279", "EG10278"]
["EG11265", "EG10900"]	["EG11265", "EG10900"]
["EG10368", "EG10703", "EG10282"]	["EG10368", "EG10282"]
["EG11817", "EG10689"]	["EG11817", "EG10689"]
["EG10627", "G7532", "G7533"]	["EG10627", "G7533"]
["EG12419", "G7128", "EG12414", "EG12415", "EG12416", "EG12417"]	["EG12419", "G7128", "EG12414", "EG12415", "EG12416", "EG12417"]
["EG11437", "EG10277", "EG11317", "EG11318"]	["EG11437", "EG10277", "EG11317", "EG11318"]
["EG11227", "EG11228", "EG11229"]	["EG11227", "EG11228", "EG11229"]
["G6527", "EG11735"]	["G6527", "EG11735"]
["EG11380", "EG11379", "G0-10588", "EG10049"]	["EG11380", "EG11379", "G0-10588"]
["EG10221", "EG10219", "EG10220", "EG10222"]	["EG10221", "EG10219", "EG10220", "EG10222"]
["EG11880", "EG11879"]	["EG11880"]
["EG10126", "EG11204"]	["EG10126", "EG11204"]
["EG10693", "EG10247"]	["EG10693", "EG10247"]
["EG10563", "EG10564"]	["EG10563"]
["EG10762", "EG10552"]	["EG10762", "EG10552"]
["EG10630", "EG11700"]	["EG10630", "EG11700"]
["EG11001", "EG10506"]	["EG11001"]
