set#,sigma,alpha,kh,lambdaA,lambdaT,kt,n
1,0.7444444444444444,1.0,0.25,0.45333333333333337,0.01,0.6444444444444445,1.188888888888889
2,0.7444444444444444,1.0,0.25,1.34,0.01,0.6444444444444445,1.5
3,0.7444444444444444,1.0,0.25,1.7833333333333334,0.01,0.6444444444444445,1.0333333333333334
4,0.7444444444444444,1.0,0.6666666666666667,0.01,0.01,0.1,1.0333333333333334
5,0.7444444444444444,1.0,0.6666666666666667,0.8966666666666667,0.01,0.6444444444444445,1.0333333333333334
6,0.7444444444444444,1.0,1.0833333333333335,0.01,0.01,0.1,1.0333333333333334
7,0.7444444444444444,1.0,1.0833333333333335,2.67,0.01,1.188888888888889,1.188888888888889
8,0.7444444444444444,1.0,1.5,2.2266666666666666,0.01,1.188888888888889,1.188888888888889
9,0.7444444444444444,1.0,1.9166666666666667,3.5566666666666666,0.01,1.7333333333333336,1.5
10,0.7444444444444444,1.0,1.9166666666666667,4.0,0.01,1.7333333333333336,1.5
11,0.7444444444444444,1.0,2.3333333333333335,0.45333333333333337,0.01,0.6444444444444445,1.0333333333333334
12,0.7444444444444444,1.0,2.3333333333333335,3.5566666666666666,0.01,1.7333333333333336,1.5
13,0.7444444444444444,1.0,2.75,0.45333333333333337,0.01,0.6444444444444445,1.0333333333333334
14,0.7444444444444444,1.0,2.75,3.1133333333333333,0.01,1.7333333333333336,1.5
15,0.7444444444444444,1.0,3.5833333333333335,2.67,0.01,1.7333333333333336,1.5
16,0.7444444444444444,1.0,4.0,0.01,0.01,0.1,0.8777777777777778
17,0.7444444444444444,1.4444444444444444,0.25,0.45333333333333337,0.01,0.6444444444444445,1.188888888888889
18,0.7444444444444444,1.4444444444444444,0.25,1.34,0.01,0.6444444444444445,1.5
19,0.7444444444444444,1.4444444444444444,0.25,1.7833333333333334,0.01,0.6444444444444445,1.0333333333333334
20,0.7444444444444444,1.4444444444444444,0.6666666666666667,0.01,0.01,0.1,1.0333333333333334
21,0.7444444444444444,1.4444444444444444,0.6666666666666667,0.8966666666666667,0.01,0.6444444444444445,1.0333333333333334
22,0.7444444444444444,1.4444444444444444,1.0833333333333335,0.01,0.01,0.1,1.0333333333333334
23,0.7444444444444444,1.4444444444444444,1.0833333333333335,2.67,0.01,1.188888888888889,1.188888888888889
24,0.7444444444444444,1.4444444444444444,1.5,2.2266666666666666,0.01,1.188888888888889,1.188888888888889
25,0.7444444444444444,1.4444444444444444,1.9166666666666667,3.5566666666666666,0.01,1.7333333333333336,1.5
26,0.7444444444444444,1.4444444444444444,1.9166666666666667,4.0,0.01,1.7333333333333336,1.5
27,0.7444444444444444,1.4444444444444444,2.3333333333333335,0.45333333333333337,0.01,0.6444444444444445,1.0333333333333334
28,0.7444444444444444,1.4444444444444444,2.3333333333333335,3.5566666666666666,0.01,1.7333333333333336,1.5
29,0.7444444444444444,1.4444444444444444,2.75,0.45333333333333337,0.01,0.6444444444444445,1.0333333333333334
30,0.7444444444444444,1.4444444444444444,2.75,3.1133333333333333,0.01,1.7333333333333336,1.5
31,0.7444444444444444,1.4444444444444444,3.5833333333333335,2.67,0.01,1.7333333333333336,1.5
32,0.7444444444444444,1.4444444444444444,4.0,0.01,0.01,0.1,0.8777777777777778
33,0.7444444444444444,1.8888888888888888,0.25,0.45333333333333337,0.01,0.6444444444444445,1.188888888888889
34,0.7444444444444444,1.8888888888888888,0.25,1.34,0.01,0.6444444444444445,1.5
35,0.7444444444444444,1.8888888888888888,0.25,1.7833333333333334,0.01,0.6444444444444445,1.0333333333333334
36,0.7444444444444444,1.8888888888888888,0.6666666666666667,0.01,0.01,0.1,1.0333333333333334
37,0.7444444444444444,1.8888888888888888,0.6666666666666667,0.8966666666666667,0.01,0.6444444444444445,1.0333333333333334
38,0.7444444444444444,1.8888888888888888,1.0833333333333335,0.01,0.01,0.1,1.0333333333333334
39,0.7444444444444444,1.8888888888888888,1.0833333333333335,2.67,0.01,1.188888888888889,1.188888888888889
40,0.7444444444444444,1.8888888888888888,1.5,2.2266666666666666,0.01,1.188888888888889,1.188888888888889
41,0.7444444444444444,1.8888888888888888,1.9166666666666667,3.5566666666666666,0.01,1.7333333333333336,1.5
42,0.7444444444444444,1.8888888888888888,1.9166666666666667,4.0,0.01,1.7333333333333336,1.5
43,0.7444444444444444,1.8888888888888888,2.3333333333333335,0.45333333333333337,0.01,0.6444444444444445,1.0333333333333334
44,0.7444444444444444,1.8888888888888888,2.3333333333333335,3.5566666666666666,0.01,1.7333333333333336,1.5
45,0.7444444444444444,1.8888888888888888,2.75,0.45333333333333337,0.01,0.6444444444444445,1.0333333333333334
46,0.7444444444444444,1.8888888888888888,2.75,3.1133333333333333,0.01,1.7333333333333336,1.5
47,0.7444444444444444,1.8888888888888888,3.5833333333333335,2.67,0.01,1.7333333333333336,1.5
48,0.7444444444444444,1.8888888888888888,4.0,0.01,0.01,0.1,0.8777777777777778
49,0.7444444444444444,2.333333333333333,0.25,0.45333333333333337,0.01,0.6444444444444445,1.188888888888889
50,0.7444444444444444,2.333333333333333,0.25,1.34,0.01,0.6444444444444445,1.5
51,0.7444444444444444,2.333333333333333,0.25,1.7833333333333334,0.01,0.6444444444444445,1.0333333333333334
52,0.7444444444444444,2.333333333333333,0.6666666666666667,0.01,0.01,0.1,1.0333333333333334
53,0.7444444444444444,2.333333333333333,0.6666666666666667,0.8966666666666667,0.01,0.6444444444444445,1.0333333333333334
54,0.7444444444444444,2.333333333333333,1.0833333333333335,0.01,0.01,0.1,1.0333333333333334
55,0.7444444444444444,2.333333333333333,1.0833333333333335,2.67,0.01,1.188888888888889,1.188888888888889
