# Generated by /Users/miagrahn/wcEcoli/reconstruction/ecoli/scripts/protein_half_lives/convert_to_flat_Clim_half_lives.py on Wed Nov  5 23:35:39 2025
id	HL_value
"6PGLUCONDEHYDROG-MONOMER"	12.0
"FUM-FLAVO"	12.0
"GDHA-MONOMER"	12.0
"NADH-DHII-MONOMER"	12.0
"SUPEROX-DISMUTMN-MONOMER"	12.0
"NRDA-MONOMER"	12.0
"ASPAMINOTRANS-MONOMER"	12.0
"HOMOSERKIN-MONOMER"	12.0
"MTLA-MONOMER"	12.0
"ASPKINIHOMOSERDEHYDROGI-MONOMER"	12.0
"ASPKINIIHOMOSERDEHYDROGII-MONOMER"	12.0
"RPOD-MONOMER"	12.0
"EG10746-MONOMER"	12.0
"ALKAPHOSPHA-MONOMER"	12.0
"EG10530-MONOMER"	12.0
"ANSB-MONOMER"	4.764445552710929
"EG10040-MONOMER"	12.0
"DIAMINOPIMDECARB-MONOMER"	12.0
"PEPCARBOX-MONOMER"	12.0
"AROH-MONOMER"	12.0
"AROF-MONOMER"	5.42045341369664
"ACETOLACTSYNIII-ICHAIN-MONOMER"	12.0
"ACETOLACTSYNIII-HCHAIN-MONOMER"	12.0
"ANTHRANSYNCOMPI-MONOMER"	12.0
"ANTHRANSYNCOMPII-MONOMER"	12.0
"PRAI-IGPS"	12.0
"EG10736-MONOMER"	12.0
"DSERDEAM-MONOMER"	12.0
"THRESYN-MONOMER"	12.0
"O-SUCCHOMOSERLYASE-MONOMER"	12.0
"XYLISOM-MONOMER"	12.0
"MANNPISOM-MONOMER"	12.0
"TRPS-MONOMER"	12.0
"ILES-MONOMER"	12.0
"ALAS-MONOMER"	12.0
"METG-MONOMER"	12.0
"GLYQ-MONOMER"	12.0
"GLYS-MONOMER"	12.0
"GLNS-MONOMER"	12.0
"ASNSYNA-MONOMER"	7.489840643696773
"CARBPSYN-LARGE"	12.0
"EG10905-MONOMER"	12.0
"EG10906-MONOMER"	12.0
"EG10876-MONOMER"	12.0
"EG10748-MONOMER"	12.0
"EG10605-MONOMER"	12.0
"ARAF-MONOMER"	12.0
"RBSB-MONOMER"	12.0
"EG11012-MONOMER"	10.130639958513392
"EG11009-MONOMER"	12.0
"EG10671-MONOMER"	12.0
"MONOMER0-282"	12.0
"TSR-MONOMER"	12.0
"PD03831"	8.679162997825426
"EG10243-MONOMER"	3.2852499937754795
"EG11064-MONOMER"	12.0
"PD00763"	9.442734857709612
"PD03028"	12.0
"EG11157-MONOMER"	12.0
"EG11199-MONOMER"	12.0
"KEFC-MONOMER"	12.0
"EG10559-MONOMER"	12.0
"DIHYDROPICRED-MONOMER"	12.0
"GMP-SYN-MONOMER"	12.0
"EG11091-MONOMER"	10.191598103006244
"CHAINI-MONOMER"	12.0
"GLUTATHIONE-SYN-MONOMER"	12.0
"TYRB-MONOMER"	10.24258412193092
"GLURS-MONOMER"	12.0
"LIVK-MONOMER"	12.0
"EG10696-MONOMER"	12.0
"EG10657-MONOMER"	12.0
"EG10321-MONOMER"	0.9907196910280128
"CPM-KDOSYNTH-MONOMER"	12.0
"THREDEHYDSYN-MONOMER"	12.0
"EG10817-MONOMER"	12.0
"RBSA-MONOMER"	12.0
"EG10826-MONOMER"	12.0
"EG11072-MONOMER"	12.0
"EG10926-MONOMER"	12.0
"DIHYDROOROT-MONOMER"	12.0
"PABASYN-COMPI-MONOMER"	12.0
"FUMC-MONOMER"	12.0
"EG10743-MONOMER"	12.0
"AROD-MONOMER"	6.837408491614111
"EG10786-MONOMER"	12.0
"ERYTHRON4PDEHYDROG-MONOMER"	12.0
"EG10329-MONOMER"	12.0
"EG10048-MONOMER"	12.0
"TRG-MONOMER"	12.0
"EG10460-MONOMER"	12.0
"DIHYDROXYACIDDEHYDRAT-MONOMER"	12.0
"KETOLREDUCTOISOM-MONOMER"	12.0
"EG10293-MONOMER"	12.0
"PD00200"	12.0
"EG11171-MONOMER"	12.0
"EG10126-MONOMER"	12.0
"DLACTDEHYDROGFAD-MONOMER"	10.339449359105211
"CDPDIGLYPYPHOSPHA-MONOMER"	12.0
"BTUE-MONOMER"	12.0
"EG11013-MONOMER"	12.0
"EG10270-MONOMER"	11.072022451419668
"BIOTINLIG-MONOMER"	12.0
"nan"	12.0
"GLUTATHIONE-REDUCT-NADPH-MONOMER"	12.0
"ALPHAGALACTOSID-MONOMER"	7.126188816907478
"CYSTATHIONINE-BETA-LYASE-MONOMER"	10.67864737328841
"EG10624-MONOMER"	12.0
"PD03254"	12.0
"E2P-MONOMER"	12.0
"EG10136-MONOMER"	12.0
"EG10226-MONOMER"	6.752082427762719
