# Generated by /Users/miagrahn/wcEcoli/reconstruction/ecoli/scripts/protein_half_lives/convert_to_flat_Clim_half_lives.py on Fri Nov  7 10:31:29 2025
id	half_life (units.min)
"MONOMER0-2820"	607.2621873065249
"THIS-MONOMER"	427.3618312551586
"6PGLUCONDEHYDROG-MONOMER"	1782.5420569274545
"FUM-FLAVO"	6796.4699684458465
"GDHA-MONOMER"	1181.6940513410536
"NADH-DHII-MONOMER"	5410.209576735758
"SUPEROX-DISMUTMN-MONOMER"	945.6775267663517
"NRDA-MONOMER"	2018.0596133777553
"ASPAMINOTRANS-MONOMER"	4415.1909574512765
"HOMOSERKIN-MONOMER"	1818.532332840545
"MTLA-MONOMER"	6205.230787324007
"ASPKINIHOMOSERDEHYDROGI-MONOMER"	3889.7449963473246
"ASPKINIIHOMOSERDEHYDROGII-MONOMER"	2035.4195288673918
"RPOD-MONOMER"	1520.2124863207193
"EG10746-MONOMER"	14082.002311243925
"ALKAPHOSPHA-MONOMER"	4299.263394154048
"EG10530-MONOMER"	4508.614783174999
"ANSB-MONOMER"	285.86673316265575
"EG10040-MONOMER"	1691.2476560648545
"DIAMINOPIMDECARB-MONOMER"	1436.4336801339464
"PEPCARBOX-MONOMER"	6412.553526962646
"AROH-MONOMER"	1747.7295880736788
"AROF-MONOMER"	325.2272048217984
"ACETOLACTSYNIII-ICHAIN-MONOMER"	3712.180850049659
"ACETOLACTSYNIII-HCHAIN-MONOMER"	2767.9242148666785
"ANTHRANSYNCOMPI-MONOMER"	7036.141368839398
"PABASYN-COMPII-MONOMER"	1618.5261794438725
"ANTHRANSYNCOMPII-MONOMER"	1223.1340361575683
"PRAI-IGPS"	883.8792894951124
"EG10736-MONOMER"	4152.215382876223
"DSERDEAM-MONOMER"	1490.2417812933882
"THRESYN-MONOMER"	3816.628839106205
"O-SUCCHOMOSERLYASE-MONOMER"	1326.0258838800862
"ADENYLATECYC-MONOMER"	80.03427878132887
"XYLISOM-MONOMER"	1672.1759383572605
"MANNPISOM-MONOMER"	4766.996477810998
"TRPS-MONOMER"	2185.8972770977352
"ILES-MONOMER"	8510.223127695723
"ALAS-MONOMER"	4395.800630517658
"METG-MONOMER"	1866.5547658842875
"GLYQ-MONOMER"	2997.5748040308226
"GLYS-MONOMER"	2042.1261089931231
"GLNS-MONOMER"	4582.757757144818
"ASNSYNA-MONOMER"	449.3904386218064
"CARBPSYN-LARGE"	2521.6488438926417
"EG10905-MONOMER"	4708.934992443298
"EG10906-MONOMER"	2245.4127630524667
"EG10876-MONOMER"	2322.1138207916338
"EG10748-MONOMER"	6761.252909398009
"EG10605-MONOMER"	12248.258828880264
"ARAF-MONOMER"	16940.76198133436
"RBSB-MONOMER"	931.8977537758415
"EG11012-MONOMER"	607.8383975108035
"EG11009-MONOMER"	45759.7866193412
"EG10671-MONOMER"	2346.76534627913
"MONOMER0-282"	19031.814628728072
"TSR-MONOMER"	1063.4701402308874
"PD03831"	520.7497798695256
"EG10243-MONOMER"	197.11499962652877
"EG11064-MONOMER"	1390.977128261889
"PD00763"	566.5640914625767
"PD03028"	990.9271575232897
"EG11157-MONOMER"	1026.7178000196438
"EG11199-MONOMER"	3022.3559286507198
"KEFC-MONOMER"	2850.076672137486
"G7900-MONOMER"	1123.1715316490324
"EG10559-MONOMER"	2397.27444643917
"DIHYDROPICRED-MONOMER"	230397.46474896668
