Protein ID	Gene names 	selected_HL	HL_value	HL_value_STD
sp|O32583|THIS_ECOLI	thiS	sHL_12	7.122697187585977	
sp|P00350|6PGD_ECOLI	gnd	sHL_12	61.231910884807746	
sp|P00363|FRDA_ECOLI	frdA	HL_6vs12	113.27449947409745	
sp|P00370|DHE4_ECOLI	gdhA	sHL_12	18.54774772183147	
sp|P00393|DHNA_ECOLI	ndh	sHL_12	645.9211883518677	
sp|P00448|SODM_ECOLI	sodA	sHL_12	182.59827223896912	
sp|P00452|RIR1_ECOLI	nrdA	sHL_12	40.11542389380105	
sp|P00509|AAT_ECOLI	aspC	sHL_12	72.29833659009809	
sp|P00547|KHSE_ECOLI	thrB	sHL_12	30.145081195967844	
sp|P00550|PTM3C_ECOLI	mtlA	HL_6vs12	58.039557085350545	
sp|P00562|AK2H_ECOLI	metL	sHL_12	41.42212423775275	
sp|P00579|RPOD_ECOLI	rpoD	sHL_12	23.849050947871824	
sp|P00582|DPO1_ECOLI	polA	sHL_12	1197.6357060267683	
sp|P00803|LEP_ECOLI	lepB	HL_6vs12	49.912575898463636	
sp|P00811|AMPC_ECOLI	ampC	sHL_12	57.173359516051974	
sp|P00861|DCDA_ECOLI	lysA	sHL_12	24.787261240960408	
sp|P00864|CAPP_ECOLI	ppc	sHL_12	129.4078568188888	
sp|P00887|AROH_ECOLI	aroH	sHL_12	72.26466027423461	
sp|P00888|AROF_ECOLI	aroF	sHL_12	5.643420442123043	
sp|P00893|ILVI_ECOLI	ilvI	sHL_12	143.17829401369502	
sp|P00894|ILVH_ECOLI	ilvH	sHL_12	85.78707609128497	
sp|P00895|TRPE_ECOLI	trpE	sHL_12	47.18837959147019	
sp|P00903|PABA_ECOLI	pabA	sHL_12	61.12897795930689	
sp|P00904|TRPGD_ECOLI	trpGD	sHL_12	80.72241527213312	
sp|P00909|TRPC_ECOLI	trpC	sHL_12	21.59035491419595	
sp|P00914|PHR_ECOLI	phrB	sHL_12	296.5579908709258	
sp|P00926|SDHD_ECOLI	dsdA	sHL_12	60.14882137384778	
sp|P00934|THRC_ECOLI	thrC	sHL_12	1432.7158414496512	
sp|P00935|METB_ECOLI	metB	sHL_12	60.450456292520926	
sp|P00936|CYAA_ECOLI	cyaA	sHL_12	1.9232919439701122	
sp|P00944|XYLA_ECOLI	xylA	sHL_12	30.77056637754206	
sp|P00946|MANA_ECOLI	manA	sHL_12	96.28064543130068	
sp|P00954|SYW_ECOLI	trpS	sHL_12	91.40946874739444	
sp|P00956|SYI_ECOLI	ileS	sHL_12	190.78957479919882	
sp|P00957|SYA_ECOLI	alaS	sHL_12	136.49605056191513	
sp|P00959|SYM_ECOLI	metG	sHL_12	48.514421396839744	
sp|P00961|SYGB_ECOLI	glyS	sHL_12	136.34706752461813	
sp|P00962|SYQ_ECOLI	glnS	sHL_12	262.45533814012583	
sp|P00963|ASNA_ECOLI	asnA	sHL_12	9.378851241881131	
sp|P00968|CARB_ECOLI	carB	sHL_12	92.30607266840373	
sp|P02358|RS6_ECOLI	rpsF	sHL_12	592.1282474489113	
sp|P02359|RS7_ECOLI	rpsG	sHL_12	950.9055353560889	
sp|P02413|RL15_ECOLI	rplO	sHL_12	38.47068333653475	
sp|P02918|PBPA_ECOLI	mrcA	sHL_12	110.53020325901481	
sp|P02925|RBSB_ECOLI	rbsB	sHL_12	40.24030085061558	
sp|P02929|TONB_ECOLI	tonB	sHL_12	11.255841549143376	
sp|P02930|TOLC_ECOLI	tolC	HL_6vs12	185.76806706065523	
sp|P02931|OMPF_ECOLI	ompF	sHL_12	152.5255597855065	
sp|P02942|MCP1_ECOLI	tsr	sHL_12	16.98372574487174	
sp|P03004|DNAA_ECOLI	dnaA	sHL_12	9.335116724677697	
sp|P03007|DPO3E_ECOLI	dnaQ	sHL_12	3.2636409052334625	
sp|P03018|UVRD_ECOLI	uvrD	sHL_12	24.24901957714129	
sp|P03023|LACI_ECOLI	lacI	sHL_12	20.988381264292705	
sp|P03024|GALR_ECOLI	galR	sHL_12	17.153518031872817	
sp|P03813|YGEA_ECOLI	ygeA	sHL_12	17.363168290524026	
sp|P03817|MIOC_ECOLI	mioC	sHL_12	40.90680107408257	
sp|P03835|INSG_ECOLI	insG	sHL_12	27.6518964417148	
sp|P03841|MALM_ECOLI	malM	sHL_12	83.79728464326351	
sp|P04036|DAPB_ECOLI	dapB	sHL_12	7580.700146079873	
sp|P04079|GUAA_ECOLI	guaA	sHL_12	49.31812269963383	
sp|P04335|FRSA_ECOLI	frsA	sHL_12	8.508610298167383	
sp|P04391|OTC1_ECOLI	argI	sHL_12	19.44195205284152	
sp|P04395|3MG2_ECOLI	alkA	sHL_12	7.117277874160847	
sp|P04425|GSHB_ECOLI	gshB	sHL_12	67.43380900425596	
sp|P04693|TYRB_ECOLI	tyrB	sHL_12	19.80931946214281	
sp|P04805|SYE_ECOLI	gltX	HL_6vs12	1784.032848808103	
sp|P04816|LIVK_ECOLI	livK	sHL_12	1358.4639605808836	
sp|P04825|AMPN_ECOLI	pepN	sHL_12	81.90979277036894	
sp|P04846|NLPA_ECOLI	nlpA	sHL_12	101.71034939364488	
sp|P04949|FLIC_ECOLI	fliC	sHL_12	1.0390713819003428	
sp|P04951|KDSB_ECOLI	kdsB	sHL_12	107.2294913351954	
sp|P04968|ILVA_ECOLI	ilvA	sHL_12	25.31810445967725	
sp|P04982|RBSD_ECOLI	rbsD	sHL_12	94.24340239538142	
sp|P04983|RBSA_ECOLI	rbsA	sHL_12	188.31479079873023	
sp|P04993|RECD_ECOLI	recD	sHL_12	16.710481705682252	
sp|P04994|EX7L_ECOLI	xseA	sHL_12	223.87437245745994	
sp|P04995|EX1_ECOLI	sbcB	sHL_12	59.08237691147805	
sp|P05020|PYRC_ECOLI	pyrC	sHL_12	25.843228344335824	
sp|P05041|PABB_ECOLI	pabB	sHL_12	126.82410698356395	
sp|P05042|FUMC_ECOLI	fumC	sHL_12	57.86673855785862	
sp|P05052|APPY_ECOLI	appY	sHL_12	12.5870212672166	
sp|P05055|PNP_ECOLI	pnp	sHL_12	254.32162973375887	
sp|P05100|3MG1_ECOLI	tag	sHL_12	5.503546541858781	
sp|P05194|AROD_ECOLI	aroD	sHL_12	43.449611852110536	
sp|P05458|PTRA_ECOLI	ptrA	sHL_12	251.31931255519663	
sp|P05523|FPG_ECOLI	mutM	HL_6vs12	50.59128047654169	
sp|P05637|APAH_ECOLI	apaH	sHL_12	16.732207689131933	
sp|P05704|MCP3_ECOLI	trg	sHL_12	13.53246425129488	
sp|P05719|T1SK_ECOLI	hsdS	sHL_12	116.85980415725867	
sp|P05791|ILVD_ECOLI	ilvD	sHL_12	44.12968088745125	
sp|P05793|ILVC_ECOLI	ilvC	sHL_12	72.6256276389698	
sp|P05825|FEPA_ECOLI	fepA	HL_6vs12	336.0485580536924	
sp|P05827|ILVY_ECOLI	ilvY	sHL_12	216.12109869356442	
sp|P05852|TSAD_ECOLI	tsaD	sHL_12	22.057616903625892	
sp|P06136|FTSQ_ECOLI	ftsQ	sHL_12	5.853283725073425	
sp|P06149|DLD_ECOLI	dld	sHL_12	60.5393837616589	
sp|P06282|CDH_ECOLI	cdh	HL_6vs12	51.049800741757075	
sp|P06610|BTUE_ECOLI	btuE	sHL_12	22.893736286293667	
sp|P06611|BTUD_ECOLI	btuD	sHL_12	7.579963492782786	
sp|P06612|TOP1_ECOLI	topA	sHL_12	85.98953009770699	
sp|P06616|ERA_ECOLI	era	sHL_12	11.927525618559873	
sp|P06709|BIRA_ECOLI	birA	sHL_12	21.47907462310259	
sp|P06710|DPO3X_ECOLI	dnaX	sHL_12	15.642636872011606	
sp|P06715|GSHR_ECOLI	gor	sHL_12	289.5783827191133	
sp|P06720|AGAL_ECOLI	melA	sHL_12	24.311522222824966	
sp|P06721|METC_ECOLI	metC	sHL_12	40.908160941744775	
sp|P06722|MUTH_ECOLI	mutH	sHL_12	31.865820412580028	
sp|P06846|EBGR_ECOLI	ebgR	sHL_12	53.344502890960264	
sp|P06959|ODP2_ECOLI	aceF	sHL_12	90.15566870265393	
sp|P06961|CCA_ECOLI	cca	sHL_12	27.653984131499115	
sp|P06966|DICA_ECOLI	dicA	sHL_12	16.592652188004568	
sp|P06974|FLIM_ECOLI	fliM	sHL_12	15.623946226505753	
sp|P06986|HIS8_ECOLI	hisC	sHL_12	55.744605818707946	
sp|P06987|HIS7_ECOLI	hisB	sHL_12	80.56333544826201	
sp|P06988|HISX_ECOLI	hisD	sHL_12	105.36065998060533	
sp|P06993|MALT_ECOLI	malT	sHL_12	1.5548726762984375	
sp|P06996|OMPC_ECOLI	ompC	sHL_12	363.09833144149485	
sp|P06999|PFKB_ECOLI	pfkB	sHL_12	99.79028644077886	
sp|P07003|POXB_ECOLI	poxB	sHL_12	169.6340212035292	
sp|P07004|PROA_ECOLI	proA	sHL_12	123.72069811334082	
sp|P07012|RF2_ECOLI	prfB	sHL_12	27.6915173015115	
sp|P07014|SDHB_ECOLI	sdhB	sHL_12	1217.3608245732764	
sp|P07017|MCP2_ECOLI	tar	sHL_12	11.265506178500754	
sp|P07018|MCP4_ECOLI	tap	sHL_12	6.305889285330598	
sp|P07023|TYRA_ECOLI	tyrA	sHL_12	20.578022805568647	
sp|P07102|PPA_ECOLI	appA	sHL_12	325.7863306527747	
sp|P07109|HISP_ECOLI	hisP	sHL_12	179.98074433134366	
sp|P07117|PUTP_ECOLI	putP	sHL_12	51.142843726130394	
sp|P07118|SYV_ECOLI	valS	sHL_12	81.96888602088012	
sp|P07330|CHEB_ECOLI	cheB	sHL_12	10.493332403398572	
sp|P07363|CHEA_ECOLI	cheA	sHL_12	2.4688258868377804	
sp|P07364|CHER_ECOLI	cheR	sHL_12	4.78464141976045	
sp|P07395|SYFB_ECOLI	pheT	HL_6vs12	491.9826504112566	
sp|P07604|TYRR_ECOLI	tyrR	sHL_12	25.944634460802	
sp|P07623|METAS_ECOLI	metAS	sHL_12	8.343666609714594	
sp|P07639|AROB_ECOLI	aroB	sHL_12	33.98108358753039	
sp|P07649|TRUA_ECOLI	truA	sHL_12	624.0941416679258	
sp|P07813|SYL_ECOLI	leuS	sHL_12	127.15244977573764	
sp|P07821|FHUC_ECOLI	fhuC	sHL_12	233.1232724937368	
sp|P07913|TDH_ECOLI	tdh	sHL_12	50.03836728531327	
sp|P08142|ILVB_ECOLI	ilvB	sHL_12	7.561000203111847	
sp|P08178|PUR5_ECOLI	purM	sHL_12	145.66992235347558	
sp|P08192|FOLC_ECOLI	folC	sHL_12	39.43125882205472	
sp|P08200|IDH_ECOLI	icd	sHL_12	62.66728448590217	
sp|P08202|ARAA_ECOLI	araA	sHL_12	48.718566321257235	
sp|P08244|PYRF_ECOLI	pyrF	sHL_12	48.02112035687517	
sp|P08245|YCIH_ECOLI	yciH	sHL_12	9.464711844990353	
sp|P08337|MUTT_ECOLI	mutT	sHL_12	36.48051972943247	
sp|P08368|CREB_ECOLI	creB	sHL_12	257.51774591730435	
sp|P08373|MURB_ECOLI	murB	sHL_12	55.50232170543969	
sp|P08390|USG_ECOLI	usg	sHL_12	54.97561130136918	
sp|P08395|SPPA_ECOLI	sppA	sHL_12	56.405562980656086	
sp|P08401|CREC_ECOLI	creC	sHL_12	58.3664396554433	
sp|P08622|DNAJ_ECOLI	dnaJ	sHL_12	44.233860157245246	
sp|P08660|AK3_ECOLI	lysC	sHL_12	28.45823944901704	
sp|P08839|PT1_ECOLI	ptsI	sHL_12	101.82846174129743	
sp|P08956|T1RK_ECOLI	hsdR	sHL_12	17.98192363589808	
sp|P08957|T1MK_ECOLI	hsdM	sHL_12	47.384461719326616	
sp|P08997|MASY_ECOLI	aceB	sHL_12	6.413637359871687	
sp|P09029|PURK_ECOLI	purK	sHL_12	43.209641696805846	
sp|P09030|EX3_ECOLI	xthA	sHL_12	117.38442891552752	
sp|P09053|AVTA_ECOLI	avtA	sHL_12	18.325714502256126	
sp|P09099|XYLB_ECOLI	xylB	sHL_12	49.71665707103366	
sp|P09126|HEM4_ECOLI	hemD	sHL_12	44.42032266181496	
sp|P09127|HEMX_ECOLI	hemX	sHL_12	200.12017718722433	
sp|P09147|GALE_ECOLI	galE	sHL_12	375.04680145732647	
sp|P09151|LEU1_ECOLI	leuA	sHL_12	7.073789199722721	
sp|P09155|RND_ECOLI	rnd	sHL_12	60.50948970590097	
sp|P09158|SPEE_ECOLI	speE	sHL_12	47.54134473533322	
sp|P09169|OMPT_ECOLI	ompT	sHL_12	276.96651207225796	
sp|P09184|VSR_ECOLI	vsr	sHL_12	34.756887596709774	
sp|P09323|PTW3C_ECOLI	nagE	sHL_12	2712.5932858641763	
sp|P09348|MOTA_ECOLI	motA	sHL_12	2.540937554487746	
sp|P09372|GRPE_ECOLI	grpE	sHL_12	40.462749543317116	
sp|P09373|PFLB_ECOLI	pflB	sHL_12	6.4109099791759885	
sp|P09391|GLPG_ECOLI	glpG	sHL_12	23.457623429431923	
sp|P09394|GLPQ_ECOLI	glpQ	sHL_12	245.24723750632518	
sp|P09424|MTLD_ECOLI	mtlD	sHL_12	111.36823063466936	
sp|P09546|PUTA_ECOLI	putA	sHL_12	6.642872270091516	
sp|P09549|DEDD_ECOLI	dedD	sHL_12	16.3350527712377	
sp|P09551|ARGT_ECOLI	argT	sHL_12	331.4389734523217	
sp|P09831|GLTB_ECOLI	gltB	sHL_12	28.62602685104118	
sp|P09832|GLTD_ECOLI	gltD	sHL_12	21.34367008331631	
sp|P09833|MODC_ECOLI	modC	sHL_12	137.13435198413234	
sp|P09835|UHPB_ECOLI	uhpB	sHL_12	60.18601636212156	
sp|P09980|REP_ECOLI	rep	sHL_12	13.515547294344282	
sp|P0A698|UVRA_ECOLI	uvrA	HL_6vs12	232.8167600552402	
sp|P0A6A0|UBIB_ECOLI	ubiB	HL_6vs12	77.57170637964305	
sp|P0A6A3|ACKA_ECOLI	ackA	HL_6vs12	112.43376703888373	
sp|P0A6A6|LEUC_ECOLI	leuC	sHL_12	5.374082307623527	
sp|P0A6A8|ACP_ECOLI	acpP	sHL_12	34.12278474967353	
sp|P0A6B4|ALR1_ECOLI	alr	sHL_12	138.88725327793227	
sp|P0A6B7|ISCS_ECOLI	iscS	sHL_12	5.633348523369165	
sp|P0A6C1|END4_ECOLI	nfo	sHL_12	6.938878104554657	
sp|P0A6C5|ARGA_ECOLI	argA	sHL_12	9.303056085564988	
sp|P0A6C8|ARGB_ECOLI	argB	sHL_12	74.66854631283314	
