Protein ID	Gene names 	selected_HL	HL_value	HL_value_STD	cHL_to_sHL_ratio	cHL_STD_to_sHL_STD_ratio	sHL_candidate	sHL_candidate_value	cHL_candidate	cHL_candidate_value
sp|A5A614|YCIZ_ECOLI	yciZ	sHL_6	10.121036455108749				sHL_6	10.121036455108749		
sp|O32583|THIS_ECOLI	thiS	sHL_12	7.122697187585977				sHL_12	7.122697187585977		
sp|P00350|6PGD_ECOLI	gnd	constant_HL_model_3vs12_6vs12_mean	29.709034282124243	0.4725807631192969	0.19911930558121516	0.0037986136595762727	standard_HL_model_6_12_mean	149.20217904238706	constant_HL_model_3vs12_6vs12_mean	29.709034282124243
sp|P00363|FRDA_ECOLI	frdA	HL_6vs12	113.27449947409745				sHL_3	294.14153311791245	HL_6vs12	113.27449947409745
sp|P00370|DHE4_ECOLI	gdhA	standard_HL_model_6_12_mean	19.694900855684228	1.6223195200133684	0.5074174315824059	1.408794925800936	standard_HL_model_6_12_mean	19.694900855684228	constant_HL_model_3vs6_3vs12_mean	9.993536007461419
sp|P00452|RIR1_ECOLI	nrdA	standard_HL_model_6_12_mean	33.63432688962926	9.165655282355388	0.4975446229894279	1.1825717338489599	standard_HL_model_6_12_mean	33.63432688962926	constant_HL_model_3vs6_3vs12_mean	16.734578491803767
sp|P00509|AAT_ECOLI	aspC	standard_HL_model_6_12_mean	73.58651595752127	1.8217607321790497	0.3726355452988358	6.844157234019231	standard_HL_model_6_12_mean	73.58651595752127	constant_HL_model_3vs6_3vs12_mean	27.42095150047242
sp|P00547|KHSE_ECOLI	thrB	standard_HL_model_3_12_mean	30.308872214009078	0.23163547910880702	0.7142298609398995	50.96188205145174	standard_HL_model_3_12_mean	30.308872214009078	constant_HL_model_3vs12_6vs12_mean	21.647501586656887
sp|P00561|AK1H_ECOLI	thrA	HL_3vs6	64.8290832724554				sHL_6	341.8466216701272	HL_3vs6	64.8290832724554
sp|P00562|AK2H_ECOLI	metL	standard_HL_model_6_12_mean	33.92365881445653	10.604431498611216	0.48905705741743943	1.0785567998523093	standard_HL_model_6_12_mean	33.92365881445653	constant_HL_model_3vs6_3vs12_mean	16.590604756631294
