# M9 media + 0.4pct. glucose + amino acids (5x Supplement EZ without VA Vitamin Solution).
# F. C. Neidhardt, P. L. Bloch, D. F. Smith, Journal of bacteriology 119, 736 (1974).
# https://www.genome.wisc.edu/resources/protocols/ezmedium.htm
"molecule id"	"concentration (units.mmol / units.L)"
"GLC[p]"	22.203
"OXYGEN-MOLECULE[p]"	Infinity
"AMMONIUM[c]"	18.695
"NA+[p]"	103.7
"PI[p]"	69.454
"K+[p]"	21.883
"SULFATE[p]"	2
"FE+2[p]"	Infinity
"CA+2[p]"	Infinity
"CL-[p]"	27.25
"CO+2[p]"	Infinity
"MG+2[p]"	2
"MN+2[p]"	Infinity
"NI+2[p]"	Infinity
"ZN+2[p]"	Infinity
"WATER[p]"	Infinity
"CARBON-DIOXIDE[p]"	Infinity
"CPD0-1958[p]"	Infinity
"L-SELENOCYSTEINE[c]"	Infinity
"GLC-D-LACTONE[c]"	Infinity
"CYTOSINE[c]"	Infinity
"L-ALPHA-ALANINE[p]"	3.996
"ARG[p]"	26.037
"ASN[p]"	1.998
"L-ASPARTATE[p]"	1.998
"CYS[p]"	0.513
"GLT[p]"	3.001
"GLN[p]"	3.078
"GLY[p]"	3.996
"HIS[p]"	1.002
"ILE[p]"	1.982
"LEU[p]"	4.024
"LYS[p]"	2.003
"MET[p]"	1.005
"PHE[p]"	2.010
"PRO[p]"	1.998
"SER[p]"	49.952
"THR[p]"	1.998
"TRP[p]"	0.509
"TYR[p]"	0.993
"VAL[p]"	3.003
