# File specifies recipes for making different media by adding ingredients to base media defined in ```media/```
"media id"	"base media"	"base media volume (units.L)"	"added media"	"added media volume (units.L)"	"ingredients"	"ingredients weight (units.g)"	"ingredients counts (units.mmol)"	"ingredients volume (units.L)"
"minimal"	"MIX0-57"	1.0	""	0	[]	[]	[]	[]
"minimal_minus_oxygen"	"MIX0-57"	1.0	""	0	["OXYGEN-MOLECULE", "4FE-4S"]	[-Infinity, Infinity]	[]	[]
"minimal_plus_amino_acids"	"MIX0-57"	0.8	"5X_supplement_EZ"	0.2	[]	[]	[]	[]
"minimal_no_glucose"	"MIX0-55"	1.0	""	0	[]	[]	[]	[]
"minimal_acetate"	"MIX0-58"	1.0	""	0	[]	[]	[]	[]
"minimal_fumarate"	"MIX0-55"	1.0	""	0	["FUM"]	[Infinity]	[]	[]
"minimal_malate"	"MIX0-55"	1.0	""	0	["MAL"]	[Infinity]	[]	[]
"minimal_succinate"	"MIX0-844"	1.0	""	0	[]	[]	[]	[]
"minimal_minus_calcium"	"MIX0-57"	1.0	""	0	["CA+2"]	[-Infinity]	[]	[]
"minimal_minus_magnesium"	"MIX0-57"	1.0	""	0	["MG+2"]	[-Infinity]	[]	[]
"minimal_minus_phosphate"	"MIX0-57"	1.0	""	0	["Pi"]	[-Infinity]	[]	[]
"minimal_plus_arabinose"	"MIX0-57"	1.0	""	0	["ARABINOSE"]	[Infinity]	[]	[]
"minimal_plus_cytidine"	"MIX0-57"	1.0	""	0	["CYTIDINE"]	[Infinity]	[]	[]
"minimal_plus_gallate"	"MIX0-57"	1.0	""	0	["CPD-183"]	[Infinity]	[]	[]
"minimal_plus_indole"	"MIX0-57"	1.0	""	0	["INDOLE"]	[Infinity]	[]	[]
"minimal_plus_nitrate"	"MIX0-57"	1.0	""	0	["NITRATE"]	[Infinity]	[]	[]
"minimal_plus_nitrite"	"MIX0-57"	1.0	""	0	["NITRITE"]	[Infinity]	[]	[]
"minimal_plus_quercetin"	"MIX0-57"	1.0	""	0	["CPD-520"]	[Infinity]	[]	[]
"minimal_plus_sam"	"MIX0-57"	1.0	""	0	["S-ADENOSYLMETHIONINE"]	[Infinity]	[]	[]
"minimal_plus_tungstate"	"MIX0-57"	1.0	""	0	["TUNGSTATE"]	[Infinity]	[]	[]
