"TF"	"Target"	"_comments"
"crp"	"cyaA"	"Disabled because of negative feedback in acetate - cyaA -> cAMP -> cAMP-crp"
"bglJ"	"leuO"	"Remove feedback loop between bglJ <-> leuO"
"leuO"	"bglJ"	"Remove feedback loop between bglJ <-> leuO"
"fnr"	"arcA"	"Remove to get expression of arcA"
"lrp"	"alaS"	"Remove synthetases until better amino acid feedback control"
"lrp"	"argS"	"Remove synthetases until better amino acid feedback control"
"lrp"	"aspS"	"Remove synthetases until better amino acid feedback control"
"csiR"	"cysS"	"Remove synthetases until better amino acid feedback control"
"fis"	"gltX"	"Remove synthetases until better amino acid feedback control"
"lrp"	"lysU"	"Remove synthetases until better amino acid feedback control"
"nac"	"lysU"	"Remove synthetases until better amino acid feedback control"
"nsrR"	"pheS"	"Remove synthetases until better amino acid feedback control"
"nsrR"	"pheT"	"Remove synthetases until better amino acid feedback control"
"lrp"	"serS"	"Remove synthetases until better amino acid feedback control"
"nsrR"	"thrS"	"Remove synthetases until better amino acid feedback control"
"arcA"	"rpsC"	"Remove r-Proteins until better amino acid feedback control"
"arcA"	"rpsJ"	"Remove r-Proteins until better amino acid feedback control"
"arcA"	"rpsQ"	"Remove r-Proteins until better amino acid feedback control"
"arcA"	"rpsS"	"Remove r-Proteins until better amino acid feedback control"
"argR"	"rpsO"	"Remove r-Proteins until better amino acid feedback control"
"crp"	"rpsF"	"Remove r-Proteins until better amino acid feedback control"
"crp"	"rpsI"	"Remove r-Proteins until better amino acid feedback control"
"crp"	"rpsO"	"Remove r-Proteins until better amino acid feedback control"
"crp"	"rpsR"	"Remove r-Proteins until better amino acid feedback control"
"fis"	"rpsO"	"Remove r-Proteins until better amino acid feedback control"
"fnr"	"rpsC"	"Remove r-Proteins until better amino acid feedback control"
"fnr"	"rpsI"	"Remove r-Proteins until better amino acid feedback control"
"fnr"	"rpsJ"	"Remove r-Proteins until better amino acid feedback control"
"fnr"	"rpsP"	"Remove r-Proteins until better amino acid feedback control"
"fnr"	"rpsQ"	"Remove r-Proteins until better amino acid feedback control"
"fnr"	"rpsS"	"Remove r-Proteins until better amino acid feedback control"
"csiR"	"rpsF"	"Remove r-Proteins until better amino acid feedback control"
"lexA"	"rpsU"	"Remove r-Proteins until better amino acid feedback control"
"lrp"	"rpsH"	"Remove r-Proteins until better amino acid feedback control"
"arcA"	"rpmC"	"Remove r-Proteins until better amino acid feedback control"
"fnr"	"rpmC"	"Remove r-Proteins until better amino acid feedback control"
"mlrA"	"rpmA"	"Remove r-Proteins until better amino acid feedback control"
"nac"	"rpmH"	"Remove r-Proteins until better amino acid feedback control"
"nsrR"	"rpmI"	"Remove r-Proteins until better amino acid feedback control"
"arcA"	"rplB"	"Remove r-Proteins until better amino acid feedback control"
"arcA"	"rplC"	"Remove r-Proteins until better amino acid feedback control"
"arcA"	"rplD"	"Remove r-Proteins until better amino acid feedback control"
"arcA"	"rplP"	"Remove r-Proteins until better amino acid feedback control"
"arcA"	"rplV"	"Remove r-Proteins until better amino acid feedback control"
"arcA"	"rplW"	"Remove r-Proteins until better amino acid feedback control"
"crp"	"rplI"	"Remove r-Proteins until better amino acid feedback control"
"crp"	"rplM"	"Remove r-Proteins until better amino acid feedback control"
"fnr"	"rplB"	"Remove r-Proteins until better amino acid feedback control"
"fnr"	"rplC"	"Remove r-Proteins until better amino acid feedback control"
"fnr"	"rplD"	"Remove r-Proteins until better amino acid feedback control"
"fnr"	"rplM"	"Remove r-Proteins until better amino acid feedback control"
"fnr"	"rplP"	"Remove r-Proteins until better amino acid feedback control"
"fnr"	"rplS"	"Remove r-Proteins until better amino acid feedback control"
"fnr"	"rplV"	"Remove r-Proteins until better amino acid feedback control"
"fnr"	"rplW"	"Remove r-Proteins until better amino acid feedback control"
"lrp"	"rplF"	"Remove r-Proteins until better amino acid feedback control"
"lrp"	"rplR"	"Remove r-Proteins until better amino acid feedback control"
"mlrA"	"rplU"	"Remove r-Proteins until better amino acid feedback control"
"nac"	"rplU"	"Remove r-Proteins until better amino acid feedback control"
"nsrR"	"rplT"	"Remove r-Proteins until better amino acid feedback control"
