# Generated by models/ecoli/analysis/cohort/kcat_estimations.py on wildtype simulations: 2 seed(s), 8 generation(s) used (gens 4-11, first 4 skipped), 16 total cells. Generated 2026-03-12 17:48:46.
"reaction_id"	"catalyst_id"	"kcat_estimate"
"ACETYLORNDEACET-RXN"	"ACETYLORNDEACET-CPLX[c]"	991.2511421896237
"DIAMINOPIMDECARB-RXN"	"DIAMINOPIMDECARB-CPLX[c]"	824.4782918422165
"DIHYDROFOLATESYNTH-RXN"	"FOLC-MONOMER[c]"	1.2849132228760065
"L-GLN-FRUCT-6-P-AMINOTRANS-RXN"	"L-GLN-FRUCT-6-P-AMINOTRANS-CPLX[c]"	123.49182732119507
"L-GLN-FRUCT-6-P-AMINOTRANS-RXN-FRUCTOSE-6P/GLN//CPD-13469/GLT.31."	"L-GLN-FRUCT-6-P-AMINOTRANS-CPLX[c]"	0.0
"PANTEPADENYLYLTRAN-RXN"	"COADTRI-CPLX[c]"	244.76063475508693
"UDP-NACMURALGLDAPAALIG-RXN"	"UDP-NACMURALGLDAPAALIG-MONOMER[c]"	0.0
"DIOHBUTANONEPSYN-RXN"	"DIOHBUTANONEPSYN-CPLX[c]"	2.1761697852686943
"RXN-23894"	"GLNS-MONOMER[c]"	0.0
"PHOSNACMURPENTATRANS-RXN"	"PHOSNACMURPENTATRANS-MONOMER[m]"	0.0
"PRPPAMIDOTRANS-RXN (reverse)"	"PRPPAMIDOTRANS-CPLX[c]"	1216.3807945775454
"P-PANTOCYSDECARB-RXN"	"CPLX0-341[c]"	157.172294536521
"P-PANTOCYSLIG-RXN"	"CPLX0-341[c]"	156.96432349389562
"RXN-22914"	"CPLX0-341[c]"	0.0
"RXN-22915"	"CPLX0-341[c]"	0.0
"FGAMSYN-RXN"	"FGAMSYN-MONOMER[c]"	499.2406604211028
"KDO-8PSYNTH-RXN"	"KDO-8PSYNTH-CPLX[c]"	23.47213090822286
"DIHYDROOROT-RXN"	"DIHYDROOROT-CPLX[c]"	924.0075456260265
"DIHYDROOROT-RXN (reverse)"	"DIHYDROOROT-CPLX[c]"	1061.9346563652437
"DXPREDISOM-RXN"	"DXPREDISOM-CPLX[i]"	279.016267008957
"DXPREDISOM-RXN (reverse)"	"DXPREDISOM-CPLX[i]"	358.6199993898681
"LIPIDADISACCHARIDESYNTH-RXN"	"CPLX0-7415[c]"	32.79485418288654
"RXN-11484"	"7KAPSYN-CPLX[c]"	0.653683277995518
"L-ASPARTATE-OXID-RXN"	"L-ASPARTATE-OXID-MONOMER[c]"	17.728110097338394
"RXN-9772"	"L-ASPARTATE-OXID-MONOMER[c]"	38.577485654896456
"RXN0-742"	"PURK-CPLX[c]"	818.2869919815826
"PHOSPHAGLYPSYN-RXN-CPD-12814/GLYCEROL-3P//CMP/CPD-12820/PROTON.44."	"PHOSPHAGLYPSYN-MONOMER[i]"	0.0
"PHOSPHAGLYPSYN-RXN-CPD-12815/GLYCEROL-3P//CMP/CPD-12821/PROTON.44."	"PHOSPHAGLYPSYN-MONOMER[i]"	104.78316482098248
"PHOSPHAGLYPSYN-RXN-CPD-18355/GLYCEROL-3P//CMP/CPD-18400/PROTON.44."	"PHOSPHAGLYPSYN-MONOMER[i]"	0.0
"PHOSPHAGLYPSYN-RXN-CPD-18357/GLYCEROL-3P//CMP/CPD-18399/PROTON.44."	"PHOSPHAGLYPSYN-MONOMER[i]"	0.0
"PHOSPHAGLYPSYN-RXN-CPD-18358/GLYCEROL-3P//CMP/CPD-18359/PROTON.44."	"PHOSPHAGLYPSYN-MONOMER[i]"	0.0
"PHOSPHAGLYPSYN-RXN-CPD-18387/GLYCEROL-3P//CMP/CPD-18397/PROTON.44."	"PHOSPHAGLYPSYN-MONOMER[i]"	0.0
"PHOSPHAGLYPSYN-RXN-CPD-18391/GLYCEROL-3P//CMP/CPD-18398/PROTON.44."	"PHOSPHAGLYPSYN-MONOMER[i]"	0.0
"PMPOXI-RXN"	"PDXH-CPLX[c]"	2.674667150896621
"PNPOXI-RXN"	"PDXH-CPLX[c]"	3.240851433558469
"RXN-8992"	"CPLX0-7426[c]"	0.9139429157445623
"RXN-14570"	"CPLX0-8182[c]"	0.0
"RXN-15131__CYSTATHIONINE-BETA-LYASE-CPLX"	"CYSTATHIONINE-BETA-LYASE-CPLX[c]"	9.161600046778734
"BIOTIN-CARBOXYL-RXN"	"BIOTIN-CARBOXYL-CPLX[c]"	1590.2115421218307
"3-DEHYDROQUINATE-SYNTHASE-RXN"	"AROB-MONOMER[c]"	1428.654864988705
"RXN-20673"	"AROB-MONOMER[c]"	1294.785917245967
"RXN-20674"	"AROB-MONOMER[c]"	1294.785917245967
"RXN-1961"	"G6096-MONOMER[c]"	0.0
"GLYCEROL-2-PHOSPHATASE-RXN[CCO-CYTOSOL]-CPD-536/WATER//GLYCEROL/Pi.40."	"EG10983-MONOMER[c]"	0.0
"RXN-7253"	"EG10983-MONOMER[c]"	0.0
"RXN0-5408"	"EG10983-MONOMER[c]"	0.0
"AIRS-RXN"	"AIRS-CPLX[c]"	340.4773062992923
"RXN-19498"	"ARGS-MONOMER[c]"	0.0
"NAD-SYNTH-NH3-RXN"	"NAD-SYNTH-CPLX[c]"	3.362647592825592
"PANTOATE-BETA-ALANINE-LIG-RXN"	"PANTOATE-BETA-ALANINE-LIG-CPLX[c]"	6.842217304147035
"RXN-14569"	"G7698-MONOMER[c]"	0.0
"RXN-14569 (reverse)"	"G7698-MONOMER[c]"	0.0
"GLYRIBONUCSYN-RXN"	"GLYCRIBONUCSYN-MONOMER[c]"	291.7047052542417
"ADENYLOSUCCINATE-SYNTHASE-RXN"	"ADENYLOSUCCINATE-SYN-DIMER[c]"	67.57170489496507
"2.8.1.6-RXN"	"BIOTIN-SYN-CPLX[c]"	0.11913472297833758
"RXN-17472"	"BIOTIN-SYN-CPLX[c]"	0.0
"RXN-17473"	"BIOTIN-SYN-CPLX[c]"	0.0
"ACETOLACTREDUCTOISOM-RXN (reverse)"	"CPLX0-7643[c]"	39.28563248333575
"ACETOOHBUTREDUCTOISOM-RXN (reverse)"	"CPLX0-7643[c]"	68.39943335420548
"GAPOXNPHOSPHN-RXN"	"GAPDH-A-CPLX[c]"	327.2762859359799
"GAPOXNPHOSPHN-RXN (reverse)"	"GAPDH-A-CPLX[c]"	0.0
"RXN-11483"	"EG10122-MONOMER[c]"	0.2754211919486067
"GLUTKIN-RXN"	"GLUTKIN-CPLX[c]"	764.8200539635054
"NICONUCADENYLYLTRAN-RXN"	"NICONUCADENYLYLTRAN-MONOMER[c]"	75.71826373616003
"RXN-15889"	"ENTD-MONOMER[m]"	0.0
"TRANS-RXN-236-CPD-15238/ATP/WATER//CPD-15238/ADP/Pi/PROTON.45."	"CPLX0-7704[m]"	0.0
"TRANS-RXN-236-CPD-15242/ATP/WATER//CPD-15242/ADP/Pi/PROTON.45."	"CPLX0-7704[m]"	0.0
"TRANS-RXN-236-CPD-21352/ATP/WATER//CPD-21352/ADP/Pi/PROTON.45."	"CPLX0-7704[m]"	0.0
