# Generated by models/ecoli/analysis/cohort/kcat_estimations.py on wildtype simulations: 2 seed(s), 8 generation(s) used (gens 4-11, first 4 skipped), 16 total cells. Generated 2026-03-12 17:48:46.
"reaction_id"	"catalyst_id"	"kcat_estimate"
"ACETYLORNDEACET-RXN"	"ACETYLORNDEACET-CPLX[c]"	778.895981135792
"DIAMINOPIMDECARB-RXN"	"DIAMINOPIMDECARB-CPLX[c]"	738.5305000932074
"DIHYDROFOLATESYNTH-RXN"	"FOLC-MONOMER[c]"	0.6642623461186656
"L-GLN-FRUCT-6-P-AMINOTRANS-RXN"	"L-GLN-FRUCT-6-P-AMINOTRANS-CPLX[c]"	123.48216899702636
"L-GLN-FRUCT-6-P-AMINOTRANS-RXN-FRUCTOSE-6P/GLN//CPD-13469/GLT.31."	"L-GLN-FRUCT-6-P-AMINOTRANS-CPLX[c]"	0.0
"PANTEPADENYLYLTRAN-RXN"	"COADTRI-CPLX[c]"	192.4995448452263
"UDP-NACMURALGLDAPAALIG-RXN"	"UDP-NACMURALGLDAPAALIG-MONOMER[c]"	0.0
"DIOHBUTANONEPSYN-RXN"	"DIOHBUTANONEPSYN-CPLX[c]"	1.8711370564218561
"RXN-23894"	"GLNS-MONOMER[c]"	0.0
"PHOSNACMURPENTATRANS-RXN"	"PHOSNACMURPENTATRANS-MONOMER[m]"	0.0
"PRPPAMIDOTRANS-RXN (reverse)"	"PRPPAMIDOTRANS-CPLX[c]"	994.896340599696
"P-PANTOCYSDECARB-RXN"	"CPLX0-341[c]"	135.61088459823486
"P-PANTOCYSLIG-RXN"	"CPLX0-341[c]"	129.7947013194789
"RXN-22914"	"CPLX0-341[c]"	0.0
"RXN-22915"	"CPLX0-341[c]"	0.0
"FGAMSYN-RXN"	"FGAMSYN-MONOMER[c]"	398.9685403239738
"KDO-8PSYNTH-RXN"	"KDO-8PSYNTH-CPLX[c]"	12.037789274892987
"DIHYDROOROT-RXN"	"DIHYDROOROT-CPLX[c]"	892.4916066077036
"DIHYDROOROT-RXN (reverse)"	"DIHYDROOROT-CPLX[c]"	1061.8562462836026
"DXPREDISOM-RXN"	"DXPREDISOM-CPLX[i]"	224.96594893279843
"DXPREDISOM-RXN (reverse)"	"DXPREDISOM-CPLX[i]"	358.58596127949056
"LIPIDADISACCHARIDESYNTH-RXN"	"CPLX0-7415[c]"	19.44358828757859
"RXN-11484"	"7KAPSYN-CPLX[c]"	0.28626303185316704
"L-ASPARTATE-OXID-RXN"	"L-ASPARTATE-OXID-MONOMER[c]"	17.45674376970642
"RXN-9772"	"L-ASPARTATE-OXID-MONOMER[c]"	38.39704898974004
"RXN0-742"	"PURK-CPLX[c]"	699.3703199751083
"PHOSPHAGLYPSYN-RXN-CPD-12814/GLYCEROL-3P//CMP/CPD-12820/PROTON.44."	"PHOSPHAGLYPSYN-MONOMER[i]"	0.0
"PHOSPHAGLYPSYN-RXN-CPD-12815/GLYCEROL-3P//CMP/CPD-12821/PROTON.44."	"PHOSPHAGLYPSYN-MONOMER[i]"	55.95630355968531
"PHOSPHAGLYPSYN-RXN-CPD-18355/GLYCEROL-3P//CMP/CPD-18400/PROTON.44."	"PHOSPHAGLYPSYN-MONOMER[i]"	0.0
"PHOSPHAGLYPSYN-RXN-CPD-18357/GLYCEROL-3P//CMP/CPD-18399/PROTON.44."	"PHOSPHAGLYPSYN-MONOMER[i]"	0.0
"PHOSPHAGLYPSYN-RXN-CPD-18358/GLYCEROL-3P//CMP/CPD-18359/PROTON.44."	"PHOSPHAGLYPSYN-MONOMER[i]"	0.0
"PHOSPHAGLYPSYN-RXN-CPD-18387/GLYCEROL-3P//CMP/CPD-18397/PROTON.44."	"PHOSPHAGLYPSYN-MONOMER[i]"	0.0
"PHOSPHAGLYPSYN-RXN-CPD-18391/GLYCEROL-3P//CMP/CPD-18398/PROTON.44."	"PHOSPHAGLYPSYN-MONOMER[i]"	0.0
"PMPOXI-RXN"	"PDXH-CPLX[c]"	2.1619541856194253
"PNPOXI-RXN"	"PDXH-CPLX[c]"	1.9314613689635638
"RXN-8992"	"CPLX0-7426[c]"	0.42938629485163554
"RXN-14570"	"CPLX0-8182[c]"	0.0
"RXN-15131__CYSTATHIONINE-BETA-LYASE-CPLX"	"CYSTATHIONINE-BETA-LYASE-CPLX[c]"	0.0
"BIOTIN-CARBOXYL-RXN"	"BIOTIN-CARBOXYL-CPLX[c]"	783.677036647775
"3-DEHYDROQUINATE-SYNTHASE-RXN"	"AROB-MONOMER[c]"	1428.5842237542574
"RXN-20673"	"AROB-MONOMER[c]"	1001.0595644933201
"RXN-20674"	"AROB-MONOMER[c]"	1001.0595644933201
"RXN-1961"	"G6096-MONOMER[c]"	0.0
"GLYCEROL-2-PHOSPHATASE-RXN[CCO-CYTOSOL]-CPD-536/WATER//GLYCEROL/Pi.40."	"EG10983-MONOMER[c]"	0.0
"RXN-7253"	"EG10983-MONOMER[c]"	0.0
"RXN0-5408"	"EG10983-MONOMER[c]"	0.0
"AIRS-RXN"	"AIRS-CPLX[c]"	280.60339142477744
"RXN-19498"	"ARGS-MONOMER[c]"	0.0
"NAD-SYNTH-NH3-RXN"	"NAD-SYNTH-CPLX[c]"	2.9495333157652026
"PANTOATE-BETA-ALANINE-LIG-RXN"	"PANTOATE-BETA-ALANINE-LIG-CPLX[c]"	5.73943946452837
"RXN-14569"	"G7698-MONOMER[c]"	0.0
"RXN-14569 (reverse)"	"G7698-MONOMER[c]"	0.0
"GLYRIBONUCSYN-RXN"	"GLYCRIBONUCSYN-MONOMER[c]"	249.1798158251831
"ADENYLOSUCCINATE-SYNTHASE-RXN"	"ADENYLOSUCCINATE-SYN-DIMER[c]"	59.45775623182014
"2.8.1.6-RXN"	"BIOTIN-SYN-CPLX[c]"	0.05460775076949734
"RXN-17472"	"BIOTIN-SYN-CPLX[c]"	0.0
"RXN-17473"	"BIOTIN-SYN-CPLX[c]"	0.0
"ACETOLACTREDUCTOISOM-RXN (reverse)"	"CPLX0-7643[c]"	35.47381811984681
"ACETOOHBUTREDUCTOISOM-RXN (reverse)"	"CPLX0-7643[c]"	61.1783743026636
"GAPOXNPHOSPHN-RXN"	"GAPDH-A-CPLX[c]"	261.50476471004055
"GAPOXNPHOSPHN-RXN (reverse)"	"GAPDH-A-CPLX[c]"	0.0
"RXN-11483"	"EG10122-MONOMER[c]"	0.14734693756348782
"GLUTKIN-RXN"	"GLUTKIN-CPLX[c]"	655.7412012116425
"NICONUCADENYLYLTRAN-RXN"	"NICONUCADENYLYLTRAN-MONOMER[c]"	53.334915253676776
"RXN-15889"	"ENTD-MONOMER[m]"	0.0
"TRANS-RXN-236-CPD-15238/ATP/WATER//CPD-15238/ADP/Pi/PROTON.45."	"CPLX0-7704[m]"	0.0
"TRANS-RXN-236-CPD-15242/ATP/WATER//CPD-15242/ADP/Pi/PROTON.45."	"CPLX0-7704[m]"	0.0
"TRANS-RXN-236-CPD-21352/ATP/WATER//CPD-21352/ADP/Pi/PROTON.45."	"CPLX0-7704[m]"	0.0
"TRANS-RXN-236-CPD-21354/ATP/WATER//CPD-21354/ADP/Pi/PROTON.45."	"CPLX0-7704[m]"	0.0
"TRANS-RXN-236-CPD-21356/ATP/WATER//CPD-21356/ADP/Pi/PROTON.45."	"CPLX0-7704[m]"	0.0
"TRANS-RXN-236-CPD-21357/ATP/WATER//CPD-21357/ADP/Pi/PROTON.45."	"CPLX0-7704[m]"	0.0
"TRANS-RXN-236-CPD-21359/ATP/WATER//CPD-21359/ADP/Pi/PROTON.45."	"CPLX0-7704[m]"	0.0
"TRANS-RXN-236-CPD-24804/ATP/WATER//CPD-24804/ADP/Pi/PROTON.45."	"CPLX0-7704[m]"	0.0
"TRANS-RXN-236-CPD0-1151/ATP/WATER//CPD0-1151/ADP/Pi/PROTON.45."	"CPLX0-7704[m]"	0.0
"TRANS-RXN-236-CPD0-939/ATP/WATER//CPD0-939/ADP/Pi/PROTON.43."	"CPLX0-7704[m]"	0.0
"TRANS-RXN-498"	"CPLX0-7704[m]"	0.0
"RXN-14814"	"ASPS-CPLX[c]"	0.0
"RXN-23929"	"ASPS-CPLX[c]"	0.0
"PYRROLINECARBREDUCT-RXN-PRO/NAD//L-DELTA1-PYRROLINE_5-CARBOXYLATE/NADH/PROTON.54. (reverse)"	"PYRROLINECARBREDUCT-CPLX[c]"	959.0010137954818
"PYRROLINECARBREDUCT-RXN-PRO/NADP//L-DELTA1-PYRROLINE_5-CARBOXYLATE/NADPH/PROTON.56. (reverse)"	"PYRROLINECARBREDUCT-CPLX[c]"	0.0
"RXN0-5114[CCO-CYTOSOL]-3-P-SERINE/WATER//SER/Pi.38."	"PSERPHOSPHA-MONOMER[c]"	0.0
"1.3.1.9-RXN (reverse)"	"CPLX0-8006[c]"	0.0
"ENOYL-ACP-REDUCT-NADH-RXN-Arachidoyl-ACPs/NAD//trans-delta2-arachidoyl-ACPs/NADH/PROTON.62. (reverse)"	"CPLX0-8006[c]"	0.0
"ENOYL-ACP-REDUCT-NADH-RXN-Butanoyl-ACPs/NAD//POLYMER-INST-TRANS-D2-ENOYL-ACP-C0-H0/NADH/PROTON.69. (reverse)"	"CPLX0-8006[c]"	0.0
"ENOYL-ACP-REDUCT-NADH-RXN-POLYMER-INST-Saturated-Fatty-Acyl-ACPs-C4-H8/NAD//POLYMER-INST-TRANS-D2-ENOYL-ACP-C4-H8/NADH/PROTON.100. (reverse)"	"CPLX0-8006[c]"	0.0
"ENOYL-ACP-REDUCT-NADH-RXN-Stearoyl-ACPs/NAD//Octadec-2-enoyl-ACPs/NADH/PROTON.52. (reverse)"	"CPLX0-8006[c]"	0.0
"ENOYL-ACP-REDUCT-NADPH-RXN-Arachidoyl-ACPs/NADP//NADPH/trans-delta2-arachidoyl-ACPs/PROTON.64. (reverse)"	"CPLX0-8006[c]"	0.0
