# Generated by models/ecoli/analysis/cohort/kcat_estimations.py on wildtype simulations: 64 seed(s), 8 generation(s) used (gens 4-11, first 4 skipped), 505 total cells. Generated 2026-03-30 20:54:40.
"reaction_id"	"catalyst_id"	"kcat_estimate"
"GLYC3PDEHYDROGBIOSYN-RXN-GLYCEROL-3P/NAD//DIHYDROXY-ACETONE-PHOSPHATE/NADH/PROTON.57. (reverse)"	"GLYC3PDEHYDROGBIOSYN-CPLX[c]"	8602.502817624172
"GLYC3PDEHYDROGBIOSYN-RXN-GLYCEROL-3P/NADP//DIHYDROXY-ACETONE-PHOSPHATE/NADPH/PROTON.59. (reverse)"	"GLYC3PDEHYDROGBIOSYN-CPLX[c]"	12913.091950108868
"DIHYDROFOLATESYNTH-RXN"	"FOLC-MONOMER[c]"	70.63018118079678
"L-ASPARTATE-OXID-RXN"	"L-ASPARTATE-OXID-MONOMER[c]"	189.285703504844
"RXN-9772"	"L-ASPARTATE-OXID-MONOMER[c]"	5108.649164251112
"DIHYDRODIPICSYN-RXN"	"DIHYDRODIPICSYN-CPLX[c]"	20480.510249413233
"PRPPSYN-RXN"	"CPLX0-8299[c]"	10628.552226571861
"PRPPSYN-RXN-CPD-15318/ATP//PRPP/AMP/PROTON.31."	"CPLX0-8299[c]"	11321.119677437167
"PRPPSYN-RXN-CPD-15895/ATP//PRPP/AMP/PROTON.31."	"CPLX0-8299[c]"	8155.7346304437015
"PRPPSYN-RXN-CPD-16551/ATP//PRPP/AMP/PROTON.31."	"CPLX0-8299[c]"	7169.608294926356
"NICONUCADENYLYLTRAN-RXN"	"NICONUCADENYLYLTRAN-MONOMER[c]"	5190.979824286099
"ACETYLORNDEACET-RXN"	"ACETYLORNDEACET-CPLX[c]"	94511.13721502209
"GLYOHMETRANS-RXN-SER/CPD-1301//GLY/CPD-12996/WATER.34."	"GLYOHMETRANS-CPLX[c]"	12578.947832181966
"GLYOHMETRANS-RXN-SER/CPD-1301//GLY/CPD-12996/WATER.34. (reverse)"	"GLYOHMETRANS-CPLX[c]"	583.331669576269
"GLYOHMETRANS-RXN-SER/THF//GLY/METHYLENE-THF/WATER.33."	"GLYOHMETRANS-CPLX[c]"	157.9042445463136
"GLYOHMETRANS-RXN-SER/THF//GLY/METHYLENE-THF/WATER.33. (reverse)"	"GLYOHMETRANS-CPLX[c]"	736.9984891251299
"RXN0-5240"	"GLYOHMETRANS-CPLX[c]"	0.00418213543807219
"RXN0-5240 (reverse)"	"GLYOHMETRANS-CPLX[c]"	0.4967134848152087
"PANTEPADENYLYLTRAN-RXN"	"COADTRI-CPLX[c]"	1033040.5877905056
"PEPCARBOX-RXN (reverse)"	"PEPCARBOX-CPLX[c]"	29718.247271032888
"PREPHENATEDEHYDROG-RXN"	"CHORISMUTPREPHENDEHYDROG-CPLX[c]"	1300.5048277915198
"CHORISMATEMUT-RXN__CHORISMUTPREPHENDEHYDROG-CPLX"	"CHORISMUTPREPHENDEHYDROG-CPLX[c]"	626.567135991268
"3-HYDROXYDECANOYL-ACP-DEHYDR-RXN-POLYMER-INST-OH-ACYL-ACP-C0-H0//POLYMER-INST-TRANS-D2-ENOYL-ACP-C0-H0/WATER.76."	"FABA-CPLX[c]"	4491.300219959181
"3-HYDROXYDECANOYL-ACP-DEHYDR-RXN-POLYMER-INST-OH-ACYL-ACP-C12-H24//2-Hexadecenoyl-ACPs/WATER.60."	"FABA-CPLX[c]"	3776.0968001841065
"3-HYDROXYDECANOYL-ACP-DEHYDR-RXN-POLYMER-INST-OH-ACYL-ACP-C4-H8//POLYMER-INST-TRANS-D2-ENOYL-ACP-C4-H8/WATER.76."	"FABA-CPLX[c]"	3273.8346497522084
"3-HYDROXYDECANOYL-ACP-DEHYDR-RXN-R-3-hydroxyarachidoyl-ACPs//trans-delta2-arachidoyl-ACPs/WATER.63."	"FABA-CPLX[c]"	4.4537616161582324e-12
"3-HYDROXYDECANOYL-ACP-DEHYDR-RXN-R-3-hydroxystearoyl-ACPs//Octadec-2-enoyl-ACPs/WATER.53."	"FABA-CPLX[c]"	4.4537616161582324e-12
"4.2.1.58-RXN"	"FABA-CPLX[c]"	2458.9764189512875
"4.2.1.59-RXN"	"FABA-CPLX[c]"	2458.9764189512875
"4.2.1.61-RXN"	"FABA-CPLX[c]"	2462.404530498832
"5.3.3.14-RXN"	"FABA-CPLX[c]"	4.176463779988108e-13
"5.3.3.14-RXN (reverse)"	"FABA-CPLX[c]"	3.942973721981298e-13
"RXN-9520"	"FABA-CPLX[c]"	4491.300219959181
"RXN-9533"	"FABA-CPLX[c]"	4491.300219959181
"RXN-9537"	"FABA-CPLX[c]"	3895.297370146619
"RXN-9655"	"FABA-CPLX[c]"	4491.300219959181
"AICARTRANSFORM-RXN-10-FORMYL-THF/AICAR//THF/PHOSPHORIBOSYL-FORMAMIDO-CARBOXAMIDE.62."	"AICARTRANSIMPCYCLO-CPLX[c]"	1123.8632115830155
"IMPCYCLOHYDROLASE-RXN (reverse)"	"AICARTRANSIMPCYCLO-CPLX[c]"	1123.8632115830155
"RXN0-5114[CCO-CYTOSOL]-3-P-SERINE/WATER//SER/Pi.38."	"PSERPHOSPHA-MONOMER[c]"	1653.4306277850355
"RXN-11483"	"EG10122-MONOMER[c]"	4387.956084413096
"KDO-8PSYNTH-RXN"	"KDO-8PSYNTH-CPLX[c]"	1410.5515842711477
"PDXJ-RXN"	"CPLX0-321[c]"	108.93131226317765
"DXS-RXN"	"CPLX0-743[c]"	762238.0619194182
"S-ADENMETSYN-RXN"	"S-ADENMETSYN-CPLX[c]"	9023.03441076677
"RXN-12002"	"UMPKI-CPLX[c]"	59626.05389314845
"3-DEHYDROQUINATE-SYNTHASE-RXN"	"AROB-MONOMER[c]"	1434.7746866162956
"RXN-20673"	"AROB-MONOMER[c]"	8103.646527240281
"RXN-20674"	"AROB-MONOMER[c]"	8103.646527240281
"RXN0-742"	"PURK-CPLX[c]"	5139.274681455327
"RXN-24043 (reverse)"	"CPLX0-7564[c]"	133697.86232228234
"RXN-24044 (reverse)"	"CPLX0-7564[c]"	748410.6521381165
"GLUTRACE-RXN"	"GLUTRACE-MONOMER[c]"	160241.56460640594
"GLUTRACE-RXN (reverse)"	"GLUTRACE-MONOMER[c]"	296.47913188962457
"KETOGLUTREDUCT-RXN"	"PGLYCDEHYDROG-CPLX[c]"	3.890415543627513
"KETOGLUTREDUCT-RXN (reverse)"	"PGLYCDEHYDROG-CPLX[c]"	3.890415543627513
"PGLYCDEHYDROG-RXN"	"PGLYCDEHYDROG-CPLX[c]"	40975.45624253883
"PGLYCDEHYDROG-RXN (reverse)"	"PGLYCDEHYDROG-CPLX[c]"	4.986048969040448
"RXN-16701"	"PGLYCDEHYDROG-CPLX[c]"	2.7282445263015767
"RXN-16701 (reverse)"	"PGLYCDEHYDROG-CPLX[c]"	2.726218042827438
"THYMIDYLATESYN-RXN-METHYLENE-THF/DUMP//TMP/DIHYDROFOLATE.38."	"THYMIDYLATESYN-CPLX[c]"	812.9378565507569
"N-ACETYLTRANSFER-RXN"	"N-ACETYLTRANSFER-CPLX[c]"	172980.43161259085
"RXN-12587"	"CPLX0-248[c]"	3.863321075784511
"RXN-12587 (reverse)"	"CPLX0-248[c]"	2.3848332700813044
"RXN-12588"	"CPLX0-248[c]"	2.980222522084804
"RXN-14382"	"CPLX0-248[c]"	4.589104755064526
"RXN-14382 (reverse)"	"CPLX0-248[c]"	3.863321075784511
"RXN-22700"	"CPLX0-248[c]"	4.6694340853953254e-05
"RXN-9787"	"CPLX0-248[c]"	6.795814971229289
"RXN0-308"	"CPLX0-248[c]"	5.509838453957437
"2.7.3.9-RXN"	"CPLX0-7938[c]"	6997.959204715509
"RXN-17354"	"CPLX0-7938[c]"	1706.2989166735442
"RXN-17355"	"CPLX0-7938[c]"	1706.2989166735442
"3-OXOACYL-ACP-REDUCT-RXN-Beta-hydroxydecanoyl-ACPs/NADP//POLYMER-INST-B-KETOACYL-ACP-C6-H12/NADPH/PROTON.80. (reverse)"	"CPLX0-8005[c]"	10173.769780906598
"3-OXOACYL-ACP-REDUCT-RXN-POLYMER-INST-OH-ACYL-ACP-C0-H0/NADP//Acetoacetyl-ACPs/NADPH/PROTON.67. (reverse)"	"CPLX0-8005[c]"	12524.286334773238
"3-OXOACYL-ACP-REDUCT-RXN-POLYMER-INST-OH-ACYL-ACP-C12-H24/NADP//3-oxo-palmitoyl-ACPs/NADPH/PROTON.73. (reverse)"	"CPLX0-8005[c]"	10529.894300787217
"3-OXOACYL-ACP-REDUCT-RXN-POLYMER-INST-OH-ACYL-ACP-C4-H8/NADP//3-Oxo-octanoyl-ACPs/NADPH/PROTON.70. (reverse)"	"CPLX0-8005[c]"	10173.769780906598
"3-OXOACYL-ACP-REDUCT-RXN-R-3-hydroxyarachidoyl-ACPs/NADP//3-oxo-arachidoyl-ACPs/NADPH/PROTON.68. (reverse)"	"CPLX0-8005[c]"	1.7334692079158995e-11
"3-OXOACYL-ACP-REDUCT-RXN-R-3-hydroxystearoyl-ACPs/NADP//3-oxo-stearoyl-ACPs/NADPH/PROTON.64. (reverse)"	"CPLX0-8005[c]"	1.7334692079158995e-11
"RXN-10655 (reverse)"	"CPLX0-8005[c]"	1.439397445078857e-12
"RXN-10659 (reverse)"	"CPLX0-8005[c]"	1.439397445078857e-12
"RXN-11476 (reverse)"	"CPLX0-8005[c]"	6.322037005927409
"RXN-11480 (reverse)"	"CPLX0-8005[c]"	6.322037005927409
"RXN-9514 (reverse)"	"CPLX0-8005[c]"	7208.985758412367
"RXN-9518 (reverse)"	"CPLX0-8005[c]"	12524.286334773238
"RXN-9524 (reverse)"	"CPLX0-8005[c]"	7308.196017629603
"RXN-9528 (reverse)"	"CPLX0-8005[c]"	7308.196017629601
"RXN-9532 (reverse)"	"CPLX0-8005[c]"	12524.286334773238
"RXN-9536 (reverse)"	"CPLX0-8005[c]"	12191.887662442236
"RXN-9540 (reverse)"	"CPLX0-8005[c]"	8548.725162486513
"RXN-9556 (reverse)"	"CPLX0-8005[c]"	3.970084289305555e-12
"RXN0-2142 (reverse)"	"CPLX0-8005[c]"	1.439397445078857e-12
"LIPIDXSYNTHESIS-RXN"	"EG12666-MONOMER[m]"	30549.732917901525
"RXN-14014-DELTA1-PIPERIDEINE-2-6-DICARBOXYLATE/NAD/WATER//CPD-14443/NADH/PROTON.70. (reverse)"	"DIHYDROPICRED-CPLX[c]"	31531.020462600223
