# Generated by models/ecoli/analysis/cohort/kcat_estimations.py on wildtype simulations: 64 seed(s), 8 generation(s) used (gens 4-11, first 4 skipped), 505 total cells. Generated 2026-03-31 14:44:52.
"reaction_id"	"catalyst_id"	"kcat_estimate"	"buffered"
"4OHBENZOATE-OCTAPRENYLTRANSFER-RXN"	"4OHBENZOATE-OCTAPRENYLTRANSFER-MONOMER[i]"	284.17320248616363	false
"PEPCARBOX-RXN (reverse)"	"PEPCARBOX-CPLX[c]"	6273.593101911147	false
"SUCCDIAMINOPIMDESUCC-RXN"	"CPLX0-3161[c]"	10800.068669452334	false
"ARGSUCCINSYN-RXN"	"CPLX0-238[c]"	232.47172092173753	false
"LUMAZINESYN-RXN"	"LUMAZINESYN-CPLX[c]"	169.85319696488244	false
"METHIONYL-TRNA-FORMYLTRANSFERASE-RXN-10-FORMYL-THF/L-methionyl-tRNAfmet//THF/N-formyl-L-methionyl-tRNAfmet/PROTON.77."	"EG11268-MONOMER[c]"	0.0	false
"RXN0-7422-CPD-14932/L-methionyl-tRNAfmet//DIHYDROFOLATE/N-formyl-L-methionyl-tRNAfmet/PROTON.83."	"EG11268-MONOMER[c]"	0.0	false
"ERYTHRON4PDEHYDROG-RXN"	"CPLX0-8212[c]"	10.205613442518716	false
"UDP-NACMUR-ALA-LIG-RXN"	"CPLX0-8014[c]"	15055.852858929338	false
"DIOHBUTANONEPSYN-RXN"	"DIOHBUTANONEPSYN-CPLX[c]"	9.777185502863572	false
"HOMSUCTRAN-RXN"	"HOMSUCTRAN-CPLX[c]"	581.0539625989551	false
"CPM-KDOSYNTH-RXN"	"CPM-KDOSYNTH-MONOMER[c]"	104.24622951836845	false
"PABASYN-RXN"	"PABASYN-CPLX[c]"	16.28808211411828	false
"RXN-22713"	"PABASYN-CPLX[c]"	389.90029575860655	false
"S-ADENMETSYN-RXN"	"S-ADENMETSYN-CPLX[c]"	125.58809782478467	false
"QUINOLINATE-SYNTHA-RXN"	"CPLX0-7719[c]"	62.020562114643994	false
"DIHYDRODIPICSYN-RXN"	"DIHYDRODIPICSYN-CPLX[c]"	2805.7402385519995	false
"SEDOBISALDOL-RXN"	"FRUCBISALD-CLASSII[c]"	2996.391808269169	false
"SEDOBISALDOL-RXN (reverse)"	"FRUCBISALD-CLASSII[c]"	0.0	false
"F16ALDOLASE-RXN__FRUCBISALD-CLASSII"	"FRUCBISALD-CLASSII[c]"	272.81338302433363	false
"3-OXOACYL-ACP-REDUCT-RXN-Beta-hydroxydecanoyl-ACPs/NADP//POLYMER-INST-B-KETOACYL-ACP-C6-H12/NADPH/PROTON.80. (reverse)"	"CPLX0-8005[c]"	3427.5635803013884	false
"3-OXOACYL-ACP-REDUCT-RXN-POLYMER-INST-OH-ACYL-ACP-C0-H0/NADP//Acetoacetyl-ACPs/NADPH/PROTON.67. (reverse)"	"CPLX0-8005[c]"	3427.5635803013884	false
"3-OXOACYL-ACP-REDUCT-RXN-POLYMER-INST-OH-ACYL-ACP-C12-H24/NADP//3-oxo-palmitoyl-ACPs/NADPH/PROTON.73. (reverse)"	"CPLX0-8005[c]"	3264.0231700904255	false
"3-OXOACYL-ACP-REDUCT-RXN-POLYMER-INST-OH-ACYL-ACP-C4-H8/NADP//3-Oxo-octanoyl-ACPs/NADPH/PROTON.70. (reverse)"	"CPLX0-8005[c]"	3427.5635803013884	false
"3-OXOACYL-ACP-REDUCT-RXN-R-3-hydroxyarachidoyl-ACPs/NADP//3-oxo-arachidoyl-ACPs/NADPH/PROTON.68. (reverse)"	"CPLX0-8005[c]"	5.176111172566374e-14	false
"3-OXOACYL-ACP-REDUCT-RXN-R-3-hydroxystearoyl-ACPs/NADP//3-oxo-stearoyl-ACPs/NADPH/PROTON.64. (reverse)"	"CPLX0-8005[c]"	5.176111172566374e-14	false
"RXN-10655 (reverse)"	"CPLX0-8005[c]"	6.289995666154065e-13	false
"RXN-10659 (reverse)"	"CPLX0-8005[c]"	6.289995666154065e-13	false
"RXN-11476 (reverse)"	"CPLX0-8005[c]"	0.18277967067167328	false
"RXN-11480 (reverse)"	"CPLX0-8005[c]"	0.18277967067167328	false
"RXN-9514 (reverse)"	"CPLX0-8005[c]"	2206.803970113526	false
"RXN-9518 (reverse)"	"CPLX0-8005[c]"	3427.5635803013884	false
"RXN-9524 (reverse)"	"CPLX0-8005[c]"	2768.847113772818	false
"RXN-9528 (reverse)"	"CPLX0-8005[c]"	2768.847113772818	false
"RXN-9532 (reverse)"	"CPLX0-8005[c]"	3427.5635803013884	false
"RXN-9536 (reverse)"	"CPLX0-8005[c]"	3400.306845266228	false
"RXN-9540 (reverse)"	"CPLX0-8005[c]"	456.1120045508974	false
"RXN-9556 (reverse)"	"CPLX0-8005[c]"	2.667823881840926e-15	false
"RXN0-2142 (reverse)"	"CPLX0-8005[c]"	6.289995666154065e-13	false
"RXN0-743"	"PURE-CPLX[c]"	5259.396810048494	false
"PHOSPHASERSYN-RXN-CPD-12814/SER//CMP/CPD-12816/PROTON.36."	"PHOSPHASERSYN-MONOMER[c]"	0.0	false
"PHOSPHASERSYN-RXN-CPD-12815/SER//CMP/CPD-12817/PROTON.36."	"PHOSPHASERSYN-MONOMER[c]"	5276.756778590474	false
"PHOSPHASERSYN-RXN-CPD-18355/SER//CMP/CPD-18366/PROTON.36."	"PHOSPHASERSYN-MONOMER[c]"	0.0	false
"PHOSPHASERSYN-RXN-CPD-18356/SER//CMP/CPD-18365/PROTON.36."	"PHOSPHASERSYN-MONOMER[c]"	0.0	false
"PHOSPHASERSYN-RXN-CPD-18357/SER//CMP/CPD-18364/PROTON.36."	"PHOSPHASERSYN-MONOMER[c]"	0.0	false
"PHOSPHASERSYN-RXN-CPD-18358/SER//CMP/CPD-18363/PROTON.36."	"PHOSPHASERSYN-MONOMER[c]"	0.0	false
"PHOSPHASERSYN-RXN-CPD-18387/SER//CMP/CPD-18402/PROTON.36."	"PHOSPHASERSYN-MONOMER[c]"	0.0	false
"PHOSPHASERSYN-RXN-CPD-18388/SER//CMP/CPD-18401/PROTON.36."	"PHOSPHASERSYN-MONOMER[c]"	0.0	false
"METHENYLTHFCYCLOHYDRO-RXN-5-10-METHENYL-THF/WATER//10-FORMYL-THF/PROTON.46."	"FOLD-CPLX[c]"	3583.186524152798	false
