# Generated by models/ecoli/analysis/cohort/kcat_estimates_v2_to_tsv.py from kcat_estimates_v2_with_estimators_summary.csv (source: 20260302.164308__wildtype_minimal_media) on 2026-05-21 18:58:57. Column: kcat_drop_top_20_estimate. 389 reaction-catalyst pairs with finite positive estimates (skipped 76 blank/NaN).
"reaction_id"	"catalyst_id"	"kcat_estimate"
"RXN-17472"	"BIOTIN-SYN-CPLX[c]"	0.330463
"RXN-17473"	"BIOTIN-SYN-CPLX[c]"	0.330463
"DIMETHUROPORDEHYDROG-RXN"	"SIROHEMESYN-CPLX[c]"	607214.0
"RXN-13403"	"SIROHEMESYN-CPLX[c]"	607214.0
"SIROHEME-FERROCHELAT-RXN"	"SIROHEMESYN-CPLX[c]"	607214.0
"RXN-11483"	"EG10122-MONOMER[c]"	92.4977
"UDP-NACMURALGLDAPLIG-RXN"	"UDP-NACMURALGLDAPLIG-MONOMER[c]"	13405.5
"RXN-24044 (reverse)"	"CPLX0-7564[c]"	73123.4
"SUCCDIAMINOPIMDESUCC-RXN"	"CPLX0-3161[c]"	11082.1
"DXPREDISOM-RXN (reverse)"	"DXPREDISOM-CPLX[i]"	479418.0
"RXN-14014-DELTA1-PIPERIDEINE-2-6-DICARBOXYLATE/NADP/WATER//CPD-14443/NADPH/PROTON.72. (reverse)"	"DIHYDROPICRED-CPLX[c]"	3881.54
"DIHYDRODIPICSYN-RXN"	"DIHYDRODIPICSYN-CPLX[c]"	2860.06
"TRANS-RXN0-286"	"G6561-MONOMER[i]"	27214.2
"PANTEPADENYLYLTRAN-RXN"	"COADTRI-CPLX[c]"	21855.5
"RXN0-302"	"CPLX0-721[c]"	468854.0
"UDP-NACMURALGLDAPAALIG-RXN"	"UDP-NACMURALGLDAPAALIG-MONOMER[c]"	6290.87
"RXN-8999"	"UPPSYN-CPLX[c]"	20804.4
"UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN"	"UDPNACETYLGLUCOSAMENOLPYRTRANS-MONOMER[c]"	1351.96
