# Generated by models/ecoli/analysis/cohort/kcat_estimates_v2_to_tsv.py from kcat_estimates_v2_with_estimators_summary.csv (source: 20260302.164308__wildtype_minimal_media) on 2026-05-21 18:58:57. Column: kcat_gap_estimate. 389 reaction-catalyst pairs with finite positive estimates (skipped 76 blank/NaN).
"reaction_id"	"catalyst_id"	"kcat_estimate"
"RXN-17472"	"BIOTIN-SYN-CPLX[c]"	0.418319
"RXN-17473"	"BIOTIN-SYN-CPLX[c]"	0.418319
"DIMETHUROPORDEHYDROG-RXN"	"SIROHEMESYN-CPLX[c]"	14783.4
"RXN-13403"	"SIROHEMESYN-CPLX[c]"	14783.4
"SIROHEME-FERROCHELAT-RXN"	"SIROHEMESYN-CPLX[c]"	14783.4
"RXN-11483"	"EG10122-MONOMER[c]"	500.65
"UDP-NACMURALGLDAPLIG-RXN"	"UDP-NACMURALGLDAPLIG-MONOMER[c]"	29798.6
"RXN-24044 (reverse)"	"CPLX0-7564[c]"	129602.0
"SUCCDIAMINOPIMDESUCC-RXN"	"CPLX0-3161[c]"	15662.1
"DXPREDISOM-RXN (reverse)"	"DXPREDISOM-CPLX[i]"	799213.0
"RXN-14014-DELTA1-PIPERIDEINE-2-6-DICARBOXYLATE/NADP/WATER//CPD-14443/NADPH/PROTON.72. (reverse)"	"DIHYDROPICRED-CPLX[c]"	7141.81
"DIHYDRODIPICSYN-RXN"	"DIHYDRODIPICSYN-CPLX[c]"	6149.01
"TRANS-RXN0-286"	"G6561-MONOMER[i]"	53697.8
"PANTEPADENYLYLTRAN-RXN"	"COADTRI-CPLX[c]"	345507.0
"RXN0-302"	"CPLX0-721[c]"	851673.0
"UDP-NACMURALGLDAPAALIG-RXN"	"UDP-NACMURALGLDAPAALIG-MONOMER[c]"	16520.3
"RXN-8999"	"UPPSYN-CPLX[c]"	81962.8
"UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN"	"UDPNACETYLGLUCOSAMENOLPYRTRANS-MONOMER[c]"	4246.03
"UDPNACETYLMURAMATEDEHYDROG-RXN (reverse)"	"UDPNACETYLMURAMATEDEHYDROG-MONOMER[c]"	35244.3
"UDP-NACMUR-ALA-LIG-RXN"	"CPLX0-8014[c]"	24831.2
"RXN-24043 (reverse)"	"CPLX0-7564[c]"	44347.6
"DXS-RXN"	"CPLX0-743[c]"	259168.0
"RXN-15878 (reverse)"	"EG10370-MONOMER[c]"	70730.5
"FPPSYN-RXN"	"FPPSYN-MONOMER[c]"	11943.1
"GPPSYN-RXN"	"FPPSYN-MONOMER[c]"	11943.1
"2.7.7.60-RXN"	"CPLX0-234[c]"	1001450.0
"TETHYDPICSUCC-RXN"	"CPLX0-3181[c]"	649.975
"RXN-14014-DELTA1-PIPERIDEINE-2-6-DICARBOXYLATE/NAD/WATER//CPD-14443/NADH/PROTON.70. (reverse)"	"DIHYDROPICRED-CPLX[c]"	11117.7
"2.7.1.148-RXN"	"CPLX0-3841[c]"	2019570.0
"RXN-22914"	"CPLX0-341[c]"	19102.6
"RXN-22915"	"CPLX0-341[c]"	19102.6
"NAG1P-URIDYLTRANS-RXN"	"NAG1P-URIDYLTRANS-CPLX[c]"	89143.2
"2.3.1.157-RXN"	"NAG1P-URIDYLTRANS-CPLX[c]"	89392.9
"RXN-16909"	"CARBPSYN-CPLX[c]"	2233.66
"RXN-22736"	"CARBPSYN-CPLX[c]"	2233.66
"ARGSUCCINLYA-RXN"	"ARGSUCCINLYA-MONOMER[c]"	7583.14
"INORGPYROPHOSPHAT-RXN[CCO-CYTOSOL]-PPI/WATER//Pi/PROTON.34."	"CPLX0-243[c]"	57481.1
"ACETYLORNDEACET-RXN"	"ACETYLORNDEACET-CPLX[c]"	41962.5
"RXN-14382 (reverse)"	"CPLX0-248[c]"	4.44621
"METHENYLTHFCYCLOHYDRO-RXN-5-10-METHENYL-THF/WATER//10-FORMYL-THF/PROTON.46."	"FOLD-CPLX[c]"	251733.0
"METHYLENETHFDEHYDROG-NADP-RXN-METHYLENE-THF/NADP//5-10-METHENYL-THF/NADPH.44."	"FOLD-CPLX[c]"	251733.0
