# Organism: Escherichia coli K-12 substr. MG1655
# Database: EcoCyc
# Version: 28.0
# Date and time generated: October 30, 2023, 10:06:52
"id"	"common_name"	"synonyms"	"chemical_formula"	"mw"	"molecular_charge"	"_smiles"
"--TRANS-ACENAPHTHENE-12-DIOL"	"(+/-)-<i>trans</i>-acenaphthene-1,2-diol"	["<i>trans</i>-1,2-acenaphthylene glycol"]	"C12H10O2"	186.21	0	"c2(cc1(cccc3(c1c(c2)[C@@H]([C@H]3O)O)))"
"1-2-Beta-D-Glucans"	"a 1,2-&beta;-D-glucan"	[]	null	null	0	"C(O)[C@H]7(O[C@@H](O)[C@H](O[C@@H]6(O[C@H](CO)[C@@H](O)[C@H](O)[C@@H](O[C@H]5([C@H](O[C@@H]4(O[C@H](CO)[C@@H](O)[C@H](O)[C@@H](O[C@H]3([C@H](O[C@@H]2(O[C@H](CO)[C@@H](O)[C@H](O)[C@@H](O[C@H]1([C@H](O[R])[C@@H](O)[C@H](O)[C@@H](CO)O1))2))[C@@H](O)[C@H](O)[C@@H](CO)O3))4))[C@@H](O)[C@H](O)[C@@H](CO)O5))6))[C@@H](O)[C@H](O)7)"
"1-2-Diglycerides"	"a 1,2-diglyceride"	["a 1,2-diacylglycerol"]	null	null	0	"C(O)C(COC(=O)[R1])OC(=O)[R2]"
"1-2-Mannan"	"a (1&rarr;2)-&beta;-D-mannan oligosaccharide"	["a (1-&rarr;2)-&beta;-oligomannan", "a &beta;-(1,2)-D-mannan"]	null	null	0	"C(O)[C@@H]3([C@@H](O)[C@H](O)[C@H](O[C@@H]2(O[C@H](CO)[C@@H](O)[C@H](O)[C@H](O[C@@H]1(O[C@H](CO)[C@@H](O)[C@H](O)[C@H](O[R1])1))2))[C@H](O[R2])O3)"
"1-3-alpha-D-Glucans"	"a 1,3-&alpha;-D-glucan"	["1,3-&alpha;-D-glucan", "(1,3-&alpha;-D-glucosyl)<sub>(n)</sub>", "(1,3-&alpha;-D-glucosyl)<sub>(n+1)</sub>", "(1,3-&alpha;-D-glucosyl)<sub>(n-1)</sub>"]	null	null	0	"C(O)[C@@H]3([C@@H](O)[C@H](O[R1])[C@@H](O)[C@@H](O[C@@H]2([C@@H](O)[C@@H](O[C@@H]1([C@@H](O)[C@@H](O[R2])O[C@H](CO)[C@@H](O)1))O[C@H](CO)[C@@H](O)2))O3)"
"1-3-beta-D-Glucans"	"a 1,3-&beta;-D-glucan"	["1,3-&beta;-D-glucan<sub>(n-1)</sub>", "1,3-&beta;-D-glucan<sub>(n+1)</sub>", "1,3-&beta;-D-glucan<sub>(n)</sub>", "(1,3-&beta;-D-Glucosyl)<sub>(n)</sub>", "(1,3-&beta;-D-Glucosyl)<sub>(n+1)</sub>", "(1,3-&beta;-D-Glucosyl)<sub>(n-1)</sub>"]	null	null	0	"C(O)[C@@H]4([C@@H](O)[C@H](O[R1])[C@@H](O)[C@H](O[C@@H]3([C@@H](O)[C@H](O[C@@H]2([C@@H](O)[C@H](O[C@@H]1([C@@H](O)[C@H](O[R2])O[C@H](CO)[C@@H](O)1))O[C@H](CO)[C@@H](O)2))O[C@H](CO)[C@@H](O)3))O4)"
"1-3-D-xylooligosaccharides"	"a (1->3)-&beta;-D-xylan oligosaccharide"	[]	null	null	0	"[C@H]3(O[R2])(OC[C@@H](O)[C@H](O[C@H]1([C@@H]([C@H]([C@@H](CO1)O)O[C@@H]2(OC[C@@H](O)[C@H](O[R1])[C@@H](O)2))O))[C@@H](O)3)"
"1-3-Diglycerides"	"a 1,3-diglyceride"	["a 1,3-DAG", "a 1,3-diacyl-<i>sn</i>-glycerol", "a 1,3-diacylglycerol"]	null	null	0	"C([C@H](COC([R2])=O)O)OC([R1])=O"
"1-4-alpha-D-galacturonosyl"	"a homogalacturonan"	["a 1,4-&alpha;-poly-D-galacturonate", "a 1,4-&alpha;-D-D-galactosyluronate"]	null	null	-3	"C([C@H]1(O[C@@H]([C@@H]([C@H]([C@H]1[R1])O)O)O[C@H]2([C@H](O[C@@H]([C@@H]([C@H]2O)O)O[C@H]3([C@H](O[C@@H]([C@@H]([C@H]3O)O)[R2])C([O-])=O))C([O-])=O)))(=O)[O-]"
"1-4-alpha-D-Glucan"	"a (1&rarr;4)-&alpha;-D-glucan"	["a 1,4-&alpha;-D-glucan"]	null	null	0	"C(O)[C@H]1(O[C@@H]([C@H](O)[C@@H](O)[C@H](O[R1])1)O[C@H]4([C@H](O)[C@@H](O)[C@@H](O[C@H]2([C@H](O)[C@@H](O)[C@H](O[C@H](CO)2)O[C@H]3([C@H](O)[C@@H](O)[C@@H](O[R2])O[C@H](CO)3)))O[C@H](CO)4))"
