"id"	"stoichiometry"	"direction"	"catalyzed_by"	"forward_rate"	"reverse_rate"
"rxnvio1"	{"OXYGEN-MOLECULE[CCO-CYTOSOL]": -1, "TRP[CCO-CYTOSOL]": -1, "CPD-11890[CCO-CYTOSOL]": 1, "HYDROGEN-PEROXIDE[CCO-CYTOSOL]": 1, "PROTON[CCO-CYTOSOL]": 1}	"L2R"	["NG-VioA-MONOMER"]	3000000	0
"rxnvio2"	{"CPD-11890[CCO-CYTOSOL]": -2, "HYDROGEN-PEROXIDE[CCO-CYTOSOL]": -1, "CPD-19471[CCO-CYTOSOL]": 1, "WATER[CCO-CYTOSOL]": 2}	"L2R"	["NG-VioB-MONOMER"]	3000000	0
"rxnvio3"	{"CPD-19471[CCO-CYTOSOL]": -1, "PROTON[CCO-CYTOSOL]": -2, "CPD-14320[CCO-CYTOSOL]": 1, "AMMONIUM[CCO-CYTOSOL]": 1, "CARBON-DIOXIDE[CCO-CYTOSOL]": 1}	"L2R"	["NG-VioE-MONOMER"]	3000000	0
"rxnvio4"	{"CPD-14320[CCO-CYTOSOL]": -1, "NADPH[CCO-CYTOSOL]": -1, "PROTON[CCO-CYTOSOL]": -1, "OXYGEN-MOLECULE[CCO-CYTOSOL]": -1, "CPD-14319[CCO-CYTOSOL]": 1, "NADP[CCO-CYTOSOL]": 1, "WATER[CCO-CYTOSOL]": 1}	"L2R"	["NG-VioD-MONOMER"]	300000000	0
"rxnvio5"	{"CPD-14319[CCO-CYTOSOL]": -1, "NADPH[CCO-CYTOSOL]": -1, "OXYGEN-MOLECULE[CCO-CYTOSOL]": -1, "PROTON[CCO-CYTOSOL]": -1, "CPD-14324[CCO-CYTOSOL]": 1, "NADP[CCO-CYTOSOL]": 1, "WATER[CCO-CYTOSOL]": 1}	"L2R"	["NG-VioC-MONOMER"]	3000000000	0
"rxnvio6"	{"CPD-14324[CCO-CYTOSOL]": -1, "OXYGEN-MOLECULE[CCO-CYTOSOL]": -1, "PROTON[CCO-CYTOSOL]": -1, "VIOLACEIN[CCO-CYTOSOL]": 1, "CARBON-DIOXIDE[CCO-CYTOSOL]": 1, "WATER[CCO-CYTOSOL]": 1}	"L2R"	[]	3000000000	0
"rxnvio7"	{"CPD-14320[CCO-CYTOSOL]": -1, "NADPH[CCO-CYTOSOL]": -1, "OXYGEN-MOLECULE[CCO-CYTOSOL]": -1, "PROTON[CCO-CYTOSOL]": -1, "CPD-14323[CCO-CYTOSOL]": 1, "NADP[CCO-CYTOSOL]": 1, "WATER[CCO-CYTOSOL]": 1}	"L2R"	["NG-VioC-MONOMER"]	300000000	0
"rxnvio8"	{"CPD-14323[CCO-CYTOSOL]": -1, "OXYGEN-MOLECULE[CCO-CYTOSOL]": -1, "PROTON[CCO-CYTOSOL]": -1, "CPD-14318[CCO-CYTOSOL]": 1, "CARBON-DIOXIDE[CCO-CYTOSOL]": 1, "WATER[CCO-CYTOSOL]": 1}	"L2R"	[]	300000000	0
"rxnvio9"	{"CPD-14319[CCO-CYTOSOL]": -1, "OXYGEN-MOLECULE[CCO-CYTOSOL]": -1, "PROTON[CCO-CYTOSOL]": -1, "CPD-14321[CCO-CYTOSOL]": 1, "CARBON-DIOXIDE[CCO-CYTOSOL]": 1, "WATER[CCO-CYTOSOL]": 1}	"L2R"	[]	300000000	0
"rxnvio10"	{"CPD-14320[CCO-CYTOSOL]": -1, "OXYGEN-MOLECULE[CCO-CYTOSOL]": -1, "PROTON[CCO-CYTOSOL]": -1, "CPD-14322[CCO-CYTOSOL]": 1, "CARBON-DIOXIDE[CCO-CYTOSOL]": 1, "WATER[CCO-CYTOSOL]": 1}	"L2R"	[]	3000000	0
