# Generated by /Users/miagrahn/wcEcoli/reconstruction/ecoli/scripts/protein_half_lives/convert_gupta_et_al_Clim_to_flat.py on Tue Nov  5 18:30:03 2024
"id"	"half_life (units.min)"
"1-PFK-MONOMER"	766.3
"2-ISOPROPYLMALATESYN-MONOMER"	276.9
"2-OCTAPRENYL-METHOXY-BENZOQ-METH-MONOMER"	493.4
"2-OCTAPRENYLPHENOL-HYDROX-MONOMER"	796.0
"3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-MONOMER"	532.7
"3-ISOPROPYLMALDEHYDROG-MONOMER"	593.8
"3-OXOACYL-ACP-REDUCT-MONOMER"	614.7
"3-OXOACYL-ACP-SYNTHII-MONOMER"	745.0
"4OHBENZOATE-OCTAPRENYLTRANSFER-MONOMER"	156.8
"6PFK-1-MONOMER"	648.0
"6PFK-2-MONOMER"	688.1
"6PGLUCONDEHYDROG-MONOMER"	612.1
"6PGLUCONOLACT-MONOMER"	750.8
"7-ALPHA-HYDROXYSTEROID-DEH-MONOMER"	659.3
"7KAPSYN-MONOMER"	552.2
"AAS-MONOMER"	835.6
"ABC-MONOMER"	584.1
"ACETATEKINA-MONOMER"	748.5
"ACETOLACTSYNIII-HCHAIN-MONOMER"	654.8
"ACETOLACTSYNIII-ICHAIN-MONOMER"	680.9
"ACETYL-COA-ACETYLTRANSFER-MONOMER"	425.7
"ACETYLGLUTKIN-MONOMER"	620.3
"ACETYLORNDEACET-MONOMER"	653.5
"ACETYLORNTRANSAM-MONOMER"	563.1
"ACNEULY-MONOMER"	409.9
"ACONITASE-MONOMER"	620.9
"ACONITATEDEHYDRB-MONOMER"	440.5
"ACRB-MONOMER"	460.0
"ACRD-MONOMER"	719.0
"ACS-MONOMER"	479.3
"ACSERLYA-MONOMER"	617.2
"ACSERLYB-MONOMER"	626.2
"ACYLCOADEHYDROG-MONOMER"	195.4
"ACYLCOASYN-MONOMER"	415.0
"ADCLY-MONOMER"	692.8
"ADENODEAMIN-MONOMER"	648.1
"ADENPRIBOSYLTRAN-MONOMER"	502.0
"ADENYL-KIN-MONOMER"	709.5
"ADENYLATECYC-MONOMER"	108.9
"ADENYLOSUCCINATE-SYN-MONOMER"	259.6
"ADENYLYLSULFKIN-MONOMER"	117.1
"ADHC-MONOMER"	649.5
"ADHE-MONOMER"	585.0
"ADHP-MONOMER"	8.9
"AERGLYC3PDEHYDROG-MONOMER"	322.9
"AGAB-MONOMER"	431.4
"AGMATIN-MONOMER"	727.3
"AICARTRANSIMPCYCLO-CPLX"	594.4
"AIRS-MONOMER"	683.0
"AKBLIG-MONOMER"	624.1
"ALARACEBIOSYN-MONOMER"	743.6
"ALARACECAT-MONOMER"	624.9
"ALAS-MONOMER"	670.3
"ALDDEHYDROGB-MONOMER"	473.0
"ALDHDEHYDROG-MONOMER"	221.7
"ALDOSE1EPIM-MONOMER"	800.8
"ALKAPHOSPHA-MONOMER"	593.5
"ALPHA-AMYL-CYTO-MONOMER"	752.8
