# Generated by /Users/miagrahn/wcEcoli/reconstruction/ecoli/scripts/protein_half_lives/convert_clim_half_lives_to_flat.py on Sat Feb  7 18:27:48 2026
id	common_name	half_life (units.min)
"MONOMER0-2820"	"yciZ"	607.2621873065249
"THIS-MONOMER"	"thiS"	427.3618312551586
"6PGLUCONDEHYDROG-MONOMER"	"gnd"	720.0
"FUM-FLAVO"	"frdA"	720.0
"GDHA-MONOMER"	"gdhA"	720.0
"NRDA-MONOMER"	"nrdA"	720.0
"ASPAMINOTRANS-MONOMER"	"aspC"	720.0
"HOMOSERKIN-MONOMER"	"thrB"	720.0
"ASPKINIHOMOSERDEHYDROGI-MONOMER"	"thrA"	720.0
"ASPKINIIHOMOSERDEHYDROGII-MONOMER"	"metL"	720.0
"RPOD-MONOMER"	"rpoD"	720.0
"ALKAPHOSPHA-MONOMER"	"phoA"	720.0
"EG10530-MONOMER"	"lepB"	720.0
"ANSB-MONOMER"	"ansB"	285.86673316265575
"EG10040-MONOMER"	"ampC"	720.0
"DIAMINOPIMDECARB-MONOMER"	"lysA"	720.0
"PEPCARBOX-MONOMER"	"ppc"	720.0
"AROF-MONOMER"	"aroF"	325.2272048217984
"ACETOLACTSYNIII-HCHAIN-MONOMER"	"ilvH"	720.0
"ANTHRANSYNCOMPI-MONOMER"	"trpE"	720.0
"PABASYN-COMPII-MONOMER"	"pabA"	720.0
"PRAI-IGPS"	"trpC"	720.0
"EG10736-MONOMER"	"phr"	720.0
"ADENYLATECYC-MONOMER"	"cyaA"	80.03427878132887
"XYLISOM-MONOMER"	"xylA"	720.0
"MANNPISOM-MONOMER"	"manA"	720.0
"ILES-MONOMER"	"ileS"	720.0
"ALAS-MONOMER"	"alaS"	720.0
"METG-MONOMER"	"metG"	720.0
"GLYQ-MONOMER"	"glyQ"	720.0
"GLYS-MONOMER"	"glyS"	720.0
"ASNSYNA-MONOMER"	"asnA"	449.3904386218064
"CARBPSYN-LARGE"	"carB"	720.0
"EG10876-MONOMER"	"rplO"	720.0
"EG10748-MONOMER"	"mrcA"	720.0
"RBSB-MONOMER"	"rbsB"	720.0
"EG11012-MONOMER"	"tonB"	607.8383975108035
"TSR-MONOMER"	"tsr"	720.0
"PD03831"	"dnaA"	520.7497798695256
"EG10243-MONOMER"	"dnaQ"	197.11499962652877
"EG11064-MONOMER"	"uvrD"	720.0
"PD03028"	"galR"	720.0
"EG11157-MONOMER"	"ygeA"	720.0
"EG11199-MONOMER"	"mioC"	720.0
"EG10559-MONOMER"	"malM"	720.0
"GMP-SYN-MONOMER"	"guaA"	720.0
"EG11091-MONOMER"	"frsA"	611.4958861803747
"CHAINI-MONOMER"	"argI"	720.0
"EG11222-MONOMER"	"alkA"	376.3463359811318
"GLUTATHIONE-SYN-MONOMER"	"gshB"	720.0
"TYRB-MONOMER"	"tyrB"	614.5550473158552
"LIVK-MONOMER"	"livK"	720.0
"EG10696-MONOMER"	"pepN"	720.0
"EG10657-MONOMER"	"nlpA"	720.0
"EG10321-MONOMER"	"fliC"	59.44318146168077
"CPM-KDOSYNTH-MONOMER"	"kdsB"	720.0
"THREDEHYDSYN-MONOMER"	"ilvA"	720.0
"EG10817-MONOMER"	"rbsD"	720.0
"RBSA-MONOMER"	"rbsA"	720.0
"EG10826-MONOMER"	"recD"	720.0
"EG11072-MONOMER"	"xseA"	720.0
"EG10926-MONOMER"	"sbcB"	720.0
"DIHYDROOROT-MONOMER"	"pyrC"	720.0
"FUMC-MONOMER"	"fumC"	720.0
"PD00967"	"appY"	720.0
"EG10743-MONOMER"	"pnp"	720.0
"EG10786-MONOMER"	"ptrA"	720.0
"ERYTHRON4PDEHYDROG-MONOMER"	"pdxB"	720.0
"EG10329-MONOMER"	"mutM"	720.0
"EG10048-MONOMER"	"apaH"	720.0
"TRG-MONOMER"	"trg"	720.0
"EG10460-MONOMER"	"hsdS"	720.0
"DIHYDROXYACIDDEHYDRAT-MONOMER"	"ilvD"	720.0
"KETOLREDUCTOISOM-MONOMER"	"ilvC"	720.0
"EG10293-MONOMER"	"fepA"	720.0
"PD00200"	"ilvY"	720.0
"EG11171-MONOMER"	"tsaD"	720.0
"EG10342-MONOMER"	"ftsQ"	350.92020083034794
"CDPDIGLYPYPHOSPHA-MONOMER"	"cdh"	720.0
"BTUE-MONOMER"	"btuE"	720.0
"BTUD-MONOMER"	"btuD"	446.0048439635325
"EG10270-MONOMER"	"era"	664.3213470851802
"BIOTINLIG-MONOMER"	"birA"	720.0
"nan"	"nan"	720.0
"EG10624-MONOMER"	"mutH"	720.0
"E2P-MONOMER"	"aceF"	720.0
"EG10136-MONOMER"	"cca"	720.0
"EG10226-MONOMER"	"dicA"	405.12494566576316
"DUTP-PYROP-MONOMER"	"dut"	720.0
"EG10302-MONOMER"	"fhuA"	720.0
"FLIM-FLAGELLAR-C-RING-SWITCH"	"fliM"	720.0
"OHMETHYLBILANESYN-MONOMER"	"hemC"	720.0
"HISTPHOSTRANS-MONOMER"	"hisC"	720.0
"IMIDPHOSPHADEHYDHISTIDPHOSPHA-MONOMER"	"hisB"	720.0
"HISTDEHYD-MONOMER"	"hisD"	720.0
"HISTCYCLOPRATPPHOS"	"hisI"	720.0
"PD00237"	"malT"	84.71460350745686
"EG10670-MONOMER"	"ompC"	720.0
"6PFK-2-MONOMER"	"pfkB"	720.0
"GLUTSEMIALDEHYDROG-MONOMER"	"proA"	720.0
"EG10762-MONOMER"	"prfB"	720.0
"SDH-FE-S"	"sdhB"	720.0
"TAR-MONOMER"	"tar"	691.5298843846199
"TAP-MONOMER"	"tap"	370.76888499542093
"EG11152-MONOMER"	"yfiB"	85.64464330683339
"CHORISMUTPREPHENDEHYDROG-MONOMER"	"tyrA"	720.0
"USHA-MONOMER"	"ushA"	720.0
"HISP-MONOMER"	"hisP"	720.0
"VALS-MONOMER"	"valS"	720.0
"CHEB-MONOMER"	"cheB"	413.2316344699689
"CHEA-SMALL"	"cheA"	122.2231932665859
"nan"	"nan"	143.2836705069486
"CHER-MONOMER"	"cheR"	215.80010360257222
"PD00413"	"tyrR"	720.0
"HOMSUCTRAN-MONOMER"	"metA"	465.2976964196948
"AROB-MONOMER"	"aroB"	720.0
"EG10454-MONOMER"	"truA"	720.0
"DEOA-MONOMER"	"deoA"	720.0
"GLYCOGEN-BRANCH-MONOMER"	"glgB"	720.0
"DALADALALIGB-MONOMER"	"ddlB"	720.0
"THREODEHYD-MONOMER"	"tdh"	720.0
"LARGEILVB-MONOMER"	"ilvB"	390.8045523935206
"AIRS-MONOMER"	"purM"	720.0
"GART-MONOMER"	"purN"	720.0
"FOLC-MONOMER"	"folC"	720.0
"ISOCITDEH-SUBUNIT"	"icd"	720.0
"ARABISOM-MONOMER"	"araA"	720.0
"EG11128-MONOMER"	"yciH"	303.24437128827367
"EG10626-MONOMER"	"mutT"	720.0
"CREB-MONOMER"	"creB"	720.0
"EG11059-MONOMER"	"usg"	720.0
"EG10824-MONOMER"	"recB"	554.4654333037375
