"Gene"	"M9 Glucose minus AAs"
"EG10001"	9.72173
"EG10002"	8.72452
"EG10003"	9.372775
"EG10004"	10.41085
"EG10006"	8.3915
"EG10007"	9.539915
"EG10008"	7.37115
"EG10010"	7.729205
"EG10011"	9.46404
"EG10012"	8.973595
"EG10013"	11.3798
"EG10014"	7.73235
"EG10015"	10.2634
"EG10016"	7.81309
"EG10017"	10.9059
"EG10018"	8.947665
"EG10020"	10.3696
"EG10021"	8.835455
"EG10022"	12.40225
"EG10023"	12.6695
"EG10024"	11.89205
"EG10025"	11.5183
"EG10026"	9.21839
"EG10027"	10.79315
"EG10028"	9.648575
"EG10029"	6.78251
"EG10030"	8.317545
"EG10031"	11.0556
"EG10032"	11.9154
"EG10033"	8.73972
"EG10034"	11.3016
"EG10035"	10.42505
"EG10036"	8.313225
"EG10037"	9.035545
"EG10039"	10.1093
"EG10040"	9.50132
"EG10041"	9.32432
"EG10042"	9.218495
"EG10043"	9.07649
"EG10044"	10.05095
"EG10045"	10.31125
"EG10046"	8.25324
"EG10047"	10.3113
"EG10048"	9.60957
"EG10049"	8.47208
"EG10050"	9.04953
"EG10051"	10.08327
"EG10052"	8.05872
"EG10053"	8.08579
"EG10054"	9.01201
"EG10055"	7.54804
"EG10056"	8.38378
"EG10057"	7.798405
"EG10058"	8.4739
"EG10059"	9.10687312127
"EG10060"	8.665165
"EG10061"	11.20585
"EG10062"	9.402445
"EG10063"	10.7936
"EG10064"	11.61195
"EG10065"	11.1788
"EG10066"	11.55815
"EG10067"	11.2095
"EG10068"	12.6427
"EG10069"	10.921
"EG10070"	10.3575
"EG10071"	10.79235
"EG10072"	10.311
"EG10073"	10.4354
"EG10074"	11.1849
"EG10075"	10.2571
"EG10076"	9.444475
"EG10077"	10.285
"EG10078"	10.2846
"EG10079"	11.94845
"EG10080"	9.938585
"EG10081"	11.24115
"EG10082"	10.258035
"EG10083"	9.29719
"EG10084"	10.80135
"EG10085"	7.73875
"EG10086"	7.82399
"EG10087"	9.542555
"EG10088"	12.38385
"EG10089"	6.874675
"EG10090"	8.86318
"EG10091"	9.68589
"EG10092"	10.06205
"EG10093"	8.89649
"EG10094"	11.34775
"EG10095"	9.023735
"EG10096"	12.24665
"EG10097"	10.80125
"EG10098"	12.24595
"EG10099"	11.34295
"EG10100"	10.49875
"EG10101"	11.3768
"EG10102"	12.47005
"EG10103"	12.24885
"EG10104"	11.73025
"EG10105"	11.4309
"EG10106"	11.0373
"EG10107"	10.94425
