"Gene"	"M9 Glucose minus AAs"
"EG10001"	8.78116
"EG10002"	9.48648666667
"EG10003"	8.36557333333
"EG10004"	9.79357666667
"EG10006"	9.36081
"EG10007"	8.81473
"EG10008"	8.51043666667
"EG10010"	7.17608666667
"EG10011"	8.85324
"EG10012"	9.49044
"EG10013"	8.67449666667
"EG10014"	9.234
"EG10015"	10.9795
"EG10016"	8.75322
"EG10017"	10.1404233333
"EG10018"	8.13423333333
"EG10020"	10.2621533333
"EG10021"	10.0064966667
"EG10022"	12.2520666667
"EG10023"	12.6047333333
"EG10024"	11.2467466667
"EG10025"	11.3443333333
"EG10026"	9.83632333333
"EG10027"	11.1931333333
"EG10028"	9.76804
"EG10029"	8.804
"EG10030"	9.16284666667
"EG10031"	10.31054
"EG10032"	10.9403933333
"EG10033"	9.90298
"EG10034"	11.5237333333
"EG10035"	10.2579
"EG10036"	9.59471333333
"EG10037"	7.84567
"EG10039"	9.12663666667
"EG10040"	8.58305666667
"EG10041"	8.67255666667
"EG10042"	9.09311333333
"EG10043"	9.11852666667
"EG10044"	11.5610333333
"EG10045"	9.84514666667
"EG10046"	8.16258666667
"EG10047"	10.1590266667
"EG10048"	8.99719666667
"EG10049"	8.55347
"EG10050"	4.97975666667
"EG10051"	10.7403666667
"EG10052"	9.47917333333
"EG10053"	9.215
"EG10054"	10.0883166667
"EG10055"	9.86915333333
"EG10056"	9.47814333333
"EG10057"	9.58008666667
"EG10058"	8.48951666667
"EG10059"	9.10687312087
"EG10060"	9.23279333333
"EG10061"	10.6541333333
"EG10062"	9.51975
"EG10063"	10.29368
"EG10064"	11.041
"EG10065"	10.8923333333
"EG10066"	10.1949
"EG10067"	10.7274366667
"EG10068"	10.0449833333
"EG10069"	10.0187933333
"EG10070"	9.23816666667
"EG10071"	9.08800333333
"EG10072"	10.5334333333
"EG10073"	10.8741433333
"EG10074"	9.83278666667
"EG10075"	9.84061666667
"EG10076"	9.29426333333
"EG10077"	8.83402666667
"EG10078"	10.8506633333
"EG10079"	10.6810866667
"EG10080"	9.07003
"EG10081"	10.7072433333
"EG10082"	10.1016
"EG10083"	8.17265666667
"EG10084"	10.21306
"EG10085"	8.1183
"EG10086"	9.11125
"EG10087"	8.93266
"EG10088"	11.1699233333
"EG10089"	8.07163
"EG10090"	7.24158666667
"EG10091"	9.25304
"EG10092"	8.77328
"EG10093"	8.63901666667
"EG10094"	10.1715233333
"EG10095"	8.98973
"EG10096"	11.1266133333
"EG10097"	10.7635666667
"EG10098"	10.69207
"EG10099"	11.1755233333
"EG10100"	11.1403666667
"EG10101"	10.24665
"EG10102"	12.4779666667
"EG10103"	12.5915
"EG10104"	11.5435133333
"EG10105"	12.5085333333
"EG10106"	10.6517666667
"EG10107"	9.83560333333
"EG10108"	10.5568
"EG10109"	9.73836666667
"EG10110"	9.51038
"EG10111"	9.79988
"EG10112"	9.89789
"EG10113"	10.10754
"EG10114"	6.74188333333
"EG10115"	7.23497666667
"EG10116"	7.37876333333
"EG10117"	9.10362666667
"EG10118"	10.6645
"EG10119"	8.81044333333
"EG10120"	9.2746
"EG10121"	8.84166666667
"EG10122"	9.89203666667
"EG10123"	10.17903
"EG10124"	8.79109
"EG10125"	10.9008166667
"EG10126"	8.76621
"EG10127"	8.85325
"EG10128"	9.67446
"EG10129"	9.80434333333
"EG10130"	9.19664
"EG10131"	8.29919
"EG10132"	7.74862333333
"EG10133"	5.61407666667
"EG10134"	11.4827066667
"EG10135"	10.79909
"EG10136"	9.78283333333
"EG10137"	8.67356
"EG10138"	8.71607
"EG10139"	9.38690666667
"EG10140"	10.0337466667
"EG10141"	7.95292333333
"EG10142"	9.25346666667
"EG10143"	8.14907
"EG10144"	8.92743666667
"EG10145"	8.20082
"EG10146"	8.27392
"EG10147"	8.23702
"EG10148"	8.61618333333
"EG10149"	8.93836
"EG10150"	9.05592666667
"EG10151"	9.06424333333
"EG10152"	8.66188333333
"EG10153"	8.99041666667
"EG10154"	8.79276
"EG10155"	9.24341
"EG10156"	11.0034666667
"EG10157"	9.48982
"EG10158"	10.04004
"EG10159"	10.17978
"EG10160"	8.33973333333
"EG10161"	8.73023333333
"EG10162"	10.07703
"EG10163"	9.05653333333
"EG10164"	11.6438666667
"EG10165"	11.6776333333
"EG10166"	11.3140333333
"EG10167"	11.0664
"EG10168"	9.66417
"EG10169"	10.3228433333
"EG10170"	8.50500333333
"EG10172"	10.7813
"EG10173"	10.6549666667
"EG10174"	10.44357
"EG10175"	7.24269333333
"EG10176"	8.37000666667
"EG10177"	9.51715
"EG10178"	12.0335666667
"EG10179"	10.9673766667
"EG10180"	10.94358
"EG10181"	11.9366
"EG10182"	9.94722333333
"EG10183"	10.11316
"EG10184"	8.78540666667
"EG10185"	10.20179
"EG10186"	11.5656333333
"EG10187"	10.7945
"EG10188"	8.28859
"EG10189"	10.9308766667
"EG10190"	10.9268333333
"EG10191"	10.4087066667
"EG10192"	12.2635333333
"EG10193"	9.91566666667
"EG10194"	11.0056766667
"EG10195"	11.4146
"EG10196"	10.0255166667
"EG10197"	10.6858333333
"EG10198"	10.4721333333
"EG10200"	9.19719333333
"EG10201"	9.12728666667
"EG10202"	8.41626333333
"EG10203"	9.92372
"EG10204"	9.50586666667
"EG10205"	11.6751666667
"EG10206"	10.00475
"EG10207"	10.7731866667
"EG10208"	9.17574
"EG10209"	10.8293
"EG10210"	8.40387666667
"EG10211"	9.03859333333
"EG10212"	9.1519
"EG10213"	9.36155333333
"EG10214"	10.5753666667
"EG10215"	10.5496
"EG10216"	9.24480333333
"EG10217"	9.88867333333
"EG10218"	10.5670333333
"EG10219"	9.34456666667
"EG10220"	9.51962333333
"EG10221"	9.20306333333
"EG10222"	10.5313933333
"EG10223"	9.07832
"EG10224"	10.2764133333
"EG10225"	7.60279333333
"EG10226"	9.8048
"EG10227"	6.01524333333
"EG10228"	6.79439
"EG10229"	8.79212
"EG10230"	11.4308333333
"EG10231"	9.23911
"EG10232"	8.42711666667
"EG10233"	8.99653666667
"EG10234"	8.96055666667
"EG10235"	10.1520333333
"EG10236"	10.3330933333
"EG10237"	8.80445
"EG10238"	10.4793833333
"EG10239"	10.3949
"EG10240"	10.3875866667
"EG10241"	11.2351
"EG10242"	10.1006433333
"EG10243"	9.34443
"EG10244"	9.70265666667
"EG10245"	9.42451333333
"EG10246"	9.25973
"EG10247"	9.82429333333
"EG10248"	11.3328666667
"EG10249"	8.08351
"EG10250"	7.66711
"EG10251"	9.03192
"EG10252"	8.31720666667
"EG10253"	6.85478333333
"EG10254"	8.69053
"EG10255"	10.0507833333
"EG10256"	10.0323166667
"EG10257"	11.0311
"EG10258"	11.7464
"EG10259"	8.47234333333
"EG10260"	9.77446
"EG10261"	9.25031
"EG10262"	7.22732666667
"EG10263"	9.38031666667
"EG10264"	8.48236
"EG10265"	10.6772966667
"EG10266"	7.23312333333
"EG10267"	7.14198333333
"EG10268"	6.31802333333
"EG10269"	9.51442
"EG10270"	8.86186333333
"EG10271"	9.76451666667
"EG10272"	9.8077
"EG10273"	10.7900333333
"EG10274"	11.7660666667
"EG10275"	10.98346
"EG10276"	9.96698
"EG10277"	11.2425666667
"EG10278"	8.64211666667
"EG10279"	8.93490666667
"EG10280"	9.14106333333
"EG10281"	9.83448333333
"EG10282"	10.4961766667
"EG10283"	10.36091
"EG10284"	9.5716
"EG10285"	8.56846
"EG10286"	8.65217666667
"EG10287"	8.2102
"EG10288"	8.67796333333
"EG10289"	8.53868333333
"EG10290"	8.68143333333
"EG10291"	9.16806
"EG10292"	8.47279333333
"EG10293"	10.0727533333
"EG10294"	8.27970333333
"EG10295"	9.05658666667
"EG10296"	9.19131
"EG10297"	8.04355666667
"EG10298"	9.01594
"EG10299"	9.04271333333
"EG10300"	10.1541933333
"EG10301"	8.99098666667
"EG10302"	9.59016
"EG10303"	8.63312
"EG10304"	9.61885
"EG10305"	8.75216333333
"EG10306"	8.52635
"EG10307"	9.65492333333
"EG10308"	10.0388433333
"EG10309"	7.27509
"EG10310"	8.04316
"EG10311"	7.99991666667
"EG10312"	8.20992
"EG10313"	7.84055333333
"EG10314"	8.86956333333
"EG10315"	8.43791
"EG10316"	11.4124333333
"EG10317"	10.94696
"EG10318"	10.2637733333
"EG10319"	8.6091
"EG10320"	9.26736333333
"EG10321"	8.9629
"EG10322"	8.28615666667
"EG10323"	7.17476333333
"EG10324"	8.03695
"EG10325"	9.61242333333
"EG10326"	10.1976666667
"EG10327"	9.88414
"EG10328"	9.86707333333
"EG10329"	9.19016333333
"EG10330"	9.58433333333
"EG10331"	9.99280333333
"EG10332"	7.40534333333
"EG10333"	9.41617333333
"EG10334"	10.2041033333
"EG10335"	10.9122666667
"EG10336"	10.2832166667
"EG10337"	8.94202333333
"EG10338"	9.16185333333
"EG10339"	10.9048666667
"EG10340"	10.4599
"EG10341"	9.59953666667
"EG10342"	10.9675666667
"EG10343"	9.62241333333
"EG10344"	9.22611666667
"EG10345"	10.2140233333
"EG10346"	11.0035333333
"EG10347"	11.6904666667
"EG10348"	7.83731
"EG10349"	8.94746666667
"EG10350"	8.76628666667
"EG10351"	8.43277666667
"EG10352"	6.91261666667
"EG10353"	9.13015666667
"EG10355"	9.67702
"EG10356"	10.1741733333
"EG10357"	8.06937333333
"EG10358"	8.65279666667
"EG10359"	10.5909633333
"EG10360"	13.0333666667
"EG10361"	9.35591
"EG10362"	9.05536
"EG10363"	10.04455
"EG10364"	10.14545
"EG10365"	8.87746333333
"EG10366"	8.56928
"EG10367"	12.3624333333
"EG10368"	10.01995
"EG10369"	10.2408566667
"EG10370"	9.79721666667
"EG10371"	11.8919333333
"EG10372"	11.1838
"EG10373"	9.10687312087
"EG10374"	9.67398333333
"EG10375"	9.85491666667
"EG10376"	9.29833333333
"EG10377"	9.65015
"EG10378"	11.223
"EG10379"	10.38846
"EG10380"	9.46836333333
"EG10381"	10.6578
"EG10382"	10.1220933333
"EG10383"	10.5248966667
"EG10384"	9.05358666667
"EG10385"	9.67762333333
"EG10386"	12.0526333333
"EG10387"	9.52871333333
"EG10388"	10.5634766667
"EG10389"	11.0304
"EG10390"	10.2800333333
"EG10391"	9.09738333333
"EG10392"	9.55634
"EG10393"	9.01118333333
"EG10394"	9.66163333333
"EG10395"	10.04523
"EG10396"	9.55585666667
"EG10397"	10.1531
"EG10398"	9.34481666667
"EG10399"	9.41597333333
"EG10400"	9.17777666667
"EG10401"	10.3128166667
"EG10402"	11.1882566667
"EG10403"	11.88793
"EG10404"	12.2437
"EG10405"	9.08894333333
"EG10406"	9.44535
