"id"	"halfLife"
"6S-RNA"	344.82
"C0067-RNA"	344.82
"C0293-RNA"	344.82
"C0299-RNA"	344.82
"C0343-RNA"	344.82
"C0362-RNA"	344.82
"C0465-RNA"	344.82
"C0614-RNA"	344.82
"C0664-RNA"	344.82
"C0719-RNA"	344.82
"C0730-RNA"	344.82
"CSRB-RNA"	344.82
"CSRC-RNA"	344.82
"DICF-RNA"	344.82
"DSRA-RNA"	344.82
"EG10001_RNA"	130.162745963
"EG10002_RNA"	185.131147062
"EG10003_RNA"	153.377261957
"EG10004_RNA"	122.405565305
"EG10006_RNA"	313.990883706
"EG10007_RNA"	146.75492281
"EG10008_RNA"	659.086276267
"EG10010_RNA"	260.105960939
"EG10011_RNA"	130.709963831
"EG10012_RNA"	126.060904271
"EG10013_RNA"	132.691765766
"EG10014_RNA"	165.738992263
"EG10015_RNA"	104.721492661
"EG10016_RNA"	284.090268564
"EG10017_RNA"	151.821914506
"EG10018_RNA"	124.890622952
"EG10020_RNA"	462.029313428
"EG10021_RNA"	138.406985729
"EG10022_RNA"	165.728860981
"EG10023_RNA"	219.112972779
"EG10024_RNA"	161.889899
"EG10025_RNA"	174.569373786
"EG10026_RNA"	160.132825938
"EG10027_RNA"	190.80784592
"EG10028_RNA"	132.297479566
"EG10029_RNA"	187.931514763
"EG10030_RNA"	191.121132019
"EG10031_RNA"	241.563824085
"EG10032_RNA"	155.87749784
"EG10033_RNA"	220.954890909
"EG10034_RNA"	208.303612777
"EG10035_RNA"	183.900841876
"EG10036_RNA"	169.402722792
"EG10037_RNA"	139.418590506
"EG10039_RNA"	168.561727951
"EG10040_RNA"	174.803097882
"EG10041_RNA"	167.295245641
"EG10042_RNA"	155.493933009
"EG10043_RNA"	270.451132833
"EG10044_RNA"	184.584308752
"EG10045_RNA"	154.446956467
"EG10046_RNA"	289.258836173
"EG10047_RNA"	199.065442145
"EG10048_RNA"	100.444042189
"EG10049_RNA"	192.673358911
"EG10050_RNA"	404.503810702
"EG10051_RNA"	126.790030978
"EG10052_RNA"	248.06560491
"EG10053_RNA"	268.662658517
"EG10054_RNA"	186.247568242
"EG10055_RNA"	169.402722792
"EG10056_RNA"	281.328428513
"EG10057_RNA"	169.402722792
"EG10058_RNA"	169.402722792
"EG10059_RNA"	656.172941504
"EG10060_RNA"	282.229647919
"EG10061_RNA"	184.694837144
"EG10062_RNA"	274.507500746
"EG10063_RNA"	207.50171424
"EG10064_RNA"	494.466049262
"EG10065_RNA"	204.572264005
"EG10066_RNA"	153.193942184
"EG10067_RNA"	142.943350675
"EG10068_RNA"	164.450877386
"EG10069_RNA"	169.402722792
"EG10070_RNA"	170.550148977
"EG10071_RNA"	107.158344421
"EG10072_RNA"	120.547928304
"EG10073_RNA"	128.905410535
"EG10074_RNA"	125.853114743
"EG10075_RNA"	152.610395372
"EG10076_RNA"	186.180697785
"EG10077_RNA"	242.507446922
"EG10078_RNA"	208.306243329
"EG10079_RNA"	199.616260494
"EG10080_RNA"	115.334958427
"EG10081_RNA"	101.498130417
"EG10082_RNA"	199.608852859
"EG10083_RNA"	210.822228714
"EG10084_RNA"	313.20799762
"EG10085_RNA"	198.253721092
"EG10086_RNA"	192.582794498
"EG10087_RNA"	175.246693038
"EG10088_RNA"	263.848220716
"EG10089_RNA"	215.812212056
"EG10090_RNA"	176.852741631
"EG10091_RNA"	313.726173153
"EG10092_RNA"	159.677695151
"EG10093_RNA"	207.224152813
"EG10094_RNA"	143.48671092
"EG10095_RNA"	165.804042204
"EG10096_RNA"	303.810640309
"EG10097_RNA"	123.708173015
"EG10098_RNA"	199.905140847
"EG10099_RNA"	212.852958943
"EG10100_RNA"	238.379675413
"EG10101_RNA"	242.262873256
"EG10102_RNA"	252.617081507
"EG10103_RNA"	248.648039964
"EG10104_RNA"	219.891653485
"EG10105_RNA"	210.854790534
"EG10106_RNA"	116.437886828
"EG10107_RNA"	111.604361678
"EG10108_RNA"	114.540856937
"EG10109_RNA"	333.549181172
"EG10110_RNA"	284.788773106
"EG10111_RNA"	358.409211944
"EG10112_RNA"	164.734631478
"EG10113_RNA"	218.76577974
"EG10114_RNA"	536.490943442
"EG10115_RNA"	169.402722792
"EG10116_RNA"	103.550132454
"EG10117_RNA"	132.72281037
"EG10118_RNA"	169.402722792
"EG10119_RNA"	169.402722792
"EG10120_RNA"	197.429776209
"EG10121_RNA"	169.402722792
"EG10122_RNA"	140.838377357
"EG10123_RNA"	172.526185953
"EG10124_RNA"	131.962211557
"EG10125_RNA"	169.402722792
"EG10126_RNA"	168.404561107
"EG10127_RNA"	144.68576665
"EG10128_RNA"	198.706638811
"EG10129_RNA"	205.916282841
"EG10130_RNA"	200.647648867
"EG10131_RNA"	170.651676985
"EG10132_RNA"	151.286787938
"EG10133_RNA"	112.789692937
"EG10134_RNA"	142.656902849
"EG10135_RNA"	151.601984387
"EG10136_RNA"	196.265267125
"EG10137_RNA"	109.036603634
"EG10138_RNA"	173.182272603
"EG10139_RNA"	155.378952158
"EG10140_RNA"	287.877138031
"EG10141_RNA"	169.402722792
"EG10142_RNA"	378.948581727
"EG10143_RNA"	359.560091474
"EG10144_RNA"	723.570592495
"EG10145_RNA"	337.187902084
"EG10146_RNA"	159.869769898
"EG10147_RNA"	329.816359303
"EG10148_RNA"	134.206654385
"EG10149_RNA"	169.111048926
"EG10150_RNA"	432.581900843
"EG10151_RNA"	298.882717961
"EG10152_RNA"	180.606454307
"EG10153_RNA"	143.049583854
"EG10154_RNA"	117.106417949
"EG10155_RNA"	124.853207786
"EG10156_RNA"	433.388861746
"EG10157_RNA"	169.402722792
"EG10158_RNA"	333.911769108
"EG10159_RNA"	223.470604077
"EG10160_RNA"	418.188314374
"EG10161_RNA"	169.402722792
"EG10162_RNA"	169.402722792
"EG10163_RNA"	256.240547669
"EG10164_RNA"	86.4388775492
"EG10165_RNA"	348.283011771
"EG10166_RNA"	80.9921768659
"EG10167_RNA"	244.17837156
"EG10168_RNA"	158.043998844
"EG10169_RNA"	241.328074289
"EG10170_RNA"	58.5027942615
"EG10172_RNA"	211.808157464
"EG10173_RNA"	293.351876197
"EG10174_RNA"	363.500463583
"EG10175_RNA"	269.085094248
"EG10176_RNA"	373.327064508
"EG10177_RNA"	364.930092754
"EG10178_RNA"	220.130118011
"EG10179_RNA"	201.530431997
"EG10180_RNA"	237.448980883
"EG10181_RNA"	238.494919812
"EG10182_RNA"	365.912832694
"EG10183_RNA"	109.596908997
"EG10184_RNA"	164.814297065
"EG10185_RNA"	169.402722792
"EG10186_RNA"	114.152699551
"EG10187_RNA"	250.413268675
"EG10188_RNA"	225.055207116
"EG10189_RNA"	169.402722792
"EG10190_RNA"	111.713914986
"EG10191_RNA"	93.6847470206
"EG10192_RNA"	216.626528253
"EG10193_RNA"	257.148759943
"EG10194_RNA"	254.31272471
"EG10195_RNA"	169.402722792
"EG10196_RNA"	218.378783008
"EG10197_RNA"	169.402722792
"EG10198_RNA"	169.402722792
"EG10200_RNA"	116.038038625
"EG10201_RNA"	116.7708217
"EG10202_RNA"	120.787103822
"EG10203_RNA"	104.179133033
"EG10204_RNA"	151.310698222
"EG10205_RNA"	502.154250177
"EG10206_RNA"	218.585173251
"EG10207_RNA"	238.840578235
"EG10208_RNA"	212.750495607
"EG10209_RNA"	132.160487458
"EG10210_RNA"	111.959291676
"EG10211_RNA"	73.3351243035
"EG10212_RNA"	181.666453709
"EG10213_RNA"	291.829145321
"EG10214_RNA"	119.305399394
"EG10215_RNA"	181.660936462
"EG10216_RNA"	205.15891297
"EG10217_RNA"	127.835765393
"EG10218_RNA"	209.752416378
"EG10219_RNA"	224.18142181
"EG10220_RNA"	300.684574481
"EG10221_RNA"	219.488436394
"EG10222_RNA"	214.841779422
"EG10223_RNA"	121.11904693
"EG10224_RNA"	124.101024244
"EG10225_RNA"	115.959348047
"EG10226_RNA"	112.082616515
"EG10227_RNA"	169.402722792
"EG10228_RNA"	169.402722792
"EG10229_RNA"	128.152901631
"EG10230_RNA"	422.185666467
"EG10231_RNA"	283.47076322
"EG10232_RNA"	242.335433555
"EG10233_RNA"	169.402722792
"EG10234_RNA"	169.402722792
"EG10235_RNA"	116.996004177
"EG10236_RNA"	135.370778371
"EG10237_RNA"	138.654571251
"EG10238_RNA"	154.454176113
"EG10239_RNA"	87.9603328473
"EG10240_RNA"	154.443704742
"EG10241_RNA"	333.697070961
"EG10242_RNA"	129.320652967
"EG10243_RNA"	121.771485344
"EG10244_RNA"	116.050418124
"EG10245_RNA"	160.944887029
"EG10246_RNA"	107.597692091
"EG10247_RNA"	123.074002298
"EG10248_RNA"	99.6103082706
"EG10249_RNA"	175.617025363
"EG10250_RNA"	140.474692522
"EG10251_RNA"	157.110216361
"EG10252_RNA"	123.034135158
"EG10253_RNA"	252.583469561
"EG10254_RNA"	115.16213842
"EG10255_RNA"	215.067536538
"EG10256_RNA"	558.29118619
"EG10257_RNA"	550.946555522
"EG10258_RNA"	262.196756091
"EG10259_RNA"	301.379630518
"EG10260_RNA"	304.870581379
"EG10261_RNA"	157.30794222
"EG10262_RNA"	140.257736707
"EG10263_RNA"	192.846389713
"EG10264_RNA"	134.79329448
"EG10265_RNA"	199.469356468
"EG10266_RNA"	184.840563064
"EG10267_RNA"	264.117336628
"EG10268_RNA"	179.056658023
"EG10269_RNA"	183.346337881
"EG10270_RNA"	92.7048761752
"EG10271_RNA"	109.02592315
"EG10272_RNA"	135.621043914
"EG10273_RNA"	276.991561056
"EG10274_RNA"	117.097146627
"EG10275_RNA"	157.698438236
"EG10276_RNA"	160.395252973
"EG10277_RNA"	157.665377229
"EG10278_RNA"	120.728372195
"EG10279_RNA"	116.238617095
"EG10280_RNA"	202.077815335
"EG10281_RNA"	119.997688667
"EG10282_RNA"	222.038831359
"EG10283_RNA"	166.575623961
"EG10284_RNA"	163.360598798
"EG10285_RNA"	378.978972436
"EG10286_RNA"	121.645978744
"EG10287_RNA"	120.440944555
"EG10288_RNA"	181.133432334
"EG10289_RNA"	149.476710387
"EG10290_RNA"	129.745859768
"EG10291_RNA"	132.882920929
"EG10292_RNA"	109.792552706
"EG10293_RNA"	231.213858764
"EG10294_RNA"	126.165483448
"EG10295_RNA"	79.5238375273
"EG10296_RNA"	122.23837243
"EG10297_RNA"	169.402722792
"EG10298_RNA"	107.992633473
"EG10299_RNA"	109.630797975
"EG10300_RNA"	146.689344358
"EG10301_RNA"	133.478120695
"EG10302_RNA"	158.783794622
"EG10303_RNA"	215.519991686
"EG10304_RNA"	131.47890918
"EG10305_RNA"	103.616988671
"EG10306_RNA"	195.842806996
"EG10307_RNA"	425.697928355
"EG10308_RNA"	169.402722792
"EG10309_RNA"	488.288117061
"EG10310_RNA"	132.422097921
"EG10311_RNA"	200.184997864
"EG10312_RNA"	870.132684959
"EG10313_RNA"	169.402722792
"EG10314_RNA"	169.402722792
"EG10315_RNA"	167.875964232
"EG10316_RNA"	148.728936676
"EG10317_RNA"	230.400040744
"EG10318_RNA"	102.445118279
"EG10319_RNA"	147.509932628
"EG10320_RNA"	144.916399257
"EG10321_RNA"	295.965258944
"EG10322_RNA"	133.24680856
"EG10323_RNA"	87.3224910387
"EG10324_RNA"	107.114828923
"EG10325_RNA"	112.534327356
"EG10326_RNA"	134.884103741
"EG10327_RNA"	155.868141092
"EG10328_RNA"	227.813226431
"EG10329_RNA"	208.134923146
