"tu_id"	"tu_count"
"EG30099"	0.0
"G0-8896"	0.0
"G0-8897"	0.0
"G0-8898"	0.0
"G0-8900"	0.0
"G0-8902"	0.0
"G0-8903"	0.0
"G0-8907"	0.0
"G0-8911"	0.0
"G0-8912"	0.0
"G0-8913"	0.0
"G0-8785"	0.0
"G0-8874"	0.0
"EG31115"	0.0
"G7047"	0.0
"EG10001"	58.6866666667
"EG10002"	115.99666666699999
"EG10003"	48.1066666667
"EG10004"	133.0
"EG10006"	1.55333333333
"EG10007"	72.05
"EG10008"	4.09
"EG10010"	2.10666666667
"EG10011"	80.1733333333
"EG10012"	66.55
"EG10013"	50.01333333329999
"EG10014"	5.27333333333
"EG10015"	206.21999999999997
"EG10016"	2.6
"EG10017"	252.546666667
"EG10018"	38.63
"EG10020"	215.66666666699996
"EG10021"	95.10333333329999
"EG10022"	1603.6199999999997
"EG10023"	1516.11666667
"EG10024"	875.196666667
"EG10025"	600.1833333329998
"EG10026"	211.526666667
"EG10027"	270.35666666699996
"EG10028"	37.8666666667
"EG10029"	15.4566666667
"EG10030"	36.8966666667
"EG10031"	852.036666667
"EG10032"	722.493333333
"EG10033"	40.4333333333
"EG10034"	454.81333333299995
"EG10035"	220.816666667
"EG10036"	32.6966666667
"EG10037"	7.76
"EG10039"	287.38
"EG10040"	19.6233333333
"EG10041"	60.55
"EG10042"	39.246666666699994
"EG10043"	66.32
"EG10044"	498.88333333299994
"EG10045"	119.10333333299998
"EG10046"	7.339999999999999
"EG10047"	197.32333333299997
"EG10048"	53.1733333333
"EG10049"	10.7266666667
"EG10050"	10.5666666667
"EG10051"	314.36333333299996
"EG10052"	3.7966666666699997
"EG10053"	1.8433333333299997
"EG10054"	28.146666666699996
"EG10055"	1.23
"EG10056"	10.5766666667
"EG10057"	5.493333333329999
"EG10058"	13.06
"EG10059"	23.1933333333
"EG10060"	11.3833333333
"EG10061"	660.793333333
"EG10062"	51.356666666699994
"EG10063"	170.47333333299997
"EG10064"	186.68333333299998
"EG10065"	151.346666667
"EG10066"	145.65
"EG10067"	220.02999999999997
"EG10068"	427.863333333
"EG10069"	141.38
"EG10070"	197.37666666699997
"EG10071"	144.29999999999998
"EG10072"	259.503333333
"EG10073"	552.903333333
"EG10074"	276.883333333
"EG10075"	269.993333333
"EG10076"	75.3033333333
"EG10077"	42.2233333333
"EG10078"	1076.65666667
"EG10079"	1087.80666667
"EG10080"	206.76
"EG10081"	403.69
"EG10082"	437.023333333
"EG10083"	40.74
"EG10084"	472.92666666699995
"EG10085"	8.22666666667
"EG10086"	6.85666666667
"EG10087"	15.6666666667
"EG10088"	1259.62
"EG10089"	4.56
"EG10090"	2.55666666667
"EG10091"	51.18333333329999
"EG10092"	150.35333333299997
"EG10093"	19.3266666667
"EG10094"	706.3366666669999
"EG10095"	46.28999999999999
"EG10096"	1120.4
"EG10097"	241.26999999999998
"EG10098"	1935.1833333299999
"EG10099"	875.71
"EG10100"	1187.99
"EG10101"	1399.91666667
"EG10102"	2564.33
"EG10103"	2147.3266666699997
"EG10104"	1736.61666667
"EG10105"	1002.32333333
"EG10106"	511.46999999999997
"EG10107"	314.94999999999993
"EG10108"	1324.88666667
"EG10109"	24.76
"EG10110"	44.1733333333
"EG10111"	97.57666666669999
"EG10112"	21.2666666667
"EG10113"	128.74
"EG10114"	1.5966666666699998
"EG10115"	26.4066666667
"EG10116"	0.55
"EG10117"	92.18
"EG10118"	172.3
"EG10119"	66.31
"EG10120"	98.5
"EG10121"	84.0433333333
"EG10122"	27.59
"EG10123"	42.2933333333
"EG10124"	44.46666666669999
"EG10125"	292.183333333
"EG10126"	100.57
"EG10127"	23.283333333299996
"EG10128"	81.81
"EG10129"	81.8833333333
"EG10130"	62.623333333299996
"EG10131"	3.15333333333
"EG10132"	1.04
"EG10133"	4.88666666667
"EG10134"	658.756666667
"EG10135"	462.046666667
"EG10136"	79.43333333329998
"EG10137"	21.9033333333
"EG10138"	25.4066666667
"EG10139"	117.103333333
"EG10140"	27.4833333333
"EG10141"	3.43666666667
"EG10142"	12.02
"EG10143"	10.929999999999998
"EG10144"	5.07
"EG10145"	6.266666666669999
"EG10146"	790.913333333
"EG10147"	177.46
"EG10148"	379.05
"EG10149"	1621.66666667
"EG10150"	1255.48666667
"EG10151"	635.5466666669998
"EG10152"	79.5833333333
"EG10153"	45.0866666667
"EG10154"	52.92
"EG10155"	3279.29666667
"EG10156"	507.866666667
"EG10157"	142.333333333
"EG10158"	456.533333333
"EG10159"	490.10999999999996
"EG10160"	41.7366666667
"EG10161"	1.9266666666699999
"EG10162"	3.45
"EG10163"	91.8733333333
"EG10164"	968.3033333329998
"EG10165"	2087.80333333
"EG10166"	3581.1266666699994
"EG10167"	80.3233333333
