"id"	"_comments"
"RXN0-2161_selC-tRNA"	"Ignored because two step Sel charging (Ser charging, Ser -> Sel) does not fit with modeling framework of other charging reactions. Replaced by SELENOCYSTEINE--TRNA-LIGASE-RXN_selC-tRNA."	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23893_trpT-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23895_cysT-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23896_serT-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23896_serU-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23896_serV-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23896_serW-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23896_serX-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23897_hisR-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23898_lysT-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23898_lysV-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23898_lysW-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23898_RNA0-301"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23898_RNA0-302"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23898_RNA0-303"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23899_proK-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23899_proL-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23899_proM-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23900_thrT-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23900_thrU-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23900_thrV-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23900_thrW-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23901_aspT-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23901_aspU-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23901_aspV-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23902_RNA0-300"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23902_valT-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23902_valU-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23902_valV-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23902_valW-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23902_valX-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23902_valY-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23903_leuP-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23903_leuQ-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23903_leuT-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23903_leuU-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23903_leuV-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23903_leuW-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23903_leuX-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23903_leuZ-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23904_pheU-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23904_pheV-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23905_argQ-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23905_argU-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23905_argV-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23905_argW-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23905_argX-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23905_argY-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
