"rna id"	"ratio to 16SrRNA"
"alaX-tRNA"	0.072
"valV-tRNA"	0.04
"trpT-tRNA"	0.04
"metY-tRNA"	0.04
"glyV-tRNA"	0.035
"cysT-tRNA"	0.11
"ileX-tRNA"	0.0675
"glyU-tRNA"	0.1533
"argX-tRNA"	0.1533
"metW-tRNA"	0.1533
"lysV-tRNA"	0.04
"leuU-tRNA"	0.04
"thrT-tRNA"	0.125
"gltV-tRNA"	0.09
"alaV-tRNA"	0.125
"argV-tRNA"	0.05
"alaW-tRNA"	0.05
"leuV-tRNA"	0.125
"serU-tRNA"	0.125
"leuZ-tRNA"	0.035
"leuW-tRNA"	0.035
"glyX-tRNA"	0.035
"hisR-tRNA"	0.09
"glyY-tRNA"	0.09
"RNA0-300"	0.09
"serV-tRNA"	0.17
"glyW-tRNA"	0.06
"glnU-tRNA"	0.055
"glnX-tRNA"	0.06
"lysT-tRNA"	0.055
"argY-tRNA"	0.135
"tyrT-tRNA"	0.135
"tyrU-tRNA"	0.135
"valY-tRNA"	0.135
"proK-tRNA"	0.13
"argQ-tRNA"	0.13
"leuQ-tRNA"	0.1375
"proM-tRNA"	0.1375
"gltW-tRNA"	0.1375
"glnW-tRNA"	0.1375
"valT-tRNA"	0.09
"asnV-tRNA"	0.0733
"glnV-tRNA"	0.0733
"pheU-tRNA"	0.0733
"thrW-tRNA"	0.11
"ileV-tRNA"	0.1375
"proL-tRNA"	0.1375
"gltU-tRNA"	0.1375
"argW-tRNA"	0.13
"metZ-tRNA"	0.1375
"gltT-tRNA"	0.09
"metT-tRNA"	0.23
"thrU-tRNA"	0.13
"alaT-tRNA"	0.04
"argZ-tRNA"	0.04
"aspT-tRNA"	0.04
"serX-tRNA"	0.045
"leuX-tRNA"	0.045
"alaU-tRNA"	0.0675
"aspU-tRNA"	0.0675
"asnT-tRNA"	0.0675
"lysW-tRNA"	0.07
"RNA0-306"	0.07
"RNA0-305"	0.11
"RNA0-304"	0.07
"RNA0-303"	0.07
"RNA0-302"	0.03
"RNA0-301"	0.18
"leuT-tRNA"	0.04
"metU-tRNA"	0.15
"asnU-tRNA"	0.045
"valU-tRNA"	0.045
"valX-tRNA"	0.13
"argU-tRNA"	0.11
"serW-tRNA"	0.02
"valW-tRNA"	0.07
"selC-tRNA"	0.11
"glyT-tRNA"	0.045
"aspV-tRNA"	0.12
"serT-tRNA"	0.045
"ileT-tRNA"	0.072
"pheV-tRNA"	0.072
"tyrV-tRNA"	0.09
"ileU-tRNA"	0.08
"leuP-tRNA"	0.072
"thrV-tRNA"	0.072
