"molecules"	"orientation"
{"HK": "ARCB-MONOMER", "PHOSPHO-HK": "PHOSPHO-ARCB717", "LIGAND": "OXYGEN-MOLECULE", "HK-LIGAND": "ARCB-OXYGEN-CPLX", "PHOSPHO-HK-LIGAND": "PHOSPHO-ARCB-OXYGEN-CPLX", "RR": "ARCA-MONOMER", "PHOSPHO-RR": "PHOSPHO-ARCA"}	1
{"HK": "BAES-MONOMER", "PHOSPHO-HK": "PHOSPHO-BAES", "LIGAND": "INDOLE", "HK-LIGAND": "BAES-INDOLE-CPLX", "PHOSPHO-HK-LIGAND": "PHOSPHO-BAES-INDOLE-CPLX", "RR": "BAER-MONOMER", "PHOSPHO-RR": "PHOSPHO-BAER"}	1
{"HK": "BAES-MONOMER", "PHOSPHO-HK": "PHOSPHO-BAES", "LIGAND": "TUNGSTATE", "HK-LIGAND": "BAES-TUNGSTATE-CPLX", "PHOSPHO-HK-LIGAND": "PHOSPHO-BAES-TUNGSTATE-CPLX", "RR": "BAER-MONOMER", "PHOSPHO-RR": "PHOSPHO-BAER"}	1
{"HK": "BAES-MONOMER", "PHOSPHO-HK": "PHOSPHO-BAES", "LIGAND": "CPD-520", "HK-LIGAND": "BAES-CPD-520-CPLX", "PHOSPHO-HK-LIGAND": "PHOSPHO-BAES-CPD-520-CPLX", "RR": "BAER-MONOMER", "PHOSPHO-RR": "PHOSPHO-BAER"}	1
{"HK": "BAES-MONOMER", "PHOSPHO-HK": "PHOSPHO-BAES", "LIGAND": "CPD-183", "HK-LIGAND": "BAES-CPD-183-CPLX", "PHOSPHO-HK-LIGAND": "PHOSPHO-BAES-CPD-183-CPLX", "RR": "BAER-MONOMER", "PHOSPHO-RR": "PHOSPHO-BAER"}	1
{"HK": "DCUS-MONOMER", "PHOSPHO-HK": "PHOSPHO-DCUS", "LIGAND": "SUC", "HK-LIGAND": "DCUS-SUC-CPLX", "PHOSPHO-HK-LIGAND": "PHOSPHO-DCUS-SUC-CPLX", "RR": "DCUR-MONOMER", "PHOSPHO-RR": "PHOSPHO-DCUR"}	1
{"HK": "DCUS-MONOMER", "PHOSPHO-HK": "PHOSPHO-DCUS", "LIGAND": "ACET", "HK-LIGAND": "DCUS-ACET-CPLX", "PHOSPHO-HK-LIGAND": "PHOSPHO-DCUS-ACET-CPLX", "RR": "DCUR-MONOMER", "PHOSPHO-RR": "PHOSPHO-DCUR"}	1
{"HK": "DCUS-MONOMER", "PHOSPHO-HK": "PHOSPHO-DCUS", "LIGAND": "FUM", "HK-LIGAND": "DCUS-FUM-CPLX", "PHOSPHO-HK-LIGAND": "PHOSPHO-DCUS-FUM-CPLX", "RR": "DCUR-MONOMER", "PHOSPHO-RR": "PHOSPHO-DCUR"}	1
{"HK": "DCUS-MONOMER", "PHOSPHO-HK": "PHOSPHO-DCUS", "LIGAND": "MAL", "HK-LIGAND": "DCUS-MAL-CPLX", "PHOSPHO-HK-LIGAND": "PHOSPHO-DCUS-MAL-CPLX", "RR": "DCUR-MONOMER", "PHOSPHO-RR": "PHOSPHO-DCUR"}	1
{"HK": "NARX-MONOMER", "PHOSPHO-HK": "PHOSPHO-NARX", "LIGAND": "NITRATE", "HK-LIGAND": "NARX-NITRATE-CPLX", "PHOSPHO-HK-LIGAND": "PHOSPHO-NARX-NITRATE-CPLX", "RR": "NARL-MONOMER", "PHOSPHO-RR": "PHOSPHO-NARL"}	1
{"HK": "NARX-MONOMER", "PHOSPHO-HK": "PHOSPHO-NARX", "LIGAND": "NITRITE", "HK-LIGAND": "NARX-NITRITE-CPLX", "PHOSPHO-HK-LIGAND": "PHOSPHO-NARX-NITRITE-CPLX", "RR": "NARL-MONOMER", "PHOSPHO-RR": "PHOSPHO-NARL"}	1
{"HK": "PHOQ-MONOMER", "PHOSPHO-HK": "PHOSPHO-PHOQ", "LIGAND": "CA+2", "HK-LIGAND": "PHOQ-CA+2-CPLX", "PHOSPHO-HK-LIGAND": "PHOSPHO-PHOQ-CA+2-CPLX", "RR": "PHOP-MONOMER", "PHOSPHO-RR": "PHOSPHO-PHOP"}	-1
{"HK": "PHOQ-MONOMER", "PHOSPHO-HK": "PHOSPHO-PHOQ", "LIGAND": "MG+2", "HK-LIGAND": "PHOQ-MG+2-CPLX", "PHOSPHO-HK-LIGAND": "PHOSPHO-PHOQ-MG+2-CPLX", "RR": "PHOP-MONOMER", "PHOSPHO-RR": "PHOSPHO-PHOP"}	-1
{"HK": "PHOR-MONOMER", "PHOSPHO-HK": "PHOSPHO-PHOR", "LIGAND": "PHOSPHO-ABC-27-CPLX", "HK-LIGAND": "PHOR-Pi-ABC-27-CPLX", "PHOSPHO-HK-LIGAND": "PHOSPHO-PHOR-Pi-ABC-27-CPLX", "RR": "PHOB-MONOMER", "PHOSPHO-RR": "PHOSPHO-PHOB"}	-1
