reactionID,kcat (1/s),Exclude
DAHPSYN-RXN,[122],
DUTP-PYROP-RXN,[58.33],
ADENPRIBOSYLTRAN-RXN,[9.33],
GLURS-RXN,[3.4],
CATAL-RXN,[16333],
DAPASYN-RXN,[0.283],
SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN,[167],
ISOLEUCINE--TRNA-LIGASE-RXN,[1.46],
ISOLEUCINE--TRNA-LIGASE-RXN,[1.37],
DAPASYN-RXN,[0.283],
FORMATEDEHYDROG-RXN,[563.3],
FUMHYDR-RXN,[3100],
ENTMULTI-RXN,[12.7],
2.5.1.19-RXN,[56.6],
6PFRUCTPHOS-RXN,[111],
UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN,[4.75],
ASPARAGHYD-RXN,[31],
ASPARAGHYD-RXN,[0.33],
CITSYN-RXN,[81],
ASPARAGINE--TRNA-LIGASE-RXN-ASN-tRNAs/ASN/ATP/PROTON//Charged-ASN-tRNAs/AMP/PPI.52.,"[1.6,1.3]",
CHORPYRLY-RXN,[0.82],
3.4.21.83-RXN,[0.024],
3.4.21.83-RXN,[0.044],
RXN0-3281,[2833],
GLUTATHIONE-REDUCT-NADPH-RXN,[733.3],
DALADALALIG-RXN,[17],
DALADALALIG-RXN,[16.97],
DALADALALIG-RXN,[7.4],
DALADALALIG-RXN,[4.92],
7-ALPHA-HYDROXYSTEROID-DEH-RXN,[3798],
7-ALPHA-HYDROXYSTEROID-DEH-RXN,[491],
7-ALPHA-HYDROXYSTEROID-DEH-RXN,[206],
ASPARAGINE--TRNA-LIGASE-RXN-ASN-tRNAs/ASN/ATP/PROTON//Charged-ASN-tRNAs/AMP/PPI.52.,"[1.6,1.3]",
MANNPDEHYDROG-RXN,[190],
MANNPDEHYDROG-RXN,[240],
METHIONINE--TRNA-LIGASE-RXN,[3.3],
ISOCHORSYN-RXN,[1.8],
ISOCHORSYN-RXN,[2.88],
ISOCHORMAT-RXN,[10],
DHBDEHYD-RXN,[92.5],
POLYPHOSPHATE-KINASE-RXN,[59],
GART-RXN,[40],
L-ASPARTATE-OXID-RXN,[0.5333],
THIOREDOXIN-REDUCT-NADPH-RXN,[22.8],
ACETOLACTREDUCTOISOM-RXN,[1.8],
ACETOLACTREDUCTOISOM-RXN,[4.2],
O-SUCCHOMOSERLYASE-RXN,[11.67],
TRNA-URACIL-5--METHYLTRANSFERASE-RXN,[0.317],
IGPSYN-RXN,[7.2],
PRAISOM-RXN,[38.9],
3-DEHYDROQUINATE-SYNTHASE-RXN,[150],
DHBDEHYD-RXN,[25.3],
DHBAMPLIG-RXN,[5.5],
DHBAMPLIG-RXN,[5.83],
DHBAMPLIG-RXN,[2.5],
DHBAMPLIG-RXN,[3.23],
DHBAMPLIG-RXN,[3.15],
DHBAMPLIG-RXN,[0.45],
ADENYLYLSULFKIN-RXN,[50],
ADENYLYLSULFKIN-RXN,[0.206],
UROGENIIISYN-RXN,[500],
THIOREDOXIN-REDUCT-NADPH-RXN,[22],
PRAISOM-RXN,[40],
PRTRANS-RXN,[4.4],
FGAMSYN-RXN,[0.05],
RXN-15578,[6.8],
DIAMINOPIMEPIM-RXN,[132],
DGTPTRIPHYDRO-RXN,[4000],
3.6.1.41-RXN,[250],
GLURS-RXN,[0.8],
DIHYDROFOLATEREDUCT-RXN,[11],
DIHYDROFOLATEREDUCT-RXN,[18],
PRAISOM-RXN,[39],
IGPSYN-RXN,[3.1],
R601-RXN,[182],
R601-RXN,[1128],
THIOSULFATE-SULFURTRANSFERASE-RXN,[260],
GLYOHMETRANS-RXN,[10.7],
SULFITE-REDUCT-RXN,[30],
DIHYDROFOLATEREDUCT-RXN,[10],
DIHYDROFOLATEREDUCT-RXN,[10],
MERCAPYSTRANS-RXN,[12.5],
GLURS-RXN,[0.3],
GLYCINE--TRNA-LIGASE-RXN,[36.7],
DIHYDRODIPICSYN-RXN,[223],
RHAMNULPALDOL-RXN,[38.3],
RHAMNULPALDOL-RXN,[38.3],
