,Protein ID,Gene names ,UniProt id,UniProt gene name,Monomer ID
0,sp|A5A614|YCIZ_ECOLI,yciZ,A5A614,YCIZ_ECOLI,MONOMER0-2820
1,sp|O32583|THIS_ECOLI,thiS,O32583,THIS_ECOLI,THIS-MONOMER
2,sp|P00350|6PGD_ECOLI,gnd,P00350,6PGD_ECOLI,6PGLUCONDEHYDROG-MONOMER
3,sp|P00363|FRDA_ECOLI,frdA,P00363,FRDA_ECOLI,FUM-FLAVO
4,sp|P00370|DHE4_ECOLI,gdhA,P00370,DHE4_ECOLI,GDHA-MONOMER
5,sp|P00393|DHNA_ECOLI,ndh,P00393,DHNA_ECOLI,NADH-DHII-MONOMER
6,sp|P00448|SODM_ECOLI,sodA,P00448,SODM_ECOLI,SUPEROX-DISMUTMN-MONOMER
7,sp|P00452|RIR1_ECOLI,nrdA,P00452,RIR1_ECOLI,NRDA-MONOMER
8,sp|P00490|PHSM_ECOLI,malP,P00490,PHSM_ECOLI,MALDEXPHOSPHORYL-MONOMER
9,sp|P00509|AAT_ECOLI,aspC,P00509,AAT_ECOLI,ASPAMINOTRANS-MONOMER
10,sp|P00547|KHSE_ECOLI,thrB,P00547,KHSE_ECOLI,HOMOSERKIN-MONOMER
11,sp|P00550|PTM3C_ECOLI,mtlA,P00550,PTM3C_ECOLI,MTLA-MONOMER
12,sp|P00561|AK1H_ECOLI,thrA,P00561,AK1H_ECOLI,ASPKINIHOMOSERDEHYDROGI-MONOMER
13,sp|P00562|AK2H_ECOLI,metL,P00562,AK2H_ECOLI,ASPKINIIHOMOSERDEHYDROGII-MONOMER
14,sp|P00579|RPOD_ECOLI,rpoD,P00579,RPOD_ECOLI,RPOD-MONOMER
15,sp|P00582|DPO1_ECOLI,polA,P00582,DPO1_ECOLI,EG10746-MONOMER
16,sp|P00634|PPB_ECOLI,phoA,P00634,PPB_ECOLI,ALKAPHOSPHA-MONOMER
17,sp|P00803|LEP_ECOLI,lepB,P00803,LEP_ECOLI,EG10530-MONOMER
18,sp|P00805|ASPG2_ECOLI,ansB,P00805,ASPG2_ECOLI,ANSB-MONOMER
19,sp|P00811|AMPC_ECOLI,ampC,P00811,AMPC_ECOLI,EG10040-MONOMER
20,sp|P00861|DCDA_ECOLI,lysA,P00861,DCDA_ECOLI,DIAMINOPIMDECARB-MONOMER
21,sp|P00864|CAPP_ECOLI,ppc,P00864,CAPP_ECOLI,PEPCARBOX-MONOMER
22,sp|P00887|AROH_ECOLI,aroH,P00887,AROH_ECOLI,AROH-MONOMER
23,sp|P00888|AROF_ECOLI,aroF,P00888,AROF_ECOLI,AROF-MONOMER
24,sp|P00893|ILVI_ECOLI,ilvI,P00893,ILVI_ECOLI,ACETOLACTSYNIII-ICHAIN-MONOMER
25,sp|P00894|ILVH_ECOLI,ilvH,P00894,ILVH_ECOLI,ACETOLACTSYNIII-HCHAIN-MONOMER
26,sp|P00895|TRPE_ECOLI,trpE,P00895,TRPE_ECOLI,ANTHRANSYNCOMPI-MONOMER
27,sp|P00903|PABA_ECOLI,pabA,P00903,PABA_ECOLI,PABASYN-COMPII-MONOMER
28,sp|P00904|TRPGD_ECOLI,trpGD,P00904,TRPGD_ECOLI,ANTHRANSYNCOMPII-MONOMER
29,sp|P00909|TRPC_ECOLI,trpC,P00909,TRPC_ECOLI,PRAI-IGPS
30,sp|P00914|PHR_ECOLI,phrB,P00914,PHR_ECOLI,EG10736-MONOMER
31,sp|P00926|SDHD_ECOLI,dsdA,P00926,SDHD_ECOLI,DSERDEAM-MONOMER
32,sp|P00934|THRC_ECOLI,thrC,P00934,THRC_ECOLI,THRESYN-MONOMER
33,sp|P00935|METB_ECOLI,metB,P00935,METB_ECOLI,O-SUCCHOMOSERLYASE-MONOMER
34,sp|P00936|CYAA_ECOLI,cyaA,P00936,CYAA_ECOLI,ADENYLATECYC-MONOMER
35,sp|P00944|XYLA_ECOLI,xylA,P00944,XYLA_ECOLI,XYLISOM-MONOMER
36,sp|P00946|MANA_ECOLI,manA,P00946,MANA_ECOLI,MANNPISOM-MONOMER
37,sp|P00954|SYW_ECOLI,trpS,P00954,SYW_ECOLI,TRPS-MONOMER
38,sp|P00956|SYI_ECOLI,ileS,P00956,SYI_ECOLI,ILES-MONOMER
39,sp|P00957|SYA_ECOLI,alaS,P00957,SYA_ECOLI,ALAS-MONOMER
40,sp|P00959|SYM_ECOLI,metG,P00959,SYM_ECOLI,METG-MONOMER
41,sp|P00960|SYGA_ECOLI,glyQ,P00960,SYGA_ECOLI,GLYQ-MONOMER
42,sp|P00961|SYGB_ECOLI,glyS,P00961,SYGB_ECOLI,GLYS-MONOMER
43,sp|P00962|SYQ_ECOLI,glnS,P00962,SYQ_ECOLI,GLNS-MONOMER
44,sp|P00963|ASNA_ECOLI,asnA,P00963,ASNA_ECOLI,ASNSYNA-MONOMER
45,sp|P00968|CARB_ECOLI,carB,P00968,CARB_ECOLI,CARBPSYN-LARGE
46,sp|P02358|RS6_ECOLI,rpsF,P02358,RS6_ECOLI,EG10905-MONOMER
47,sp|P02359|RS7_ECOLI,rpsG,P02359,RS7_ECOLI,EG10906-MONOMER
48,sp|P02413|RL15_ECOLI,rplO,P02413,RL15_ECOLI,EG10876-MONOMER
49,sp|P02918|PBPA_ECOLI,mrcA,P02918,PBPA_ECOLI,EG10748-MONOMER
50,sp|P02919|PBPB_ECOLI,mrcB,P02919,PBPB_ECOLI,EG10605-MONOMER
51,sp|P02924|ARAF_ECOLI,araF,P02924,ARAF_ECOLI,ARAF-MONOMER
52,sp|P02925|RBSB_ECOLI,rbsB,P02925,RBSB_ECOLI,RBSB-MONOMER
53,sp|P02929|TONB_ECOLI,tonB,P02929,TONB_ECOLI,EG11012-MONOMER
54,sp|P02930|TOLC_ECOLI,tolC,P02930,TOLC_ECOLI,EG11009-MONOMER
55,sp|P02931|OMPF_ECOLI,ompF,P02931,OMPF_ECOLI,EG10671-MONOMER
56,sp|P02932|PHOE_ECOLI,phoE,P02932,PHOE_ECOLI,MONOMER0-282
57,sp|P02942|MCP1_ECOLI,tsr,P02942,MCP1_ECOLI,TSR-MONOMER
58,sp|P03004|DNAA_ECOLI,dnaA,P03004,DNAA_ECOLI,PD03831
59,sp|P03007|DPO3E_ECOLI,dnaQ,P03007,DPO3E_ECOLI,EG10243-MONOMER
60,sp|P03018|UVRD_ECOLI,uvrD,P03018,UVRD_ECOLI,EG11064-MONOMER
61,sp|P03023|LACI_ECOLI,lacI,P03023,LACI_ECOLI,PD00763
62,sp|P03024|GALR_ECOLI,galR,P03024,GALR_ECOLI,PD03028
63,sp|P03813|YGEA_ECOLI,ygeA,P03813,YGEA_ECOLI,EG11157-MONOMER
64,sp|P03817|MIOC_ECOLI,mioC,P03817,MIOC_ECOLI,EG11199-MONOMER
65,sp|P03819|KEFC_ECOLI,kefC,P03819,KEFC_ECOLI,KEFC-MONOMER
66,sp|P03835|INSG_ECOLI,insG,P03835,INSG_ECOLI,G7900-MONOMER
67,sp|P03841|MALM_ECOLI,malM,P03841,MALM_ECOLI,EG10559-MONOMER
68,sp|P04036|DAPB_ECOLI,dapB,P04036,DAPB_ECOLI,DIHYDROPICRED-MONOMER
69,sp|P04079|GUAA_ECOLI,guaA,P04079,GUAA_ECOLI,GMP-SYN-MONOMER
70,sp|P04335|FRSA_ECOLI,frsA,P04335,FRSA_ECOLI,EG11091-MONOMER
71,sp|P04391|OTC1_ECOLI,argI,P04391,OTC1_ECOLI,CHAINI-MONOMER
72,sp|P04395|3MG2_ECOLI,alkA,P04395,3MG2_ECOLI,EG11222-MONOMER
73,sp|P04425|GSHB_ECOLI,gshB,P04425,GSHB_ECOLI,GLUTATHIONE-SYN-MONOMER
74,sp|P04693|TYRB_ECOLI,tyrB,P04693,TYRB_ECOLI,TYRB-MONOMER
75,sp|P04805|SYE_ECOLI,gltX,P04805,SYE_ECOLI,GLURS-MONOMER
76,sp|P04816|LIVK_ECOLI,livK,P04816,LIVK_ECOLI,LIVK-MONOMER
77,sp|P04825|AMPN_ECOLI,pepN,P04825,AMPN_ECOLI,EG10696-MONOMER
78,sp|P04846|NLPA_ECOLI,nlpA,P04846,NLPA_ECOLI,EG10657-MONOMER
79,sp|P04949|FLIC_ECOLI,fliC,P04949,FLIC_ECOLI,EG10321-MONOMER
80,sp|P04951|KDSB_ECOLI,kdsB,P04951,KDSB_ECOLI,CPM-KDOSYNTH-MONOMER
81,sp|P04968|ILVA_ECOLI,ilvA,P04968,ILVA_ECOLI,THREDEHYDSYN-MONOMER
82,sp|P04982|RBSD_ECOLI,rbsD,P04982,RBSD_ECOLI,EG10817-MONOMER
83,sp|P04983|RBSA_ECOLI,rbsA,P04983,RBSA_ECOLI,RBSA-MONOMER
84,sp|P04993|RECD_ECOLI,recD,P04993,RECD_ECOLI,EG10826-MONOMER
85,sp|P04994|EX7L_ECOLI,xseA,P04994,EX7L_ECOLI,EG11072-MONOMER
86,sp|P04995|EX1_ECOLI,sbcB,P04995,EX1_ECOLI,EG10926-MONOMER
87,sp|P05020|PYRC_ECOLI,pyrC,P05020,PYRC_ECOLI,DIHYDROOROT-MONOMER
88,sp|P05041|PABB_ECOLI,pabB,P05041,PABB_ECOLI,PABASYN-COMPI-MONOMER
89,sp|P05042|FUMC_ECOLI,fumC,P05042,FUMC_ECOLI,FUMC-MONOMER
90,sp|P05052|APPY_ECOLI,appY,P05052,APPY_ECOLI,PD00967
91,sp|P05055|PNP_ECOLI,pnp,P05055,PNP_ECOLI,EG10743-MONOMER
92,sp|P05100|3MG1_ECOLI,tag,P05100,3MG1_ECOLI,EG10986-MONOMER
93,sp|P05194|AROD_ECOLI,aroD,P05194,AROD_ECOLI,AROD-MONOMER
94,sp|P05458|PTRA_ECOLI,ptrA,P05458,PTRA_ECOLI,EG10786-MONOMER
95,sp|P05459|PDXB_ECOLI,pdxB,P05459,PDXB_ECOLI,ERYTHRON4PDEHYDROG-MONOMER
96,sp|P05523|FPG_ECOLI,mutM,P05523,FPG_ECOLI,EG10329-MONOMER
97,sp|P05637|APAH_ECOLI,apaH,P05637,APAH_ECOLI,EG10048-MONOMER
98,sp|P05704|MCP3_ECOLI,trg,P05704,MCP3_ECOLI,TRG-MONOMER
99,sp|P05706|PTHA_ECOLI,srlB,P05706,PTHA_ECOLI,GUTB-MONOMER
100,sp|P05719|T1SK_ECOLI,hsdS,P05719,T1SK_ECOLI,EG10460-MONOMER
101,sp|P05791|ILVD_ECOLI,ilvD,P05791,ILVD_ECOLI,DIHYDROXYACIDDEHYDRAT-MONOMER
102,sp|P05793|ILVC_ECOLI,ilvC,P05793,ILVC_ECOLI,KETOLREDUCTOISOM-MONOMER
103,sp|P05825|FEPA_ECOLI,fepA,P05825,FEPA_ECOLI,EG10293-MONOMER
104,sp|P05827|ILVY_ECOLI,ilvY,P05827,ILVY_ECOLI,PD00200
105,sp|P05852|TSAD_ECOLI,tsaD,P05852,TSAD_ECOLI,EG11171-MONOMER
106,sp|P06129|BTUB_ECOLI,btuB,P06129,BTUB_ECOLI,EG10126-MONOMER
107,sp|P06136|FTSQ_ECOLI,ftsQ,P06136,FTSQ_ECOLI,EG10342-MONOMER
108,sp|P06149|DLD_ECOLI,dld,P06149,DLD_ECOLI,DLACTDEHYDROGFAD-MONOMER
109,sp|P06282|CDH_ECOLI,cdh,P06282,CDH_ECOLI,CDPDIGLYPYPHOSPHA-MONOMER
110,sp|P06610|BTUE_ECOLI,btuE,P06610,BTUE_ECOLI,BTUE-MONOMER
111,sp|P06611|BTUD_ECOLI,btuD,P06611,BTUD_ECOLI,BTUD-MONOMER
112,sp|P06612|TOP1_ECOLI,topA,P06612,TOP1_ECOLI,EG11013-MONOMER
113,sp|P06616|ERA_ECOLI,era,P06616,ERA_ECOLI,EG10270-MONOMER
114,sp|P06709|BIRA_ECOLI,birA,P06709,BIRA_ECOLI,BIOTINLIG-MONOMER
115,sp|P06710|DPO3X_ECOLI,dnaX,P06710,DPO3X_ECOLI,
116,sp|P06715|GSHR_ECOLI,gor,P06715,GSHR_ECOLI,GLUTATHIONE-REDUCT-NADPH-MONOMER
117,sp|P06720|AGAL_ECOLI,melA,P06720,AGAL_ECOLI,ALPHAGALACTOSID-MONOMER
118,sp|P06721|METC_ECOLI,metC,P06721,METC_ECOLI,CYSTATHIONINE-BETA-LYASE-MONOMER
119,sp|P06722|MUTH_ECOLI,mutH,P06722,MUTH_ECOLI,EG10624-MONOMER
120,sp|P06846|EBGR_ECOLI,ebgR,P06846,EBGR_ECOLI,PD03254
121,sp|P06959|ODP2_ECOLI,aceF,P06959,ODP2_ECOLI,E2P-MONOMER
122,sp|P06961|CCA_ECOLI,cca,P06961,CCA_ECOLI,EG10136-MONOMER
123,sp|P06966|DICA_ECOLI,dicA,P06966,DICA_ECOLI,EG10226-MONOMER
124,sp|P06968|DUT_ECOLI,dut,P06968,DUT_ECOLI,DUTP-PYROP-MONOMER
125,sp|P06971|FHUA_ECOLI,fhuA,P06971,FHUA_ECOLI,EG10302-MONOMER
126,sp|P06974|FLIM_ECOLI,fliM,P06974,FLIM_ECOLI,FLIM-FLAGELLAR-C-RING-SWITCH
127,sp|P06983|HEM3_ECOLI,hemC,P06983,HEM3_ECOLI,OHMETHYLBILANESYN-MONOMER
128,sp|P06986|HIS8_ECOLI,hisC,P06986,HIS8_ECOLI,HISTPHOSTRANS-MONOMER
129,sp|P06987|HIS7_ECOLI,hisB,P06987,HIS7_ECOLI,IMIDPHOSPHADEHYDHISTIDPHOSPHA-MONOMER
130,sp|P06988|HISX_ECOLI,hisD,P06988,HISX_ECOLI,HISTDEHYD-MONOMER
131,sp|P06989|HIS2_ECOLI,hisI,P06989,HIS2_ECOLI,HISTCYCLOPRATPPHOS
132,sp|P06992|RSMA_ECOLI,rsmA,P06992,RSMA_ECOLI,EG10523-MONOMER
133,sp|P06993|MALT_ECOLI,malT,P06993,MALT_ECOLI,PD00237
134,sp|P06996|OMPC_ECOLI,ompC,P06996,OMPC_ECOLI,EG10670-MONOMER
135,sp|P06999|PFKB_ECOLI,pfkB,P06999,PFKB_ECOLI,6PFK-2-MONOMER
136,sp|P07001|PNTA_ECOLI,pntA,P07001,PNTA_ECOLI,PNTA-MONOMER
137,sp|P07003|POXB_ECOLI,poxB,P07003,POXB_ECOLI,PYRUVOXID-MONOMER
138,sp|P07004|PROA_ECOLI,proA,P07004,PROA_ECOLI,GLUTSEMIALDEHYDROG-MONOMER
139,sp|P07012|RF2_ECOLI,prfB,P07012,RF2_ECOLI,EG10762-MONOMER
140,sp|P07014|SDHB_ECOLI,sdhB,P07014,SDHB_ECOLI,SDH-FE-S
141,sp|P07017|MCP2_ECOLI,tar,P07017,MCP2_ECOLI,TAR-MONOMER
142,sp|P07018|MCP4_ECOLI,tap,P07018,MCP4_ECOLI,TAP-MONOMER
143,sp|P07021|YFIB_ECOLI,yfiB,P07021,YFIB_ECOLI,EG11152-MONOMER
144,sp|P07023|TYRA_ECOLI,tyrA,P07023,TYRA_ECOLI,CHORISMUTPREPHENDEHYDROG-MONOMER
145,sp|P07024|USHA_ECOLI,ushA,P07024,USHA_ECOLI,USHA-MONOMER
146,sp|P07026|SDIA_ECOLI,sdiA,P07026,SDIA_ECOLI,PD02198
147,sp|P07102|PPA_ECOLI,appA,P07102,PPA_ECOLI,APPA-MONOMER
148,sp|P07109|HISP_ECOLI,hisP,P07109,HISP_ECOLI,HISP-MONOMER
149,sp|P07117|PUTP_ECOLI,putP,P07117,PUTP_ECOLI,PUTP-MONOMER
150,sp|P07118|SYV_ECOLI,valS,P07118,SYV_ECOLI,VALS-MONOMER
151,sp|P07330|CHEB_ECOLI,cheB,P07330,CHEB_ECOLI,CHEB-MONOMER
152,sp|P07363-2|CHEA_ECOLI,,P07363-2,CHEA_ECOLI,CHEA-SMALL
153,sp|P07363|CHEA_ECOLI,cheA,P07363,CHEA_ECOLI,
154,sp|P07364|CHER_ECOLI,cheR,P07364,CHER_ECOLI,CHER-MONOMER
155,sp|P07395|SYFB_ECOLI,pheT,P07395,SYFB_ECOLI,PHET-MONOMER
156,sp|P07604|TYRR_ECOLI,tyrR,P07604,TYRR_ECOLI,PD00413
157,sp|P07623|METAS_ECOLI,metAS,P07623,METAS_ECOLI,HOMSUCTRAN-MONOMER
158,sp|P07639|AROB_ECOLI,aroB,P07639,AROB_ECOLI,AROB-MONOMER
159,sp|P07648|RECC_ECOLI,recC,P07648,RECC_ECOLI,EG10825-MONOMER
160,sp|P07649|TRUA_ECOLI,truA,P07649,TRUA_ECOLI,EG10454-MONOMER
161,sp|P07650|TYPH_ECOLI,deoA,P07650,TYPH_ECOLI,DEOA-MONOMER
162,sp|P07654|PSTA_ECOLI,pstA,P07654,PSTA_ECOLI,PSTA-MONOMER
163,sp|P07762|GLGB_ECOLI,glgB,P07762,GLGB_ECOLI,GLYCOGEN-BRANCH-MONOMER
164,sp|P07813|SYL_ECOLI,leuS,P07813,SYL_ECOLI,LEUS-MONOMER
165,sp|P07821|FHUC_ECOLI,fhuC,P07821,FHUC_ECOLI,FHUC-MONOMER
166,sp|P07822|FHUD_ECOLI,fhuD,P07822,FHUD_ECOLI,FHUD-MONOMER
167,sp|P07862|DDLB_ECOLI,ddlB,P07862,DDLB_ECOLI,DALADALALIGB-MONOMER
168,sp|P07913|TDH_ECOLI,tdh,P07913,TDH_ECOLI,THREODEHYD-MONOMER
169,sp|P08142|ILVB_ECOLI,ilvB,P08142,ILVB_ECOLI,LARGEILVB-MONOMER
170,sp|P08178|PUR5_ECOLI,purM,P08178,PUR5_ECOLI,AIRS-MONOMER
171,sp|P08179|PUR3_ECOLI,purN,P08179,PUR3_ECOLI,GART-MONOMER
172,sp|P08189|FIMF_ECOLI,fimF,P08189,FIMF_ECOLI,EG10313-MONOMER
173,sp|P08191|FIMH_ECOLI,fimH,P08191,FIMH_ECOLI,EG10315-MONOMER
174,sp|P08192|FOLC_ECOLI,folC,P08192,FOLC_ECOLI,FOLC-MONOMER
175,sp|P08200|IDH_ECOLI,icd,P08200,IDH_ECOLI,ISOCITDEH-SUBUNIT
176,sp|P08201|NIRB_ECOLI,nirB,P08201,NIRB_ECOLI,NIRB-MONOMER
177,sp|P08202|ARAA_ECOLI,araA,P08202,ARAA_ECOLI,ARABISOM-MONOMER
178,sp|P08244|PYRF_ECOLI,pyrF,P08244,PYRF_ECOLI,OROTPDECARB-MONOMER
179,sp|P08245|YCIH_ECOLI,yciH,P08245,YCIH_ECOLI,EG11128-MONOMER
180,sp|P08312|SYFA_ECOLI,pheS,P08312,SYFA_ECOLI,PHES-MONOMER
181,sp|P08331|CPDB_ECOLI,cpdB,P08331,CPDB_ECOLI,CPDB-MONOMER
182,sp|P08337|MUTT_ECOLI,mutT,P08337,MUTT_ECOLI,EG10626-MONOMER
183,sp|P08368|CREB_ECOLI,creB,P08368,CREB_ECOLI,CREB-MONOMER
184,sp|P08373|MURB_ECOLI,murB,P08373,MURB_ECOLI,UDPNACETYLMURAMATEDEHYDROG-MONOMER
185,sp|P08390|USG_ECOLI,usg,P08390,USG_ECOLI,EG11059-MONOMER
186,sp|P08394|RECB_ECOLI,recB,P08394,RECB_ECOLI,EG10824-MONOMER
187,sp|P08395|SPPA_ECOLI,sppA,P08395,SPPA_ECOLI,EG10968-MONOMER
188,sp|P08400|PHOR_ECOLI,phoR,P08400,PHOR_ECOLI,PHOR-MONOMER
189,sp|P08401|CREC_ECOLI,creC,P08401,CREC_ECOLI,CREC-MONOMER
190,sp|P08506|DACC_ECOLI,dacC,P08506,DACC_ECOLI,EG10203-MONOMER
191,sp|P08622|DNAJ_ECOLI,dnaJ,P08622,DNAJ_ECOLI,EG10240-MONOMER
192,sp|P08660|AK3_ECOLI,lysC,P08660,AK3_ECOLI,ASPKINIII-MONOMER
193,sp|P08839|PT1_ECOLI,ptsI,P08839,PT1_ECOLI,PTSI-MONOMER
