# Generated by /Users/miagrahn/wcEcoli/reconstruction/ecoli/scripts/protein_half_lives/convert_clim_half_lives_to_flat.py on Tue Mar 24 16:58:41 2026
id	common_name	half_life (units.min)
"MONOMER0-2820"	"yciZ"	607.2621873065251
"THIS-MONOMER"	"thiS"	427.36183125515856
"6PGLUCONDEHYDROG-MONOMER"	"gnd"	1914.725051971764
"FUM-FLAVO"	"frdA"	1914.725051971764
"GDHA-MONOMER"	"gdhA"	1112.8648633098883
"NADH-DHII-MONOMER"	"ndh"	1914.725051971764
"SUPEROX-DISMUTMN-MONOMER"	"sodA"	1914.725051971764
"NRDA-MONOMER"	"nrdA"	1914.725051971764
"MALDEXPHOSPHORYL-MONOMER"	"malP"	1914.725051971764
"ASPAMINOTRANS-MONOMER"	"aspC"	1914.725051971764
"HOMOSERKIN-MONOMER"	"thrB"	1808.7048717580694
"MTLA-MONOMER"	"mtlA"	1914.725051971764
"ASPKINIHOMOSERDEHYDROGI-MONOMER"	"thrA"	1914.725051971764
"ASPKINIIHOMOSERDEHYDROGII-MONOMER"	"metL"	1914.725051971764
"RPOD-MONOMER"	"rpoD"	1430.9430568723099
"EG10746-MONOMER"	"polA"	1914.725051971764
"ALKAPHOSPHA-MONOMER"	"phoA"	1914.725051971764
"EG10530-MONOMER"	"lepB"	1914.725051971764
"ANSB-MONOMER"	"ansB"	1914.725051971764
"EG10040-MONOMER"	"ampC"	1914.725051971764
"DIAMINOPIMDECARB-MONOMER"	"lysA"	1487.2356744576243
"PEPCARBOX-MONOMER"	"ppc"	1914.725051971764
"AROH-MONOMER"	"aroH"	1914.725051971764
"AROF-MONOMER"	"aroF"	311.8491831162143
"ACETOLACTSYNIII-ICHAIN-MONOMER"	"ilvI"	1914.725051971764
"ACETOLACTSYNIII-HCHAIN-MONOMER"	"ilvH"	1914.725051971764
"ANTHRANSYNCOMPI-MONOMER"	"trpE"	1914.725051971764
"PABASYN-COMPII-MONOMER"	"pabA"	1914.725051971764
"ANTHRANSYNCOMPII-MONOMER"	"trpD"	1914.725051971764
"PRAI-IGPS"	"trpC"	1295.4212948517572
"EG10736-MONOMER"	"phr"	1914.725051971764
"DSERDEAM-MONOMER"	"dsdA"	1914.725051971764
"THRESYN-MONOMER"	"thrC"	1914.725051971764
"O-SUCCHOMOSERLYASE-MONOMER"	"metB"	1914.725051971764
"ADENYLATECYC-MONOMER"	"cyaA"	70.56092331499794
"XYLISOM-MONOMER"	"xylA"	1846.2339826525238
"MANNPISOM-MONOMER"	"manA"	1914.725051971764
"TRPS-MONOMER"	"trpS"	1914.725051971764
"ILES-MONOMER"	"ileS"	1914.725051971764
"ALAS-MONOMER"	"alaS"	1914.725051971764
"METG-MONOMER"	"metG"	1914.725051971764
"GLYQ-MONOMER"	"glyQ"	1914.725051971764
"GLYS-MONOMER"	"glyS"	1914.725051971764
"GLNS-MONOMER"	"glnS"	1914.725051971764
"ASNSYNA-MONOMER"	"asnA"	336.049802730745
"CARBPSYN-LARGE"	"carB"	1914.725051971764
"EG10905-MONOMER"	"rpsF"	1914.725051971764
"EG10906-MONOMER"	"rpsG"	1914.725051971764
"EG10876-MONOMER"	"rplO"	1914.725051971764
"EG10748-MONOMER"	"mrcA"	1914.725051971764
"EG10605-MONOMER"	"mrcB"	1914.725051971764
"ARAF-MONOMER"	"araF"	1914.725051971764
"RBSB-MONOMER"	"rbsB"	1914.725051971764
"EG11012-MONOMER"	"tonB"	325.5962776009621
"EG11009-MONOMER"	"tolC"	1914.725051971764
"EG10671-MONOMER"	"ompF"	1914.725051971764
"MONOMER0-282"	"phoE"	1914.725051971764
"TSR-MONOMER"	"tsr"	1019.0235446923044
"PD03831"	"dnaA"	481.39255625838877
"EG10243-MONOMER"	"dnaQ"	70.76189928216021
"EG11064-MONOMER"	"uvrD"	1454.9411746284775
"PD00763"	"lacI"	1259.3028758575626
"PD03028"	"galR"	577.2698791883606
"EG11157-MONOMER"	"ygeA"	563.4491294888397
"EG11199-MONOMER"	"mioC"	1914.725051971764
"KEFC-MONOMER"	"kefC"	1914.725051971764
"G7900-MONOMER"	"insG"	1659.1137865028884
"EG10559-MONOMER"	"malM"	1914.725051971764
"DIHYDROPICRED-MONOMER"	"dapB"	1914.725051971764
"GMP-SYN-MONOMER"	"guaA"	1914.725051971764
"EG11091-MONOMER"	"frsA"	510.516617890043
"CHAINI-MONOMER"	"argI"	1166.5171231704908
"EG11222-MONOMER"	"alkA"	325.6559995126128
"GLUTATHIONE-SYN-MONOMER"	"gshB"	1914.725051971764
"TYRB-MONOMER"	"tyrB"	1188.5591677285686
"GLURS-MONOMER"	"gltX"	1914.725051971764
"LIVK-MONOMER"	"livK"	1914.725051971764
"EG10696-MONOMER"	"pepN"	1914.725051971764
"EG10657-MONOMER"	"nlpA"	1914.725051971764
"EG10321-MONOMER"	"fliC"	49.36643999612247
"CPM-KDOSYNTH-MONOMER"	"kdsB"	1914.725051971764
"THREDEHYDSYN-MONOMER"	"ilvA"	1519.086267580635
"EG10817-MONOMER"	"rbsD"	1914.725051971764
"RBSA-MONOMER"	"rbsA"	1914.725051971764
"EG10826-MONOMER"	"recD"	985.2581240214403
"EG11072-MONOMER"	"xseA"	1914.725051971764
"EG10926-MONOMER"	"sbcB"	1914.725051971764
"DIHYDROOROT-MONOMER"	"pyrC"	1550.5937006601498
"PABASYN-COMPI-MONOMER"	"pabB"	1914.725051971764
"FUMC-MONOMER"	"fumC"	1914.725051971764
"PD00967"	"appY"	563.4365927569627
"EG10743-MONOMER"	"pnp"	1914.725051971764
