Gene id	half_life (units.min)
gnd	351.1174147243387
frdA	720.0
gdhA	279.5292580537042
ndh	706.8677273162472
sodA	306.87378523530725
nrdA	294.84797689606796
malP	720.0
aspC	333.29201686293106
thrB	337.5461238413353
mtlA	720.0
thrA	720.0
metL	293.3851313189801
rpoD	294.1958923624691
polA	355.9949563091733
phoA	720.0
lepB	720.0
ansB	720.0
ampC	357.6290992933902
lysA	285.75753459949084
ppc	346.8605508401439
aroH	617.4659112835656
aroF	134.52570648655637
ilvI	664.3221087230628
ilvH	355.9266876862454
trpE	342.2899493113592
trpGD	287.10744479498914
trpC	298.0761424895088
phrB	691.9987800642679
dsdA	600.2475229704515
thrC	714.0195846928764
metB	298.93730459345545
xylA	290.25200370072173
manA	328.521946780394
trpS	322.85631873058924
ileS	677.3942592925434
alaS	661.8166341545424
metG	332.21130669580526
glyQ	720.0
glyS	353.2952307438086
glnS	688.5194672796288
asnA	151.9787748367568
carB	344.76099771081437
rpsF	705.6984007436939
rpsG	711.0271578926352
rplO	311.9285451956206
mrcA	342.1258479744456
mrcB	720.0
araF	720.0
rbsB	554.6104478827385
tonB	216.05218941228804
tolC	720.0
ompF	667.4853637723344
phoE	720.0
tsr	271.7116135738322
dnaA	233.81504154933515
dnaQ	50.79376905552454
uvrD	283.17783341712277
lacI	348.5045416131996
galR	261.26791748980486
ygeA	265.51494556160947
mioC	279.8759372976539
kefC	720.0
malM	296.11731958682253
dapB	718.8620645662122
guaA	355.952813855998
frsA	225.73625342885555
argI	282.6298704058662
gshB	611.2301932282518
tyrB	295.1119960263965
gltX	720.0
livK	713.6955659812602
pepN	333.05697079618335
nlpA	329.66941389682404
fliC	43.02648653834297
kdsB	647.5347064682035
ilvA	275.834311488212
rbsD	638.6773023587556
rbsA	676.8678871089869
recD	263.66161136315395
xseA	683.3703310677414
sbcB	352.1808966105272
pyrC	338.51557085138785
pabB	323.09337102388633
fumC	354.2420880319695
pnp	687.5580238497882
aroD	333.7559678890652
ptrA	354.58344053611484
pdxB	720.0
mutM	720.0
apaH	283.05822882466015
trg	265.15575681237306
hsdS	652.950386543763
