Gene id	half_life (units.min)
deaD	98.5382796
cspA	107.59939073999999
ilvM	74.66231664
fliD	89.14565238
intA	78.81601932000001
ansB	338.86161174
ygaC	131.43469548
dauA	423.09131256
uraA	314.78773842
rpoS	61.59238074
yjjA	233.8939917
btuF	402.53063736
flu	322.48510236
yjeJ	356.51993921999997
frmB	478.23416034
yliE	362.25012167999995
rlmC	355.23403758
yeaC	21.1321836
pdxY	378.03836118000004
lamB	479.67808626000004
yiiS	378.27971856
malF	437.35074246
feaR	43.437567300000005
ydcH	116.36105927999999
yifL	365.45931936
yheV	302.34144558
phnO	163.7310978
ybhA	272.36991822000005
acrB	460.02519912
fimC	360.69460499999997
yiaD	331.89189906
hexR	344.54160360000003
ybiU	304.80134358
yliF	407.55053849999996
lldR	194.68713545999998
chbR	121.87196238000001
gadA	418.74417318
csiD	80.56059456
ddpD	227.430783
ydaM	115.05367014000001
lsrK	187.76404926
allB	184.13812236
ybdD	108.71196666
hslR	404.37955944
yahF	316.631604
ybaA	188.27162076000002
gnd	612.0626814
frdA	811.1258981999999
gdhA	459.19958142
ndh	710.9683709999999
sodA	746.8587564
nrdA	625.1889312000001
thrB	518.8623430199999
rpoD	503.91076482
polA	756.5885675999999
ampC	629.5421868000001
lysA	521.83067544
ppc	662.689659
trpE	583.3494996
trpGD	709.4265342
trpC	463.24693314
phrB	692.4613746
dsdA	682.7592984
metB	619.346289
xylA	552.4522573200001
ileS	707.2981548
alaS	670.2722514
metG	589.05631038
glyS	705.239019
carB	642.7681296000001
rpsF	762.5925906
rpsG	727.4180052
mrcA	650.4108198
mrcB	797.7486918
araF	818.4526662
rbsB	578.72605416
tonB	353.0058864
ompF	669.5624004
dnaQ	204.40069986
uvrD	528.23064426
galR	429.0174528
ygeA	426.4525491
mioC	640.6884474000001
kefC	795.689259
malM	697.7615676
dapB	747.5527272
guaA	588.70674918
frsA	323.64613476
argI	524.16493728
tyrB	485.29881420000004
livK	724.5150246000001
pepN	651.9575405999999
nlpA	700.7697629999999
fliC	82.31686914000001
kdsB	666.1090182
ilvA	531.28418562
rbsD	655.5780576000001
recD	430.81329816
sbcB	659.9270784
pabB	687.2052851999999
fumC	602.443221
pnp	694.2628506
aroD	602.4121944
ptrA	708.5300609999999
hsdS	681.6541656
ilvD	644.5855368
ilvC	631.9485078
fepA	959.3672574
tsaD	535.41446016
dld	610.8000264
cdh	783.4208148
birA	470.80754243999996
dnaX	418.04867124000003
gor	717.2990916
melA	534.14120736
metC	587.20243326
mutH	543.2189415
aceF	663.5129598
cca	531.2000859
fhuA	906.670356
hisC	646.467288
hisD	691.6866306
malT	90.17622816
ompC	782.4824292000001
pfkB	688.1202023999999
prfB	518.1609001200001
tar	359.92212576
tap	278.10747036000004
tyrA	476.79860232
hisP	707.9632104
valS	641.5997712000001
cheA	136.73774046
pheT	775.7866434
tyrR	516.48902256
metAS	317.24108106
aroB	545.92776882
pstA	780.5048814
leuS	676.5733158
ilvB	342.91565844
folC	618.2358522000001
icd	631.4550924
araA	630.3134304
pyrF	589.5724686
yciH	339.03986105999996
cpdB	866.1631758000001
murB	603.6915822
dacC	764.7408066
dnaJ	588.40572972
ptsI	653.7291984
hsdR	447.97305192
hsdM	617.9662812
aceB	264.32728092
avtA	442.27160268
hemX	744.8126178
leuA	276.9243318
speE	580.93682358
nagE	777.8133449999999
pflB	263.52008562000003
glpQ	692.2263282
mtlD	701.1480942000001
argT	699.641652
gltD	481.71494681999997
ubiB	796.0388292
leuC	246.70056594000002
alr	743.6181516
iscS	244.4002959
nfo	264.2291121
argA	323.23374432
argR	716.2378554
aroA	705.1608444000001
argG	624.1281654000001
bioD	309.28499028
glpK	641.7606582
groS	690.3362922
pncC	739.9933044
clpP	677.3576502
clpX	149.98355334000001
hslU	637.5912858
clsA	842.6099178000001
cmk	599.91542184
coaA	536.68671624
coaE	604.396023
dadA	185.76652032
ddlA	656.3728518
deoB	553.12866678
nanA	409.93416516
uxaB	542.4683844
dtd	637.2751152000001
fusA	697.7783022
efp	521.71402218
yeiP	708.0362874
fabA	756.604455
fabZ	680.1521022
fabH	626.5827852
flgH	498.68346563999995
pgi	712.9458258
folE	326.32595957999996
mnmG	243.63967097999998
glsA2	793.5357564
greA	392.03137656
gshA	573.30864072
hemA	194.036511
hslO	461.99928786
dnaK	626.943123
htpG	635.2563485999999
infC	659.5110012
