transcription_units,monomers_to_remove
"['G0-16636', 'EG30054', 'G7991', 'EG10197', 'EG30039']","['G0-16636', 'EG30054', 'G7991', 'EG10197', 'EG30039']"
"['G7687', 'G7686', 'G7685']","['G7687', 'G7686', 'G7685']"
"['EG11679', 'EG12455']","['EG11679', 'EG12455']"
"['G6670', 'G6669', 'EG12853', 'EG10668']","['G6670', 'G6669', 'EG12853', 'EG10668']"
"['G7363', 'G7362']","['G7363', 'G7362']"
"['EG10275', 'EG10276']","['EG10275', 'EG10276']"
"['EG10276', 'EG10275']","['EG10276', 'EG10275']"
"['EG10023', 'EG10022', 'EG10026']","['EG10023', 'EG10022', 'EG10026']"
"['EG10025', 'EG10024']","['EG10025', 'EG10024']"
"['EG50003', 'EG10276', 'EG11318']","['EG50003', 'EG10276', 'EG11318']"
"['EG50003', 'EG10276', 'EG11318', 'EG11317']","['EG50003', 'EG10276', 'EG11318', 'EG11317']"
"['EG10247', 'EG10693']","['EG10247', 'EG10693']"
"['EG10247', 'EG10693', 'EG10832', 'EG10270', 'EG10857']","['EG10247', 'EG10693', 'EG10832', 'EG10270', 'EG10857']"
"['EG11703', 'EG11704', 'EG10424']","['EG11703', 'EG11704', 'EG10424']"
"['EG11704', 'EG10424']","['EG11704', 'EG10424']"
"['EG11704', 'EG10266', 'EG10267']","['EG11704', 'EG10266', 'EG10267']"
"['EG11942', 'EG11943', 'EG11448', 'G6786']","['EG11942', 'EG11943', 'EG11448', 'G6786']"
"['EG12766', 'G7633', 'G7632', 'G7631']","['EG12766', 'G7633', 'G7632', 'G7631']"
"['G7636', 'G7635', 'EG12770', 'EG12769', 'EG12768', 'G7634']","['G7636', 'G7635', 'EG12770', 'EG12769', 'EG12768', 'G7634']"
"['EG11384', 'EG11385']","['EG11384', 'EG11385']"
"['EG11385', 'EG11384']","['EG11385', 'EG11384']"
"['EG30012', 'EG30011', 'EG30012']","['EG30012', 'EG30011', 'EG30012']"
"['EG10037', 'EG10029']","['EG10037', 'EG10029']"
"['G6284', 'G6285', 'G6286']","['G6284', 'G6285', 'G6286']"
"['EG11957', 'EG11958', 'EG11959', 'EG12458', 'EG10547']","['EG11957', 'EG11958', 'EG11959', 'EG12458', 'EG10547']"
"['EG11957', 'EG11958', 'EG11959', 'EG12458', 'EG10547', 'G7821']","['EG11957', 'EG11958', 'EG11959', 'EG12458', 'EG10547', 'G7821']"
"['G6452', 'G6451']","['G6452', 'G6451']"
"['EG10041', 'EG10042']","['EG10041', 'EG10042']"
"['EG12183', 'EG12182']","['EG12183', 'EG12182']"
"['EG11821', 'EG12191']","['EG11821', 'EG12191']"
"['EG10048', 'EG10047']","['EG10048', 'EG10047']"
"['EG10048', 'EG10047', 'EG10523']","['EG10048', 'EG10047', 'EG10523']"
"['EG10048', 'EG10047', 'EG10523', 'EG10691']","['EG10048', 'EG10047', 'EG10523', 'EG10691']"
"['EG10048', 'EG10047', 'EG10523', 'EG10691', 'EG10985']","['EG10048', 'EG10047', 'EG10523', 'EG10691', 'EG10985']"
"['G0-10588', 'EG11380', 'EG11379', 'EG10049']","['G0-10588', 'EG11380', 'EG11379', 'EG10049']"
"['EG10055', 'EG10052', 'EG10053']","['EG10055', 'EG10052', 'EG10053']"
"['EG10059', 'EG10058', 'EG10057']","['EG10059', 'EG10058', 'EG10057']"
"['EG10065', 'EG10064', 'EG11223']","['EG10065', 'EG10064', 'EG11223']"
"['EG30013', 'EG30019', 'EG30018', 'EG30013', 'EG30015', 'EG30018', 'EG30019', 'EG30095']","['EG30013', 'EG30019', 'EG30018', 'EG30013', 'EG30015', 'EG30018', 'EG30019', 'EG30095']"
"['EG30017', 'EG30042', 'EG30049', 'EG30068']","['EG30017', 'EG30042', 'EG30049', 'EG30068']"
"['G6606', 'G6605']","['G6606', 'G6605']"
"['G7171', 'G0-10460', 'G7170', 'G7169', 'G7168', 'G7167', 'G7166']","['G7171', 'G0-10460', 'G7170', 'G7169', 'G7168', 'G7167', 'G7166']"
"['EG10076', 'EG11234', 'G6917']","['EG10076', 'EG11234', 'G6917']"
