gene_name	cistron_name	monomer_name	mean_mRNA_count	mean_protein_count
EG11377	EG11377_RNA	1-ACYLGLYCEROL-3-P-ACYLTRANSFER-MONOMER[i]	0.022652644041771884	26.759996670089077
EG10337	EG10337_RNA	1-PFK-MONOMER[c]	0.021413177197509965	17.04797846657602
G6239	G6239_RNA	2-DEHYDROPANTOATE-REDUCT-MONOMER[c]	0.040717410809260855	52.09456947026667
EG11226	EG11226_RNA	2-ISOPROPYLMALATESYN-MONOMER[c]	0.1654688237089658	203.09852836436625
EG11473	EG11473_RNA	2-OCTAPRENYL-METHOXY-BENZOQ-METH-MONOMER[c]	0.0432518430131994	67.31893146858322
EG11476	EG11476_RNA	2-OCTAPRENYLPHENOL-HYDROX-MONOMER[i]	0.0432518430131994	26.084024752337875
EG11675	EG11675_RNA	3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-MONOMER[c]	0.15214918000943475	429.7224334249059
EG11577	EG11577_RNA	3-ISOPROPYLMALDEHYDROG-MONOMER[c]	0.1654688237089658	263.10881408922313
EG11318	EG11318_RNA	3-OXOACYL-ACP-REDUCT-MONOMER[c]	0.7255783407793841	1001.4780457122772
EG12606	EG12606_RNA	3-OXOACYL-ACP-SYNTHII-MONOMER[c]	0.27193347577952287	295.67676739647214
EG11370	EG11370_RNA	4OHBENZOATE-OCTAPRENYLTRANSFER-MONOMER[i]	0.006780068633164063	5.710445745576306
EG10699	EG10699_RNA	6PFK-1-MONOMER[c]	0.13247495629491912	358.54919480903885
EG10700	EG10700_RNA	6PFK-2-MONOMER[c]	0.016945546706625597	17.467140253998206
EG10411	EG10411_RNA	6PGLUCONDEHYDROG-MONOMER[c]	0.18578128035075062	509.50711768460195
G6397	G6397_RNA	6PGLUCONOLACT-MONOMER[c]	0.024262100988798548	106.1063351555346
EG10425	EG10425_RNA	7-ALPHA-HYDROXYSTEROID-DEH-MONOMER[c]	0.06192709345025021	193.97787459185466
EG10121	EG10121_RNA	7KAPSYN-MONOMER[c]	0.03805348206935465	25.094421474225566
EG11679	EG11679_RNA	AAS-MONOMER[i]	0.009259002321687896	14.44074146016594
EG11621	EG11621_RNA	ABC-MONOMER[m]	0.0854677137386575	103.73235840941256
EG12853	EG12853_RNA	ABGT-MONOMER[i]	0.0	0.0
EG10027	EG10027_RNA	ACETATEKINA-MONOMER[c]	0.09942559036545773	311.74867497294446
EG10499	EG10499_RNA	ACETOLACTSYNIII-HCHAIN-MONOMER[c]	0.06776368732136415	93.47210737112782
EG10500	EG10500_RNA	ACETOLACTSYNIII-ICHAIN-MONOMER[c]	0.06776368732136415	57.055572513435266
EG11672	EG11672_RNA	ACETYL-COA-ACETYLTRANSFER-MONOMER[c]	0.0432055942503538	185.40074553005707
EG10064	EG10064_RNA	ACETYLGLUTKIN-MONOMER[c]	0.041993876663799244	57.07126934354506
EG11286	EG11286_RNA	ACETYLORNDEACET-MONOMER[c]	0.025270324018832495	87.65110858284541
EG10066	EG10066_RNA	ACETYLORNTRANSAM-MONOMER[c]	0.034732820897041	63.59673853724413
EG10637	EG10637_RNA	ACNEULY-MONOMER[c]	0.01988696802360537	73.12513065275503
EG11325	EG11325_RNA	ACONITASE-MONOMER[c]	0.08945435709594768	158.38688015095596
EG12316	EG12316_RNA	ACONITATEDEHYDRB-MONOMER[c]	0.23144730878449002	504.73803775748996
G6343	G6343_RNA	ACPSUB-MONOMER[c]	0.0	0.5670190822395501
EG11704	EG11704_RNA	ACRB-MONOMER[m]	0.06277807068660914	50.62323907835465
EG10014	EG10014_RNA	ACRD-MONOMER[i]	0.0	0.0
EG10267	EG10267_RNA	ACRF-MONOMER[m]	0.0	0.0
EG11448	EG11448_RNA	ACS-MONOMER[c]	0.05342657083923005	206.52410948007142
EG10192	EG10192_RNA	ACSERLYA-MONOMER[c]	0.9248087613656335	2739.1210977606347
EG10193	EG10193_RNA	ACSERLYB-MONOMER[c]	0.1348891417154591	148.11954380220328
G6105	G6105_RNA	ACYLCOADEHYDROG-MONOMER[c]	0.006003089417358085	7.062593075635227
EG11530	EG11530_RNA	ACYLCOASYN-MONOMER[c]	0.007427551313002378	22.81484770282395
EG11493	EG11493_RNA	ADCLY-MONOMER[c]	0.25195401023022634	308.3067032956868
EG10030	EG10030_RNA	ADENODEAMIN-MONOMER[c]	0.006206583973878699	22.316915022523148
EG10051	EG10051_RNA	ADENPRIBOSYLTRAN-MONOMER[c]	0.11343896550767267	358.30534358205915
EG10032	EG10032_RNA	ADENYL-KIN-MONOMER[c]	0.24852235202708328	855.5197805958691
EG10170	EG10170_RNA	ADENYLATECYC-MONOMER[c]	0.06648722146682576	52.53168502742552
EG10790	EG10790_RNA	ADENYLOSUCCINATE-SYN-MONOMER[c]	0.3673539232825522	928.0163535625422
EG10185	EG10185_RNA	ADENYLYLSULFKIN-MONOMER[c]	0.14190045416285113	166.2575038617717
EG50010	EG50010_RNA	ADHC-MONOMER[c]	0.009776988465558547	44.96991980464522
EG10031	EG10031_RNA	ADHE-MONOMER[c]	0.36136008361776323	703.1548131087493
G6775	G6775_RNA	ADHP-MONOMER[c]	0.024354598514489737	17.868949505600725
EG10394	EG10394_RNA	AERGLYC3PDEHYDROG-MONOMER[i]	2.633682049005189	5764.757009000009
EG12769	EG12769_RNA	AGAB-MONOMER[c]	0.0	0.0
EG12770	EG12770_RNA	AGAC-MONOMER[i]	0.0	0.0
G7635	G7635_RNA	AGAD-MONOMER[i]	0.0	0.0
EG12322	EG12322_RNA	AGAX-MONOMER[m]	0.005272358964397703	1.7245886172544884
EG10960	EG10960_RNA	AGMATIN-MONOMER[c]	0.04078215907724468	177.6216388711602
EG10795	EG10795_RNA	AICARTRANSIMPCYCLO-CPLX[c]	0.054675287436061086	232.60692251482274
EG10798	EG10798_RNA	AIRS-MONOMER[c]	0.10238551118757573	293.35171259168817
EG10512	EG10512_RNA	AKBLIG-MONOMER[c]	0.0	1.3812285521362304
EG10001	EG10001_RNA	ALARACEBIOSYN-MONOMER[c]	0.016686553634690272	20.771531111542767
EG11408	EG11408_RNA	ALARACECAT-MONOMER[c]	0.07359103143990899	64.62557001600207
EG10034	EG10034_RNA	ALAS-MONOMER[c]	0.19832394483447569	192.0162055665011
EG12292	EG12292_RNA	ALDDEHYDROGB-MONOMER[c]	0.0	0.43962224010507717
EG10036	EG10036_RNA	ALDHDEHYDROG-MONOMER[c]	0.005559101294040384	10.123188204715523
EG11698	EG11698_RNA	ALDOSE1EPIM-MONOMER[c]	0.08139782260824523	122.03997743060373
EG10727	EG10727_RNA	ALKAPHOSPHA-MONOMER[p]	0.005466603768349196	1.5336552247227386
EG11387	EG11387_RNA	ALPHA-AMYL-CYTO-MONOMER[c]	0.0848757295742339	82.31295612842356
EG11316	EG11316_RNA	ALPHA-AMYL-PERI-MONOMER[p]	0.0	12.410707513574012
EG10191	EG10191_RNA	ALPHACOMP-MONOMER[c]	0.09206278732043918	87.73846324610817
EG10577	EG10577_RNA	ALPHAGALACTOSID-MONOMER[c]	0.00025899307193532576	0.9707430326238773
EG11065	EG11065_RNA	ALTRO-OXIDOREDUCT-MONOMER[c]	0.012801657555660387	12.60954019479979
EG12734	EG12734_RNA	ALTRODEHYDRAT-MONOMER[c]	0.0008509772363589274	3.729999722507423
EG13139	EG13139_RNA	AMINEOXID-MONOMER[p]	0.009786238218127664	37.395907909463425
EG10039	EG10039_RNA	AMP-NUCLEOSID-MONOMER[c]	0.17318311735161085	442.3186077272433
EG12183	EG12183_RNA	AMPG-MONOMER[i]	0.011913681309024983	14.000823227978652
EG11821	EG11821_RNA	AMTB-MONOMER[m]	0.0	0.0
EG10561	EG10561_RNA	AMYLOMALT-MONOMER[c]	0.00041623886561034494	2.4338226452442395
EG10391	EG10391_RNA	ANGLYC3PDEHYDROGSUBUNITA-MONOMER[c]	0.03111616764251556	81.44767877459277
EG10392	EG10392_RNA	ANGLYC3PDEHYDROGSUBUNITB-MONOMER[c]	0.03111616764251556	74.46551229754604
EG10393	EG10393_RNA	ANGLYC3PDEHYDROGSUBUNITC-MONOMER[i]	0.03111616764251556	66.9373699253545
EG10045	EG10045_RNA	ANSA-MONOMER[c]	0.06918814921700844	118.08506997437819
EG10046	EG10046_RNA	ANSB-MONOMER[p]	0.0	0.0
G6764	G6764_RNA	ANSP-MONOMER[i]	0.0014984599161972417	3.899418190563402
EG11028	EG11028_RNA	ANTHRANSYNCOMPI-MONOMER[c]	0.08019535477425979	163.21804441731183
EG11027	EG11027_RNA	ANTHRANSYNCOMPII-MONOMER[c]	0.08019535477425979	83.87105844918648
EG11934	EG11934_RNA	APHA-MONOMER[p]	0.00740905180786414	31.03843272192469
EG10049	EG10049_RNA	APPA-MONOMER[p]	0.0	6.593834114937425
EG11379	EG11379_RNA	APPB-MONOMER[i]	0.0	0.0
EG11380	EG11380_RNA	APPC-MONOMER[i]	0.0	0.0
EG13270	EG13270_RNA	AQPZ-MONOMER[i]	0.003672151769940154	0.05416655104475955
EG10052	EG10052_RNA	ARABISOM-MONOMER[c]	0.0	0.0
EG10056	EG10056_RNA	ARAE-MONOMER[i]	0.010683464217332187	8.007714293642644
EG10057	EG10057_RNA	ARAF-MONOMER[p]	0.03424258401087771	54.500097122401975
EG10058	EG10058_RNA	ARAG-MONOMER[c]	0.03424258401087771	56.657851652468295
EG10059	EG10059_RNA	ARAH-MONOMER[m]	0.03424258401087771	50.177160510956334
EG10060	EG10060_RNA	ARAJ-MONOMER[i]	0.0016649554624413798	1.2840691511502067
EG10061	EG10061_RNA	ARCA-MONOMER[c]	0.23992933189037194	478.79241705284386
EG10062	EG10062_RNA	ARCB-MONOMER[i]	0.002506682946231188	0.39111653763261833
G6861	G6861_RNA	ARCD-MONOMER[m]	0.013634135286881077	3.899686433387907
EG10959	EG10959_RNA	ARGDECARBOXBIO-MONOMER[p]	0.04078215907724468	112.09715015123345
EG11501	EG11501_RNA	ARGDECARBOXDEG-MONOMER[c]	0.0	0.0
EG10071	EG10071_RNA	ARGS-MONOMER[c]	0.11704636900962899	109.55362544051947
EG11223	EG11223_RNA	ARGSUCCINLYA-MONOMER[c]	0.041993876663799244	70.28659433360157
EG10068	EG10068_RNA	ARGSUCCINSYN-MONOMER[c]	0.19890667924633015	719.8944325739286
G6943	G6943_RNA	ARGSUCCTRAN-MONOMER[c]	0.0017297037304252112	0.1998131549981038
EG10072	EG10072_RNA	ARGT-MONOMER[p]	0.2207545948145887	270.95095781187854
EG10073	EG10073_RNA	AROA-MONOMER[c]	0.20611223649767368	215.1935603222614
EG10074	EG10074_RNA	AROB-MONOMER[c]	0.10317174015595083	72.52055757508487
EG10075	EG10075_RNA	AROC-MONOMER[c]	0.07858589782723312	83.40913505563726
EG10076	EG10076_RNA	AROD-MONOMER[c]	0.01511409569794008	74.72010248725847
EG10077	EG10077_RNA	AROE-MONOMER[c]	0.024743088122392724	14.19858293790641
EG10078	EG10078_RNA	AROF-MONOMER[c]	0.1421686969873556	120.4048986689606
EG10079	EG10079_RNA	AROG-MONOMER[c]	0.16804950467574992	558.6589431232715
EG10080	EG10080_RNA	AROH-MONOMER[c]	0.05794045009296001	86.52336949986588
EG10081	EG10081_RNA	AROK-MONOMER[c]	0.10317174015595083	217.64135934363756
EG10082	EG10082_RNA	AROL-MONOMER[c]	0.01932273311688912	14.499283144175893
EG10084	EG10084_RNA	AROP-MONOMER[i]	0.03489006669071602	25.824800436588323
EG12236	EG12236_RNA	ARSF-MONOMER[i]	0.003894145831599005	4.814690457030275
EG11625	EG11625_RNA	ARTI-MONOMER[p]	0.04993941412067227	70.77486102246765
EG11628	EG11628_RNA	ARTJ-MONOMER[p]	0.16388711601964648	462.99228570635734
EG11627	EG11627_RNA	ARTM-MONOMER[i]	0.04993941412067227	37.84474290312734
EG11624	EG11624_RNA	ARTP-MONOMER[i]	0.04993941412067227	85.80470072425562
EG11626	EG11626_RNA	ARTQ-MONOMER[i]	0.04993941412067227	37.811610289424756
EG10089	EG10089_RNA	ARYLSULFAT-MONOMER[p]	0.0002312438142279694	2.1323454597589513
EG10086	EG10086_RNA	ASCF-MONOMER[i]	0.0024696839359547133	28.88703277187335
EG11314	EG11314_RNA	ASL-MONOMER[c]	0.13561062241585037	338.9588016020571
EG10094	EG10094_RNA	ASNS-MONOMER[c]	0.42560886496286227	791.1697884581588
EG10091	EG10091_RNA	ASNSYNA-MONOMER[c]	0.08047284735133335	268.448446504056
EG10092	EG10092_RNA	ASNSYNB-MONOMER[c]	0.038081231327062	144.55267271600485
EG10088	EG10088_RNA	ASP-SEMIALDEHYDE-DEHYDROGENASE-MONOMER[c]	0.6876821045037045	2164.1432231687804
EG10096	EG10096_RNA	ASPAMINOTRANS-MONOMER[c]	0.4700631758100471	1513.1729241242797
EG10095	EG10095_RNA	ASPARTASE-MONOMER[c]	0.08918611427144324	170.89218488405436
EG10805	EG10805_RNA	ASPCARBCAT-MONOMER[c]	0.5318700224768987	1507.9155405092913
EG10811	EG10811_RNA	ASPCARBREG-MONOMER[c]	0.5318700224768987	1106.22815439687
EG11747	EG11747_RNA	ASPDECARBOX-MONOMER[c]	0.165718567028332	521.2094051484123
EG10998	EG10998_RNA	ASPKINIHOMOSERDEHYDROGI-MONOMER[c]	0.32087391662273035	553.1801019322733
EG10590	EG10590_RNA	ASPKINIIHOMOSERDEHYDROGII-MONOMER[c]	0.01873074895246552	22.719630749877442
EG10550	EG10550_RNA	ASPKINIII-MONOMER[c]	0.20697246348660173	244.7636780716116
EG10097	EG10097_RNA	ASPS-MONOMER[c]	0.1655798207397952	327.2755963777969
EG11670	EG11670_RNA	ATOA-MONOMER[c]	0.0432055942503538	63.91917566205104
EG11668	EG11668_RNA	ATOC-MONOMER[c]	0.007612546364384753	2.9740914430538985
EG11669	EG11669_RNA	ATOD-MONOMER[c]	0.0432055942503538	65.5786552709715
EG11667	EG11667_RNA	ATOS-MONOMER[i]	0.007612546364384753	3.5175236562421954
EG10098	EG10098_RNA	ATPA-MONOMER[m]	0.42275994117157367	548.9796227950902
EG10099	EG10099_RNA	ATPB-MONOMER[i]	0.42275994117157367	361.26159225240724
EG10100	EG10100_RNA	ATPC-MONOMER[i]	0.42275994117157367	275.8767377972639
EG10101	EG10101_RNA	ATPD-MONOMER[m]	0.42275994117157367	579.4864722368677
EG10102	EG10102_RNA	ATPE-MONOMER[i]	0.42275994117157367	1431.7777561950218
EG10103	EG10103_RNA	ATPF-MONOMER[i]	0.42275994117157367	389.32924494269776
EG10104	EG10104_RNA	ATPG-MONOMER[m]	0.42275994117157367	354.3503251288028
EG10105	EG10105_RNA	ATPH-MONOMER[m]	0.42275994117157367	394.2425747611251
EG10449	EG10449_RNA	ATPPHOSRIBOSTRANS-MONOMER[c]	0.12945028720481727	338.4323426848332
EG11754	EG11754_RNA	B0070-MONOMER[m]	0.01722303928369916	5.526051928110923
G6135	G6135_RNA	B0260-MONOMER[i]	0.0025714312142150197	2.1903691576250335
G6142	G6142_RNA	B0270-MONOMER[i]	0.0	0.0
G6241	G6241_RNA	B0427-MONOMER[i]	0.002219940616588506	6.333546077642423
G6262	G6262_RNA	B0486-MONOMER[i]	0.004014392614997549	6.532295511095078
G6280	G6280_RNA	B0511-MONOMER[i]	0.0	0.0
G6338	G6338_RNA	B0612-MONOMER[m]	0.0	0.0
G6378	G6378_RNA	B0709-MONOMER[i]	0.0	0.0
G6393	G6393_RNA	B0752-MONOMER[i]	0.010933207536698393	16.65959985570386
G6400	G6400_RNA	B0770-MONOMER[i]	0.0	0.10575242112273496
G7400	G7400_RNA	B0899-MONOMER[c]	0.09641942078049412	57.566538095105955
G6517	G6517_RNA	B1006-MONOMER[i]	0.0	0.0
G6559	G6559_RNA	B1065-MONOMER[i]	0.0	0.0
G6643	G6643_RNA	B1296-MONOMER[i]	0.035195308525496946	16.285872852901186
G6744	G6744_RNA	B1433-MONOMER[i]	0.0	10.651228829628808
G6817	G6817_RNA	B1543-MONOMER[i]	0.0	1.2871400690031543
G6854	G6854_RNA	B1596-MONOMER[i]	0.001452211153351648	7.280628243194495
G6857	G6857_RNA	B1599-MONOMER[i]	0.0	0.0
