gene_name	cistron_name	monomer_name	max_mRNA_count	max_protein_count
EG11377	EG11377_RNA	1-ACYLGLYCEROL-3-P-ACYLTRANSFER-MONOMER[i]	5	441
EG10337	EG10337_RNA	1-PFK-MONOMER[c]	4	612
G6239	G6239_RNA	2-DEHYDROPANTOATE-REDUCT-MONOMER[c]	5	708
EG11226	EG11226_RNA	2-ISOPROPYLMALATESYN-MONOMER[c]	34	9323
EG11473	EG11473_RNA	2-OCTAPRENYL-METHOXY-BENZOQ-METH-MONOMER[c]	5	1004
EG11476	EG11476_RNA	2-OCTAPRENYLPHENOL-HYDROX-MONOMER[i]	5	187
EG11675	EG11675_RNA	3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-MONOMER[c]	11	8800
EG11577	EG11577_RNA	3-ISOPROPYLMALDEHYDROG-MONOMER[c]	34	13281
EG11318	EG11318_RNA	3-OXOACYL-ACP-REDUCT-MONOMER[c]	30	7803
EG12606	EG12606_RNA	3-OXOACYL-ACP-SYNTHII-MONOMER[c]	15	3551
EG11370	EG11370_RNA	4OHBENZOATE-OCTAPRENYLTRANSFER-MONOMER[i]	3	197
EG10699	EG10699_RNA	6PFK-1-MONOMER[c]	13	6458
EG10700	EG10700_RNA	6PFK-2-MONOMER[c]	3	1370
EG10411	EG10411_RNA	6PGLUCONDEHYDROG-MONOMER[c]	12	7544
G6397	G6397_RNA	6PGLUCONOLACT-MONOMER[c]	7	3145
EG10425	EG10425_RNA	7-ALPHA-HYDROXYSTEROID-DEH-MONOMER[c]	7	2004
EG10121	EG10121_RNA	7KAPSYN-MONOMER[c]	6	502
EG11679	EG11679_RNA	AAS-MONOMER[i]	3	379
EG11621	EG11621_RNA	ABC-MONOMER[m]	8	1149
EG12853	EG12853_RNA	ABGT-MONOMER[i]	1	327
EG10027	EG10027_RNA	ACETATEKINA-MONOMER[c]	10	7067
EG10499	EG10499_RNA	ACETOLACTSYNIII-HCHAIN-MONOMER[c]	9	1578
EG10500	EG10500_RNA	ACETOLACTSYNIII-ICHAIN-MONOMER[c]	9	953
EG11672	EG11672_RNA	ACETYL-COA-ACETYLTRANSFER-MONOMER[c]	3	2385
EG10064	EG10064_RNA	ACETYLGLUTKIN-MONOMER[c]	7	752
EG11286	EG11286_RNA	ACETYLORNDEACET-MONOMER[c]	9	1878
EG10066	EG10066_RNA	ACETYLORNTRANSAM-MONOMER[c]	8	979
EG10637	EG10637_RNA	ACNEULY-MONOMER[c]	3	1189
EG11325	EG11325_RNA	ACONITASE-MONOMER[c]	6	1362
EG12316	EG12316_RNA	ACONITATEDEHYDRB-MONOMER[c]	14	5054
G6343	G6343_RNA	ACPSUB-MONOMER[c]	2	279
EG11704	EG11704_RNA	ACRB-MONOMER[m]	8	798
EG10014	EG10014_RNA	ACRD-MONOMER[i]	2	238
EG10267	EG10267_RNA	ACRF-MONOMER[m]	1	6
EG11448	EG11448_RNA	ACS-MONOMER[c]	4	1458
EG10192	EG10192_RNA	ACSERLYA-MONOMER[c]	40	34649
EG10193	EG10193_RNA	ACSERLYB-MONOMER[c]	8	2276
G6105	G6105_RNA	ACYLCOADEHYDROG-MONOMER[c]	3	167
EG11530	EG11530_RNA	ACYLCOASYN-MONOMER[c]	4	306
EG11493	EG11493_RNA	ADCLY-MONOMER[c]	16	3304
EG10030	EG10030_RNA	ADENODEAMIN-MONOMER[c]	4	1164
EG10051	EG10051_RNA	ADENPRIBOSYLTRAN-MONOMER[c]	12	5605
EG10032	EG10032_RNA	ADENYL-KIN-MONOMER[c]	21	12459
EG10170	EG10170_RNA	ADENYLATECYC-MONOMER[c]	12	161
EG10790	EG10790_RNA	ADENYLOSUCCINATE-SYN-MONOMER[c]	25	9865
EG10185	EG10185_RNA	ADENYLYLSULFKIN-MONOMER[c]	11	2133
EG50010	EG50010_RNA	ADHC-MONOMER[c]	4	2471
EG10031	EG10031_RNA	ADHE-MONOMER[c]	23	7779
G6775	G6775_RNA	ADHP-MONOMER[c]	3	2841
EG10394	EG10394_RNA	AERGLYC3PDEHYDROG-MONOMER[i]	49	16020
EG12769	EG12769_RNA	AGAB-MONOMER[c]	1	394
EG12770	EG12770_RNA	AGAC-MONOMER[i]	1	438
G7635	G7635_RNA	AGAD-MONOMER[i]	1	424
EG12322	EG12322_RNA	AGAX-MONOMER[m]	3	235
EG10960	EG10960_RNA	AGMATIN-MONOMER[c]	7	4125
EG10795	EG10795_RNA	AICARTRANSIMPCYCLO-CPLX[c]	9	3870
EG10798	EG10798_RNA	AIRS-MONOMER[c]	14	3820
EG10512	EG10512_RNA	AKBLIG-MONOMER[c]	3	1338
EG10001	EG10001_RNA	ALARACEBIOSYN-MONOMER[c]	5	235
EG11408	EG11408_RNA	ALARACECAT-MONOMER[c]	4	432
EG10034	EG10034_RNA	ALAS-MONOMER[c]	15	2867
EG12292	EG12292_RNA	ALDDEHYDROGB-MONOMER[c]	1	619
EG10036	EG10036_RNA	ALDHDEHYDROG-MONOMER[c]	4	646
EG11698	EG11698_RNA	ALDOSE1EPIM-MONOMER[c]	9	1964
EG10727	EG10727_RNA	ALKAPHOSPHA-MONOMER[p]	3	335
EG11387	EG11387_RNA	ALPHA-AMYL-CYTO-MONOMER[c]	6	1513
EG11316	EG11316_RNA	ALPHA-AMYL-PERI-MONOMER[p]	2	448
EG10191	EG10191_RNA	ALPHACOMP-MONOMER[c]	11	2419
EG10577	EG10577_RNA	ALPHAGALACTOSID-MONOMER[c]	2	445
EG11065	EG11065_RNA	ALTRO-OXIDOREDUCT-MONOMER[c]	2	300
EG12734	EG12734_RNA	ALTRODEHYDRAT-MONOMER[c]	5	285
EG13139	EG13139_RNA	AMINEOXID-MONOMER[p]	1	348
EG10039	EG10039_RNA	AMP-NUCLEOSID-MONOMER[c]	10	4791
EG12183	EG12183_RNA	AMPG-MONOMER[i]	5	73
EG11821	EG11821_RNA	AMTB-MONOMER[m]	2	371
EG10561	EG10561_RNA	AMYLOMALT-MONOMER[c]	6	563
EG10391	EG10391_RNA	ANGLYC3PDEHYDROGSUBUNITA-MONOMER[c]	4	960
EG10392	EG10392_RNA	ANGLYC3PDEHYDROGSUBUNITB-MONOMER[c]	4	950
EG10393	EG10393_RNA	ANGLYC3PDEHYDROGSUBUNITC-MONOMER[i]	4	906
EG10045	EG10045_RNA	ANSA-MONOMER[c]	7	1488
EG10046	EG10046_RNA	ANSB-MONOMER[p]	2	565
G6764	G6764_RNA	ANSP-MONOMER[i]	2	254
EG11028	EG11028_RNA	ANTHRANSYNCOMPI-MONOMER[c]	31	6237
EG11027	EG11027_RNA	ANTHRANSYNCOMPII-MONOMER[c]	31	2927
EG11934	EG11934_RNA	APHA-MONOMER[p]	3	420
EG10049	EG10049_RNA	APPA-MONOMER[p]	2	487
EG11379	EG11379_RNA	APPB-MONOMER[i]	2	299
EG11380	EG11380_RNA	APPC-MONOMER[i]	2	316
EG13270	EG13270_RNA	AQPZ-MONOMER[i]	2	384
EG10052	EG10052_RNA	ARABISOM-MONOMER[c]	1	446
EG10056	EG10056_RNA	ARAE-MONOMER[i]	3	67
EG10057	EG10057_RNA	ARAF-MONOMER[p]	3	533
EG10058	EG10058_RNA	ARAG-MONOMER[c]	3	562
EG10059	EG10059_RNA	ARAH-MONOMER[m]	3	552
EG10060	EG10060_RNA	ARAJ-MONOMER[i]	3	136
EG10061	EG10061_RNA	ARCA-MONOMER[c]	16	5945
EG10062	EG10062_RNA	ARCB-MONOMER[i]	5	9
G6861	G6861_RNA	ARCD-MONOMER[m]	3	294
EG10959	EG10959_RNA	ARGDECARBOXBIO-MONOMER[p]	7	2264
EG11501	EG11501_RNA	ARGDECARBOXDEG-MONOMER[c]	1	183
EG10071	EG10071_RNA	ARGS-MONOMER[c]	7	2069
EG11223	EG11223_RNA	ARGSUCCINLYA-MONOMER[c]	7	2291
EG10068	EG10068_RNA	ARGSUCCINSYN-MONOMER[c]	20	9791
G6943	G6943_RNA	ARGSUCCTRAN-MONOMER[c]	2	366
EG10072	EG10072_RNA	ARGT-MONOMER[p]	12	2670
EG10073	EG10073_RNA	AROA-MONOMER[c]	16	3246
EG10074	EG10074_RNA	AROB-MONOMER[c]	11	195
EG10075	EG10075_RNA	AROC-MONOMER[c]	7	1388
EG10076	EG10076_RNA	AROD-MONOMER[c]	5	2731
EG10077	EG10077_RNA	AROE-MONOMER[c]	6	787
EG10078	EG10078_RNA	AROF-MONOMER[c]	11	1157
EG10079	EG10079_RNA	AROG-MONOMER[c]	13	5110
EG10080	EG10080_RNA	AROH-MONOMER[c]	10	1770
EG10081	EG10081_RNA	AROK-MONOMER[c]	11	2710
EG10082	EG10082_RNA	AROL-MONOMER[c]	7	445
EG10084	EG10084_RNA	AROP-MONOMER[i]	8	936
EG12236	EG12236_RNA	ARSF-MONOMER[i]	2	261
EG11625	EG11625_RNA	ARTI-MONOMER[p]	5	1153
EG11628	EG11628_RNA	ARTJ-MONOMER[p]	12	9144
EG11627	EG11627_RNA	ARTM-MONOMER[i]	5	523
EG11624	EG11624_RNA	ARTP-MONOMER[i]	5	1212
EG11626	EG11626_RNA	ARTQ-MONOMER[i]	5	491
EG10089	EG10089_RNA	ARYLSULFAT-MONOMER[p]	2	298
EG10086	EG10086_RNA	ASCF-MONOMER[i]	2	356
EG11314	EG11314_RNA	ASL-MONOMER[c]	12	4066
EG10094	EG10094_RNA	ASNS-MONOMER[c]	18	9871
EG10091	EG10091_RNA	ASNSYNA-MONOMER[c]	19	6210
EG10092	EG10092_RNA	ASNSYNB-MONOMER[c]	6	2758
EG10088	EG10088_RNA	ASP-SEMIALDEHYDE-DEHYDROGENASE-MONOMER[c]	32	24490
EG10096	EG10096_RNA	ASPAMINOTRANS-MONOMER[c]	20	20717
EG10095	EG10095_RNA	ASPARTASE-MONOMER[c]	4	698
EG10805	EG10805_RNA	ASPCARBCAT-MONOMER[c]	25	25675
EG10811	EG10811_RNA	ASPCARBREG-MONOMER[c]	25	18340
