cistron,half_life_min,source,naming
TU00178,1.9044842618347002,Chen,polycistrons
EG10011,1.4651363871726817,Chen,cistron
EG11556,3.4869300333216966,Chen,cistron
EG11511,1.9653356528160575,Chen,cistron
EG11512,4.917012812097112,Chen,cistron
EG10206,3.6686859315317757,Chen,cistron
EG10326,1.2426881282514812,Chen,cistron
EG11570,1.2867514945196767,Chen,cistron
EG11083,1.3905837866912065,Chen,cistron
TU0-45190,30.67193602657272,Chen,polycistrons
EG10338,1.1999440518859021,Chen,cistron
EG10265,6.873540874507805,Chen,cistron
TU0-4343,2.5780523448033796,Chen,polycistrons
EG10422,11.585423707910564,Chen,cistron
EG11546,1.5125580515306902,Chen,cistron
TU00237,1.9302762684233357,Chen,polycistrons
EG10084,4.0955779513591315,Chen,cistron
TU0-6634,2.713134022827252,Chen,polycistrons
EG10543,4.835455381964477,Chen,cistron
EG12316,8.686661404393458,Chen,cistron
EG12605,3.8062860440806334,Chen,cistron
TU00359,27.12316918056951,Chen,polycistrons
EG10369,2.5665149099829594,Chen,cistron
EG20098,3.730525057245431,Chen,cistron
EG12319,1.9348337111355172,Chen,cistron
TU0-12815,3.834509610978673,Chen,polycistrons
EG12322,1.6081153218426842,Chen,cistron
EG11747,2.945653710281988,Chen,cistron
TU00358,5.015294150828707,Chen,polycistrons
EG12330,1.401862446795267,Chen,cistron
EG10432,9.210208757501835,Chen,cistron
EG12331,1.2442321135961782,Chen,cistron
EG12332,2.261884811075019,Chen,cistron
EG10463,1.9722948505088793,Chen,cistron
EG12336,3.9890481611788737,Chen,cistron
TU00345,7.546552127393043,Chen,polycistrons
EG11539,10.102932072892454,Chen,cistron
EG10335,3.8365696443992974,Chen,cistron
EG12715,1.420448032965632,Chen,cistron
G6092,1.7299394045619976,Chen,cistron
EG10139,2.0235010984727455,Chen,cistron
EG12436,1.7480478746541261,Chen,cistron
EG11284,4.936906136179182,Chen,cistron
EG11647,4.415936715270328,Chen,cistron
G6095,5.506153258214037,Chen,cistron
G6096,1.9898903916873936,Chen,cistron
TU0-12834,3.305092112233153,Chen,polycistrons
EG10770,1.7309964540123515,Chen,cistron
TU0-2302,1.2621320621425376,Chen,polycistrons
EG11736,1.9830386318075588,Chen,cistron
TU0-198880,1.3694803433874576,Chen,polycistrons
