Matches	Direction
G7688	+
G7686 // G7685 // G7687	-
EG12455 // EG11679	-
EG11112	-
EG10668 // G6670 // G6669 // EG12853	-
G6671	+
G7362 // G7363	-
G6384	-
EG11647	+
EG11647	+
EG10276 // EG10275	+
EG10276 // EG10275	+
EG10217	-
EG10023 // EG10022 // EG10026	+
EG10025 // EG10024	+
EG10026	+
EG10027	+
EG20173 // EG10027	+
EG11325	+
EG11325	+
EG11325 // G0-16736	+
EG12316	+
EG12316	+
EG11095	-
EG50003	+
EG12606 // EG50003	+
EG12221	+
EG11704 // EG11703	-
EG11704	-
EG10014	+
EG10014	+
EG10267 // EG10266	+
EG12116	+
G6396	+
EG11943 // EG11448 // EG11942	-
EG11943 // EG11448 // EG11942	-
EG11942	-
EG10037 // EG10029	-
EG10030	+
EG11692	+
EG11691	-
EG10031	-
EG10031	-
G6775	-
EG11501	-
EG12462	-
EG11966	-
EG10032	+
EG11257	+
EG12409	-
G7595	-
EG11101	-
G7630	-
EG12768 // EG12770 // G7635 // EG12769 // G7636 // G7634	+
EG10033	+
G0-10751	+
G0-10752	+
EG11384 // EG11385	+
EG11384 // EG11385	+
EG11385	+
EG11811	+
G7165	-
G7184	+
G7184 // G7185	+
G7242	-
G7399	+
EG10034	-
EG30012 // EG30011	-
EG10035	+
EG12292	-
EG11222	-
EG10037	-
G6275	+
G6281	+
G6281	+
G6281	+
G6285 // G6284 // G6286	-
G6276	+
G6274	-
EG12112	+
EG10001	+
EG10001	+
EG11957 // EG11959 // EG12458 // EG11958	-
EG11956	-
EG11957 // G7821 // EG11959 // EG12458 // EG11958	-
EG11957 // G7821 // EG11959 // EG12458 // EG11958	-
G7607	+
EG12189 // EG11823	+
G7458	-
EG10039	+
EG10040	-
EG10041 // EG10042	+
EG12183	-
EG12867	-
EG12867	-
EG11387	+
G6880	-
EG10045 // EG11135	+
EG10046	-
EG10046	-
G6764	-
G6764	-
EG10048 // EG10047	-
EG11934	+
EG10049	+
EG10049 // EG11380 // EG11379 // G0-10588	+
EG10050	+
EG10050	+
EG10050	+
EG10051	+
EG13270	-
EG10053 // EG10052 // EG10055	-
EG10054	+
EG10056	-
EG11157 // EG10056	-
EG10057 // EG10059 // EG10058	-
EG10057 // EG10059 // EG10058	-
EG10060	-
EG10061	-
EG10061	-
EG10061	-
EG10061	-
EG10061	-
EG10061	-
EG10061	-
EG10062	-
G0-8871	+
G0-10465	-
EG10063	+
EG10064 // EG10065 // EG11223	+
EG10066	-
EG11286	-
EG11286	-
EG10067	-
EG10068	+
EG11223	+
EG10069	-
EG11159	-
EG10490	+
EG30013	-
EG10070	+
EG10070	+
EG10071	+
EG10452 // EG12125 // EG10007 // EG12124 // EG10072	-
EG30014	+
EG30016	+
EG30049 // EG30042 // EG30017 // EG30068	+
G6606	+
G0-10460 // G7171 // G7166 // G7170 // G7168 // G7167 // G7169	+
EG10076	+
EG11039 // EG10078	-
EG10079	+
EG10080	+
EG10080	+
EG10204 // EG11871 // EG11030 // EG11183 // M004 // EG10074 // EG10081	-
EG10204 // EG11871 // EG11030 // EG11183 // M004 // EG10074 // EG10081	-
