Gene_Names	Direction	Sequence - coordinates of DNA region
ppa	-	[ppA 4,449,122 &larr; 4,449,652]
pykA	+	[pykA 1,937,649 &rarr; 1,939,091]
cirA	-	[cirA 2,244,778 &larr; 2,246,769]
ygiV	-	[TU0-13833 3,168,749 &larr; 3,169,231]
stpA	-	[stpA 2,798,091 &larr; 2,798,495]
yghA	+	[TU0-14232 3,149,662 &rarr; 3,150,546]
mqsA // mqsR	-	[mqsRA 3,167,851 &larr; 3,168,544]
mngB // mngA	+	[mngAB 765,984 &rarr; 770,611]
pnuC // nadA	+	[TU0-13037 782,085 &rarr; 783,885]
yciZ // yciT	-	[yciZT 1,343,597 &larr; 1,344,609]
yebO	-	[TU0-13423 1,908,261 &larr; 1,908,548]
mpl	+	[mpl 4,455,785 &rarr; 4,457,158]
yghS // yghR	-	[TU0-13817 3,132,454 &larr; 3,133,957]
pflB // focA	-	[focA-pflB 951,272 &larr; 954,466]
yjjG // rimI // holD	+	[holD-rimI-yjjG 4,607,803 &rarr; 4,609,323]
deaD // yrbN	-	[yrbN-deaD 3,305,971 &larr; 3,307,933]
opgB	-	[TU0-14212 4,597,150 &larr; 4,599,441]
hflC // hflK // hflX // hfq // miaA // mutL // amiB // tsaE	+	[tsaE-amiB-mutL-miaA-hfq-hflXKC 4,395,585 &rarr; 4,404,304]
rseD // rseC // rseB // rseA // rpoE	-	[rpoE-rseABC 2,707,322 &larr; 2,710,164]
folK // pcnB	-	[pcnB-folK 157,253 &larr; 159,126]
chiQ // chiP	+	[chiP-ybfN 708,334 &rarr; 710,116]
yeaO	+	[TU0-13405 1,876,909 &rarr; 1,877,256]
pheM // rplT	-	[rplT-pheM 1,799,226 &larr; 1,799,749]
dksA // sfsA	-	[sfsA-dksA 160,149 &larr; 161,486]
argO	-	[argO 3,068,173 &larr; 3,068,808]
topAI // yjhQ	-	[TU0-14195 4,533,239 &larr; 4,534,053]
gadW	-	[gadW 3,663,890 &larr; 3,664,618]
grxC // yibN // gpsA // secB	-	[yibN-grxC-secB-gpsA 3,782,642 &larr; 3,785,015]
scpC // scpB // argK // scpA	+	[scpA-argK-scpBC 3,060,850 &rarr; 3,066,280]
tatE	+	[TU0-13003 658,947 &rarr; 659,150]
ynjD // ynjC // ynjB // ynjA // ydjZ // ydjY // ydjX	+	[TU0-13388 1,833,401 &rarr; 1,839,400]
insH5	-	[insH-5 1,427,746 &larr; 1,428,726]
rpmG // rpmB	-	[rpmBG 3,811,250 &larr; 3,811,674]
ssnA // ygfK	+	[ygfK-ssnA 3,016,060 &rarr; 3,020,489]
intB	+	[TU0-14178 4,496,750 &rarr; 4,497,940]
pstA // pstC // pstS	-	[pstSCA 3,908,549 &larr; 3,911,525]
lapB // lapA	+	[lapAB 1,340,243 &rarr; 1,341,727]
ybdF	-	[TU0-12987 605,518 &larr; 605,886]
ydiL	+	[TU0-13371 1,770,615 &rarr; 1,770,971]
nhoA	+	[nhoA 1,534,024 &rarr; 1,534,869]
potF // potG // potH // potI	+	[potFGHI 893,784 &rarr; 897,929]
ygeI	+	[TU0-13764 2,993,638 &rarr; 2,993,856]
cysQ	+	[TU0-14162 4,436,755 &rarr; 4,437,495]
groL	+	[groL 4,371,025 &rarr; 4,372,671]
feaR	-	[feaR 1,446,378 &larr; 1,447,283]
sfmF // sfmH	+	[TU0-12968 562,336 &rarr; 563,845]
ydjM	+	[ydjM 1,810,211 &rarr; 1,810,801]
anmK	-	[TU0-13355 1,718,493 &larr; 1,719,602]
ggt	-	[ggt 3,585,081 &larr; 3,586,823]
rppH // ptsP	-	[rppH-ptsP 2,966,188 &larr; 2,968,977]
nfrA // nfrB	-	[nfrBA 587,982 &larr; 593,178]
ecnB // ecnA	+	[TU0-14145 4,376,317 &rarr; 4,376,699]
rpoS	-	[rpoS 2,866,559 &larr; 2,867,551]
mpaA // ymjC // ymjD // ycjY	-	[ycjY-ymjDC-mpaA 1,389,870 &larr; 1,391,853]
dnaX	+	[dnaX 492,092 &rarr; 494,023]
pheP	+	[pheP 601,959 &rarr; 603,335]
clcB	+	[TU0-13337 1,665,315 &rarr; 1,666,571]
cspH	-	[cspH 1,050,963 &larr; 1,051,175]
ygcR // ygcQ	-	[TU0-13729 2,894,919 &larr; 2,896,555]
hyaA // hyaB // hyaC // hyaD // hyaE // hyaF	+	[hyaABCDEF 1,032,139 &rarr; 1,037,606]
yjcO	-	[TU0-14127 4,296,436 &larr; 4,297,125]
