Protein ID,HL Source,CLClim0NE Clim0 half life (min),gene symbol,Stability
2-ISOPROPYLMALATESYN-MONOMER,Clim0 (protease substrate),222.80000000000004,leuA,Less Stable
4OHBENZOATE-OCTAPRENYLTRANSFER-MONOMER,Clim0 (protease substrate),76.50000000001637,ubiA,Less Stable
ACETATEKINA-MONOMER,Clim0 (protease substrate),720.0000000000001,ackA,More Stable
ACONITATEDEHYDRB-MONOMER,Clim0 (protease substrate),282.70000000000005,acnB,Less Stable
ACYLCOADEHYDROG-MONOMER,Clim0 (protease substrate),86.00000000001654,fadE,Less Stable
AERGLYC3PDEHYDROG-MONOMER,Clim0 (protease substrate),210.89999999999998,glpD,Less Stable
ALPHACOMP-MONOMER,Clim0 (protease substrate),299.40000000000003,cysJ,Less Stable
ALTRODEHYDRAT-MONOMER,Clim0 (protease substrate),233.8,uxaA,Less Stable
ARGSUCCTRAN-MONOMER,Clim0 (protease substrate),273.4,astA,Less Stable
AROD-MONOMER,Clim0 (protease substrate),333.8,aroD,Less Stable
AROE-MONOMER,Clim0 (protease substrate),325.7,aroE,Less Stable
AROG-MONOMER,Clim0 (protease substrate),348.50000000000006,aroG,Less Stable
AROK-MONOMER,Clim0 (protease substrate),239.30000000000004,aroK,Less Stable
AROL-MONOMER,Clim0 (protease substrate),315.2,aroL,Less Stable
ASNSYNA-MONOMER,Clim0 (protease substrate),152.0,asnA,Less Stable
ASPARTASE-MONOMER,Clim0 (protease substrate),257.0,aspA,Less Stable
ASPKINIHOMOSERDEHYDROGI-MONOMER,Clim0 (protease substrate),720.0000000000001,thrA,More Stable
BETACOMP-MONOMER,Clim0 (protease substrate),249.8,cysI,Less Stable
BIOTIN-SYN-MONOMER,Clim0 (protease substrate),48.20000000001986,bioB,Less Stable
BIOTINLIG-MONOMER,Clim0 (protease substrate),284.5,birA,Less Stable
BRANCHED-CHAINAMINOTRANSFER-MONOMER,Clim0 (protease substrate),338.00000000000006,ilvE,Less Stable
CELA-MONOMER,Clim0 (protease substrate),218.40000000000003,chbB,Less Stable
CFA-MONOMER,Clim0 (protease substrate),28.40000000000094,cfa,Less Stable
CHORISMUTPREPHENDEHYDROG-MONOMER,Clim0 (protease substrate),273.5,tyrA,Less Stable
CHORPYRLY-MONOMER,Clim0 (protease substrate),256.20000000000005,ubiC,Less Stable
CYCA-MONOMER,Clim0 (protease substrate),501.50000000000006,cycA,Less Stable
CYSD-MONOMER,Clim0 (protease substrate),94.6000000000182,cysD,Less Stable
CYSN-MONOMER,Clim0 (protease substrate),94.90000000007147,cysN,Less Stable
DALADEHYDROGA-MONOMER,Clim0 (protease substrate),60.40000000000178,dadA,Less Stable
DIAMINOPIMDECARB-MONOMER,Clim0 (protease substrate),285.8,lysA,Less Stable
DIHYDRODIPICSYN-MONOMER,Clim0 (protease substrate),327.9,dapA,Less Stable
DIHYDROPTERIREDUCT-MONOMER,Clim0 (protease substrate),202.9,nfsB,Less Stable
DIOHBUTANONEPSYN-MONOMER,Clim0 (protease substrate),72.0000000000126,ribB,Less Stable
DMBPPRIBOSYLTRANS-MONOMER,Clim0 (protease substrate),277.80000000000007,cobT,Less Stable
DXPREDISOM-MONOMER,Clim0 (protease substrate),319.50000000000006,dxr,Less Stable
EG10011-MONOMER,Clim0 (protease substrate),213.9,yaaA,Less Stable
EG10124-MONOMER,Clim0 (protease substrate),274.0,bisC,Less Stable
EG10156-MONOMER,Clim0 (protease substrate),48.000000000018375,clpA,Less Stable
EG10159-MONOMER,Clim0 (protease substrate),88.20000000004978,clpX,Less Stable
EG10216-MONOMER,Clim0 (protease substrate),301.6,dedA,Less Stable
EG10218-MONOMER,Clim0 (protease substrate),207.30000000000004,dedD,Less Stable
EG10230-MONOMER,Clim0 (protease substrate),196.30000000000004,dksA,Less Stable
EG10236-MONOMER,Clim0 (protease substrate),333.1,dnaB,Less Stable
EG10237-MONOMER,Clim0 (protease substrate),280.2,dnaC,Less Stable
EG10238-MONOMER,Clim0 (protease substrate),289.2,dnaE,Less Stable
EG10241-MONOMER,Clim0 (protease substrate),350.90000000000003,dnaK,Less Stable
EG10243-MONOMER,Clim0 (protease substrate),50.80000000002085,dnaQ,Less Stable
EG10270-MONOMER,Clim0 (protease substrate),250.40000000000006,era,Less Stable
EG10300-MONOMER,Clim0 (protease substrate),293.90000000000003,ffh,Less Stable
EG10335-MONOMER,Clim0 (protease substrate),290.1,frr,Less Stable
EG10341-MONOMER,Clim0 (protease substrate),105.00000000004019,ftsI,Less Stable
EG10347-MONOMER,Clim0 (protease substrate),74.90000000000597,ftsZ,Less Stable
EG10370-MONOMER,Clim0 (protease substrate),281.1,ispG,Less Stable
EG10375-MONOMER,Clim0 (protease substrate),84.90000000003381,mnmG,Less Stable
EG10415-MONOMER,Clim0 (protease substrate),268.80000000000007,greA,Less Stable
EG10426-MONOMER,Clim0 (protease substrate),303.4,helD,Less Stable
EG10437-MONOMER,Clim0 (protease substrate),248.99999999999997,hflX,Less Stable
EG10456-MONOMER,Clim0 (protease substrate),217.4,hmp,Less Stable
EG10458-MONOMER,Clim0 (protease substrate),315.09999999999997,hsdM,Less Stable
EG10487-MONOMER,Clim0 (protease substrate),548.6,hypE,Less Stable
EG10534-MONOMER,Clim0 (protease substrate),340.8,ligA,Less Stable
EG10572-MONOMER,Clim0 (protease substrate),303.8,mazG,Less Stable
EG10598-MONOMER,Clim0 (protease substrate),275.7,minE,Less Stable
EG10618-MONOMER,Clim0 (protease substrate),309.4,mukB,Less Stable
EG10625-MONOMER,Clim0 (protease substrate),297.9,mutS,Less Stable
EG10651-MONOMER,Clim0 (protease substrate),107.20000000007518,nfo,Less Stable
EG10686-MONOMER,Clim0 (protease substrate),224.69999999999996,parC,Less Stable
EG10687-MONOMER,Clim0 (protease substrate),286.7,parE,Less Stable
EG10690-MONOMER,Clim0 (protease substrate),262.0,pcnB,Less Stable
EG10776-MONOMER,Clim0 (protease substrate),306.5999999999999,pspA,Less Stable
EG10823-MONOMER,Clim0 (protease substrate),289.1,recA,Less Stable
EG10826-MONOMER,Clim0 (protease substrate),263.7,recD,Less Stable
EG10828-MONOMER,Clim0 (protease substrate),304.0,recF,Less Stable
EG10830-MONOMER,Clim0 (protease substrate),219.8,recJ,Less Stable
EG10844-MONOMER,Clim0 (protease substrate),344.00000000000006,rhlB,Less Stable
EG10884-MONOMER,Clim0 (protease substrate),293.79999999999995,rplX,Less Stable
EG10900-MONOMER,Clim0 (protease substrate),607.1000000000001,rpsA,More Stable
EG10925-MONOMER,Clim0 (protease substrate),260.2,ruvC,Less Stable
EG10927-MONOMER,Clim0 (protease substrate),312.6,sbcC,Less Stable
EG10943-MONOMER,Clim0 (protease substrate),297.0,selD,Less Stable
EG10955-MONOMER,Clim0 (protease substrate),210.99999999999997,prlF,Less Stable
EG10975-MONOMER,Clim0 (protease substrate),328.1,srmB,Less Stable
EG11012-MONOMER,Clim0 (protease substrate),216.10000000000002,tonB,Less Stable
EG11014-MONOMER,Clim0 (protease substrate),187.5,topB,Less Stable
EG11062-MONOMER,Clim0 (protease substrate),241.2,uvrB,Less Stable
EG11064-MONOMER,Clim0 (protease substrate),283.2,uvrD,Less Stable
EG11081-MONOMER,Clim0 (protease substrate),223.3,ispH,Less Stable
EG11094-MONOMER,Clim0 (protease substrate),324.2,sbcD,Less Stable
EG11100-MONOMER,Clim0 (protease substrate),266.49999999999994,ybaB,Less Stable
EG11131-MONOMER,Clim0 (protease substrate),255.20000000000002,relE,Less Stable
EG11137-MONOMER,Clim0 (protease substrate),240.79999999999998,yebC,Less Stable
EG11139-MONOMER,Clim0 (protease substrate),312.70000000000005,yecA,Less Stable
EG11140-MONOMER,Clim0 (protease substrate),182.3,uvrY,Less Stable
EG11187-MONOMER,Clim0 (protease substrate),233.89999999999998,yibA,Less Stable
EG11195-MONOMER,Clim0 (protease substrate),342.8,yidA,Less Stable
EG11199-MONOMER,Clim0 (protease substrate),279.9,mioC,Less Stable
EG11239-MONOMER,Clim0 (protease substrate),209.10000000000002,ybhA,Less Stable
EG11247-MONOMER,Clim0 (protease substrate),307.40000000000003,rlmD,Less Stable
EG11249-MONOMER,Clim0 (protease substrate),720.0000000000001,mazF,More Stable
EG11296-MONOMER,Clim0 (protease substrate),293.59999999999997,radA,Less Stable
EG11299-MONOMER,Clim0 (protease substrate),261.8,rng,Less Stable
EG11306-MONOMER,Clim0 (protease substrate),73.70000000003031,lipA,Less Stable
EG11357-MONOMER,Clim0 (protease substrate),235.8,dinG,Less Stable
EG11384-MONOMER,Clim0 (protease substrate),303.1,ahpC,Less Stable
EG11385-MONOMER,Clim0 (protease substrate),281.3,ahpF,Less Stable
EG11404-MONOMER,Clim0 (protease substrate),286.4,ychF,Less Stable
EG11410-MONOMER,Clim0 (protease substrate),253.10000000000002,yjgA,Less Stable
EG11415-MONOMER,Clim0 (protease substrate),101.80000000000582,dps,Less Stable
EG11440-MONOMER,Clim0 (protease substrate),236.2,def,Less Stable
EG11467-MONOMER,Clim0 (protease substrate),343.6,yigI,Less Stable
EG11516-MONOMER,Clim0 (protease substrate),63.0000000000012,ycgB,Less Stable
EG11534-MONOMER,Clim0 (protease substrate),72.0000000000126,ibpA,Less Stable
EG11578-MONOMER,Clim0 (protease substrate),278.1000000000001,greB,Less Stable
EG11784-MONOMER,Clim0 (protease substrate),87.50000000004674,grcA,Less Stable
EG11830-MONOMER,Clim0 (protease substrate),285.8,yihD,Less Stable
EG11835-MONOMER,Clim0 (protease substrate),261.8,yihI,Less Stable
EG11874-MONOMER,Clim0 (protease substrate),315.5,yiiQ,Less Stable
EG12044-MONOMER,Clim0 (protease substrate),284.6000000000001,rsuA,Less Stable
EG12045-MONOMER,Clim0 (protease substrate),263.00000000000006,radD,Less Stable
EG12052-MONOMER,Clim0 (protease substrate),567.1,ccmH,Less Stable
EG12110-MONOMER,Clim0 (protease substrate),344.1,ydcF,Less Stable
EG12130-MONOMER,Clim0 (protease substrate),268.6,hscA,Less Stable
EG12131-MONOMER,Clim0 (protease substrate),284.3999999999999,hscB,Less Stable
