['EG11511' 'EG11512'],['+' '-'],['mRNA' 'mRNA'],[ 9305 10493],-
['EG10240' 'G6083' 'G0-9563' 'EG10373'],['+' '+' '-' '-'],['mRNA' 'mRNA' 'mRNA' 'mRNA'],[14167 15444 16902 16959],+
['G6136' 'EG12340'],['+' '-'],['mRNA' 'mRNA'],[275938 278025],+
['EG11421' 'EG10176'],['-' '+'],['mRNA' 'mRNA'],[357913 358022],=
['EG10196' 'EG12708'],['+' '-'],['mRNA' 'mRNA'],[553833 555775],+
['EG30014' 'EG10507'],['+' '-'],['tRNA' 'mRNA'],[563945 565200],-
['G0-10435' 'G6307' 'G6308' 'EG10659'],['+' '+' '-' '-'],['mRNA' 'mRNA' 'mRNA' 'mRNA'],[572952 573178 574975 576047],+
['G6365' 'EG30031'],['+' '-'],['mRNA' 'tRNA'],[694323 695726],-
['EG12689' 'EG11338'],['+' '-'],['mRNA' 'mRNA'],[1112801 1113403],-
['EG10518' 'G0-9602'],['+' '-'],['mRNA' 'mRNA'],[1267387 1268497],=
['EG10518' 'G0-9602' 'G0-9603'],['+' '-' '+'],['mRNA' 'mRNA' 'miscRNA'],[1267387 1268497 1268545],+
['EG10172' 'G0-10592' 'EG11219' 'G0-9610' 'G0-9611' 'G6736'],['+' '-' '+' '-' '+' '-'],['mRNA' 'miscRNA' 'mRNA' 'mRNA' 'miscRNA' 'mRNA'],[1488925 1489529 1489700 1490094 1490142 1490152],+
['EG10172' 'G0-10592' 'EG11219' 'G0-9610' 'G6736'],['+' '-' '+' '-' '-'],['mRNA' 'miscRNA' 'mRNA' 'mRNA' 'mRNA'],[1488925 1489529 1489700 1490094 1490152],+
['G6742' 'G0-10557'],['+' '-'],['mRNA' 'mRNA'],[1500480 1501672],+
['G6756' 'G6757' 'G6758' 'G6759'],['+' '+' '-' '-'],['mRNA' 'mRNA' 'mRNA' 'mRNA'],[1515412 1515671 1516354 1516869],+
['G6973' 'G6974'],['+' '-'],['mRNA' 'mRNA'],[1871597 1872205],+
['G0-8865' 'G0-8883'],['+' '-'],['miscRNA' 'miscRNA'],[1921089 1921230],=
['EG30022' 'G7073'],['+' '-'],['tRNA' 'mRNA'],[2060283 2061346],-
['EG12881' 'EG10399'],['+' '-'],['mRNA' 'mRNA'],[2347708 2349032],+
['G7171' 'G7172'],['+' '-'],['mRNA' 'mRNA'],[2370913 2371559],+
['EG11432' 'EG10407'],['+' '-'],['mRNA' 'mRNA'],[2516834 2518693],-
['EG11072' 'G7318'],['+' '-'],['mRNA' 'mRNA'],[2632253 2633835],+
['G0-10600' 'EG12097' 'EG12098' 'G7352' 'EG11151'],['-' '-' '-' '+' '+'],['miscRNA' 'mRNA' 'mRNA' 'mRNA' 'mRNA'],[2732316 2733055 2734032 2734167 2735175],+
['EG11554' 'G7399' 'EG12201' 'G7400'],['-' '+' '-' '+'],['mRNA' 'mRNA' 'mRNA' 'mRNA'],[2796516 2797185 2798015 2798167],-
['EG30099' 'EG11158' 'G0-8886' 'G0-10631'],['+' '+' '+' '-'],['miscRNA' 'mRNA' 'miscRNA' 'mRNA'],[3054004 3054262 3054872 3054970],+
['G7521' 'G7522'],['-' '+'],['mRNA' 'mRNA'],[3084072 3084208],-
['EG30065' 'G7535'],['+' '-'],['tRNA' 'mRNA'],[3108387 3109147],=
['G0-10629' 'G0-10602' 'G7590'],['+' '-' '-'],['mRNA' 'miscRNA' 'mRNA'],[3193162 3193261 3194774],-
['G0-10629' 'G7590'],['+' '-'],['mRNA' 'mRNA'],[3193162 3194774],-
['EG12732' 'G7608'],['+' '-'],['mRNA' 'mRNA'],[3237965 3239765],+
['EG10412' 'G0-9981' 'G0-10751'],['+' '-' '+'],['mRNA' 'mRNA' 'miscRNA'],[3644321 3645810 3646085],+
['EG10412' 'G0-9981'],['+' '-'],['mRNA' 'mRNA'],[3644321 3645810],+
['G0-9613' 'G7776'],['-' '+'],['mRNA' 'mRNA'],[3718622 3718702],-
['EG11888' 'EG10187'],['+' '-'],['mRNA' 'mRNA'],[3779237 3780584],=
['EG11190' 'EG10329'],['+' '-'],['mRNA' 'mRNA'],[3807847 3809174],-
['EG30105' 'EG11449'],['+' '-'],['tRNA' 'mRNA'],[3944979 3945989],+
['EG11877' 'EG10628'],['+' '-'],['mRNA' 'mRNA'],[4111315 4112494],-
['G0-10707' 'EG11614'],['+' '-'],['mRNA' 'mRNA'],[4330138 4331294],-
['G0-10474' 'EG30051'],['+' '-'],['mRNA' 'tRNA'],[4603826 4604187],-
