,gene_name,cistron_name,monomer_name,max_mRNA_count,max_protein_count,prob_monomer_expressed,expression_status,log2_mRNA,log2_Protein,log2_mRNA_1,log2_Protein_1,mean_mRNA_count,mean_protein_count,log2_mean_mRNA_1,log2_mean_Protein_1,FrameID,Function,Gene Name,Accession-1,Left-End-Position,Right-End-Position,Product,Regulated-By,GO terms (biological process),Transcription Units,gene ID,Pathways of gene,TU ID,GO biological process last,GO biological process first
0,EG11377,EG11377_RNA,1-ACYLGLYCEROL-3-P-ACYLTRANSFER-MONOMER[i],5,441,1.0,always_expressed,2.321928094887362,8.784634845557521,2.584962500721156,8.787902559391432,0.4494227236945683,152.92326048253076,0.5354784178321995,7.266067454235427,EG11377,Met Orth,plsC,b3018,3162744.0,3163481.0,1-acylglycerol-3-phosphate <i>O</i>-acyltransferase PlsC,,lipid metabolic process // CDP-diacylglycerol biosynthetic process // phospholipid biosynthetic process // phosphatidic acid biosynthetic process,plsC,EG11377,CDP-diacylglycerol biosynthesis II // superpathway of phospholipid biosynthesis III (<i>E. coli</i>) // CDP-diacylglycerol biosynthesis I,plsC,phosphatidic acid biosynthetic process,lipid metabolic process
1,EG10337,EG10337_RNA,1-PFK-MONOMER[c],4,612,0.998342724560822,subgen,2.0,9.257387842692651,2.321928094887362,9.259743263690781,0.1391226020884649,82.76877699810679,0.1879230305457271,6.388340705592707,EG10337,Met Orth,fruK,b2168,2261427.0,2262365.0,1-phosphofructokinase,,carbohydrate phosphorylation // carbohydrate metabolic process // phosphorylation // fructose catabolic process,fruBKA,EG10337,fructose degradation,fruBKA,fructose catabolic process,carbohydrate phosphorylation
2,G6239,G6239_RNA,2-DEHYDROPANTOATE-REDUCT-MONOMER[c],5,708,1.0,always_expressed,2.321928094887362,9.467605550082997,2.584962500721156,9.469641817239516,0.3879107732850295,196.37938776546667,0.47291482218350417,7.624827527485915,G6239,Met Orth,panE,b0425,443604.0,444515.0,2-dehydropantoate 2-reductase,,organic substance metabolic process // pantothenate biosynthetic process,panE-yajL,G6239,superpathway of coenzyme A biosynthesis I (bacteria) // phosphopantothenate biosynthesis I,panE-yajL,pantothenate biosynthetic process,organic substance metabolic process
3,EG11226,EG11226_RNA,2-ISOPROPYLMALATESYN-MONOMER[c],34,9323,1.0,always_expressed,5.087462841250339,13.186578551633048,5.129283016944966,13.186733289128867,7.4120337844891555,2961.1433379041428,3.0724546442467116,11.532425738887785,EG11226,Met Orth,leuA,b0074,81958.0,83529.0,2-isopropylmalate synthase,Regulation of leuA by DNA-binding transcriptional dual regulator Lrp // Regulation of leuA by DNA-binding transcriptional dual regulator Lrp,carboxylic acid metabolic process // branched-chain amino acid biosynthetic process // amino acid biosynthetic process // leucine biosynthetic process,leuLABCD // leuLABCD,EG11226,superpathway of branched chain amino acid biosynthesis // L-leucine biosynthesis,leuLABCD // leuLABCD,leucine biosynthetic process,carboxylic acid metabolic process
4,EG11473,EG11473_RNA,2-OCTAPRENYL-METHOXY-BENZOQ-METH-MONOMER[c],5,1004,1.0,always_expressed,2.321928094887362,9.971543553950772,2.584962500721156,9.972979786066292,0.5752949159620002,332.91959325438813,0.655621945416504,8.38335693804732,EG11473,Met Orth,ubiE,b3833,4018855.0,4019610.0,"bifunctional 2-octaprenyl-6-methoxy-1,4-benzoquinol methylase and demethylmenaquinone methyltransferase",,quinone biosynthetic process // aerobic respiration // methylation // menaquinone biosynthetic process // ubiquinone biosynthetic process,ubiEJB,EG11473,superpathway of menaquinol-8 biosynthesis I // menaquinol-8 biosynthesis // superpathway of chorismate metabolism // superpathway of ubiquinol-8 biosynthesis (early decarboxylation) // ubiquinol-8 biosynthesis (early decarboxylation),ubiEJB,ubiquinone biosynthetic process,quinone biosynthetic process
5,EG11476,EG11476_RNA,2-OCTAPRENYLPHENOL-HYDROX-MONOMER[i],5,187,1.0,always_expressed,2.321928094887362,7.546894459887636,2.584962500721156,7.554588851677638,0.5752949159620002,55.68615467957779,0.655621945416504,5.824924501761022,EG11476,Met Orth,ubiB,b3835,4020226.0,4021866.0,ubiquinone biosynthesis protein UbiB,,regulation of ubiquinone biosynthetic process // phosphorylation // ubiquinone biosynthetic process,ubiEJB,EG11476,,ubiEJB,ubiquinone biosynthetic process,regulation of ubiquinone biosynthetic process
6,EG11675,EG11675_RNA,3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-MONOMER[c],11,8800,1.0,always_expressed,3.4594316186372973,13.103287808412022,3.584962500721156,13.10345174171609,1.883821027416392,3321.107050050364,1.5279816323766502,11.69788284745318,EG11675,Met Orth,panB,b0134,148807.0,149601.0,3-methyl-2-oxobutanoate hydroxymethyltransferase,,pantothenate biosynthetic process,panBC,EG11675,superpathway of coenzyme A biosynthesis I (bacteria) // phosphopantothenate biosynthesis I,panBC,pantothenate biosynthetic process,pantothenate biosynthetic process
7,EG11577,EG11577_RNA,3-ISOPROPYLMALDEHYDROG-MONOMER[c],34,13281,1.0,always_expressed,5.087462841250339,13.697076158819021,5.129283016944966,13.697184783224516,7.4120337844891555,4383.734707538732,3.0724546442467116,12.098273841654446,EG11577,Met Orth,leuB,b0073,80867.0,81958.0,3-isopropylmalate dehydrogenase,,branched-chain amino acid biosynthetic process // amino acid biosynthetic process // cellular response to amino acid starvation // leucine biosynthetic process,leuLABCD // leuLABCD,EG11577,superpathway of branched chain amino acid biosynthesis // L-leucine biosynthesis,leuLABCD // leuLABCD,leucine biosynthetic process,branched-chain amino acid biosynthetic process
8,EG11318,EG11318_RNA,3-OXOACYL-ACP-REDUCT-MONOMER[c],30,7803,1.0,always_expressed,4.906890595608519,12.929813184664148,4.954196310386875,12.929998062609027,6.573599907455216,3413.31886756785,2.9209792096067737,11.737382084438647,EG11318,Met Orth,fabG,b1093,1150670.0,1151404.0,3-oxoacyl-[acyl-carrier-protein] reductase FabG,,fatty acid metabolic process // lipid metabolic process // fatty acid elongation // biotin biosynthetic process // lipid biosynthetic process // fatty acid biosynthetic process,plsX-fabHDG // rpmF-plsX-fabHDG // fabG-acpP // fabDG-acpP // fabHDG,EG11318,<i>cis</i>-vaccenate biosynthesis // fatty acid elongation -- saturated // superpathway of fatty acid biosynthesis I (E. coli) // (5Z)-dodecenoate biosynthesis I // superpathway of unsaturated fatty acids biosynthesis (<i>E. coli</i>) // palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate) // biotin biosynthesis I // 8-amino-7-oxononanoate biosynthesis I // palmitate biosynthesis II (type II fatty acid synthase),plsX-fabHDG // rpmF-plsX-fabHDG // fabG-acpP // fabDG-acpP // fabHDG,fatty acid biosynthetic process,fatty acid metabolic process
9,EG12606,EG12606_RNA,3-OXOACYL-ACP-SYNTHII-MONOMER[c],15,3551,1.0,always_expressed,3.9068905956085187,11.79400964502097,4.0,11.794415866350105,3.158432155926675,1361.805441520443,2.056039694900191,10.41236389773062,EG12606,Met Orth,fabF,b1095,1151939.0,1153180.0,3-oxoacyl-[acyl carrier protein] synthase 2,,"small molecule metabolic process // fatty acid metabolic process // lipid metabolic process // fatty acid biosynthetic process // response to cold // fatty acid elongation, saturated fatty acid // monounsaturated fatty acid biosynthetic process",fabF // acpP-fabF,EG12606,palmitate biosynthesis II (type II fatty acid synthase) // fatty acid elongation -- saturated // superpathway of unsaturated fatty acids biosynthesis (<i>E. coli</i>) // <i>cis</i>-vaccenate biosynthesis // superpathway of fatty acid biosynthesis I (E. coli) // superpathway of fatty acid biosynthesis initiation // fatty acid biosynthesis initiation II // fatty acid biosynthesis initiation III // biotin biosynthesis I // 8-amino-7-oxononanoate biosynthesis I,fabF // acpP-fabF,monounsaturated fatty acid biosynthetic process,small molecule metabolic process
