"id"	"symbol"	"synonyms"	"left_end_pos"	"right_end_pos"	"direction"	"rna_ids"
"NG001"	"vioA"	["vioA"]	0	1256	"+"	["NG001_RNA"]
"NG002"	"vioB"	["vioB"]	1257	4253	"+"	["NG002_RNA"]
"NG003"	"vioC"	["vioC"]	4254	5543	"+"	["NG003_RNA"]
