# Generated by /Users/miagrahn/wcEcoli/reconstruction/ecoli/scripts/protein_half_lives/convert_to_flat_Clim_protease_assignments.py on Mon Dec  9 11:29:58 2024
"id"	"protease_assignment"	"ClpP"	"Lon"	"HslV"	"Unexplained"
"EG10156-MONOMER"	"ClpP only"	1.0	0.0	0.0	0.0
"MDLB-MONOMER"	"ClpP only"	1.0	0.0	0.0	0.0
"EG10927-MONOMER"	"ClpP only"	1.0	0.0	0.0	0.0
"EG10618-MONOMER"	"ClpP only"	1.0	0.0	0.0	0.0
"AERGLYC3PDEHYDROG-MONOMER"	"ClpP only"	0.9937311622959765	0.0	0.0	0.0
"EG10823-MONOMER"	"ClpP only"	0.9659422539717736	0.0	0.0	0.0
"EG10690-MONOMER"	"ClpP only"	0.9657849990624624	0.0	0.0	0.0
"EG10159-MONOMER"	"ClpP only"	0.9332863287710182	0.0	0.0	0.002226409812859236
"EG11415-MONOMER"	"ClpP only"	0.922363377760449	0.0005893978041944058	0.07704722443535654	0.0
"DIOHBUTANONEPSYN-MONOMER"	"ClpP only"	0.9177149685544131	0.0	0.0	0.03080823441384567
"G6894-MONOMER"	"ClpP only"	0.9107693760253536	0.04671986243041855	0.0	0.04251076154422791
"EG11783-MONOMER"	"ClpP only"	0.9042073852846886	0.0	0.0	0.04529315476535885
"PUTA-MONOMER"	"ClpP only"	0.8871341718156508	0.1044186480620873	0.0	0.00844718012226184
"G6523-MONOMER"	"ClpP only"	0.8812505962987498	0.003450591289189	0.08948491166159973	0.01740777605986891
"L-LACTDEHYDROGFMN-MONOMER"	"ClpP only"	0.8492170014759718	0.0	0.1507829985240282	0.0
"EG10236-MONOMER"	"ClpP only"	0.8486929501138306	0.1439037976463487	0.007403252239820689	0.0
"G7596-MONOMER"	"ClpP only"	0.8447298689611913	0.0	0.0	0.0436535558551446
"ACYLCOADEHYDROG-MONOMER"	"ClpP only"	0.8392680900877766	0.1572280914339504	0.003503818478273008	0.0
"EG10230-MONOMER"	"ClpP only"	0.8377173065892295	0.1622826934107704	0.0	0.0
"EG10651-MONOMER"	"ClpP only"	0.8170292992029067	0.0	0.1752663277407187	0.007704373056374535
"EG10347-MONOMER"	"ClpP only"	0.8078909105784067	0.1045677715676293	0.04688910375167573	0.04065221410228815
"ZNUC-MONOMER"	"ClpP only"	0.7914905910036573	0.0	0.1582851092504883	0.05022429974585437
"EG10241-MONOMER"	"ClpP only"	0.7870329116821451	0.2129670883178549	0.0	0.0
"RPOC-MONOMER"	"ClpP only"	0.7846968320571005	0.1823434125346945	0.0329597554082049	0.0
"YHES-MONOMER"	"ClpP only"	0.7805642482198102	0.1353550155769331	0.0	0.0
"PD00214"	"ClpP only"	0.7795353683613133	0.03610032375508478	0.1843643078836019	0.0
"RPOS-MONOMER"	"ClpP only"	0.7357291473762771	0.226135438282211	0.0	0.03813541434151197
"RPOB-MONOMER"	"ClpP only"	0.7309776222084695	0.2690223777915304	0.0	0.0
"G6569-MONOMER"	"ClpP only"	0.7281643947294957	0.1817684516842942	0.0	0.04850711108196488
"PD03270"	"ClpP only"	0.7227684806789549	0.2447732088266698	0.0	0.03245831049437534
"EG11064-MONOMER"	"ClpP only"	0.7123202686805574	0.272512936642312	0.01516679467713069	0.0
"EG11734-MONOMER"	"ClpP only"	0.711802083069992	0.0	0.0	0.004316674368707835
"G7656-MONOMER"	"ClpP only"	0.7082784410977435	0.03479064480700757	0.0	0.03302909287877121
"CYSD-MONOMER"	"ClpP only"	0.688662917546952	0.1115797554856638	0.1927477493909631	0.007009577576421178
"EG10625-MONOMER"	"ClpP only"	0.6841540907534327	0.1464216490037121	0.0	0.02721687308469743
"EG10686-MONOMER"	"ClpP only"	0.6700160697874652	0.2007026163492992	0.1060950222390016	0.02318629162423417
"EG10900-MONOMER"	"ClpP only"	0.6682086471822161	0.258233226826272	0.0735581259915118	0.0
"EG11440-MONOMER"	"ClpP only"	0.6672590150979288	0.2766356738246408	0.03814846359807092	0.01795684747935953
"G7715-MONOMER"	"ClpP only"	0.6286097880340189	0.0	0.1028724158166868	0.0
"G7214-MONOMER"	"ClpP only"	0.6243641277512176	0.2361253543139149	0.09549104127295707	0.04401947666191024
"G6890-MONOMER"	"Lon only"	0.2261716322246332	0.7239754464173729	0.0	0.04985292135799384
"PD03938"	"Lon only"	0.2740979583819161	0.6914877822544573	0.0	0.03441425936362659
"G6737-MONOMER"	"Lon only"	0.3092136466178453	0.6681864447006194	0.0	0.0225999086815353
"RPOD-MONOMER"	"Lon only"	0.2230379815549332	0.6600080251012231	0.1148842845538507	0.002069708789992873
"PD02936"	"Lon only"	0.3539811062862402	0.6460188937137596	0.0	0.0
"RED-THIOREDOXIN2-MONOMER"	"Lon only"	0.2375501665183758	0.6324608004447548	0.04892339319781415	0.08106563983905513
"UHPA-MONOMER"	"HslV only"	0.08064451280400928	0.1069606013447386	0.6398231926635632	0.1725716931876888
"EG12402-MONOMER"	"Additive: ClpP, Lon, HslV"	0.2320819185431029	0.3377665653021024	0.4301515161547947	0.0
"G6472-MONOMER"	"Additive: ClpP, Lon, HslV"	0.3856805416024634	0.2210715452608285	0.3932479131367082	0.0
"EG11830-MONOMER"	"Additive: ClpP, Lon, HslV"	0.4305894409043098	0.2988507994073917	0.2705597596882984	0.0
"EG11249-MONOMER"	"Additive: ClpP, Lon, HslV"	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.0
"EG12352-MONOMER"	"Additive: ClpP, Lon, HslV"	0.186928038870193	0.5917709288562806	0.2213010322735264	0.0
"EG11534-MONOMER"	"Additive: ClpP, Lon"	0.5296343929777583	0.4703656070222417	0.0	0.0
"EG10426-MONOMER"	"Additive: ClpP, Lon, HslV"	0.4077213064750552	0.3705897358338249	0.2216889576911199	0.0
"EG10534-MONOMER"	"Additive: ClpP, Lon, HslV"	0.5211809250433617	0.2679823803062132	0.2108366946504252	0.0
"G7532-MONOMER"	"Additive: ClpP, Lon, HslV"	0.3314420580080509	0.3408207405900246	0.3277372014019244	0.0
"EG10844-MONOMER"	"Additive: ClpP, Lon, HslV"	0.4641646680853521	0.1982252055938427	0.3376101263208054	0.0
