"id"	"mw7.2"	"location"
"PHOSPHO-ARCA"	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 27282.049, 77.96300000000001, 0.0, 0.0, 0.0]	["c"]
"PHOSPHO-ARCB717"	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 87949.988, 77.96300000000001, 0.0, 0.0, 0.0]	["i"]
"PHOSPHO-BAER"	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 27651.011, 77.96300000000001, 0.0, 0.0, 0.0]	["c"]
"PHOSPHO-BAES"	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 51991.528999999995, 77.96300000000001, 0.0, 0.0, 0.0]	["i"]
"PHOSPHO-DCUR-MONOMER"	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 27483.513, 77.96300000000001, 0.0, 0.0, 0.0]	["c"]
"PHOSPHO-DCUS-MONOMER"	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 60545.873, 77.96300000000001, 0.0, 0.0, 0.0]	["i"]
"PHOSPHO-NARL"	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 23921.867000000002, 77.96300000000001, 0.0, 0.0, 0.0]	["c"]
"PHOSPHO-NARX"	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 67078.213, 77.96300000000001, 0.0, 0.0, 0.0]	["i"]
"PHOSPHO-PHOP"	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 25525.239, 77.96300000000001, 0.0, 0.0, 0.0]	["c"]
"PHOSPHO-PHOQ"	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 55288.763999999996, 77.96300000000001, 0.0, 0.0, 0.0]	["i"]
"PHOSPHO-PHOB"	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 26425.439000000002, 77.96300000000001, 0.0, 0.0, 0.0]	["c"]
"PHOSPHO-PHOR"	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 49608.653, 77.96300000000001, 0.0, 0.0, 0.0]	["i"]
